templateName	description	status	hue	protectionAmount	conditionAmount	procEffectString	reacEffectString	moveRateBuff	throwRangeMod	rangedRangeMod	healingMod	rangedAccuracyMod	meleeDefMod	meleeAccuracyMod	commandoLegs	specialCommand	installCost	repairCost	removeCost
object/tangible/wearables/cybernetic/cybernetic_crafted_s01_legs.iff	new craftable cybernetic	done															10000	3	10000
object/tangible/wearables/cybernetic/cybernetic_crafted_s01_torso.iff	new craftable cybernetic	done															20000	4	20000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_arm_l.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_arm_r.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_legs.iff	new craftable cybernetic	done															10000	3	10000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_torso.iff	new craftable cybernetic	done															20000	4	20000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_arm_l.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_arm_r.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_legs.iff	new craftable cybernetic	done															10000	3	10000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_torso.iff	new craftable cybernetic	done															20000	4	20000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_forearm_l.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_forearm_r.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_s03_forearm_l.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_s03_forearm_r.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_forearm_l.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_forearm_r.iff	new craftable cybernetic	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_anakin_forearm.iff	deconstructable quest reward cybernetic forearm	done															4000	1	4000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_hand_l.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s02_hand_r.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s03_hand_l.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s03_hand_r.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_hand_l.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s05_hand_r.iff	new craftable cybernetic	done															3000	1	3000
object/tangible/wearables/cybernetic/cybernetic_crafted_s03_arm_l.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/wearables/cybernetic/cybernetic_crafted_s03_arm_r.iff	new craftable cybernetic	done															5000	2	5000
object/tangible/tcg/series5/cybernetic_rots_forearm_r.iff	tcg anakin rots cybernetic forearm	done															4000	1	4000
