force_sensitive_skills	skill_one	skill_two	skill_three	skill_four	skill_novice	skill_master	skill_names
force_sensitive_crafting_mastery_assembly	force_sensitive_crafting_mastery_assembly_01	force_sensitive_crafting_mastery_assembly_02	force_sensitive_crafting_mastery_assembly_03	force_sensitive_crafting_mastery_assembly_04	force_sensitive_crafting_mastery_novice	force_sensitive_crafting_mastery_master	force_sensitive_crafting_mastery_master
force_sensitive_crafting_mastery_repair	force_sensitive_crafting_mastery_repair_01	force_sensitive_crafting_mastery_repair_02	force_sensitive_crafting_mastery_repair_03	force_sensitive_crafting_mastery_repair_04	force_sensitive_crafting_mastery_novice	force_sensitive_crafting_mastery_master	force_sensitive_crafting_mastery_master
force_sensitive_crafting_mastery_technique	force_sensitive_crafting_mastery_technique_01	force_sensitive_crafting_mastery_technique_02	force_sensitive_crafting_mastery_technique_03	force_sensitive_crafting_mastery_technique_04	force_sensitive_crafting_mastery_novice	force_sensitive_crafting_mastery_master	force_sensitive_crafting_mastery_master
force_sensitive_heightened_senses_healing	force_sensitive_heightened_senses_healing_01	force_sensitive_heightened_senses_healing_02	force_sensitive_heightened_senses_healing_03	force_sensitive_heightened_senses_healing_04	force_sensitive_heightened_senses_novice	force_sensitive_heightened_senses_master	force_sensitive_heightened_senses_master
force_sensitive_heightened_senses_surveying	force_sensitive_heightened_senses_surveying_01	force_sensitive_heightened_senses_surveying_02	force_sensitive_heightened_senses_surveying_03	force_sensitive_heightened_senses_surveying_04	force_sensitive_heightened_senses_novice	force_sensitive_heightened_senses_master	force_sensitive_heightened_senses_master
force_sensitive_heightened_senses_persuasion	force_sensitive_heightened_senses_persuasion_01	force_sensitive_heightened_senses_persuasion_02	force_sensitive_heightened_senses_persuasion_03	force_sensitive_heightened_senses_persuasion_04	force_sensitive_heightened_senses_novice	force_sensitive_heightened_senses_master	force_sensitive_heightened_senses_master
force_sensitive_heightened_senses_luck	force_sensitive_heightened_senses_luck_01	force_sensitive_heightened_senses_luck_02	force_sensitive_heightened_senses_luck_03	force_sensitive_heightened_senses_luck_04	force_sensitive_heightened_senses_novice	force_sensitive_heightened_senses_master	force_sensitive_heightened_senses_master
							force_sensitive_combat_prowess_ranged_accuracy_04
							force_sensitive_combat_prowess_ranged_speed_04
							force_sensitive_combat_prowess_melee_accuracy_04
							force_sensitive_combat_prowess_melee_speed_04
							force_sensitive_enhanced_reflexes_ranged_defense_04
							force_sensitive_enhanced_reflexes_melee_defense_04
							force_sensitive_enhanced_reflexes_vehicle_control_04
							force_sensitive_enhanced_reflexes_survival_04
							force_sensitive_crafting_mastery_experimentation_04
							force_sensitive_crafting_mastery_assembly_04
							force_sensitive_crafting_mastery_repair_04
							force_sensitive_crafting_mastery_technique_04
							force_sensitive_heightened_senses_healing_04
							force_sensitive_heightened_senses_surveying_04
							force_sensitive_heightened_senses_persuasion_04
							force_sensitive_heightened_senses_luck_04
							force_sensitive_combat_prowess_ranged_accuracy_03
							force_sensitive_combat_prowess_ranged_speed_03
							force_sensitive_combat_prowess_melee_accuracy_03
							force_sensitive_combat_prowess_melee_speed_03
							force_sensitive_enhanced_reflexes_ranged_defense_03
							force_sensitive_enhanced_reflexes_melee_defense_03
							force_sensitive_enhanced_reflexes_vehicle_control_03
							force_sensitive_enhanced_reflexes_survival_03
							force_sensitive_crafting_mastery_experimentation_03
							force_sensitive_crafting_mastery_assembly_03
							force_sensitive_crafting_mastery_repair_03
							force_sensitive_crafting_mastery_technique_03
							force_sensitive_heightened_senses_healing_03
							force_sensitive_heightened_senses_surveying_03
							force_sensitive_heightened_senses_persuasion_03
							force_sensitive_heightened_senses_luck_03
							force_sensitive_combat_prowess_ranged_accuracy_02
							force_sensitive_combat_prowess_ranged_speed_02
							force_sensitive_combat_prowess_melee_accuracy_02
							force_sensitive_combat_prowess_melee_speed_02
							force_sensitive_enhanced_reflexes_ranged_defense_02
							force_sensitive_enhanced_reflexes_melee_defense_02
							force_sensitive_enhanced_reflexes_vehicle_control_02
							force_sensitive_enhanced_reflexes_survival_02
							force_sensitive_crafting_mastery_experimentation_02
							force_sensitive_crafting_mastery_assembly_02
							force_sensitive_crafting_mastery_repair_02
							force_sensitive_crafting_mastery_technique_02
							force_sensitive_heightened_senses_healing_02
							force_sensitive_heightened_senses_surveying_02
							force_sensitive_heightened_senses_persuasion_02
							force_sensitive_heightened_senses_luck_02
							force_sensitive_combat_prowess_ranged_accuracy_01
							force_sensitive_combat_prowess_ranged_speed_01
							force_sensitive_combat_prowess_melee_accuracy_01
							force_sensitive_combat_prowess_melee_speed_01
							force_sensitive_enhanced_reflexes_ranged_defense_01
							force_sensitive_enhanced_reflexes_melee_defense_01
							force_sensitive_enhanced_reflexes_vehicle_control_01
							force_sensitive_enhanced_reflexes_survival_01
							force_sensitive_crafting_mastery_experimentation_01
							force_sensitive_crafting_mastery_assembly_01
							force_sensitive_crafting_mastery_repair_01
							force_sensitive_crafting_mastery_technique_01
							force_sensitive_heightened_senses_healing_01
							force_sensitive_heightened_senses_surveying_01
							force_sensitive_heightened_senses_persuasion_01
							force_sensitive_heightened_senses_luck_01
							force_sensitive_combat_prowess_novice
							force_sensitive_combat_prowess_novice
							force_sensitive_combat_prowess_novice
							force_sensitive_combat_prowess_novice
							force_sensitive_enhanced_reflexes_novice
							force_sensitive_enhanced_reflexes_novice
							force_sensitive_enhanced_reflexes_novice
							force_sensitive_enhanced_reflexes_novice
							force_sensitive_crafting_mastery_novice
							force_sensitive_crafting_mastery_novice
							force_sensitive_crafting_mastery_novice
							force_sensitive_crafting_mastery_novice
							force_sensitive_heightened_senses_novice
							force_sensitive_heightened_senses_novice
							force_sensitive_heightened_senses_novice
							force_sensitive_heightened_senses_novice
