strCommand	strComments	Level	validTarget	setCombatTarget	strAnimationAction	intUseAbsoluteAnimation	intLeftFoot	intRightFoot	intRightHand	intLeftHand	intWeapon	strCombatSpam	intWeaponType	speedMods	damageMods	costMods	toHitMods	blockMods	evadeMods	counterMods	intAttackType	fltConeLength	fltConeWidth	fltRange	baseTimeMod	darkTimeBonus	lightTimeBonus	baseDamageMod	damageRankBonus	intUseWeaponForcePower	intJediPowerCost	forceCostRankBonus	fltForceMultiplier	intVisibilityValue	intVisibilityRange	intBaseToHit	intBlockMod	intEvadeMod	intCounterAttackMod	intAttackerEndPosture	intDefenderEndPosture	intBleedingChance	intChanceToApplyEffect	intNumberOfStatesToApply	intEffect1	fltEffectDuration1	durationRankBonus1	intEffect2	fltEffectDuration2	durationRankBonus2	intEffect3	fltEffectDuration3	durationRankBonus3	intHitHead	intHitBody	intHitLegs	fltBleedingValue	intBleedingDuration	intBleedMind	intBleedHealth	intBleedAction	intOverloadWeapon	damageTarget	intMinDamage	intMaxDamage	fltMidRange	fltMaxRange	intMinRangeMod	intZeroRangeMod	intMaxRangeMod	fltAttackSpeed	intHealthCost	intMindCost	intActionCost	intDamageType	intDamageRating
saber2hSweep1	lower posture single		STANDARD	0	lower_posture_2hmelee_3	1	OFF	OFF	OFF	OFF	ON	saber2hsweep1	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.25	0	0	1.25	0	1	40	0	1.25	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberPolearmSpinAttack1	area attack		STANDARD	0	counter_low_left	0	OFF	OFF	OFF	OFF	ON	saberpolearmspinattack1	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16	30		1.25	0	0	0.75	0	1	40	0	1.25	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber1hHeadHit1	head hit		STANDARD	0	combo_4a	0	OFF	OFF	OFF	OFF	ON	saber1hheadhit1	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.5	0	0	1.25	0	1	50	0	1.25	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber2hBodyHit1	body hit		STANDARD	0	combo_3b	0	OFF	OFF	OFF	OFF	ON	saber2hbodyhit1	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.5	0	0	1.25	0	1	50	0	1.25	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberPolearmLegHit1	leg hit 		STANDARD	0	combo_3a	0	OFF	OFF	OFF	OFF	ON	saberpolearmleghit1	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.5	0	0	1.25	0	1	50	0	1.25	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber1hHit2	"hit+more damage, dizzy"		STANDARD	0	combo_jedi_2	0	OFF	OFF	OFF	OFF	ON	saber1hhit2	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.5	0	0	2	0	1	60	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE		50	1	STATE_BLINDED	45	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber2hHit2	hit + more damage		STANDARD	0	combo_jedi_1	0	OFF	OFF	OFF	OFF	ON	saber2hhit2	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.5	0	0	2	0	1	60	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saberPolearmHit2	"hit + more damage, stunned"		STANDARD	0	combo_5a	0	OFF	OFF	OFF	OFF	ON	saberpolearmhit2	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.5	0	0	2	0	1	60	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE		50	1	STATE_STUNNED	45	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber1hHeadHit2	"head hit, more damage, blind"		STANDARD	0	combo_4c	0	OFF	OFF	OFF	OFF	ON	saber1hheadhit2	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.75	0	0	1.75	0	1	80	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber2hBodyHit2	hit +more damage		STANDARD	0	combo_3d	0	OFF	OFF	OFF	OFF	ON	saber2hbodyhit2	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.75	0	0	1.75	0	1	80	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saberPolearmLegHit2	"leg hit, more damage"		STANDARD	0	combo_3b	0	OFF	OFF	OFF	OFF	ON	saberpolearmleghit2	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		1.75	0	0	1.75	0	1	80	0	1.5	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber1hComboHit2	"hits multiple locations, + damage, lower posture"		STANDARD	0	combo_5b	0	OFF	OFF	OFF	OFF	ON	saber1hcombohit2	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2	0	0	2.5	0	1	80	0	1.75	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber2hSweep2	lower posture cone + damage		STANDARD	0	combo_4b	0	OFF	OFF	OFF	OFF	ON	saber2hsweep2	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2	0	0	2.5	0	1	80	0	1.75	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saberPolearmSpinAttack2	"area attack, more damage, larger range"		STANDARD	0	showoff_1	0	OFF	OFF	OFF	OFF	ON	saberpolearmspinattack2	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16	30		2	0	0	1.5	0	1	80	0	1.75	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber1hHeadHit3	"head hit, more damage, blind"		STANDARD	0	combo_5a	0	OFF	OFF	OFF	OFF	ON	saber1hheadhit3	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2.25	0	0	2.25	0	1	100	0	1.75	50	32	50				POSTURE_NONE	POSTURE_NONE		60	1	STATE_BLINDED	60	0	STATE_NONE	0	0	STATE_NONE	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber2hBodyHit3	hit +more damage		STANDARD	0	combo_4a	0	OFF	OFF	OFF	OFF	ON	saber2hbodyhit3	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2.25	0	0	2.25	0	1	100	0	1.75	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saberPolearmLegHit3	"leg hit, more damage"		STANDARD	0	combo_3d	0	OFF	OFF	OFF	OFF	ON	saberpolearmleghit3	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2.25	0	0	2.25	0	1	100	0	1.75	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber1hHit3	"hit+more damage, dizzy"		STANDARD	0	combo_jedi_3	0	OFF	OFF	OFF	OFF	ON	saber1hhit3	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2.5	0	0	2.5	0	1	100	0	2	50	32	50				POSTURE_NONE	POSTURE_NONE		75	1	STATE_BLINDED	90	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber2hHit3	uber damage		STANDARD	0	showoff_3	0	OFF	OFF	OFF	OFF	ON	saber2hhit3	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2.5	0	0	2.5	0	1	100	0	2	50	32	50				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saberPolearmHit3	"hit + more damage, stunned"		STANDARD	0	combo_4b	0	OFF	OFF	OFF	OFF	ON	saberpolearmhit3	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		2.5	0	0	2.5	0	1	100	0	2	50	32	50				POSTURE_NONE	POSTURE_NONE		75	1	STATE_STUNNED	90	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber1hComboHit3	"hits multiple locations, + damage, lower posture"		STANDARD	0	showoff_1	0	OFF	OFF	OFF	OFF	ON	saber1hcombohit3	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		3	0	0	3	0	1	120	0	2.25	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0
saber2hSweep3	lower posture cone + damage		STANDARD	0	lower_posture_2hmelee_3	1	OFF	OFF	OFF	OFF	ON	saber2hsweep3	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	SINGLE_TARGET	0	0		3	0	0	3	0	1	120	0	2.25	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberPolearmSpinAttack3	"area attack, more damage, larger range"		STANDARD	0	showoff_1	0	OFF	OFF	OFF	OFF	ON	saberpolearmspinattack3	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16	30		3	0	0	2	0	1	120	0	2.25	50	32	50				POSTURE_NONE	POSTURE_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber1hFlurry	"area effect attack, expensive, high damage, chance to apply all 3 effects"		STANDARD	0	showoff_2	0	OFF	OFF	OFF	OFF	ON	saber1hflurry	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16	0		3.5	0	0	3.5	0	1	150	0	2.5	50	32	50				POSTURE_NONE	POSTURE_NONE		75	3	STATE_BLINDED	60	0	STATE_DIZZY	30	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber2hFrenzy	"area effect attack, expensive, high damage, chance to apply all 3 effects"		STANDARD	0	showoff_2	0	OFF	OFF	OFF	OFF	ON	saber2hfrenzy	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16	0		3.5	0	0	3.5	0	1	150	0	2.5	50	32	50				POSTURE_NONE	POSTURE_NONE		75	3	STATE_BLINDED	60	0	STATE_DIZZY	30	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberPolearmDervish	"area effect attack, expensive, high damage, chance to apply all 3 effects"		STANDARD	0	showoff_2	0	OFF	OFF	OFF	OFF	ON	saberpolearmdervish	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16			3.5	0	0	3	0	1	150	0	2.5	50	32	50				POSTURE_NONE	POSTURE_NONE		75	3	STATE_BLINDED	60	0	STATE_DIZZY	30	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber1hFlurry2			STANDARD	0	combo_jedi_4	0	OFF	OFF	OFF	OFF	ON	saber1hflurry2	1HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	AREA	16	30		4	0	0	4	0	1	200	0	3	50	32	50				POSTURE_NONE	POSTURE_NONE		85	3	STATE_BLINDED	60	0	STATE_DIZZY	30	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saber2hPhantom			STANDARD	0	combo_jedi_2	0	OFF	OFF	OFF	OFF	ON	saber2hphantom	2HAND_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	CONE	24	45		4	0	0	4.5	0	1	200	0	3	50	32	50				POSTURE_NONE	POSTURE_NONE		85	3	STATE_BLINDED	60	0	STATE_DIZZY	30	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
saberPolearmDervish2			STANDARD	0	combo_jedi_2	0	OFF	OFF	OFF	OFF	ON	saberpolearmdervish2	POLEARM_LIGHTSABER	"%_speed,melee_speed"	%_damage		"%_accuracy,melee_accuracy"	block	evade	counter	CONE	24	45		4	0	0	4.5	0	1	200	0	3	50	32	50				POSTURE_NONE	POSTURE_NONE		85	3	STATE_BLINDED	60	0	STATE_DIZZY	30	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0		
forceLightningSingle1	damage		STANDARD	0	$force_lightning_1_particle_level_[private_force_lightning_single_power:5]	0	OFF	OFF	OFF	OFF	OFF	forcelightningsingle1	FORCE_POWER				forcelightning_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	75	0		50	32	30				POSTURE_NONE	POSTURE_NONE	0		0	STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	1	350	700	0	32	0	0	0	5	0	0	0	DAMAAGE_ENVIRONMENTAL_ELECTRICAL	ARMOR_LIGHT
forceLightningSingle2	damage + stun		STANDARD	0	$force_lightning_1_particle_level_[private_force_lightning_single_power:5]	0	OFF	OFF	OFF	OFF	OFF	forcelightningsingle2	FORCE_POWER				forcelightning_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	150	0		50	32	30				POSTURE_NONE	POSTURE_NONE		75	1	STATE_STUNNED	60	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	1	600	1200	0	32	0	0	0	5	0	0	0	DAMAAGE_ENVIRONMENTAL_ELECTRICAL	ARMOR_LIGHT
forceLightningCone1	damage area		STANDARD	0	$force_lightning_1_arc_particle_level_[private_force_lightning_single_power:5]	0	OFF	OFF	OFF	OFF	OFF	forcelightningcone1	FORCE_POWER				forcelightning_accuracy				CONE	32	30	32	1	0	0	1	0	0	125	0		50	32	30				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	1	300	600	0	32	0	0	0	5	0	0	0	DAMAAGE_ENVIRONMENTAL_ELECTRICAL	ARMOR_LIGHT
