actionName	forceModDark	minDmgModDark	maxDmgModDark	delayModDark	extraForceModDark	buffModDark1	buffModDark2	buffModDark3	buffDurModDark	minHealModDark	maxHealModDark	forceModLight	minDmgModLight	maxDmgModLight	delayModLight	extraForceModLight	buffModLight1	buffModLight2	buffModLight3	buffDurModLight	minHealModLight	maxHealModLight
healMindWoundOther2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healHealthWoundOther1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healHealthWoundOther2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healActionWoundOther1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healActionWoundOther2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healBattleFatigueOther1	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healBattleFatigueOther2	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healStatesSelf	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
healStatesOther	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
totalHealSelf	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
totalHealOther	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stopBleeding	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forceCurePoison	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forceCureDisease	0.125	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
