Item	Certifications Required
object/tangible/ship/components/armor/arm_koensayr_standard_durasteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_koensayr_supreme_durasteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_koensayr_thick_advanced_durasteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_kse_advanced_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_kse_customized_advanced_durasteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_kse_elite_durasteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_kse_heavy_durasteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_kse_intermediate_durasteel.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_kse_limited_heavy_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_kse_modified_heavy_durasteel.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_kse_modified_light_durasteel.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_kse_modified_supreme_durasteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_kse_standard_durasteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_kse_supreme_durasteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_mandal_advanced_composite.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_mandal_composite_j5.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_mandal_composite_j7.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_mandal_custom_heavy_composite.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_mandal_double_insulated_i5.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_mandal_double_insulated_i7.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_mandal_double_plated_composite_j7.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_mandal_elite_composite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_mandal_enhanced_elite_composite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_mandal_enhanced_heavy_composite.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_mandal_heavy_composite.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_mandal_insulated_i7.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_mandal_modified_supreme_composite.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_mandal_modifier_composite_j5.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_mandal_reinforced_advanced_composite.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_mandal_supreme_composite.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_mission_reward_imperial_rss_special_durasteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_mission_reward_imperial_sfs_light_military.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_mission_reward_neutral_kse_handcrafted.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_mission_reward_rebel_corellian_triplate.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/arm_mission_reward_rebel_incom_ultralight.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_moncal_advanced_weave.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_moncal_elite_weave.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_moncal_improved_light_weave.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_moncal_light_weave.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_moncal_supreme_weave.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_prototype_armor.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_rendili_tough_plate.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_reward_alderaan_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_reward_baktoid_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_reward_freitek_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_reward_mandal_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_reward_subpro_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_rss_light_plastisteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_sds_triplate_system.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_sfs_enhanced_standard_durasteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_sfs_light_durasteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_sfs_standard_durasteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_slayn_tech_weave.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_sorosuub_advanced_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_sorosuub_elite_plastisteel.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_sorosuub_enhanced_advanced_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_sorosuub_heavy_plastisteel.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_sorosuub_improved_light_plastisteel.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/arm_sorosuub_intemediate_plastisteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_sorosuub_modified_elite_plastisteel.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_sorosuub_special_intermediate_durasteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_subpro_advanced_plasisteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_subpro_bargain_plastisteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/arm_subpro_elite_plastisteel.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_subpro_enhanced_supreme_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_subpro_experimental_advanced_plastisteel.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/armor/arm_subpro_heavy_plastisteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_subpro_improved_light_plastisteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/arm_subpro_improved_standard_durasteel.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/arm_subpro_limited_heavy_plastisteel.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/armor/arm_subpro_special_elite_plastisteel.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/armor/arm_subpro_standard_plastisteel.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/arm_subpro_supreme_plastisteel.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/armor/arm_ur_0015_rancor.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/armor_alderaan_royal_plate.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/armor_alderaan_royal_weave.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/armor_baktoid_mtt_prototype.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/armor_baktoid_shock_armor.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/armor_baktoid_spider_shell_g2.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/armor/armor_freitek_es4_durasteel.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/armor_freitek_ew6_prototype.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/armor_mandal_composite_j14.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/armor/armor_mandal_insulated_i5.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/armor/armor_seinar_coated_plasteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/armor_seinar_enhanced_plasteel.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/armor_subpro_corrugated_durasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/armor_subpro_light_plasteel.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/armor_subpro_reinforced_plasteel.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/armor/armor_test.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/armor_tiefighter_basic.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/armor/armor_trilon_custom.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/armor_trilon_unknown.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/armor/armor_z95_basic.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/booster_test.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_corellian_advanced_thrust_enhancer.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_corellian_elite_thrust_enhancer.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_corellian_experimental_tjh3.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_corellian_heavy_thrust_enhancer.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_corellian_highly_modified_elite_thrust_enhancer.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_corellian_performance_advanced_thrust_enhancer.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_corellian_promotional_standard_thrust_enhancer.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_corellian_standard_thrust_enhancer.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_corellian_tjh3.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_corellian_tuned_heavy_thrust_enhancer.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_cygnus_flashboost3.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_cygnus_flashboost4.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_freitek_outrunner_x1.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_gallofree_light.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_generic.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_incom_deluxe_fynock.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_incom_elite_sls_1.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_incom_enhanced_mynock.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_incom_fynock.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_incom_intimidator_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_incom_intimidator_mk2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_incom_intimidator_mk3.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_incom_intimidator_mk4.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_incom_mynock.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_incom_nkj31.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_incom_performance_nkj31.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_incom_sls_1.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_incom_supercharged_vynock.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_incom_vynock.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_kde_br12.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_kessel_imperial_cygnus_hyperthrust.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_kessel_imperial_sds_experimental_b7.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_kessel_imperial_sfs_ultra_thrust.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_kessel_rebel_incom_quicksilver.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_kessel_rebel_incom_windrunner.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_kessel_rebel_mandal_lightning_m1.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_koensayr_advanced.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_koensayr_charged_advanced.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_koensayr_deluxe_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_koensayr_elite.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_koensayr_evh12.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_koensayr_heavy.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_koensayr_improved_standard.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_koensayr_modified_heavy.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_koensayr_racer_mk1.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_koensayr_racer_mk2.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_koensayr_racer_mk3.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_koensayr_racer_mk4.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_koensayr_special_evh12.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_koensayr_standard.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_kse_als_1.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_kse_bti1.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_kse_bti2.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_kse_bti3.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_kse_cb6.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_kse_deluxe_bti3.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_kse_elite_als_1.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_kse_enhanced_bti2.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_kse_performance_bti1.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_kse_performance_cb6.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_kuat_military_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_kuat_military_mk2.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_kuat_military_mk3.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_kuat_military_mk4.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_mandal_deluxe_jbj_mk4.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_mandal_enhanced_jbj_mk1.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_mandal_improved_jbj_mk3.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_mandal_jbj_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_mandal_jbj_mk2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_mandal_jbj_mk3.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_mandal_jbj_mk4.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_mandal_jbj_mk5.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_mandal_limited_jbj_mk5.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_mandal_modified_jbj_mk2.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_mission_reward_imperial_rss_ion_booster.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_m_series.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_q_series.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_mission_reward_rebel_novaldex_hypernova.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_mission_reward_rebel_qualdex_halcyon.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_moncal_advanced.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_moncal_charged_heavy.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_moncal_deluxe_standard.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_moncal_elite.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_moncal_enhanced_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_moncal_heavy.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_moncal_jlc37.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_moncal_limited_jlc37.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_moncal_rare_advanced.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_moncal_standard.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_nova_breaker.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_novaldex_pulsar.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_novaldex_pulsar_advanced.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_novaldex_quasar.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_novaldex_quasar_advanced.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_qualdex_xboost_mk1.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_qualdex_xboost_mk2.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_qualdex_xboost_mk3.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_qualdex_xboost_mk4.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_reward_incom_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_reward_koensayr_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_reward_kuat_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_reward_novaldex_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_reward_qualdex_elite.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_rss_special.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_sap_imperial_1.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_sap_imperial_2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_sds_enhanced_imperial_2.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_sfs_imperial_1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_sfs_imperial_2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_slayn_ion_booster_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_sorosuub_enhanced_liberator_mk4.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_sorosuub_improved_liberator_mk2.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk3.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk4.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk5.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_sorosuub_prized_liberator_mk1.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_sorosuub_supercharged_liberator_mk3.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_sorosuub_well_tuned_liberator_mk5.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_subpro_accelatron_mk1.iff	@cmd_n:cert_ordnance_level1
object/tangible/ship/components/booster/bst_subpro_accelatron_mk2.iff	@cmd_n:cert_ordnance_level3
object/tangible/ship/components/booster/bst_subpro_accelatron_mk3.iff	@cmd_n:cert_ordnance_level5
object/tangible/ship/components/booster/bst_subpro_accelatron_mk4.iff	@cmd_n:cert_ordnance_level7
object/tangible/ship/components/booster/bst_subpro_accelatron_mk5.iff	@cmd_n:cert_ordnance_level9
object/tangible/ship/components/booster/bst_subpro_deluxe_accelatron_mk3.iff	@cmd_n:cert_ordnance_level6
object/tangible/ship/components/booster/bst_subpro_elite_accelatron_mk5.iff	@cmd_n:cert_ordnance_levelten
object/tangible/ship/components/booster/bst_subpro_enhanced_accelatron_mk2.iff	@cmd_n:cert_ordnance_level4
object/tangible/ship/components/booster/bst_subpro_modified_accelatron_mk4.iff	@cmd_n:cert_ordnance_level8
object/tangible/ship/components/booster/bst_subpro_tuned_accelatron_mk1.iff	@cmd_n:cert_ordnance_level2
object/tangible/ship/components/booster/bst_surronian_accelerator_mk1.iff	@cmd_n:cert_ordnance_level6
