ModifierName	DisplayName	DisplayDescription	IconImageStyle
food.drink_corellian_ale	@food_name:corellian_ale	@stat_n:healing_music_wound	/Styles.Icon.buffs.foodSkillMod
food.drink_durindfire	@food_name:durindfire	@stat_n:stun_defense	/Styles.Icon.buffs.foodSkillMod
food.drink_veronian_berry_wine	@food_name:veronian_berry_wine	@stat_n:blind_defense	/Styles.Icon.buffs.foodSkillMod
food.drink_ithorian_mist	@food_name:ithorian_mist	@stat_n:dizzy_defense	/Styles.Icon.buffs.foodSkillMod
food.drink_corellian_brandy	@food_name:corellian_brandy	@stat_n:knockdown_defense	/Styles.Icon.buffs.foodSkillMod
food.drink_vayerbok	@food_name:vayerbok	@stat_n:block	/Styles.Icon.buffs.foodSkillMod
food.drink_elshandruu_pica_thundercloud	@food_name:elshandruu_pica_thundercloud	@stat_n:ranged_defense	/Styles.Icon.buffs.foodSkillMod
food.drink_vasarian_brandy	@food_name:vasarian_brandy	@food_detail:vasarian_brandy_eff	/Styles.Icon.buffs.foodStatMod
food.drink_accarragm	@food_name:accarragm	@food_detail:accarragm_eff	/Styles.Icon.buffs.foodStatMod
food.drink_garrmorl	@food_name:garrmorl	@food_detail:garrmorl_eff	/Styles.Icon.buffs.foodStatMod
food.dessert_won_won	@food_name:won_won	@food_detail:won_won_eff	/Styles.Icon.buffs.foodStatMod
food.dessert_chandad	@food_name:chandad	@stat_n:surveying	/Styles.Icon.buffs.foodSkillMod
food.dessert_dweezel	@food_name:dweezel	@stat_n:trapping	/Styles.Icon.buffs.foodSkillMod
food.dessert_kiwik_clusjo_swirl	@food_name:kiwik_clusjo_swirl	@food_detail:kiwik_clusjo_swirl_eff	/Styles.Icon.buffs.foodStatMod
food.dessert_vagnerian_canape	@food_name:vagnerian_canape	@food_detail:vagnerian_canape_eff	/Styles.Icon.buffs.foodStatMod
food.drink_breath_of_heaven	@food_name:breath_of_heaven_buff	@food_detail:breath_of_heaven_eff	/Styles.Icon.buffs.foodStatMod
food.mitigate_damage	@obj_attr_n:mitigate_damage	@obj_attr_n:mitigate_damage_d	/Styles.Icon.buffs.foodDelayed
food.heal_recovery	@obj_attr_n:heal_recovery	@obj_attr_n:heal_recovery_d	/Styles.Icon.buffs.foodDelayed
food.incap_recovery	@obj_attr_n:incap_recovery	@obj_attr_n:incap_recovery_d	/Styles.Icon.buffs.foodDelayed
food.dodge_attack	@obj_attr_n:dodge_attack	@obj_attr_n:dodge_attack_d	/Styles.Icon.buffs.foodInstant
food.attack_accuracy	@obj_attr_n:attack_accuracy	@obj_attr_n:attack_accuracy_d	/Styles.Icon.buffs.foodInstant
food.poison_disease_resist	@obj_attr_n:poison_disease_resist	@obj_attr_n:poison_disease_resist_d	/Styles.Icon.buffs.foodInstant
food.bleed_resist	@obj_attr_n:bleed_resist	@obj_attr_n:bleed_resist_d	/Styles.Icon.buffs.foodInstant
food.fire_resist	@obj_attr_n:fire_resist	@obj_attr_n:fire_resist_d	/Styles.Icon.buffs.foodInstant
food.xp_increase	@obj_attr_n:xp_increase	@obj_attr_n:xp_increase_d	/Styles.Icon.buffs.foodDelayed
food.craft_bonus	@obj_attr_n:craft_bonus	@obj_attr_n:craft_bonus_d	/Styles.Icon.buffs.foodDelayed
food.experiment_bonus	@obj_attr_n:experiment_bonus	@obj_attr_n:experiment_bonus_d	/Styles.Icon.buffs.foodDelayed
food.reduce_clone_wounds	@obj_attr_n:reduce_clone_wounds	@obj_attr_n:reduce_clone_wounds_d	/Styles.Icon.buffs.foodDelayed
food.reduce_spice_downtime	@obj_attr_n:reduce_spice_downtime	@obj_attr_n:reduce_spice_downtime_d	/Styles.Icon.buffs.foodDelayed
food.accelerate_entertainer_buff	@obj_attr_n:accelerate_entertainer_buff	@obj_attr_n:accelerate_entertainer_buff_d	/Styles.Icon.buffs.foodInstant
medical_enhance_health	@healing:medical_enhance_health	@healing:medical_enhance_health_d	/Styles.Icon.buffs.healthBuff
medical_enhance_strength	@healing:medical_enhance_strength	@healing:medical_enhance_strength_d	/Styles.Icon.buffs.healthBuff
medical_enhance_constitution	@healing:medical_enhance_constitution	@healing:medical_enhance_constitution_d	/Styles.Icon.buffs.healthBuff
medical_enhance_action	@healing:medical_enhance_action	@healing:medical_enhance_action_d	/Styles.Icon.buffs.actionBuff
medical_enhance_quickness	@healing:medical_enhance_quickness	@healing:medical_enhance_quickness_d	/Styles.Icon.buffs.actionBuff
medical_enhance_stamina	@healing:medical_enhance_stamina	@healing:medical_enhance_stamina_d	/Styles.Icon.buffs.actionBuff
medical_enhance_poison	@healing:medical_enhance_poison	@healing:medical_enhance_poison_d	/Styles.Icon.command.curePoison
medical_enhance_disease	@healing:medical_enhance_disease	@healing:medical_enhance_disease_d	/Styles.Icon.command.cureDisease
performance_enhance_dance_mind	@healing:performance_enhance_dance_mind	@healing:performance_enhance_dance_mind_d	/Styles.Icon.buffs.danceBuff
performance_enhance_music_focus	@healing:performance_enhance_music_focus	@healing:performance_enhance_music_focus_d	/Styles.Icon.buffs.musicBuff
performance_enhance_music_willpower	@healing:performance_enhance_music_willpower	@healing:performance_enhance_music_willpower_d	/Styles.Icon.buffs.musicBuff
spice.booster_blue.up	@food_name:booster_blue	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.booster_blue.down	@food_name:booster_blue	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.crash_n_burn.up	@food_name:crash_n_burn	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.crash_n_burn.down	@food_name:crash_n_burn	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.droid_lube.up	@food_name:droid_lube	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.droid_lube.down	@food_name:droid_lube	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.giggledust.up	@food_name:giggledust	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.giggledust.down	@food_name:giggledust	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.grey_gabaki.up	@food_name:grey_gabaki	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.grey_gabaki.down	@food_name:grey_gabaki	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.gunjack.up	@food_name:gunjack	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.gunjack.down	@food_name:gunjack	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.muon_gold.up	@food_name:muon_gold	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.muon_gold.down	@food_name:muon_gold	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.neutron_pixey.up	@food_name:neutron_pixey	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.neutron_pixey.down	@food_name:neutron_pixey	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.pyrepenol.up	@food_name:pyrepenol	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.pyrepenol.down	@food_name:pyrepenol	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.scramjet.up	@food_name:scramjet	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.scramjet.down	@food_name:scramjet	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.sedative_h4b.up	@food_name:sedative_h4b	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.sedative_h4b.down	@food_name:sedative_h4b	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.shadowpaw.up	@food_name:shadowpaw	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.shadowpaw.down	@food_name:shadowpaw	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.sweetblossom.up	@food_name:sweetblossom	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.sweetblossom.down	@food_name:sweetblossom	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.thruster_head.up	@food_name:thruster_head	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.thruster_head.down	@food_name:thruster_head	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.yarrock.up	@food_name:booster_blue	@food_detail:spice_up	/Styles.Icon.buffs.spiceBuff
spice.yarrock.down	@food_name:booster_blue	@food_detail:spice_down	/Styles.Icon.buffs.spiceDowner
spice.kliknik_boost.up	@food_name:bio_kliknik_fortitude_boost	@food_detail:bio_up	/Styles.Icon.buffs.spiceBuff
spice.kliknik_boost.down	@food_name:bio_kliknik_fortitude_boost	@food_detail:bio_down	/Styles.Icon.buffs.spiceDowner
spice.kwi_boost.up	@food_name:bio_kwi_adrenal_boost	@food_detail:bio_up	/Styles.Icon.buffs.spiceBuff
spice.kwo_boost.down	@food_name:bio_kwi_adrenal_boost	@food_detail:bio_down	/Styles.Icon.buffs.spiceDowner
jedi.force_run.1	@jedi_spam:force_run_1_n	@jedi_spam:force_run_d	/Styles.Icon.jedi.forceRun1
jedi.force_run.2	@jedi_spam:force_run_2_n	@jedi_spam:force_run_d	/Styles.Icon.jedi.forceRun2
jedi.force_run.3	@jedi_spam:force_run_3_n	@jedi_spam:force_run_d	/Styles.Icon.jedi.forceRun3
jedi.force_speed.1	@jedi_spam:force_speed_1_n	@jedi_spam:force_speed_d	/Styles.Icon.jedi.forceSpeed1
jedi.force_speed.2	@jedi_spam:force_speed_2_n	@jedi_spam:force_speed_d	/Styles.Icon.jedi.forceSpeed2
jedi.force_armor.1	@jedi_spam:force_armor_1_n	@jedi_spam:force_armor_d	/Styles.Icon.jedi.forceArmor1
jedi.force_armor.2	@jedi_spam:force_armor_2_n	@jedi_spam:force_armor_d	/Styles.Icon.jedi.forceArmor2
jedi.force_shield.1	@jedi_spam:force_shield_1_n	@jedi_spam:force_shield_d	/Styles.Icon.jedi.forceShield1
jedi.force_shield.2	@jedi_spam:force_shield_2_n	@jedi_spam:force_shield_d	/Styles.Icon.jedi.forceShield2
jedi.force_protection.1	@jedi_spam:force_protection_1_n	@jedi_spam:force_protection_d	/Styles.Icon.jedi.forceArmor1
jedi.force_feedback.1	@jedi_spam:force_feedback_1_n	@jedi_spam:force_feedback_d	/Styles.Icon.jedi.forceFeedback1
jedi.force_feedback.2	@jedi_spam:force_feedback_2_n	@jedi_spam:force_feedback_d	/Styles.Icon.jedi.forceFeedback2
jedi.force_absorb.1	@jedi_spam:force_absorb_1_n	@jedi_spam:force_absorb_d	/Styles.Icon.jedi.forceAbsorb1
jedi.force_absorb.2	@jedi_spam:force_absorb_2_n	@jedi_spam:force_absorb_d	/Styles.Icon.jedi.forceAbsorb2
jedi.resist_disease	@jedi_spam:force_resist_disease_n	@jedi_spam:force_resist_disease_d	/Styles.Icon.jedi.forceResistDisease
jedi.resist_poison	@jedi_spam:force_resist_poison_n	@jedi_spam:force_resist_poison_d	/Styles.Icon.jedi.forceResistPoison
jedi.resist_bleeding	@jedi_spam:force_resist_bleeding_n	@jedi_spam:force_resist_bleeding_d	/Styles.Icon.jedi.forceResistBleeding
jedi.resist_states	@jedi_spam:force_resist_states_n	@jedi_spam:force_resist_states_d	/Styles.Icon.jedi.forceResistStates
jedi.avoid_incapacitation	@jedi_spam:avoid_incapacitation_n	@jedi_spam:avoid_incapacitation_d	/Styles.Icon.jedi.avoidIncapacitation
jedi.avoid_incapacitation.1	@jedi_spam:avoid_incapacitation_n	@jedi_spam:avoid_incapacitation_d	/Styles.Icon.jedi.avoidIncapacitation
jedi.avoid_incapacitation.2	@jedi_spam:avoid_incapacitation_n	@jedi_spam:avoid_incapacitation_d	/Styles.Icon.jedi.avoidIncapacitation
jedi.avoid_incapacitation.3	@jedi_spam:avoid_incapacitation_n	@jedi_spam:avoid_incapacitation_d	/Styles.Icon.jedi.avoidIncapacitation
jedi.avoid_incapacitation.4	@jedi_spam:avoid_incapacitation_n	@jedi_spam:avoid_incapacitation_d	/Styles.Icon.jedi.avoidIncapacitation
jedi.avoid_incapacitation.5	@jedi_spam:avoid_incapacitation_n	@jedi_spam:avoid_incapacitation_d	/Styles.Icon.jedi.avoidIncapacitation
skill_buff_melee_accuracy	@skill_buff_n:melee_accuracy	@skill_buff_d:melee_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_ranged_defense	@skill_buff_n:ranged_defense	@skill_buff_d:ranged_defense	/Styles.Icon.buffs.spiceBuff
skill_buff_carbine_accuracy	@skill_buff_n:carbine_accuracy	@skill_buff_d:carbine_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_carbine_speed	@skill_buff_n:carbine_speed	@skill_buff_d:carbine_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_mask_scent	@skill_buff_n:mask_scent	@skill_buff_d:mask_scent	/Styles.Icon.buffs.spiceBuff
skill_buff_melee_defense	@skill_buff_n:melee_defense	@skill_buff_d:melee_defense	/Styles.Icon.buffs.spiceBuff
skill_buff_onehandmelee_accuracy	@skill_buff_n:onehandmelee_accuracy	@skill_buff_d:onehandmelee_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_onehandmelee_speed	@skill_buff_n:onehandmelee_speed	@skill_buff_d:onehandmelee_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_pistol_accuracy	@skill_buff_n:pistol_accuracy	@skill_buff_d:pistol_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_pistol_speed	@skill_buff_n:pistol_speed	@skill_buff_d:pistol_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_rifle_accuracy	@skill_buff_n:rifle_accuracy	@skill_buff_d:rifle_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_rifle_speed	@skill_buff_n:rifle_speed	@skill_buff_d:rifle_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_unarmed_accuracy	@skill_buff_n:unarmed_accuracy	@skill_buff_d:unarmed_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_unarmed_speed	@skill_buff_n:unarmed_speed	@skill_buff_d:unarmed_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_twohandmelee_accuracy	@skill_buff_n:twohandmelee_accuracy	@skill_buff_d:twohandmelee_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_twohandmelee_speed	@skill_buff_n:twohandmelee_speed	@skill_buff_d:twohandmelee_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_ranged_accuracy	@skill_buff_n:ranged_accuracy	@skill_buff_d:ranged_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_thrown_accuracy	@skill_buff_n:thrown_accuracy	@skill_buff_d:thrown_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_thrown_speed	@skill_buff_n:thrown_speed	@skill_buff_d:thrown_speed	/Styles.Icon.buffs.spiceBuff
skill_buff_heavy_weapon_accuracy	@skill_buff_n:heavy_weapon_accuracy	@skill_buff_d:heavy_weapon_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_heavy_weapon_speed	@skill_buff_n:heavy_weapon_speed	@skill_buff_d:heavy_weapon_speed	/Styles.Icon.buffs.spiceBuff
force_rank.suffering	@jedi_spam:suffering_n	@jedi_spam:suffering_d	/Styles.Icon.state.diseased
force_rank.serenity	@jedi_spam:serenity_n	@jedi_spam:serenity_d	/Styles.Icon.buffs.spiceDowner
skill_buff_polearm_accuracy	@skill_buff_n:polearm_accuracy	@skill_buff_d:polearm_accuracy	/Styles.Icon.buffs.spiceBuff
skill_buff_polearm_speed	@skill_buff_n:polearm_speed	@skill_buff_d:polearm_speed	/Styles.Icon.buffs.spiceBuff
meditation.powerboost.mind	@cmd_n:powerboost	@cmd_d:powerboost	/Styles.Icon.command.powerBoost
innate.regeneration	@cmd_n:regeneration	@cmd_d:regeneration	/Styles.Icon.command.regeneration
innate.vitalize.health	@cmd_n:vitalize	@cmd_d:vitalize	/Styles.Icon.command.vitalize
centerOfBeing	@cmd_n:centerofbeing	@cmd_d:centerofbeing	/Styles.Icon.command.centerOfBeing
movement.boost.medBoost.testMedBoost1	@movement:testmedboost1_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceBuff
movement.boost.medBoost.testMedBoost2	@movement:testmedboost2_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceBuff
movement.boost.spiceBoost.testSpiceBoost1	@movement:testspiceboost1_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceBuff
movement.boost.spiceBoost.testSpiceBoost2	@movement:testspiceboost2_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceBuff
movement.snare.coldSnare.testColdSnare1	@movement:testcoldsnare1_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceDowner
movement.snare.coldSnare.testColdSnare2	@movement:testcoldsnare2_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceDowner
movement.snare.webSnare.testWebSnare1	@movement:testwebsnare1_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceDowner
movement.snare.webSnare.testWebSnare2	@movement:testwebsnare2_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceDowner
movement.permaboost.item.testItemBoost1	@movement:testitemboost1_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceBuff
movement.permaboost.item.testItemBoost2	@movement:testitemboost2_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceBuff
movement.permasnare.item.testItemSnare1	@movement:testitemsnare1_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceDowner
movement.permasnare.item.testItemSnare2	@movement:testitemsnare2_n	@movement:testingonly_d	/Styles.Icon.buffs.spiceDowner
movement.root.root.testRoot1	@movement:testroot1_n	@movement:testingonly_d	/Styles.Icon.state.diseased
movement.root.root.testRoot2	@movement:testroot2_n	@movement:testingonly_d	/Styles.Icon.state.diseased
movement.root.chains.testRoot3	@movement:testroot3_n	@movement:testingonly_d	/Styles.Icon.state.diseased
movement.boost.escape.burstRun	@movement:burstrun_n	@movement:burstrun_d	/Styles.Icon.command.burstRun
movement.snare.cripple.crippleAttack	@movement:crippleAttack_n	@movement:crippleAttack_d	/Styles.Icon.command.crippleAttack
movement.snare.cripple.crippleAttack_1	@movement:crippleAttack1_n	@movement:crippleAttack1_d	/Styles.Icon.command.crippleAttack
movement.snare.cripple.cripplingShot	@movement:cripplingShot_n	@movement:cripplingShot_d	/Styles.Icon.command.cripplingShot
movement.snare.cripple.cripplingShot_1	@movement:cripplingShot1_n	@movement:cripplingShot1_d	/Styles.Icon.command.cripplingShot
movement.root.stop.stoppingShot	@movement:stoppingShot_n	@movement:stoppingShot_d	/Styles.Icon.command.stoppingShot
movement.root.stop.stoppingShot_1	@movement:stoppingShot1_n	@movement:stoppingShot1_d	/Styles.Icon.command.stoppingShot
movement.root.stop.stoppingShot_2	@movement:stoppingShot2_n	@movement:stoppingShot2_d	/Styles.Icon.command.stoppingShot
movement.root.concussion.concussionShot	@movement:concussionShot_n	@movement:concussionShot_d	/Styles.Icon.command.concussionShot
movement.root.concussion.concussionShot_1	@movement:concussionShot1_n	@movement:concussionShot1_d	/Styles.Icon.command.concussionShot
movement.snare.coldSnare.cryobanSnare	@movement:cryoban_snare_n	@movement:cryoban_snare_d	/Styles.Icon.buffs.spiceDowner
cryobanSlow	@movement:cryoban_slow_n	@movement:cryoban_slow_n	/Styles.Icon.buffs.spiceDowner
movement.permasnare.armor.armorHinderance	@movement:armorhinderance_move_n	@movement:armorhinderance_move_d	/Styles.Icon.command.torsoShot
armor.armorHinderance.accuracy	@movement:armorhinderance_accuracy_n	@movement:armorhinderance_accuracy_d	/Styles.Icon.command.torsoShot
armor.armorHinderance.fireRate	@movement:armorhinderance_firerate_n	@movement:armorhinderance_firerate_d	/Styles.Icon.command.torsoShot
