intLevel	intMinValue	intMaxValue	Pistol DPS	pistol_attack_speed	pistol_max_range	pistol_average_damage	pistol_min_damage	pistol_min_damage_min	pistol_min_damage_max	pistol_max_damage	pistol_max_damage_min	pistol_max_damage_max	Carbine DPS	carbine_attack_speed	carbine_max_range	carbine_average_damage	carbine_min_damage	carbine_min_damage_min	carbine_min_damage_max	carbine_max_damage	carbine_max_damage_min	carbine_max_damage_max	Rifle DPS	rifle_attack_speed	rifle_max_range	rifle_average_damage	rifle_min_damage	rifle_min_damage_min	rifle_min_damage_max	rifle_max_damage	rifle_max_damage_min	rifle_max_damage_max	onehandmelee sword DPS	onehandmelee_attack_speed	onehandmelee_max_range	onehandmelee_average_damage	onehandmelee_min_damage	onehandmelee_min_damage_min	onehandmelee_min_damage_max	onehandmelee_max_damage	onehandmelee_max_damage_min	onehandmelee_max_damage_max	twohandmelee sword DPS	twohandmelee_attack_speed	twohandmelee_max_range	twohandmelee_average_damage	twohandmelee_min_damage	twohandmelee_min_damage_min	twohandmelee_min_damage_max	twohandmelee_max_damage	twohandmelee_max_damage_min	twohandmelee_max_damage_max	polearm sword DPS	polearm_attack_speed	polearm_max_range	polearm_average_damage	polearm_min_damage	polearm_min_damage_min	polearm_min_damage_max	polearm_max_damage	polearm_max_damage_min	polearm_max_damage_max	unarmed sword DPS	unarmed_attack_speed	unarmed_max_range	unarmed_average_damage	unarmed_min_damage	unarmed_min_damage_min	unarmed_min_damage_max	unarmed_max_damage	unarmed_max_damage_min	unarmed_max_damage_max
16	1600	1750	143	0.4	35	57	29	14	21	86	43	91	143	0.6	35	86	43	21	32	129	64	136	143	0.8	64	114	57	29	43	172	86	181	155	1	5	155	78	39	58	233	116	245	155	1	5	155	78	39	58	233	116	245	155	1	5	155	78	39	58	233	116	245	155	1	5	155	78	39	58	233	116	245
17	1700	1850	151	0.4	35	60	30	15	23	91	45	95	151	0.6	35	91	45	23	34	136	68	143	151	0.8	64	121	60	30	45	181	91	191	163	1	5	163	82	41	61	245	122	257	163	1	5	163	82	41	61	245	122	257	163	1	5	163	82	41	61	245	122	257	163	1	5	163	82	41	61	245	122	257
18	1800	1950	159	0.4	35	64	32	16	24	95	48	100	159	0.6	35	95	48	24	36	143	72	150	159	0.8	64	127	64	32	48	191	95	200	171	1	5	171	86	43	64	257	128	269	171	1	5	171	86	43	64	257	128	269	171	1	5	171	86	43	64	257	128	269	171	1	5	171	86	43	64	257	128	269
19	1900	2050	167	0.4	35	67	33	17	25	100	50	105	167	0.6	35	100	50	25	38	150	75	158	167	0.8	64	134	67	33	50	200	100	210	179	1	5	179	90	45	67	269	134	281	179	1	5	179	90	45	67	269	134	281	179	1	5	179	90	45	67	269	134	281	179	1	5	179	90	45	67	269	134	281
20	2000	2150	175	0.4	35	70	35	18	26	105	53	110	175	0.6	35	105	53	26	39	158	79	165	175	0.8	64	140	70	35	53	210	105	220	187	1	5	187	94	47	70	281	140	293	187	1	5	187	94	47	70	281	140	293	187	1	5	187	94	47	70	281	140	293	187	1	5	187	94	47	70	281	140	293
21	2100	2250	183	0.4	35	73	37	18	27	110	55	115	183	0.6	35	110	55	27	41	165	82	172	183	0.8	64	146	73	37	55	220	110	229	195	1	5	195	98	49	73	293	146	305	195	1	5	195	98	49	73	293	146	305	195	1	5	195	98	49	73	293	146	305	195	1	5	195	98	49	73	293	146	305
22	2200	2350	191	0.4	35	76	38	19	29	115	57	119	191	0.6	35	115	57	29	43	172	86	179	191	0.8	64	153	76	38	57	229	115	239	203	1	5	203	102	51	76	305	152	317	203	1	5	203	102	51	76	305	152	317	203	1	5	203	102	51	76	305	152	317	203	1	5	203	102	51	76	305	152	317
23	2300	2450	199	0.4	35	80	40	20	30	119	60	128	199	0.6	35	119	60	30	45	179	90	193	199	0.8	64	159	80	40	60	239	119	257	211	1	5	211	106	53	79	317	158	333	211	1	5	211	106	53	79	317	158	333	211	1	5	211	106	53	79	317	158	333	211	1	5	211	106	53	79	317	158	333
24	2400	2550	214	0.4	35	86	43	21	32	128	64	133	214	0.6	35	128	64	32	48	193	96	200	214	0.8	64	171	86	43	64	257	128	266	222	1	5	222	111	56	83	333	167	345	222	1	5	222	111	56	83	333	167	345	222	1	5	222	111	56	83	333	167	345	222	1	5	222	111	56	83	333	167	345
25	2500	2650	222	0.4	35	89	44	22	33	133	67	138	222	0.6	35	133	67	33	50	200	100	207	222	0.8	64	178	89	44	67	266	133	276	230	1	5	230	115	58	86	345	173	357	230	1	5	230	115	58	86	345	173	357	230	1	5	230	115	58	86	345	173	357	230	1	5	230	115	58	86	345	173	357
26	2600	2750	230	0.4	35	92	46	23	35	138	69	143	230	0.6	35	138	69	35	52	207	104	214	230	0.8	64	184	92	46	69	276	138	286	238	1	5	238	119	60	89	357	179	369	238	1	5	238	119	60	89	357	179	369	238	1	5	238	119	60	89	357	179	369	238	1	5	238	119	60	89	357	179	369
27	2700	2850	238	0.4	35	95	48	24	36	143	71	148	238	0.6	35	143	71	36	54	214	107	221	238	0.8	64	190	95	48	71	286	143	295	246	1	5	246	123	62	92	369	185	381	246	1	5	246	123	62	92	369	185	381	246	1	5	246	123	62	92	369	185	381	246	1	5	246	123	62	92	369	185	381
28	2800	2950	246	0.4	35	98	49	25	37	148	74	152	246	0.6	35	148	74	37	55	221	111	229	246	0.8	64	197	98	49	74	295	148	305	254	1	5	254	127	64	95	381	191	393	254	1	5	254	127	64	95	381	191	393	254	1	5	254	127	64	95	381	191	393	254	1	5	254	127	64	95	381	191	393
29	2900	3050	254	0.4	35	102	51	25	38	152	76	157	254	0.6	35	152	76	38	57	229	114	236	254	0.8	64	203	102	51	76	305	152	314	262	1	5	262	131	66	98	393	197	405	262	1	5	262	131	66	98	393	197	405	262	1	5	262	131	66	98	393	197	405	262	1	5	262	131	66	98	393	197	405
30	3000	3150	262	0.4	35	105	52	26	39	157	79	162	262	0.6	35	157	79	39	59	236	118	243	262	0.8	64	210	105	52	79	314	157	324	270	1	5	270	135	68	101	405	203	417	270	1	5	270	135	68	101	405	203	417	270	1	5	270	135	68	101	405	203	417	270	1	5	270	135	68	101	405	203	417
31	3100	3250	270	0.4	35	108	54	27	41	162	81	171	270	0.6	35	162	81	41	61	243	122	257	270	0.8	64	216	108	54	81	324	162	342	278	1	5	278	139	70	104	417	209	435	278	1	5	278	139	70	104	417	209	435	278	1	5	278	139	70	104	417	209	435	278	1	5	278	139	70	104	417	209	435
32	3200	3350	285	0.4	35	114	57	29	43	171	86	176	285	0.6	35	171	86	43	64	257	128	264	285	0.8	64	228	114	57	86	342	171	352	290	1	5	290	145	73	109	435	218	447	290	1	5	290	145	73	109	435	218	447	290	1	5	290	145	73	109	435	218	447	290	1	5	290	145	73	109	435	218	447
33	3300	3450	293	0.4	35	117	59	29	44	176	88	181	293	0.6	35	176	88	44	66	264	132	271	293	0.8	64	234	117	59	88	352	176	361	298	1	5	298	149	75	112	447	224	459	298	1	5	298	149	75	112	447	224	459	298	1	5	298	149	75	112	447	224	459	298	1	5	298	149	75	112	447	224	459
34	3400	3550	301	0.4	35	120	60	30	45	181	90	185	301	0.6	35	181	90	45	68	271	135	278	301	0.8	64	241	120	60	90	361	181	371	306	1	5	306	153	77	115	459	230	471	306	1	5	306	153	77	115	459	230	471	306	1	5	306	153	77	115	459	230	471	306	1	5	306	153	77	115	459	230	471
35	3500	3650	309	0.4	35	124	62	31	46	185	93	190	309	0.6	35	185	93	46	70	278	139	285	309	0.8	64	247	124	62	93	371	185	380	314	1	5	314	157	79	118	471	236	483	314	1	5	314	157	79	118	471	236	483	314	1	5	314	157	79	118	471	236	483	314	1	5	314	157	79	118	471	236	483
36	3600	3750	317	0.4	35	127	63	32	48	190	95	195	317	0.6	35	190	95	48	71	285	143	293	317	0.8	64	254	127	63	95	380	190	390	322	1	5	322	161	81	121	483	242	495	322	1	5	322	161	81	121	483	242	495	322	1	5	322	161	81	121	483	242	495	322	1	5	322	161	81	121	483	242	495
37	3700	3850	325	0.4	35	130	65	33	49	195	98	200	325	0.6	35	195	98	49	73	293	146	300	325	0.8	64	260	130	65	98	390	195	400	330	1	5	330	165	83	124	495	248	507	330	1	5	330	165	83	124	495	248	507	330	1	5	330	165	83	124	495	248	507	330	1	5	330	165	83	124	495	248	507
38	3800	3950	333	0.4	35	133	67	33	50	200	100	205	333	0.6	35	200	100	50	75	300	150	307	333	0.8	64	266	133	67	100	400	200	409	338	1	5	338	169	85	127	507	254	519	338	1	5	338	169	85	127	507	254	519	338	1	5	338	169	85	127	507	254	519	338	1	5	338	169	85	127	507	254	519
39	3900	4050	341	0.4	35	136	68	34	51	205	102	214	341	0.6	35	205	102	51	77	307	153	320	341	0.8	64	273	136	68	102	409	205	427	346	1	5	346	173	87	130	519	260	534	346	1	5	346	173	87	130	519	260	534	346	1	5	346	173	87	130	519	260	534	346	1	5	346	173	87	130	519	260	534
40	4000	4150	356	0.4	35	142	71	36	53	214	107	220	356	0.6	35	214	107	53	80	320	160	329	356	0.8	64	285	142	71	107	427	214	439	356	1	5	356	178	89	134	534	267	551	356	1	5	356	178	89	134	534	267	551	356	1	5	356	178	89	134	534	267	551	356	1	5	356	178	89	134	534	267	551
41	4100	4250	366	0.4	35	146	73	37	55	220	110	226	366	0.6	35	220	110	55	82	329	165	338	366	0.8	64	293	146	73	110	439	220	451	367	1	5	367	184	92	138	551	275	567	367	1	5	367	184	92	138	551	275	567	367	1	5	367	184	92	138	551	275	567	367	1	5	367	184	92	138	551	275	567
42	4200	4350	376	0.4	35	150	75	38	56	226	113	232	376	0.6	35	226	113	56	85	338	169	347	376	0.8	64	301	150	75	113	451	226	463	378	1	5	378	189	95	142	567	284	584	378	1	5	378	189	95	142	567	284	584	378	1	5	378	189	95	142	567	284	584	378	1	5	378	189	95	142	567	284	584
43	4300	4450	386	0.4	35	154	77	39	58	232	116	238	386	0.6	35	232	116	58	87	347	174	356	386	0.8	64	309	154	77	116	463	232	475	389	1	5	389	195	97	146	584	292	600	389	1	5	389	195	97	146	584	292	600	389	1	5	389	195	97	146	584	292	600	389	1	5	389	195	97	146	584	292	600
44	4400	4550	396	0.4	35	158	79	40	59	238	119	244	396	0.6	35	238	119	59	89	356	178	365	396	0.8	64	317	158	79	119	475	238	487	400	1	5	400	200	100	150	600	300	617	400	1	5	400	200	100	150	600	300	617	400	1	5	400	200	100	150	600	300	617	400	1	5	400	200	100	150	600	300	617
45	4500	4650	406	0.4	35	162	81	41	61	244	122	250	406	0.6	35	244	122	61	91	365	183	374	406	0.8	64	325	162	81	122	487	244	499	411	1	5	411	206	103	154	617	308	633	411	1	5	411	206	103	154	617	308	633	411	1	5	411	206	103	154	617	308	633	411	1	5	411	206	103	154	617	308	633
46	4600	4750	416	0.4	35	166	83	42	62	250	125	256	416	0.6	35	250	125	62	94	374	187	383	416	0.8	64	333	166	83	125	499	250	511	422	1	5	422	211	106	158	633	317	650	422	1	5	422	211	106	158	633	317	650	422	1	5	422	211	106	158	633	317	650	422	1	5	422	211	106	158	633	317	650
47	4700	4850	426	0.4	35	170	85	43	64	256	128	268	426	0.6	35	256	128	64	96	383	192	401	426	0.8	64	341	170	85	128	511	256	535	433	1	5	433	217	108	162	650	325	683	433	1	5	433	217	108	162	650	325	683	433	1	5	433	217	108	162	650	325	683	433	1	5	433	217	108	162	650	325	683
48	4800	4950	446	0.4	35	178	89	45	67	268	134	274	446	0.6	35	268	134	67	100	401	201	410	446	0.8	64	357	178	89	134	535	268	547	455	1	5	455	228	114	171	683	341	699	455	1	5	455	228	114	171	683	341	699	455	1	5	455	228	114	171	683	341	699	455	1	5	455	228	114	171	683	341	699
49	4900	5050	456	0.4	35	182	91	46	68	274	137	280	456	0.6	35	274	137	68	103	410	205	419	456	0.8	64	365	182	91	137	547	274	559	466	1	5	466	233	117	175	699	350	716	466	1	5	466	233	117	175	699	350	716	466	1	5	466	233	117	175	699	350	716	466	1	5	466	233	117	175	699	350	716
50	5000	5150	466	0.4	35	186	93	47	70	280	140	286	466	0.6	35	280	140	70	105	419	210	428	466	0.8	64	373	186	93	140	559	280	571	477	1	5	477	239	119	179	716	358	732	477	1	5	477	239	119	179	716	358	732	477	1	5	477	239	119	179	716	358	732	477	1	5	477	239	119	179	716	358	732
51	5100	5250	476	0.4	35	190	95	48	71	286	143	292	476	0.6	35	286	143	71	107	428	214	437	476	0.8	64	381	190	95	143	571	286	583	488	1	5	488	244	122	183	732	366	749	488	1	5	488	244	122	183	732	366	749	488	1	5	488	244	122	183	732	366	749	488	1	5	488	244	122	183	732	366	749
52	5200	5350	486	0.4	35	194	97	49	73	292	146	298	486	0.6	35	292	146	73	109	437	219	446	486	0.8	64	389	194	97	146	583	292	595	499	1	5	499	250	125	187	749	374	765	499	1	5	499	250	125	187	749	374	765	499	1	5	499	250	125	187	749	374	765	499	1	5	499	250	125	187	749	374	765
53	5300	5450	496	0.4	35	198	99	50	74	298	149	304	496	0.6	35	298	149	74	112	446	223	455	496	0.8	64	397	198	99	149	595	298	607	510	1	5	510	255	128	191	765	383	782	510	1	5	510	255	128	191	765	383	782	510	1	5	510	255	128	191	765	383	782	510	1	5	510	255	128	191	765	383	782
54	5400	5550	506	0.4	35	202	101	51	76	304	152	310	506	0.6	35	304	152	76	114	455	228	464	506	0.8	64	405	202	101	152	607	304	619	521	1	5	521	261	130	195	782	391	798	521	1	5	521	261	130	195	782	391	798	521	1	5	521	261	130	195	782	391	798	521	1	5	521	261	130	195	782	391	798
55	5500	5650	516	0.4	35	206	103	52	77	310	155	321	516	0.6	35	310	155	77	116	464	232	482	516	0.8	64	413	206	103	155	619	310	642	532	1	5	532	266	133	200	798	399	831	532	1	5	532	266	133	200	798	399	831	532	1	5	532	266	133	200	798	399	831	532	1	5	532	266	133	200	798	399	831
56	5600	5750	535	0.4	35	214	107	54	80	321	161	327	535	0.6	35	321	161	80	120	482	241	491	535	0.8	64	428	214	107	161	642	321	654	554	1	5	554	277	139	208	831	416	848	554	1	5	554	277	139	208	831	416	848	554	1	5	554	277	139	208	831	416	848	554	1	5	554	277	139	208	831	416	848
57	5700	5850	545	0.4	35	218	109	55	82	327	164	333	545	0.6	35	327	164	82	123	491	245	500	545	0.8	64	436	218	109	164	654	327	666	565	1	5	565	283	141	212	848	424	864	565	1	5	565	283	141	212	848	424	864	565	1	5	565	283	141	212	848	424	864	565	1	5	565	283	141	212	848	424	864
58	5800	5950	555	0.4	35	222	111	56	83	333	167	339	555	0.6	35	333	167	83	125	500	250	509	555	0.8	64	444	222	111	167	666	333	678	576	1	5	576	288	144	216	864	432	881	576	1	5	576	288	144	216	864	432	881	576	1	5	576	288	144	216	864	432	881	576	1	5	576	288	144	216	864	432	881
59	5900	6050	565	0.4	35	226	113	57	85	339	170	345	565	0.6	35	339	170	85	127	509	254	518	565	0.8	64	452	226	113	170	678	339	690	587	1	5	587	294	147	220	881	440	897	587	1	5	587	294	147	220	881	440	897	587	1	5	587	294	147	220	881	440	897	587	1	5	587	294	147	220	881	440	897
60	6000	6150	575	0.4	35	230	115	58	86	345	173	351	575	0.6	35	345	173	86	129	518	259	527	575	0.8	64	460	230	115	173	690	345	702	598	1	5	598	299	150	224	897	449	914	598	1	5	598	299	150	224	897	449	914	598	1	5	598	299	150	224	897	449	914	598	1	5	598	299	150	224	897	449	914
61	6100	6250	585	0.4	35	234	117	59	88	351	176	357	585	0.6	35	351	176	88	132	527	263	536	585	0.8	64	468	234	117	176	702	351	714	609	1	5	609	305	152	228	914	457	930	609	1	5	609	305	152	228	914	457	930	609	1	5	609	305	152	228	914	457	930	609	1	5	609	305	152	228	914	457	930
62	6200	6350	595	0.4	35	238	119	60	89	357	179	363	595	0.6	35	357	179	89	134	536	268	545	595	0.8	64	476	238	119	179	714	357	726	620	1	5	620	310	155	233	930	465	947	620	1	5	620	310	155	233	930	465	947	620	1	5	620	310	155	233	930	465	947	620	1	5	620	310	155	233	930	465	947
63	6300	6450	605	0.4	35	242	121	61	91	363	182	374	605	0.6	35	363	182	91	136	545	272	562	605	0.8	64	484	242	121	182	726	363	749	631	1	5	631	316	158	237	947	473	980	631	1	5	631	316	158	237	947	473	980	631	1	5	631	316	158	237	947	473	980	631	1	5	631	316	158	237	947	473	980
64	6400	6550	624	0.4	35	250	125	62	94	374	187	380	624	0.6	35	374	187	94	140	562	281	571	624	0.8	64	499	250	125	187	749	374	761	653	1	5	653	327	163	245	980	490	996	653	1	5	653	327	163	245	980	490	996	653	1	5	653	327	163	245	980	490	996	653	1	5	653	327	163	245	980	490	996
65	6500	6650	634	0.4	35	254	127	63	95	380	190	386	634	0.6	35	380	190	95	143	571	285	580	634	0.8	64	507	254	127	190	761	380	773	664	1	5	664	332	166	249	996	498	1013	664	1	5	664	332	166	249	996	498	1013	664	1	5	664	332	166	249	996	498	1013	664	1	5	664	332	166	249	996	498	1013
66	6600	6750	644	0.4	35	258	129	64	97	386	193	392	644	0.6	35	386	193	97	145	580	290	589	644	0.8	64	515	258	129	193	773	386	785	675	1	5	675	338	169	253	1013	506	1029	675	1	5	675	338	169	253	1013	506	1029	675	1	5	675	338	169	253	1013	506	1029	675	1	5	675	338	169	253	1013	506	1029
67	6700	6850	654	0.4	35	262	131	65	98	392	196	398	654	0.6	35	392	196	98	147	589	294	598	654	0.8	64	523	262	131	196	785	392	797	686	1	5	686	343	172	257	1029	515	1046	686	1	5	686	343	172	257	1029	515	1046	686	1	5	686	343	172	257	1029	515	1046	686	1	5	686	343	172	257	1029	515	1046
68	6800	6950	664	0.4	35	266	133	66	100	398	199	404	664	0.6	35	398	199	100	149	598	299	607	664	0.8	64	531	266	133	199	797	398	809	697	1	5	697	349	174	261	1046	523	1062	697	1	5	697	349	174	261	1046	523	1062	697	1	5	697	349	174	261	1046	523	1062	697	1	5	697	349	174	261	1046	523	1062
69	6900	7050	674	0.4	35	270	135	67	101	404	202	410	674	0.6	35	404	202	101	152	607	303	616	674	0.8	64	539	270	135	202	809	404	821	708	1	5	708	354	177	266	1062	531	1079	708	1	5	708	354	177	266	1062	531	1079	708	1	5	708	354	177	266	1062	531	1079	708	1	5	708	354	177	266	1062	531	1079
70	7000	7150	684	0.4	35	274	137	68	103	410	205	416	684	0.6	35	410	205	103	154	616	308	625	684	0.8	64	547	274	137	205	821	410	833	719	1	5	719	360	180	270	1079	539	1095	719	1	5	719	360	180	270	1079	539	1095	719	1	5	719	360	180	270	1079	539	1095	719	1	5	719	360	180	270	1079	539	1095
71	7100	7250	694	0.4	35	278	139	69	104	416	208	428	694	0.6	35	416	208	104	156	625	312	642	694	0.8	64	555	278	139	208	833	416	856	730	1	5	730	365	183	274	1095	548	1127	730	1	5	730	365	183	274	1095	548	1127	730	1	5	730	365	183	274	1095	548	1127	730	1	5	730	365	183	274	1095	548	1127
72	7200	7350	713	0.4	35	285	143	71	107	428	214	434	713	0.6	35	428	214	107	160	642	321	651	713	0.8	64	570	285	143	214	856	428	868	751	1	5	751	376	188	282	1127	563	1143	751	1	5	751	376	188	282	1127	563	1143	751	1	5	751	376	188	282	1127	563	1143	751	1	5	751	376	188	282	1127	563	1143
73	7300	7450	723	0.4	35	289	145	72	108	434	217	440	723	0.6	35	434	217	108	163	651	325	660	723	0.8	64	578	289	145	217	868	434	880	762	1	5	762	381	191	286	1143	572	1160	762	1	5	762	381	191	286	1143	572	1160	762	1	5	762	381	191	286	1143	572	1160	762	1	5	762	381	191	286	1143	572	1160
74	7400	7550	733	0.4	35	293	147	73	110	440	220	446	733	0.6	35	440	220	110	165	660	330	669	733	0.8	64	586	293	147	220	880	440	892	773	1	5	773	387	193	290	1160	580	1176	773	1	5	773	387	193	290	1160	580	1176	773	1	5	773	387	193	290	1160	580	1176	773	1	5	773	387	193	290	1160	580	1176
75	7500	7650	743	0.4	35	297	149	74	111	446	223	452	743	0.6	35	446	223	111	167	669	334	678	743	0.8	64	594	297	149	223	892	446	904	784	1	5	784	392	196	294	1176	588	1193	784	1	5	784	392	196	294	1176	588	1193	784	1	5	784	392	196	294	1176	588	1193	784	1	5	784	392	196	294	1176	588	1193
76	7600	7750	753	0.4	35	301	151	75	113	452	226	458	753	0.6	35	452	226	113	169	678	339	687	753	0.8	64	602	301	151	226	904	452	916	795	1	5	795	398	199	298	1193	596	1209	795	1	5	795	398	199	298	1193	596	1209	795	1	5	795	398	199	298	1193	596	1209	795	1	5	795	398	199	298	1193	596	1209
77	7700	7850	763	0.4	35	305	153	76	114	458	229	464	763	0.6	35	458	229	114	172	687	343	696	763	0.8	64	610	305	153	229	916	458	928	806	1	5	806	403	202	302	1209	605	1226	806	1	5	806	403	202	302	1209	605	1226	806	1	5	806	403	202	302	1209	605	1226	806	1	5	806	403	202	302	1209	605	1226
78	7800	7950	773	0.4	35	309	155	77	116	464	232	470	773	0.6	35	464	232	116	174	696	348	705	773	0.8	64	618	309	155	232	928	464	940	817	1	5	817	409	204	306	1226	613	1242	817	1	5	817	409	204	306	1226	613	1242	817	1	5	817	409	204	306	1226	613	1242	817	1	5	817	409	204	306	1226	613	1242
79	7900	8050	783	0.4	35	313	157	78	117	470	235	482	783	0.6	35	470	235	117	176	705	352	723	783	0.8	64	626	313	157	235	940	470	964	828	1	5	828	414	207	311	1242	621	1275	828	1	5	828	414	207	311	1242	621	1275	828	1	5	828	414	207	311	1242	621	1275	828	1	5	828	414	207	311	1242	621	1275
