name	volume	hit_points	min_damage	max_damage	accuracy	damage_type	elemental_type	elemental_damage	attack_speed	wound_chance	special_attack_cost	min_range_distance	max_range_distance	skill_mods	objvars	proc_effect	tier_granted	target_dps	actual_dps
weapon_sword_2h_04_01	1	1000	85	170	0	kinetic			100	1	100	0	5				level 13 npe	128	128
weapon_unarmed_04_01	1	1000	85	170	0	kinetic			100	1	100	0	5				level 13 npe	128	128
weapon_knuckler_fs_roadmap_01_02	1	1000	334	668	0	kinetic			100	1	100	0	5	strength_modified=3			lvl 50 roadmap	501	501
weapon_rifle_bh_roadmap_01_02	1	1000	261	522	0				80	1	100	0	64	precision_modified=10			lvl 50 roadmap	489	489
weapon_acidbeam_commando_roadmap_01_02	1	1000	326	600	0				80	1	100	0	64	precision_modified=10			lvl 50 roadmap	489	579
weapon_pistol_officer_roadmap_01_02	1	1000	131	261	0				40	1	100	0	35	precision_modified=10			lvl 50 roadmap	489	490
weapon_carbine_medic_roadmap_01_02	1	1000	196	391	0				60	1	100	0	55	precision_modified=10			lvl 50 roadmap	489	489
weapon_carbine_spy_roadmap_01_02	1	1000	196	391	0				60	1	100	0	55	precision_modified=10			lvl 50 roadmap	489	489
weapon_pistol_smuggler_roadmap_01_02	1	1000	131	261	0				40	1	100	0	35	precision_modified=10			lvl 50 roadmap	489	490
weapon_knuckler_fs_roadmap_02_02	1	1000	188	375	0	kinetic			100	1	100	0	5	strength_modified=5			lvl 30 roadmap	282	282
weapon_carbine_bh_roadmap_01_02	1	1000	109	218	0				60	1	100	0	55	precision_modified=5			lvl 30 roadmap	273	273
weapon_lightningbeam_commando_roadmap_01_02	1	1000	182	363	0				100	1	100	0	64	precision_modified=5			lvl 30 roadmap	273	273
weapon_1h_officer_roadmap_01_02	1	1000	182	363	0				100	1	100	0	5	strength_modified=5			lvl 30 roadmap	273	273
weapon_pistol_medic_roadmap_01_02	1	1000	73	145	0				40	1	100	0	35	precision_modified=5			lvl 30 roadmap	273	273
weapon_pistol_spy_roadmap_01_02	1	1000	73	145	0				40	1	100	0	35	precision_modified=5			lvl 30 roadmap	273	273
weapon_knuckler_smuggler_roadmap_01_02	1	1000	73	145	0	kinetic			40	1	100	0	35	precision_modified=5			lvl 30 roadmap	282	273
weapon_pistol_trader_roadmap_01_02	1	1000	250	500	0				40	1	100	0	35				noncombat roadmap	120	938
weapon_pistol_entertainer_roadmap_01_02	1	1000	131	261	0				40	1	100	0	35	precision_modified=10			lvl 50 roadmap	120	490
weapon_knife_trader_roadmap_01_02	1	1000	80	160	0	kinetic			100	1	100	0	5				noncombat roadmap	120	120
weapon_knife_entertainer_roadmap_01_02	1	1000	190	375	0	kinetic			100	1	100	0	5	strength_modified=5			lvl 30 roadmap	282	283
weapon_npe_e11_quest_reward_01_01	1	1000	37	73	0				60	1	100	0	35				level 10 npe	91	92
weapon_npe_d44_quest_reward_01_01	1	1000	24	49	0				40	1	100	0	35				level 10 npe	91	91
weapon_grenade_fragmentation_01_01	1	1000	325	650	0	kinetic			1000	1	100	0	40		"int:reuseTimer=5,string:effect_class=fragmentation"		everyone can use grenade		49
weapon_pistol_smuggler_roadmap_02_02	1	1000	131	261	0				40	1	100	0	35	precision_modified=10			lvl 50 roadmap	489	490
weapon_knuckler_smuggler_roadmap_02_02	1	1000	334	668	0	kinetic			100	1	100	0	5	strength_modified=5			lvl 50 roadmap	501	501
weapon_pistol_officer_roadmap_02_02	1	1000	73	145	0				40	1	100	0	35	precision_modified=5			lvl 30 roadmap	273	273
weapon_1h_officer_roadmap_02_02	1	1000	334	668	0	kinetic			100	1	100	0	5	strength_modified=5			lvl 50 roadmap	501	501
weapon_tow_sword_2h_01_01	1	1000	625	1250	0	kinetic			100	1	100	0	5	strength_modified=10				1000	938
weapon_tow_sword_2h_02_01	1	1000	650	1300	0	kinetic			100	1	100	0	5	strength_modified=11				1000	975
weapon_tow_sword_2h_03_01	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=11				1000	1000
weapon_tow_sword_2h_04_01	1	1000	683	1366	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1025
weapon_tow_sword_2h_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1050
weapon_tow_sword_2h_01_02	1	1000	625	1250	0	kinetic			100	1	100	0	5	strength_modified=10				1000	938
weapon_tow_sword_2h_02_02	1	1000	650	1300	0	kinetic			100	1	100	0	5	strength_modified=11				1000	975
weapon_tow_sword_2h_03_02	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=11		proc_tow_proc_coyn		1000	1000
weapon_tow_sword_2h_04_02	1	1000	683	1366	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1025
weapon_tow_sword_2h_05_02	1	1000	700	1400	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1050
weapon_tow_sword_1h_01_01	1	1000	625	1250	0	kinetic			100	1	100	0	5	strength_modified=10				1000	938
weapon_tow_sword_1h_02_01	1	1000	650	1300	0	kinetic			100	1	100	0	5	strength_modified=11				1000	975
weapon_tow_sword_1h_03_01	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=11		proc_tow_proc_b_3		1000	1000
weapon_tow_sword_1h_04_01	1	1000	683	1366	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1025
weapon_tow_sword_1h_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1050
weapon_tow_sword_1h_01_02	1	1000	625	1250	0	kinetic			100	1	100	0	5	strength_modified=10				1000	938
weapon_tow_sword_1h_02_02	1	1000	650	1300	0	kinetic			100	1	100	0	5	strength_modified=11				1000	975
weapon_tow_sword_1h_03_02	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=11		proc_tow_proc_b_4		1000	1000
weapon_tow_sword_1h_04_02	1	1000	683	1366	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1025
weapon_tow_sword_1h_05_02	1	1000	700	1400	0	kinetic			100	1	100	0	5	strength_modified=12				1000	1050
weapon_tow_carbine_01_01	1	1000	355	710	0		cold	22	60	1	100	0	50	precision_modified=10				938	888
weapon_tow_carbine_02_01	1	1000	365	730	0		cold	26	60	1	100	0	50	precision_modified=11				938	913
weapon_tow_carbine_03_01	1	1000	375	750	0		cold	28	60	1	100	0	50	precision_modified=11		proc_tow_proc_coyn		938	938
weapon_tow_carbine_04_01	1	1000	385	770	0		cold	32	60	1	100	0	50	precision_modified=12				938	963
weapon_tow_carbine_05_01	1	1000	395	790	0		cold	34	60	1	100	0	50	precision_modified=12				938	988
weapon_tow_pistol_01_01	1	1000	235	470	0				40	1	100	0	35	precision_modified=10			12	938	881
weapon_tow_pistol_02_01	1	1000	244	488	0				40	1	100	0	35	precision_modified=11			12	938	915
weapon_tow_pistol_03_01	1	1000	250	500	0				40	1	100	0	35	precision_modified=11		proc_tow_proc_coyn	12	938	938
weapon_tow_pistol_04_01	1	1000	259	517	0				40	1	100	0	35	precision_modified=12			12	938	970
weapon_tow_pistol_05_01	1	1000	264	527	0				40	1	100	0	35	precision_modified=12			12	938	989
weapon_tow_pistol_01_02	1	1000	235	470	0				40	1	100	0	35	precision_modified=10			12	938	881
weapon_tow_pistol_02_02	1	1000	244	488	0				40	1	100	0	35	precision_modified=11			12	938	915
weapon_tow_pistol_03_02	1	1000	250	500	0				40	1	100	0	35	precision_modified=11			12	938	938
weapon_tow_pistol_04_02	1	1000	259	517	0				40	1	100	0	35	precision_modified=12			12	938	970
weapon_tow_pistol_05_02	1	1000	264	527	0				40	1	100	0	35	precision_modified=12			12	938	989
weapon_tow_polearm_01_01	1	1000	633	1266	0	kinetic			100	1	100	0	5	strength_modified=10			12	1000	950
weapon_tow_polearm_02_01	1	1000	650	1299	0	kinetic			100	1	100	0	5	strength_modified=11			12	1000	975
weapon_tow_polearm_03_01	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=11			12	1000	1000
weapon_tow_polearm_04_01	1	1000	683	1366	0	kinetic			100	1	100	0	5	strength_modified=12			12	1000	1025
weapon_tow_polearm_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5	strength_modified=12			12	1000	1050
weapon_tow_polearm_01_02	1	1000	633	1266	0	kinetic			100	1	100	0	5	strength_modified=10			12	1000	950
weapon_tow_polearm_02_02	1	1000	650	1299	0	kinetic			100	1	100	0	5	strength_modified=11			12	1000	975
weapon_tow_polearm_03_02	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=11		proc_tow_proc_coyn	12	1000	1000
weapon_tow_polearm_04_02	1	1000	683	1366	0	kinetic			100	1	100	0	5	strength_modified=12			12	1000	1025
weapon_tow_polearm_05_02	1	1000	700	1400	0	kinetic			100	1	100	0	5	strength_modified=12			12	1000	1050
weapon_tow_cannon_01_01	1	1000	633	1266	0		heat	116	100	1	100	0	64	precision_modified=10	"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	950
weapon_tow_cannon_02_01	1	1000	650	1299	0		heat	120	100	1	100	0	64	precision_modified=11	"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	975
weapon_tow_cannon_03_01	1	1000	667	1333	0		heat	123	100	1	100	0	64	precision_modified=11	"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	1000
weapon_tow_cannon_04_01	1	1000	683	1366	0		heat	128	100	1	100	0	64	precision_modified=12	"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	1025
weapon_tow_cannon_05_01	1	1000	700	1400	0		heat	132	100	1	100	0	64	precision_modified=12	"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	1050
weapon_tow_flamer_01_01	1	1000	148	295	0		heat	28	25	1	100	0	20	precision_modified=10	"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	938	886
weapon_tow_flamer_02_01	1	1000	153	305	0		heat	30	25	1	100	0	20	precision_modified=11	"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	938	916
weapon_tow_flamer_03_01	1	1000	156	312	0		heat	32	25	1	100	0	20	precision_modified=11	"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	938	936
weapon_tow_flamer_04_01	1	1000	162	323	0		heat	34	25	1	100	0	20	precision_modified=12	"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	938	970
weapon_tow_flamer_05_01	1	1000	165	329	0		heat	40	25	1	100	0	20	precision_modified=12	"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	938	988
weapon_tow_rifle_01_01	1	1000	463	925	0				80	1	100	0	64	precision_modified=10			12	938	868
weapon_tow_rifle_02_01	1	1000	475	950	0				80	1	100	0	64	precision_modified=11			12	938	891
weapon_tow_rifle_03_01	1	1000	500	1000	0				80	1	100	0	64	precision_modified=11			12	938	938
weapon_tow_rifle_04_01	1	1000	514	1027	0				80	1	100	0	64	precision_modified=12			12	938	963
weapon_tow_rifle_05_01	1	1000	527	1054	0				80	1	100	0	64	precision_modified=12			12	938	988
weapon_tow_rifle_01_02	1	1000	463	925	0		electric	18	80	1	100	0	64	precision_modified=10			12	938	868
weapon_tow_rifle_02_02	1	1000	475	950	0		electric	20	80	1	100	0	64	precision_modified=11			12	938	891
weapon_tow_rifle_03_02	1	1000	500	1000	0		electric	22	80	1	100	0	64	precision_modified=11		proc_tow_proc_coyn	12	938	938
weapon_tow_rifle_04_02	1	1000	514	1027	0		electric	24	80	1	100	0	64	precision_modified=12			12	938	963
weapon_tow_rifle_05_02	1	1000	527	1054	0		electric	26	80	1	100	0	64	precision_modified=12			12	938	988
weapon_tow_sword_1h_03_03	1	1000	667	1333	0	kinetic	electric	30	100	1	100	0	5	strength_modified=11		proc_tow_proc_coyn	12	1000	1000
weapon_tow_carbine_sfor_03_01	1	1000	375	750	0		electric	28	60	1	100	0	50				12	938	938
weapon_tow_polearm_obsidian_03_01	1	1000	683	1366	0	kinetic			100	1	100	0	5				12	1000	1025
weapon_tow_carbine_e5_04_01	1	1000	385	770	0				60	1	100	0	50				12	938	963
weapon_tow_pistol_de10_04_01	1	1000	257	513	0				40	1	100	0	35				12	938	963
weapon_tow_sword_rsf_04_01	1	1000	683	1366	0	kinetic			100	1	100	0	5				12	1000	1025
weapon_tow_rifle_lightning_cannon_04_01	1	1000	510	1045	0		electric	155	80	1	100	0	64				12	1353	1359
weapon_tow_blasterfist_04_01	1	1000	642	1283	0		heat	45	100	1	100	0	5				12	938	963
weapon_tow_rifle_ld1_04_01	1	1000	514	1027	0				80	1	100	0	64				12	938	963
weapon_tow_pistol_04_03	1	1000	257	513	0				40	1	100	0	35				12	938	963
weapon_tow_sword_junti_04_01	1	1000	683	1366	0	kinetic			100	1	100	0	5				12	1000	1025
weapon_tow_cannon_04_02	1	1000	683	1366	0		heat	128	100	1	100	0	64		"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	1025
weapon_tow_heavy_acid_beam_04_01	1	1000	683	1366	0		acid	128	100	1	100	0	64		"float:intAOEDamagePercent=0.0,int:intWeaponType=6,string:strWeaponType=acid_beam"		12	1000	1025
weapon_tow_sword_2h_04_03	1	1000	683	1366	0	kinetic			100	1	100	0	5				12	1000	1025
weapon_tow_pistol_scatter_04_01	1	1000	257	513	0				40	1	100	0	35				12	938	963
weapon_tow_rifle_dp3_04_01	1	1000	514	1027	0				80	1	100	0	64				12	938	963
weapon_tow_2h_obsidian_04_01	1	1000	683	1366	0	kinetic			100	1	100	0	5				12	1000	1025
weapon_tow_pistol_flechette_05_01	1	1000	264	527	0				40	1	100	0	35				12	938	989
weapon_tow_1h_rantok_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_heavy_rocket_launcher_05_01	1	1000	659	1317	0	kinetic	heat	135	100	1	100	0	64		"int:intWeaponType=2,int:junkDealer.intPrice=7000"		12	938	988
weapon_tow_rifle_geo_drill_05_01	1	1000	527	1054	0				80	1	100	0	64				12	938	988
weapon_tow_carbine_bola_05_01	1	1000	395	790	0				60	1	100	0	50				12	938	988
weapon_tow_knuckler_05_01	1	1000	659	1317	0	kinetic			100	1	100	0	5				12	938	988
weapon_tow_rifle_ink_05_01	1	1000	527	1054	0				80	1	100	0	64				12	938	988
weapon_tow_carbine_geo_05_01	1	1000	395	790	0				60	1	100	0	50				12	938	988
weapon_tow_2h_sith_sword_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_heavy_repub_flamethrower_05_01	1	1000	175	350	0		heat	40	25	1	100	0	20		"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	1000	1050
weapon_tow_pistol_ion_relic_05_01	1	1000	264	527	0				40	1	100	0	35				12	938	989
weapon_tow_polearm_obsidian_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_carbine_sfor_05_01	1	1000	395	790	0		electric	34	60	1	100	0	50				12	938	988
weapon_tow_rifle_must_disruptor_05_01	1	1000	527	1054	0		electric	28	80	1	100	0	65				12	938	988
weapon_tow_pistol_intimidator_05_01	1	1000	264	527	0				40	1	100	0	35				12	938	989
weapon_tow_knuckler_massassi_05_01	1	1000	659	1317	0	kinetic			100	1	100	0	5				12	938	988
weapon_tow_1h_must_bandit_sword_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_polearm_xandak_lance_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_2h_tulrus_sword_05_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_heavy_flamer_repub_06_01	1	1000	175	350	0		heat	30	25	1	100	0	20		"float:intAOEDamagePercent=0.55,int:intWeaponType=9"		12	1000	1050
weapon_tow_carbine_wookiee_06_01	1	1000	395	790	0				60	1	100	0	50				12	938	988
weapon_tow_pistol_renegade_06_01	1	1000	264	527	0				40	1	100	0	35				12	938	989
weapon_tow_knuckler_blacksun_06_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_1h_obsidian_sword_06_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_2h_massassi_sword_06_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_polearm_wookiee_lance_06_01	1	1000	700	1400	0	kinetic			100	1	100	0	5				12	1000	1050
weapon_tow_pistol_kyd21_04_01	1	1000	250	500	0				40	1	100	0	35					938	938
weapon_tow_rifle_alliance_gauss_05_01	1	1000	500	1000	0				80	1	100	0	64					938	938
weapon_tow_grenade_fragmentation_04_01	1	1000	721	1442	0				1000	1	100	0	40		"int:reuseTimer=5,string:effect_class=fragmentation"		everyone can use grenade		108
weapon_tow_cannon_03_02	1	1000	667	1333	0		heat	123	100	1	100	0	64	precision_modified=12	"float:intAOEDamagePercent=0.75,int:intWeaponType=10"		12	1000	1000
weapon_tow_hammer_03_01	1	1000	667	1333	0	kinetic			100	1	100	0	5	strength_modified=12			12	1000	1000
item_npe_smuggler_han_solo_gun	1	1000	13	27	0				40	1	100	0	35				level 1 npe NOTE these dps are higher than average	50	50
item_npe_officer_sidearm	1	1000	15	25	0	kinetic			40	1	100	0	35				level 1 npe NOTE these dps are higher than average	50	50
weapon_content_corsec_rifle_02_01	1	1000	146	291	0				80	1	100	0	64				level 30 	273	273
weapon_content_corsec_sword_02_01	1	1000	188	376	0	kinetic			100	1	100	0	5				level 30 	282	282
weapon_content_rifle_tier_7_03_01	1	1000	66	131	0				80	1	100	0	64				lvl 14	123	123
weapon_content_pistol_tier_7_03_01	1	1000	33	65	0				40	1	100	0	35				lvl 14	123	123
weapon_content_carbine_tier_7_03_01	1	1000	49	98	0				60	1	100	0	35				lvl 14	123	123
weapon_content_1h_tier_7_03_01	1	1000	91	181	0	kinetic			100	1	100	0	5				lvl 14	136	136
weapon_content_2h_tier_7_03_01	1	1000	91	181	0	kinetic			100	1	100	0	5				lvl 14	136	136
weapon_content_polearm_tier_7_03_01	1	1000	91	181	0	kinetic			100	1	100	0	5				lvl 14	136	136
weapon_content_knuckler_tier_7_03_01	1	1000	91	181	0	kinetic			100	1	100	0	5				lvl 14	136	136
weapon_content_pistol_smuggler_03_01	1	1000	64	128	0				40	1	100	0	35				lvl 26	241	240
weapon_content_knuckler_smuggler_03_01	1	1000	167	333	0	kinetic			100	1	100	0	35				lvl 26	250	250
weapon_content_carbine_bh_03_01	1	1000	96	192	0				60	1	100	0	35				lvl 26	241	240
weapon_content_rifle_bh_03_01	1	1000	129	257	0				80	1	100	0	35				lvl 26	241	241
weapon_content_carbine_spy_03_01	1	1000	96	192	0				60	1	100	0	35				lvl 26	241	240
weapon_content_pistol_spy_03_01	1	1000	64	128	0				40	1	100	0	35				lvl 26	241	240
weapon_content_pistol_officer_03_01	1	1000	64	128	0				40	1	100	0	35				lvl 26	241	240
weapon_content_1h_officer_03_01	1	1000	167	333	0	kinetic			100	1	100	0	35				lvl 26	250	250
weapon_content_polearm_fs_03_01	1	1000	167	333	0	kinetic			100	1	100	0	35				lvl 26	250	250
weapon_content_1h_fs_03_01	1	1000	167	333	0	kinetic			100	1	100	0	35				lvl 26	250	250
weapon_content_pistol_commando_pistol_03_01	1	1000	64	128	0				40	1	100	0	35				lvl 26	241	240
weapon_content_heavy_commando_03_01	1	1000	40	80	0				25	1	100	0	35				lvl 26	241	240
weapon_content_pistol_medic_03_01	1	1000	64	128	0				40	1	100	0	35				lvl 26	241	240
weapon_npe_carbine_spy_03_01	1	1000	17	43	0				60	1	100	0	35				level 1 npe NOTE these dps are higher than average	50	50
weapon_npe_carbine_bh_03_01	1	1000	17	43	0				60	1	100	0	35				level 1 npe NOTE these dps are higher than average	50	50
weapon_npe_commando_carbine_03_01	1	1000	20	40	0				60	1	100	0	35				level 1 npe NOTE these dps are higher than average	50	50
weapon_npe_medic_pistol_03_01	1	1000	13	27	0				40	1	100	0	35				level 1 npe NOTE these dps are higher than average	50	50
weapon_content_1h_tier_8_03_01	1	1000	119	238	0	kinetic			100	1	100	0	5				lvl 18	179	179
weapon_content_2h_tier_8_03_01	1	1000	119	238	0	kinetic			100	1	100	0	5				lvl 18	179	179
weapon_content_polearm_tier_8_03_01	1	1000	119	238	0	kinetic			100	1	100	0	5				lvl 18	179	179
weapon_content_knuckler_tier_8_03_01	1	1000	119	238	0	kinetic			100	1	100	0	5				lvl 18	179	179
weapon_content_pistol_tier_8_03_01	1	1000	44	88	0				40	1	100	0	35				lvl 18	166	165
weapon_content_carbine_tier_8_03_01	1	1000	66	132	0				60	1	100	0	40				lvl 18	166	165
weapon_content_rifle_tier_8_03_01	1	1000	89	177	0				80	1	100	0	40				lvl 18(carbine)	166	166
weapon_content_1h_tier_8_03_02	1	1000	156	311	0	kinetic			100	1	100	0	5				lvl 24	234	234
weapon_content_2h_tier_8_03_02	1	1000	156	311	0	kinetic			100	1	100	0	5				lvl 24	234	234
weapon_content_polearm_tier_8_03_02	1	1000	156	311	0	kinetic			100	1	100	0	5				lvl 24	234	234
weapon_content_knuckler_tier_8_03_02	1	1000	156	311	0	kinetic			100	1	100	0	5				lvl 24	234	234
weapon_content_pistol_tier_8_03_02	1	1000	60	120	0				40	1	100	0	35				lvl 24	225	225
weapon_content_carbine_tier_8_03_02	1	1000	90	180	0				60	1	100	0	50				lvl 24	225	225
weapon_content_rifle_tier_8_03_02	1	1000	120	240	0				80	1	100	0	64				lvl 24	225	225
weapon_content_rifle_tier_7_03_02	1	1000	80	160	0				80	1	100	0	64				lvl 16	150	150
weapon_content_pistol_tier_7_03_02	1	1000	40	80	0				40	1	100	0	35				lvl 16	150	150
weapon_content_carbine_tier_7_03_02	1	1000	60	120	0				60	1	100	0	50				lvl 16	150	150
weapon_content_1h_tier_7_03_02	1	1000	109	217	0	kinetic			100	1	100	0	5				lvl 16	163	163
weapon_content_2h_tier_7_03_02	1	1000	109	217	0	kinetic			100	1	100	0	5				lvl 16	163	163
weapon_content_polearm_tier_7_03_02	1	1000	109	217	0	kinetic			100	1	100	0	5				lvl 16	163	163
weapon_content_knuckler_tier_7_03_02	1	1000	109	217	0	kinetic			100	1	100	0	5				lvl 16	163	163
weapon_content_heavy_rocket_tier_8_03_01	1	1000	85	185	0				60	1	100	0	50				CARBINE now: Not a rocket launcher anymore. Lvl 24.	225	225
weapon_content_heavy_pistol_tier_7_03_01	1	1000	40	80	0				40	1	100	0	35				lvl 16	150	150
weapon_npe_knuckler_fs_03_01	1	1000	32	99	0	kinetic			100	1	100	0	5				level 1 npe NOTE these dps are higher than average	66	66
weapon_npe_lightsaber_02_01	1	1000	100	200	0				100	1	100	0	5		"int:jedi.saber.base_stats.min_dmg=200,int:jedi.saber.base_stats.max_dmg=400,float:jedi.saber.base_stats.speed=1.00,float:jedi.saber.base_stats.wound=1.0,int:jedi.saber.base_stats.attack_cost=100,float:jedi.saber.base_stats.damage=0.0"			405	150
weapon_npe_grenade_frag_02_01	1	1000	80	160	0	kinetic			100	1	100	0	35		"int:reuseTimer=5,string:effect_class=fragmentation"		level 12	120	120
weapon_npe_lightsaber_02_02	1	1000	167	333	0				100	1	100	0	5		"int:jedi.saber.base_stats.min_dmg=167,int:jedi.saber.base_stats.max_dmg=333,float:jedi.saber.base_stats.speed=1.00,float:jedi.saber.base_stats.wound=1.0,int:jedi.saber.base_stats.attack_cost=100,float:jedi.saber.base_stats.damage=0.0"		lvl 26	250	250
weapon_pistol_drop_lvl10_02_01	1	1000	24	47	0				40	1	100	0	35				lvl10	89	89
weapon_pistol_drop_lvl20_02_01	1	1000	46	91	0				40	1	100	0	35				lvl20	171	171
weapon_pistol_drop_lvl30_02_01	1	1000	68	135	0				40	1	100	0	35				lvl30	253	254
weapon_pistol_drop_lvl40_02_01	1	1000	93	185	0				40	1	100	0	35				lvl40	347	348
weapon_pistol_drop_lvl50_02_01	1	1000	120	239	0				40	1	100	0	35				lvl50	449	449
