name	template_name	type	unique	required_level	required_skill	creation_objvars	charges	tier	value	scripts	version	can_reverse_engineer	string_name	string_detail	comments
item_holocron_06_07	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form VI Lightsaber Combat	"Form VI:||Known as Niman, this was one of the most advanced of the seven primary forms of lightsaber combat developed by the Jedi Knights of the Old Republic. At the time of the Battle of Geonosis, Form VI was the standard in Jedi fighting techniques, emphasizing the use of techniques from Forms I, II, IV, and V in overall moderation. Many Jedi Masters considered it the ""diplomat's form"", since the user used their knowledge of political strategy and negotiation - along with their own perceptions - to reach a peaceful decision with minimal bloodshed. Many Jedi skilled in Form VI techniques had already spent at least ten years studying the other four Forms, an aspect that many Masters felt was too demanding of the Jedi's time in regards to its benefits on the battlefield."	mustafar expansion
item_holocron_06_08	object/tangible/jedi/jedi_holocron_generic.iff							6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Holocron: Form VII Lightsaber Combat	"Form VII:||Known as Juyo, this lightsaber combat technique was one of the most demanding of all the forms developed by the Jedi Knights. Only through the learning of several other forms can a Jedi begin to understand Form VII, which involved so much physical combat ability that its training brought a Jedi very close to the Dark Side of the Force. Jedi Master Mace Windu studied the Form VII technique. To master Form VII, a Jedi had to employ bold movements and be more kinetic than in any other form. Form VII employed the use of overwhelming power directed through unconnected, staccato movements that kept an opponent continually off-guard. "	mustafar expansion
item_ultra_battery_10_01	object/tangible/loot/generic/battery_useable_generic.iff						100	6		"item.armor.biolink_item_non_faction,item.buff_click_item"			Blixtev's Ultra Body Spray 	A masculine scented body spray. Using it will place a Ultra Design Buff on you.	
item_jedi_robe_padawan_04_01	object/tangible/wearables/robe/robe_jedi_padawan_generic.iff			20	force_sensitive			4		"item.buff_worn_item,item.special.nomove"	2	1	Padawan Robe	"Designed for those who relish personal combat, these robes offer good protection with no hindrance to movement."	
item_smuggler_shirt_02_01	object/tangible/wearables/shirt/shirt_s16.iff				smuggler			2	45			1	Issued Smuggler Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_smuggler_pants_02_01	object/tangible/wearables/pants/pants_s08.iff				smuggler			2	45			1	Issued Smuggler Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_smuggler_vest_02_01	object/tangible/wearables/vest/vest_s09.iff				smuggler			2	45			1	Issued Smuggler Vest	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_smuggler_boots_02_01	object/tangible/wearables/boots/boots_s12.iff				smuggler			2	45			1	Issued Smuggler Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_trader_shirt_02_01	object/tangible/wearables/shirt/shirt_s15.iff				trader			2	45			1	Issued Trader Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_trader_pants_02_01	object/tangible/wearables/pants/pants_s13.iff				trader			2	45			1	Issued Trader Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_trader_vest_02_01	object/tangible/wearables/vest/vest_s01.iff				trader			2	45			1	Issued Trader Vest	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_trader_shoes_02_01	object/tangible/wearables/shoes/shoes_s01.iff				trader			2	45			1	Issued Trader Shoes	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_shirt_02_01	object/tangible/wearables/shirt/shirt_s15.iff				entertainer			2	45			1	Issued Entertainer Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_pants_02_01	object/tangible/wearables/pants/pants_s08.iff				entertainer			2	45			1	Issued Entertainer Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_hat_02_01	object/tangible/wearables/hat/hat_s02.iff				entertainer			2	45			1	Issued Entertainer Hat	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_boots_02_01	object/tangible/wearables/boots/boots_s05.iff				entertainer			2	45			1	Issued Entertainer Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_shirt_02_02	object/tangible/wearables/bikini/bikini_s03.iff				entertainer			2	45			1	Issued Entertainer Top	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_skirt_02_01	object/tangible/wearables/skirt/skirt_s10.iff				entertainer			2	45			1	Issued Entertainer Skirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_gloves_02_01	object/tangible/wearables/gloves/gloves_s02.iff				entertainer			2	45			1	Issued Entertainer Gloves	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_entertainer_shoes_02_01	object/tangible/wearables/shoes/shoes_s09.iff				entertainer			2	45			1	Issued Entertainer Shoes	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_force_sensitive_shirt_02_01	object/tangible/wearables/shirt/shirt_s14.iff				force_sensitive			2	45			1	Issued Force Sensitive Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_force_sensitive_pants_02_01	object/tangible/wearables/pants/pants_s15.iff				force_sensitive			2	45			1	Issued Force Sensitive Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_force_sensitive_jacket_02_01	object/tangible/wearables/jacket/jacket_s13.iff				force_sensitive			2	45			1	Issued Force Sensitive Jacket	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_force_sensitive_boots_02_01	object/tangible/wearables/boots/boots_s21.iff				force_sensitive			2	45			1	Issued Force Sensitive Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_officer_shirt_02_01	object/tangible/wearables/shirt/shirt_s34.iff				officer			2	45			1	Issued Officer Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_officer_pants_02_01	object/tangible/wearables/pants/pants_s15.iff				officer			2	45			1	Issued Officer Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_officer_belt_02_01	object/tangible/wearables/belt/belt_s11.iff				officer			2	45			1	Issued Officer Belt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_officer_boots_02_01	object/tangible/wearables/boots/boots_s14.iff				officer			2	45			1	Issued Officer Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_commando_shirt_02_01	object/tangible/wearables/armor/ubese/armor_ubese_shirt.iff				commando			2	45			1	Issued Commando Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_commando_pants_02_01	object/tangible/wearables/pants/pants_s14.iff				commando			2	45			1	Issued Commando Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_commando_vest_02_01	object/tangible/wearables/vest/vest_s04.iff				commando			2	45			1	Issued Commando Vest	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_commando_boots_02_01	object/tangible/wearables/boots/boots_s14.iff				commando			2	45			1	Issued Commando Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_bounty_hunter_shirt_02_01	object/tangible/wearables/shirt/shirt_s38.iff				bounty_hunter			2	45			1	Issued Bounty Hunter Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_bounty_hunter_pants_02_01	object/tangible/wearables/pants/pants_s06.iff				bounty_hunter			2	45			1	Issued Bounty Hunter Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_bounty_hunter_vest_02_01	object/tangible/wearables/vest/vest_s15.iff				bounty_hunter			2	45			1	Issued Bounty Hunter Vest	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_bounty_hunter_boots_02_01	object/tangible/wearables/boots/boots_s04.iff				bounty_hunter			2	45			1	Issued Bounty Hunter Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_medic_shirt_02_01	object/tangible/wearables/shirt/shirt_s27.iff				medic			2	45			1	Issued Medic Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_medic_pants_02_01	object/tangible/wearables/pants/pants_s05.iff				medic			2	45			1	Issued Medic Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_medic_vest_02_01	object/tangible/wearables/vest/vest_s05.iff				medic			2	45			1	Issued Medic Vest	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_medic_shoes_02_01	object/tangible/wearables/shoes/shoes_s02.iff				medic			2	45			1	Issued Medic Shoes	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_spy_shirt_02_01	object/tangible/wearables/shirt/shirt_s30.iff				spy			2	45			1	Issued Spy Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_spy_pants_02_01	object/tangible/wearables/pants/pants_s30.iff				spy			2	45			1	Issued Spy Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_spy_gloves_02_01	object/tangible/wearables/gloves/gloves_s06.iff				spy			2	45			1	Issued Spy Gloves	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_spy_boots_02_01	object/tangible/wearables/boots/boots_s14.iff				spy			2	45			1	Issued Spy Boots	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_wookiee_shirt_02_01	object/tangible/wearables/wookiee/wke_shirt_s02.iff							2	45			1	Issued Wookiee Tunic	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_wookiee_pants_02_01	object/tangible/wearables/wookiee/wke_skirt_s03.iff							2	45			1	Issued Wookiee Skirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_wookiee_hat_02_01	object/tangible/wearables/wookiee/wke_hood_s03.iff							2	45			1	Issued Wookiee Hat	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_wookiee_gloves_02_01	object/tangible/wearables/wookiee/wke_gloves_s04.iff							2	45			1	Issued Wookiee Gloves	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_ithorian_shirt_02_01	object/tangible/wearables/ithorian/ith_shirt_s09.iff							2	45			1	Issued Ithorian Shirt	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_ithorian_pants_02_01	object/tangible/wearables/ithorian/ith_pants_s19.iff							2	45			1	Issued Ithorian Pants	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_ithorian_vest_02_01	object/tangible/wearables/ithorian/ith_vest_s02.iff							2	45			1	Issued Ithorian Vest	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
item_ithorian_gloves_02_01	object/tangible/wearables/ithorian/ith_gloves_s02.iff							2	45			1	Issued Ithorian Gloves	A piece of issued clothing.  This clothing will provide you with a small defensive modifier in combat.	npe clothing
weapon_pistol_02_02	object/weapon/ranged/pistol/pistol_cdef_npe.iff	weapon						2	45	item.special.nomove		1	Issued Pistol	A very basic Pistol.	
weapon_rifle_02_02	object/weapon/ranged/rifle/rifle_cdef_npe.iff	weapon		1				2	45	item.special.nomove		1	Issued Rifle	A very basic Rifle.
weapon_carbine_02_02	object/weapon/ranged/carbine/carbine_cdef_npe.iff	weapon		1				2	45	item.special.nomove		1	Issued Carbine	A very basic Carbine.
weapon_polearm_02_02	object/weapon/melee/polearm/lance_staff_wood_s2_npe.iff	weapon		1				2	45	item.special.nomove		1	Issued Staff	A very basic Staff.
weapon_sword_1h_02_02	object/weapon/melee/sword/sword_01_npe.iff	weapon		1				2	45	item.special.nomove		1	Issued Sword	A very basic Sword.
weapon_sword_2h_02_02	object/weapon/melee/axe/axe_heavy_duty_npe.iff	weapon		1				2	45	item.special.nomove		1	Issued Axe	A very basic Axe.
weapon_pistol_02_03	object/weapon/ranged/pistol/pistol_cdef_npe.iff	weapon		3				2	45	item.special.nomove		1	Loche's Pistol	A reward for helping Loche on the Tansarii Point Station.
weapon_rifle_02_03	object/weapon/ranged/rifle/rifle_cdef_npe.iff	weapon		3				2	45	item.special.nomove		1	Loche's Rifle	A reward for helping Loche on the Tansarii Point Station.
weapon_carbine_02_03	object/weapon/ranged/carbine/carbine_cdef_npe.iff	weapon		3				2	45	item.special.nomove		1	Loche's Carbine	A reward for helping Loche on the Tansarii Point Station.
weapon_polearm_02_03	object/weapon/melee/polearm/polearm_vibro_axe_npe.iff	weapon		1				2	45	item.special.nomove		1	Jedi Training Polearm	A Polearm given to you by Han Solo.
weapon_sword_1h_02_03	object/weapon/melee/sword/sword_01_npe.iff	weapon		3				2	45	item.special.nomove		1	Rydel's Sword	A Sword given to you by Rydel Delan.
weapon_sword_2h_02_03	object/weapon/melee/axe/axe_heavy_duty_npe.iff	weapon		3				2	45	item.special.nomove		1	Rydel's Axe	An Axe given to you by Rydel Delan.
weapon_pistol_02_04	object/weapon/ranged/pistol/pistol_d18_npe.iff	weapon		6				2	200	item.special.nomove		1	D-18	"A standard low power pistol, common through much of the universe."
weapon_rifle_02_04	object/weapon/ranged/rifle/rifle_dlt20_npe.iff	weapon		6				2	200	item.special.nomove		1	DLT-20	"A standard low power rifle, common through much of the universe."
weapon_carbine_02_04	object/weapon/ranged/carbine/carbine_dh17_black_npe.iff	weapon		6				2	200	item.special.nomove		1	DH-17	"A standard low power carbine, common through much of the universe."
weapon_polearm_02_04	object/weapon/melee/polearm/lance_staff_wood_s2_npe.iff	weapon		6				2	200	item.special.nomove		1	Reinforced Staff	A staff that has studs affixed to the end of it.
weapon_sword_1h_02_04	object/weapon/melee/sword/sword_01_npe.iff	weapon		6				2	200	item.special.nomove		1	Sword	A slashing weapon that is very common in parts of the galaxy that lack blasters.
weapon_sword_2h_02_04	object/weapon/melee/2h_sword/2h_sword_battleaxe_npe.iff	weapon		6				2	200	item.special.nomove		1	Battleaxe	A large two handed slashing weapon that is very common in parts of the galaxy that lack blasters.	
weapon_pistol_02_05	object/weapon/ranged/pistol/pistol_d18_npe.iff	weapon		9				2	300	item.special.nomove		1	D-18	"A standard low power pistol, common through much of the universe."	
weapon_rifle_02_05	object/weapon/ranged/rifle/rifle_dlt20_npe.iff	weapon		9				2	300	item.special.nomove		1	DLT-20	"A standard low power rifle, common through much of the universe."	
weapon_carbine_02_05	object/weapon/ranged/carbine/carbine_dh17_black_npe.iff	weapon		9				2	300	item.special.nomove		1	DH-17	"A standard low power carbine, common through much of the universe."	
weapon_polearm_02_05	object/weapon/melee/polearm/lance_staff_wood_s2_npe.iff	weapon		9				2	300	item.special.nomove		1	Reinforced Staff	A staff that has studs affixed to the end of it.	
weapon_sword_1h_02_05	object/weapon/melee/sword/sword_01_npe.iff	weapon		9				2	300	item.special.nomove		1	Sword	A slashing weapon that is very common in parts of the galaxy that lack blasters.	
weapon_sword_2h_02_05	object/weapon/melee/2h_sword/2h_sword_battleaxe_npe.iff	weapon		9				2	300	item.special.nomove		1	Battleaxe	A large two handed slashing weapon that is very common in parts of the galaxy that lack blasters.	
item_stimpack_a_02_01	object/tangible/medicine/instant_stimpack/stimpack_generic_a.iff						5	2	100	"item.medicine.stimpack,item.special.nomove"		1	Stimpack A	A needle infused with healing Bacta.  Double click this item to heal yourself.	
item_stimpack_b_02_01	object/tangible/medicine/instant_stimpack/stimpack_generic_b.iff						5	2	200	"item.medicine.stimpack,item.special.nomove"		1	Stimpack B	A needle infused with healing Bacta.  Double click this item to heal yourself.	
item_stimpack_c_02_01	object/tangible/medicine/instant_stimpack/stimpack_generic_c.iff						5	2	300	"item.medicine.stimpack,item.special.nomove"		1	Stimpack C	A needle infused with healing Bacta.  Double click this item to heal yourself.	
item_stimpack_d_02_01	object/tangible/medicine/instant_stimpack/stimpack_generic_d.iff						5	2	400	"item.medicine.stimpack,item.special.nomove"		1	Stimpack D	A needle infused with healing Bacta.  Double click this item to heal yourself.	
item_stimpack_e_02_01	object/tangible/medicine/instant_stimpack/stimpack_generic_e.iff						5	2	500	"item.medicine.stimpack,item.special.nomove"		1	Stimpack E	A needle infused with healing Bacta.  Double click this item to heal yourself.	
item_npe_health_paste_01_01	object/tangible/loot/generic_usable/tube_paste_generic.iff						3	1	25	item.buff_click_item		1	Bio-Substantive Paste	This absolutely horrible tasting paste is concoction of substances found to be nutritious and beneficial to most sentients. The chemicals are blended into a sludge that is easily and readily absorbed by the body. When used this object will confer a small bonus to your constitution.	npe health buff clicky
item_npe_action_ventilator_01_01	object/tangible/loot/generic_usable/rebreather_generic.iff						3	1	25	item.buff_click_item		1	Hyper Oxygenating Ventilator	"A quick inhalation from this device will deliver a burst of hyper oxygenated air. For beings that breath oxygen, this will increase their stamina for a short period of time."	npe stamina clicky
item_npe_static_shield_01_01	object/tangible/loot/generic_usable/building_repair_device_generic.iff						3	1	25	item.buff_click_item		1	Repulsor Field Generator	"When activated, this device creates a weak repulsion field that will mitigate some of the damage caused by attacks. It is poorly made and won't last long."	npe defense buff clicky
item_npe_melee_acc_bookchip_01_01	object/tangible/loot/generic_usable/handheld_viewscreen_2_generic.iff						5	1	25	item.buff_click_item		1	Mastering the Self by Anonymous	"This bookchip contains the final message of an unknown Teras Kasi master to his students before he left to fight a long forgotten war. The screen is very dim, blurry and bordering on non-functional. However, the words are so confidence inspiring that hearing them will grant you a temporary bonus to your strength."	npe melee accuracy buff clicky
item_npe_rang_acc_device_01_01	object/tangible/loot/generic_usable/survey_pad_adv_generic.iff						3	1	25	item.buff_click_item		1	Auditory Target Acquisition Beacon	"When activated, this device infers the position of the arm in relation to the eyes and emits a tone that raises in pitch as the two come closer to intersecting. This device will increase your precision for a short period of time."	npe ranged accuracy buff clicky
item_npe_junk_power_unit_01_01	object/tangible/loot/npc_loot/elect_power_unit_generic.iff							1	32	object.autostack		1	Power Unit	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_ampule_container_01_01	object/tangible/loot/npc_loot/bacta_ampules_generic.iff							1	34	object.autostack		1	Bacta Ampule Container	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_wire_blue_01_01	object/tangible/loot/npc_loot/blue_wiring_generic.iff							1	37	object.autostack		1	Wiring	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_briefcase_01_01	object/tangible/loot/npc_loot/briefcase_generic.iff							1	40	object.autostack		1	Briefcase	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_holo_recorder_01_01	object/tangible/loot/npc_loot/camera_generic.iff							1	45	object.autostack		1	Holorecorder	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_newsfilter_module_01_01	object/tangible/loot/npc_loot/chassis_blueprint_device_generic.iff							1	49	object.autostack		1	Newsfilter Module	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_chem_dispersal_01_01	object/tangible/loot/npc_loot/chem_dispersion_device_generic.iff							1	32	object.autostack		1	Chemical Dispersal Device	This item can be sold to a junk dealer.	npe junk loot
item_npe_junk_circuit_board_01_01	object/tangible/loot/npc_loot/circuit_board_generic.iff							1	34	object.autostack		1	Circuit Board	This item can be sold to a junk dealer.	npe junk loot
