object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn	mission_critical
trigger:dismountEchoPlayer:player:10:0:0:targetMessage				70.96973	49.088634	326.41064						
trigger:dismountEchoPlayer:player:10:0:0:targetMessage				70.32666	49.088634	317.9795						
trigger:dismountEchoPlayer:player:10:0:0:targetMessage				61.68213	49.088634	325.6167									
messageTo;player;dismountHothPlayer;none		dismountEchoPlayer													
delayAction:at1_start:1															
delayAction:at1_start:8		at1_respawn													
heroic_echo_atat	at1	at1_start		1227	55	1548	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path1,int:isAtat=1,string:atatNumber=at1,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
delayAction:at2:10															
delayAction:at2:8		at2_respawn													
heroic_echo_atat	at3	at2		1191.5281	55	1468.4258	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path2,int:isAtat=1,string:atatNumber=at2,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
delayAction:at3:20															
delayAction:at3:8		at3_respawn													
heroic_echo_atat	at5	at3		1130.4219	55	1377.852	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path3,int:isAtat=1,string:atatNumber=at3,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
delayAction:at4:30															
delayAction:at4:8		at4_respawn													
heroic_echo_atat	at7	at4		1060	55	1519	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path4,int:isAtat=1,string:atatNumber=at4,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
delayAction:at5:40															
delayAction:at5:8		at5_respawn													
heroic_echo_atat	at9	at5		982.4407	55	1425.4258	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path5,int:isAtat=1,string:atatNumber=at5,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
delayAction:at6:50															
delayAction:at6:8		at6_respawn													
heroic_echo_atat	at11	at6		908	55	1487	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path6,int:isAtat=1,string:atatNumber=at6,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
trigger:at1_advancePoint01:faction-npc-atat:10:0:0:triggerId				1218	55	1270									
trigger:at1_advancePoint02:faction-npc-atat:10:0:0:triggerId				1210	55	1064									
trigger:at1_advancePoint03:faction-npc-atat:10:0:0:triggerId				1205	55	890									
objVarAction:at1:set:int:advancePoint:1		at1_advancePoint01													
objVarAction:at1:set:int:advancePoint:2		at1_advancePoint02													
objVarAction:at1:set:int:advancePoint:3		at1_advancePoint03													
delayAction:at1_forwardSpawn1:8		at1_spawnPoint_1													
heroic_echo_atat	at1	at1_forwardSpawn1		1224	55	1350	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path1,int:isAtat=1,string:atatNumber=at1,int:advancePoint=1,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at1_snowTrooper_01	at1_forwardSpawn1		1224	55	1290	-178		string:patrol_path=at1_snowtrooper1_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_02	at1_forwardSpawn1		1229	55	1295	-178		string:patrol_path=at1_snowtrooper2_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_03	at1_forwardSpawn1		1234	55	1300	-178		string:patrol_path=at1_snowtrooper3_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_04	at1_forwardSpawn1		1219	55	1295	-178		string:patrol_path=at1_snowtrooper4_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_05	at1_forwardSpawn1		1214	55	1300	-178		string:patrol_path=at1_snowtrooper5_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_atst	at1_atst2	at1_forwardSpawn1		1208	55	1240	-178		string:patrol_path=at1_atst2_path1	OnDeath:triggerId:at1_atst2_respawn					1
heroic_echo_atst	at1_atst4	at1_forwardSpawn1		1208	55	1372	-178		string:patrol_path=at1_atst2_path1	OnDeath:triggerId:at1_atst4_respawn					1
delayAction:at1_forwardSpawn2:8		at1_spawnPoint_2													
heroic_echo_atat	at1	at1_forwardSpawn2		1220	55	1205	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path1,int:isAtat=1,string:atatNumber=at1,int:advancePoint=2,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at1_snowTrooper_01	at1_forwardSpawn2		1220	55	1145	-178		string:patrol_path=at1_snowtrooper1_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_02	at1_forwardSpawn2		1225	55	1150	-178		string:patrol_path=at1_snowtrooper2_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_03	at1_forwardSpawn2		1230	55	1155	-178		string:patrol_path=at1_snowtrooper3_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_04	at1_forwardSpawn2		1215	55	1150	-178		string:patrol_path=at1_snowtrooper4_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_05	at1_forwardSpawn2		1210	55	1155	-178		string:patrol_path=at1_snowtrooper5_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_atst	at1_atst2	at1_forwardSpawn2		1204	55	1095	-178		string:patrol_path=at1_atst2_path1	OnDeath:triggerId:at1_atst2_respawn					1
heroic_echo_atst	at1_atst4	at1_forwardSpawn2		1204	55	1227	-178		string:patrol_path=at1_atst2_path1	OnDeath:triggerId:at1_atst4_respawn					1
delayAction:at1_forwardSpawn3:8		at1_spawnPoint_3													
heroic_echo_atat	at1	at1_forwardSpawn3		1198	55	982	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path1,int:isAtat=1,string:atatNumber=at1,int:advancePoint=3,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at1_snowTrooper_01	at1_forwardSpawn3		1198	55	922	-178		string:patrol_path=at1_snowtrooper1_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_02	at1_forwardSpawn3		1203	55	927	-178		string:patrol_path=at1_snowtrooper2_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_03	at1_forwardSpawn3		1208	55	932	-178		string:patrol_path=at1_snowtrooper3_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_04	at1_forwardSpawn3		1193	55	927	-178		string:patrol_path=at1_snowtrooper4_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_snowtrooper	at1_snowTrooper_05	at1_forwardSpawn3		1188	55	932	-178		string:patrol_path=at1_snowtrooper5_path1	OnDeath:triggerId:at1_deadTrooper					1
heroic_echo_atst	at1_atst2	at1_forwardSpawn3		1182	55	872	-178		string:patrol_path=at1_atst2_path1	OnDeath:triggerId:at1_atst2_respawn					1
heroic_echo_atst	at1_atst4	at1_forwardSpawn3		1182	55	1004	-178		string:patrol_path=at1_atst2_path1	OnDeath:triggerId:at1_atst4_respawn					1
trigger:at2_advancePoint01:faction-npc-atat:10:0:0:triggerId				1170	55	1270									
trigger:at2_advancePoint02:faction-npc-atat:10:0:0:triggerId				1141	55	1070									
trigger:at2_advancePoint03:faction-npc-atat:10:0:0:triggerId				1118	55	890									
objVarAction:at3:set:int:advancePoint:1		at2_advancePoint01													
objVarAction:at3:set:int:advancePoint:2		at2_advancePoint02													
objVarAction:at3:set:int:advancePoint:3		at2_advancePoint03													
delayAction:at2_forwardSpawn1:8		at2_spawnPoint_1													
heroic_echo_atat	at3	at2_forwardSpawn1		1175	55	1350	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path2,int:isAtat=1,string:atatNumber=at2,int:advancePoint=1,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at2_snowTrooper_01	at2_forwardSpawn1		1167	55	1290	-178		string:patrol_path=at2_snowtrooper1_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_02	at2_forwardSpawn1		1172	55	1295	-178		string:patrol_path=at2_snowtrooper2_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_03	at2_forwardSpawn1		1177	55	1300	-178		string:patrol_path=at2_snowtrooper3_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_04	at2_forwardSpawn1		1162	55	1295	-178		string:patrol_path=at2_snowtrooper4_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_05	at2_forwardSpawn1		1157	55	1300	-178		string:patrol_path=at2_snowtrooper5_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_atst	at2_atst2	at2_forwardSpawn1		1151	55	1240	-178		string:patrol_path=at2_atst2_path1	OnDeath:triggerId:at2_atst2_respawn					1
heroic_echo_atst	at2_atst4	at2_forwardSpawn1		1151	55	1372	-178		string:patrol_path=at2_atst2_path1	OnDeath:triggerId:at2_atst4_respawn					1
delayAction:at2_forwardSpawn2:8		at2_spawnPoint_2													
heroic_echo_atat	at3	at2_forwardSpawn2		1155	55	1205	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path2,int:isAtat=1,string:atatNumber=at2,int:advancePoint=2,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at2_snowTrooper_01	at2_forwardSpawn2		1147	55	1145	-178		string:patrol_path=at2_snowtrooper1_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_02	at2_forwardSpawn2		1152	55	1150	-178		string:patrol_path=at2_snowtrooper2_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_03	at2_forwardSpawn2		1157	55	1155	-178		string:patrol_path=at2_snowtrooper3_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_04	at2_forwardSpawn2		1142	55	1150	-178		string:patrol_path=at2_snowtrooper4_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_05	at2_forwardSpawn2		1137	55	1155	-178		string:patrol_path=at2_snowtrooper5_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_atst	at2_atst2	at2_forwardSpawn2		1131	55	1095	-178		string:patrol_path=at2_atst2_path1	OnDeath:triggerId:at2_atst2_respawn					1
heroic_echo_atst	at2_atst4	at2_forwardSpawn2		1131	55	1227	-178		string:patrol_path=at2_atst2_path1	OnDeath:triggerId:at2_atst4_respawn					1
delayAction:at2_forwardSpawn3:8		at2_spawnPoint_3													
heroic_echo_atat	at3	at2_forwardSpawn3		1124	55	988	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path2,int:isAtat=1,string:atatNumber=at2,int:advancePoint=3,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at2_snowTrooper_01	at2_forwardSpawn3		1116	55	928	-178		string:patrol_path=at2_snowtrooper1_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_02	at2_forwardSpawn3		1121	55	933	-178		string:patrol_path=at2_snowtrooper2_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_03	at2_forwardSpawn3		1126	55	938	-178		string:patrol_path=at2_snowtrooper3_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_04	at2_forwardSpawn3		1111	55	933	-178		string:patrol_path=at2_snowtrooper4_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_snowtrooper	at2_snowTrooper_05	at2_forwardSpawn3		1106	55	938	-178		string:patrol_path=at2_snowtrooper5_path1	OnDeath:triggerId:at2_deadTrooper					1
heroic_echo_atst	at2_atst2	at2_forwardSpawn3		1100	55	878	-178		string:patrol_path=at2_atst2_path1	OnDeath:triggerId:at2_atst2_respawn					1
heroic_echo_atst	at2_atst4	at2_forwardSpawn3		1100	55	1010	-178		string:patrol_path=at2_atst2_path1	OnDeath:triggerId:at2_atst4_respawn					1
trigger:at3_advancePoint01:faction-npc-atat:10:0:0:triggerId				1111	55	1267									
trigger:at3_advancePoint02:faction-npc-atat:10:0:0:triggerId				1078	55	1069									
trigger:at3_advancePoint03:faction-npc-atat:10:0:0:triggerId				1054	55	888									
objVarAction:at5:set:int:advancePoint:1		at3_advancePoint01													
objVarAction:at5:set:int:advancePoint:2		at3_advancePoint02													
objVarAction:at5:set:int:advancePoint:3		at3_advancePoint03													
delayAction:at3_forwardSpawn1:8		at3_spawnPoint_1													
heroic_echo_atat	at5	at3_forwardSpawn1		1124	55	1348	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path3,int:isAtat=1,string:atatNumber=at3,int:advancePoint=1,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at3_snowTrooper_01	at3_forwardSpawn1		1116	55	1288	-178		string:patrol_path=at3_snowtrooper1_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_02	at3_forwardSpawn1		1121	55	1293	-178		string:patrol_path=at3_snowtrooper2_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_03	at3_forwardSpawn1		1126	55	1298	-178		string:patrol_path=at3_snowtrooper3_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_04	at3_forwardSpawn1		1111	55	1293	-178		string:patrol_path=at3_snowtrooper4_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_05	at3_forwardSpawn1		1106	55	1298	-178		string:patrol_path=at3_snowtrooper5_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_atst	at3_atst2	at3_forwardSpawn1		1100	55	1238	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst2_respawn					1
heroic_echo_atst	at3_atst4	at3_forwardSpawn1		1100	55	1370	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst4_respawn					1
delayAction:at3_forwardSpawn2:8		at3_spawnPoint_2													
heroic_echo_atat	at5	at3_forwardSpawn2		1104	55	1206	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path3,int:isAtat=1,string:atatNumber=at3,int:advancePoint=2,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at3_snowTrooper_01	at3_forwardSpawn2		1096	55	1146	-178		string:patrol_path=at3_snowtrooper1_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_02	at3_forwardSpawn2		1101	55	1151	-178		string:patrol_path=at3_snowtrooper2_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_03	at3_forwardSpawn2		1106	55	1156	-178		string:patrol_path=at3_snowtrooper3_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_04	at3_forwardSpawn2		1091	55	1151	-178		string:patrol_path=at3_snowtrooper4_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_05	at3_forwardSpawn2		1086	55	1156	-178		string:patrol_path=at3_snowtrooper5_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_atst	at3_atst2	at3_forwardSpawn2		1080	55	1096	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst2_respawn					1
heroic_echo_atst	at3_atst4	at3_forwardSpawn2		1080	55	1228	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst4_respawn					1
delayAction:at3_forwardSpawn3:8		at3_spawnPoint_3													
heroic_echo_atat	at5	at3_forwardSpawn3		1072	55	988	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path3,int:isAtat=1,string:atatNumber=at3,int:advancePoint=3,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at3_snowTrooper_01	at3_forwardSpawn3		1064	55	928	-178		string:patrol_path=at3_snowtrooper1_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_02	at3_forwardSpawn3		1069	55	933	-178		string:patrol_path=at3_snowtrooper2_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_03	at3_forwardSpawn3		1074	55	938	-178		string:patrol_path=at3_snowtrooper3_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_04	at3_forwardSpawn3		1059	55	933	-178		string:patrol_path=at3_snowtrooper4_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_snowtrooper	at3_snowTrooper_05	at3_forwardSpawn3		1054	55	938	-178		string:patrol_path=at3_snowtrooper5_path1	OnDeath:triggerId:at3_deadTrooper					1
heroic_echo_atst	at3_atst2	at3_forwardSpawn3		1048	55	878	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst2_respawn					1
heroic_echo_atst	at3_atst4	at3_forwardSpawn3		1048	55	1010	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst4_respawn					1
trigger:at4_advancePoint01:faction-npc-atat:10:0:0:triggerId				1030	55	1270									
trigger:at4_advancePoint02:faction-npc-atat:10:0:0:triggerId				1012	55	1070									
trigger:at4_advancePoint03:faction-npc-atat:10:0:0:triggerId				993	55	890									
objVarAction:at7:set:int:advancePoint:1		at4_advancePoint01													
objVarAction:at7:set:int:advancePoint:2		at4_advancePoint02													
objVarAction:at7:set:int:advancePoint:3		at4_advancePoint03													
delayAction:at4_forwardSpawn1:8		at4_spawnPoint_1													
heroic_echo_atat	at7	at4_forwardSpawn1		1045	55	1350	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path4,int:isAtat=1,string:atatNumber=at4,int:advancePoint=1,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at4_snowTrooper_01	at4_forwardSpawn1		1037	55	1290	-178		string:patrol_path=at4_snowtrooper1_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_02	at4_forwardSpawn1		1042	55	1295	-178		string:patrol_path=at4_snowtrooper2_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_03	at4_forwardSpawn1		1047	55	1300	-178		string:patrol_path=at4_snowtrooper3_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_04	at4_forwardSpawn1		1032	55	1295	-178		string:patrol_path=at4_snowtrooper4_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_05	at4_forwardSpawn1		1027	55	1300	-178		string:patrol_path=at4_snowtrooper5_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_atst	at4_atst2	at4_forwardSpawn1		1021	55	1240	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst2_respawn					1
heroic_echo_atst	at4_atst4	at4_forwardSpawn1		1021	55	1372	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst4_respawn					1
delayAction:at4_forwardSpawn2:8		at4_spawnPoint_2													
heroic_echo_atat	at7	at4_forwardSpawn2		1027	55	1206	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path4,int:isAtat=1,string:atatNumber=at4,int:advancePoint=2,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at4_snowTrooper_01	at4_forwardSpawn2		1019	55	1146	-178		string:patrol_path=at4_snowtrooper1_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_02	at4_forwardSpawn2		1024	55	1151	-178		string:patrol_path=at4_snowtrooper2_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_03	at4_forwardSpawn2		1029	55	1156	-178		string:patrol_path=at4_snowtrooper3_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_04	at4_forwardSpawn2		1014	55	1151	-178		string:patrol_path=at4_snowtrooper4_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_05	at4_forwardSpawn2		1009	55	1156	-178		string:patrol_path=at4_snowtrooper5_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_atst	at4_atst2	at4_forwardSpawn2		1003	55	1096	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst2_respawn					1
heroic_echo_atst	at4_atst4	at4_forwardSpawn2		1003	55	1228	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst4_respawn					1
delayAction:at4_forwardSpawn3:8		at4_spawnPoint_3													
heroic_echo_atat	at7	at4_forwardSpawn3		1000	55	988	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path4,int:isAtat=1,string:atatNumber=at4,int:advancePoint=3,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at4_snowTrooper_01	at4_forwardSpawn3		992	55	928	-178		string:patrol_path=at4_snowtrooper1_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_02	at4_forwardSpawn3		997	55	933	-178		string:patrol_path=at4_snowtrooper2_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_03	at4_forwardSpawn3		1002	55	938	-178		string:patrol_path=at4_snowtrooper3_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_04	at4_forwardSpawn3		987	55	933	-178		string:patrol_path=at4_snowtrooper4_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_snowtrooper	at4_snowTrooper_05	at4_forwardSpawn3		982	55	938	-178		string:patrol_path=at4_snowtrooper5_path1	OnDeath:triggerId:at4_deadTrooper					1
heroic_echo_atst	at4_atst2	at4_forwardSpawn3		976	55	878	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst2_respawn					1
heroic_echo_atst	at4_atst4	at4_forwardSpawn3		976	55	1010	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst4_respawn					1
trigger:at5_advancePoint01:faction-npc-atat:10:0:0:triggerId				966	55	1270									
trigger:at5_advancePoint02:faction-npc-atat:10:0:0:triggerId				944	55	1070									
trigger:at5_advancePoint03:faction-npc-atat:10:0:0:triggerId				928	55	905									
objVarAction:at9:set:int:advancePoint:1		at5_advancePoint01													
objVarAction:at9:set:int:advancePoint:2		at5_advancePoint02													
objVarAction:at9:set:int:advancePoint:3		at5_advancePoint03													
delayAction:at5_forwardSpawn1:8		at5_spawnPoint_1													
heroic_echo_atat	at9	at5_forwardSpawn1		977	55	1350	-178	theme_park.heroic.echo_base.at_at	"string:patrol_path=at_path5,int:isAtat=1,string:atatNumber=at5,int:advancePoint=1,int:checkpoint=0,int:forceDead=0"	OnDeath:triggerId:at_died					1
heroic_echo_snowtrooper	at5_snowTrooper_01	at5_forwardSpawn1		969	55	1290	-178		string:patrol_path=at5_snowtrooper1_path1	OnDeath:triggerId:at5_deadTrooper					1
heroic_echo_snowtrooper	at5_snowTrooper_02	at5_forwardSpawn1		974	55	1295	-178		string:patrol_path=at5_snowtrooper2_path1	OnDeath:triggerId:at5_deadTrooper					1
heroic_echo_snowtrooper	at5_snowTrooper_03	at5_forwardSpawn1		979	55	1300	-178		string:patrol_path=at5_snowtrooper3_path1	OnDeath:triggerId:at5_deadTrooper					1
heroic_echo_snowtrooper	at5_snowTrooper_04	at5_forwardSpawn1		964	55	1295	-178		string:patrol_path=at5_snowtrooper4_path1	OnDeath:triggerId:at5_deadTrooper					1
heroic_echo_snowtrooper	at5_snowTrooper_05	at5_forwardSpawn1		959	55	1300	-178		string:patrol_path=at5_snowtrooper5_path1	OnDeath:triggerId:at5_deadTrooper					1
heroic_echo_atst	at5_atst2	at5_forwardSpawn1		953	55	1240	-178		string:patrol_path=at5_atst2_path1	OnDeath:triggerId:at5_atst2_respawn					1
heroic_echo_atst	at5_atst4	at5_forwardSpawn1		953	55	1372	-178		string:patrol_path=at5_atst2_path1	OnDeath:triggerId:at5_atst4_respawn					1
delayAction:at5_forwardSpawn2:8		at5_spawnPoint_2													
