"messageTo;seven;doPathAction;string:pathAction=moveTo,string:pathName=seven"		to_edge											
"messageTo;eight;doPathAction;string:pathAction=moveTo,string:pathName=eight"		to_edge											
object/tangible/door/exar_kun_door_s2.iff	minder_one_gate	open_won	r3	34.26	0	1.59	0				1		
pathPoint:tomb_one			r3	51.12	0	0.15							
pathPoint:tomb_two			r3	48.81	0	-14.93							
pathPoint:tomb_three			r3	58.91	0	-34							
pathPoint:tomb_four			r3	56.36	0	-15.17							"minder_one_random:patrol:tomb_one,tomb_two,tomb_three,tomb_four"
heroic_exar_gackle_bat	gb1	open_won	r3	48.81	0	-14.93			string:patrol_path=minder_one_random				
heroic_exar_gackle_bat	gb2	open_won	r3	58.91	-1.76	-34			string:patrol_path=minder_one_random				
pathPoint:skreeg_one			r3	50.7	0	-34							
pathPoint:skreeg_two			r3	43.49	0	-49							
pathPoint:skreeg_three			r3	30	0	-59.29							
pathPoint:skreeg_four			r3	50.47	0	-52.7							"skreeg_pat:patrol:skreeg_one,skreeg_two,skreeg_three,skreeg_four"
heroic_exar_skreeg	sk1	open_won	r3	50.7	-7	-34			string:patrol_path=skreeg_pat				
heroic_exar_skreeg	sk2	open_won	r3	30	-1.56	-59.29			string:patrol_path=skreeg_pat				
pathPoint:minder_one_exit			r3	48	0	-6.9							"minder_exit:patrolOnce:minder_one_exit,minder_one_setup"
pathPoint:minder_one_setup			r3	52.32	0	-14.3							"gbboss_exit:patrolOnce:minder_one_exit,tomb_four"
"waitForComplete:triggerId:activate_minder_one:gb1,gb2,sk1,sk2"													"skboss_exit:patrolOnce:minder_one_exit,tomb_two"
heroic_exar_minder	minder_one	activate_minder_one	r3	40.99	-0.24	0.79	90	theme_park.heroic.exar_kun.minder	string:patrol_path=minder_exit	"OnEnterCombat:playEmote:say:kun_minder_agro,OnExitCombat:triggerId:reset_minder_one,OnEnterCombat:triggerId:lock_minder_one"			
heroic_exar_gackle_bat_boss	minder_gb	activate_minder_one	r3	37.75	0	3.09	164		"string:patrol_path=gbboss_exit,string:bat_id=one"				
heroic_exar_skreeg_boss	minder_sk	activate_minder_one	r3	36.64	0	4.45	164		"string:patrol_path=skboss_exit,string:skreeg_id=one"				
delayAction:minder_one_shout:3		activate_minder_one											
"waitForComplete:triggerId:minder_one_won:minder_one,minder_gb,minder_sk"		activate_minder_one											
doTheaterAction:minder_one:chat:say:kun_minder_intro		minder_one_shout											
deleteSpawn:minder_one:none		reset_minder_one											
deleteSpawn:minder_gb:none		reset_minder_one											
deleteSpawn:minder_sk:none		reset_minder_one											
deleteSpawn:minder_swarm:none		reset_minder_one											
deleteSpawn:minder_lock:none		reset_minder_one									
delayAction:respawn_minder_one:20		reset_minder_one									
heroic_exar_minder	minder_one	respawn_minder_one	r3	52.32	0	-14.3	150	theme_park.heroic.exar_kun.minder		"OnExitCombat:triggerId:reset_minder_one,OnEnterCombat:triggerId:lock_minder_one"	
heroic_exar_gackle_bat_boss	minder_gb	respawn_minder_one	r3	56.36	0	-15.17	150		string:bat_id=one		
heroic_exar_skreeg_boss	minder_sk	respawn_minder_one	r3	48.81	0	-14.93	150		string:skreeg_id=one		
"waitForComplete:triggerId:minder_one_won:minder_one,minder_gb,minder_sk"		respawn_minder_one									
heroic_exar_caretaker		test	r4	6.31	-2.37	-29.82	0				
heroic_exar_warrior		test	r4	0	0	-13.83	145				
heroic_exar_prisoner		test	r4	7.23	-9.54	5.8	165				
heroic_exar_woolamander		test	r5	-35.13	-1.53	-11.37	136				
heroic_exar_minder		test	r5	-21.96	6.48	38.11	-136				
heroic_exar_kun		test	r7	11.61	-7.47	110					
heroic_exar_geonosian		test	r4	-7.4	1.41	-32	-99				
object/tangible/door/exar_kun_door_s1.iff	open_gate		r2	13.56	0	-64.61	0				1
object/tangible/door/exar_kun_door_s1.iff	open_event_gate	lock_open	r1	-11.99	0.24	-92.73	90				1
deleteSpawn:open_gate:none		open_won									
deleteSpawn:open_event_gate:none		open_won									
object/tangible/door/exar_kun_door_s1.iff	minder_lock	lock_minder_one	r2	13.56	0	-64.61	0				1
deleteSpawn:minder_lock:none		minder_one_won									
deleteSpawn:minder_lock:none		minder_one_reset									
deleteSpawn:minder_one_gate:none		minder_one_won									
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	51.12	0	0.15		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	48.81	0	-14.93		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	58.91	0	-34		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	56.36	0	-15.17		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	50.7	0	-34		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	43.49	0	-49		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	30	0	-59.29		theme_park.heroic.exar_kun.minder_add			
heroic_exar_gackle_bat	minder_swarm	summon_bats	r3	50.47	0	-52.7		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	51.12	0	0.15		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	48.81	0	-14.93		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	58.91	0	-34		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	56.36	0	-15.17		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	50.7	0	-34		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	43.49	0	-49		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	30	0	-59.29		theme_park.heroic.exar_kun.minder_add			
heroic_exar_skreeg	minder_swarm	summon_monkey	r3	50.47	0	-52.7		theme_park.heroic.exar_kun.minder_add			
object/tangible/door/exar_kun_door_s3.iff	close_lockin	close_lock	r5	-19.98	0	-21.83	180				1
delayAction:spawn_hate_fist:1		spawn_close									
heroic_exar_hate_fist	hate_fist	spawn_hate_fist	r6	18.96	0	45.98	-90	theme_park.heroic.exar_kun.closed_fist		"OnEnterCombat:triggerId:close_lock,OnExitCombat:triggerId:close_reset,OnDeath:triggerId:close_dead"	
deleteSpawn:close_lockin:none		close_reset									
deleteSpawn:hate_fist:none		close_reset									
delayAction:spawn_hate_fist:10		close_reset									
deleteSpawn:close_lockin:none		close_dead									
object/tangible/door/exar_kun_door_s4.iff	close_lockout	minder_one_won	r6	2.3	-0.18	45.12	180				1
object/tangible/door/exar_kun_door_s5.iff	exar_lockout	minder_one_won	r7	15.48	0	55.31	0				1
deleteSpawn:exar_lockout:none		close_dead									
delayAction:spawn_ct:1		minder_one_won									
heroic_exar_caretaker	caretaker	spawn_ct	r4	8.44	0	-2.1	180	theme_park.heroic.exar_kun.caretaker		"OnEnterCombat:triggerId:ct_enter_combat,OnExitCombat:triggerId:ct_reset,OnDeath:triggerId:ct_dead"	
object/tangible/door/exar_kun_door_s3.iff	caretaker_block	minder_one_won	r5	-19.98	0	-21.83	180				1
deleteSpawn:caretaker_block:none		ct_dead									
object/tangible/door/exar_kun_door_s2.iff	caretaker_lockin	ct_enter_combat	r3	34.26	0	1.59	0				1
messageTo;ct_guard_1;start_boss_buff;none		ct_enter_combat									
messageTo;ct_guard_2;start_boss_buff;none		ct_enter_combat									
messageTo;ct_guard_3;start_boss_buff;none		ct_enter_combat									
messageTo;ct_guard_4;start_boss_buff;none		ct_enter_combat									
deleteSpawn:caretaker_lockin:none		ct_reset									
deleteSpawn:caretaker_lockin:none		ct_dead									
deleteSpawn:caretaker:none		ct_reset									
deleteSpawn:ct_guard_1:none		ct_reset									
deleteSpawn:ct_guard_2:none		ct_reset									
deleteSpawn:ct_guard_3:none		ct_reset									
deleteSpawn:ct_guard_4:none		ct_reset									
delayAction:spawn_ct:10		ct_reset									
deleteSpawn:ct_p1_add:none		ct_reset									
deleteSpawn:ct_executioner:none		ct_reset									
deleteSpawn:ct_prisoner:none		ct_reset									
deleteSpawn:ct_vapor:none		ct_reset									
deleteSpawn:ct_fluff_prisoner:none		ct_reset									
pathPoint:execute_prisoner_two			r4	-8.1	0	-14.04					
heroic_exar_tomb_guard	ct_guard_2	spawn_ct	r4	-2	3.73	-29	0	theme_park.heroic.exar_kun.ct_guard			1
heroic_exar_tomb_guard	ct_guard_1	spawn_ct	r4	18	3.73	-29	0	theme_park.heroic.exar_kun.ct_guard			1
heroic_exar_tomb_guard	ct_guard_3	spawn_ct	r4	-2	3.73	23	180	theme_park.heroic.exar_kun.ct_guard			1
heroic_exar_tomb_guard	ct_guard_4	spawn_ct	r4	18	3.73	23	180	theme_park.heroic.exar_kun.ct_guard			1
"waitForComplete:triggerId:ct_drop_shield:ct_guard_1,ct_guard_2,ct_guard_3,ct_guard_4"		spawn_ct									
delayAction:spawn_executioner:1		spawn_ct									
heroic_exar_prisoner	ct_fluff_prisoner	spawn_ct	r4	10	0	-29	0				1
heroic_exar_prisoner	ct_fluff_prisoner	spawn_ct	r4	6.5	0	-29	0				1
heroic_exar_prisoner	ct_fluff_prisoner	spawn_ct	r4	-1.7	0	-29	0				1
heroic_exar_prisoner	ct_fluff_prisoner	spawn_ct	r4	8	0	23	180				1
messageTo;caretaker;start_phase_2;none		ct_drop_shield											
"randomTrigger:spawn_add_one,spawn_add_two"		spawn_ct_add											"gone_pat:patrolOnce:one_two_down,one_two_up,guard_one"
heroic_exar_tomb_guard	ct_p1_add	spawn_add_one	r4	29	0	1	-90	theme_park.heroic.exar_kun.ct_random_add					"gtwo_pat:patrolOnce:one_two_down,one_two_up,guard_two"
heroic_exar_lasher	ct_p1_add	spawn_add_one	r4	30	0	-2	-90	theme_park.heroic.exar_kun.ct_random_add					"gthree_pat:patrolOnce:three_four_down,three_four_up,guard_three"
heroic_exar_subduer	ct_p1_add	spawn_add_one	r4	28	0	-2	-90	theme_park.heroic.exar_kun.ct_random_add					"gfour_pat:patrolOnce:three_four_down,three_four_up,guard_four"
heroic_exar_tomb_guard	ct_p1_add	spawn_add_two	r4	-9	0	-21	53	theme_park.heroic.exar_kun.ct_random_add					
heroic_exar_lasher	ct_p1_add	spawn_add_two	r4	-11	0	-21	52	theme_park.heroic.exar_kun.ct_random_add					
heroic_exar_subduer	ct_p1_add	spawn_add_two	r4	-12	0	-24	53	theme_park.heroic.exar_kun.ct_random_add					"prisoner_one:patrolOnce:exe_one_two,one_two_down"
heroic_exar_executioner	ct_executioner	spawn_executioner	r4	8.3	0	15	-180	theme_park.heroic.exar_kun.ct_executioner		"OnArrivedAtLocation:one_two_down:triggerId:kill_prisoner,OnArrivedAtLocation:execute_prisoner_two:triggerId:kill_prisoner"	1		"prisoner_two:patrolOnce:exe_three_four,execute_prisoner_two"
heroic_exar_prisoner	ct_prisoner	spawn_prisoner_one	r4	7	0	-23	-90	theme_park.heroic.exar_kun.ct_prisoner	string:moveTo=prisoner_one	"OnArrivedAtLocation:guard_one:triggerId:arrive_one,OnArrivedAtLocation:guard_two:triggerId:arrive_two,OnArrivedAtLocation:guard_three:triggerId:arrive_three,OnArrivedAtLocation:guard_four:triggerId:arrive_four,OnArrivedAtLocation:prisoner_one:triggerId:prisoner_arrived_one,OnArrivedAtLocation:prisoner_two:triggerId:prisoner_arrived_one"	1		
messagePlayers:caretaker_prisoner_notification:none		spawn_prisoner_one											
"messageTo;ct_executioner;doPathAction;string:pathAction=patrol_path,string:pathName=prisoner_one"		prisoner_arrived_one											
messageTo;ct_executioner;wsToggleInvulnerability;none		prisoner_arrived_one								OnArrivedAtLocation:one_two_down:triggerId:executioner_arrive			
messagePlayers:caretaker_kill_prisoner:none		prisoner_arrived_one											
heroic_exar_prisoner	ct_prisoner	spawn_prisoner_two	r4	7	0	-23	90	theme_park.heroic.exar_kun.ct_prisoner	string:moveTo=prisoner_two	"OnArrivedAtLocation:guard_one:triggerId:arrive_one,OnArrivedAtLocation:guard_two:triggerId:arrive_two,OnArrivedAtLocation:guard_three:triggerId:arrive_three,OnArrivedAtLocation:guard_four:triggerId:arrive_four,OnArrivedAtLocation:prisoner_one:triggerId:prisoner_arrived_two,OnArrivedAtLocation:prisoner_two:triggerId:prisoner_arrived_two"	1		
messagePlayers:caretaker_prisoner_notification:none		spawn_prisoner_two											
"messageTo;ct_executioner;doPathAction;string:pathAction=patrol_path,string:pathName=prisoner_two"		prisoner_arrived_two				
messageTo;ct_executioner;wsToggleInvulnerability;none		prisoner_arrived_two				
messagePlayers:caretaker_kill_prisoner:none		prisoner_arrived_two				
messageTo;ct_prisoner;stop_guard;none		fail_execute				
delayAction:spawn_executioner:1		fail_execute				
"messageTo;ct_prisoner;doPathAction;string:pathAction=patrol_path,string:pathName=gone_pat"		pathto_guard_one				
"messageTo;ct_prisoner;doPathAction;string:pathAction=patrol_path,string:pathName=gtwo_pat"		pathto_guard_two				
"messageTo;ct_prisoner;doPathAction;string:pathAction=patrol_path,string:pathName=gthree_pat"		pathto_guard_three				
"messageTo;ct_prisoner;doPathAction;string:pathAction=patrol_path,string:pathName=gfour_pat"		pathto_guard_four				
pathPoint:one_two_down			r4	27	0	-17
pathPoint:one_two_up			r4	28	3.7	-29
pathPoint:guard_one			r4	19	3.7	-29
pathPoint:guard_two			r4	1	3.7	-29
pathPoint:three_four_down			r4	-11	0	11
pathPoint:three_four_up			r4	-12	3.7	22
pathPoint:guard_three			r4	-5	3.7	22.69
pathPoint:guard_four			r4	15.7	3.7	22	
pathPoint:exe_one_two			r4	23.97	0	14.35	
pathPoint:exe_three_four			r4	-6.47	0	14	
messageTo;ct_guard_1;activateGuard;none		arrive_one					
messageTo;ct_guard_2;activateGuard;none		arrive_two					
messageTo;ct_guard_3;activateGuard;none		arrive_three					
messageTo;ct_guard_4;activateGuard;none		arrive_four					
pathPoint:prisoner_one			r4	29.29	0	-19.9	
pathPoint:prisoner_two			r4	-10	0	-16	
messageTo;ct_executioner;kill_prisoner;none		kill_prisoner					
delayAction:delete_executioner:3		kill_prisoner					
deleteSpawn:ct_executioner:none		delete_exectioner					
delayAction:spawn_executioner:1		delete_exectioner					
deleteSpawn:ct_executioner:none		ct_drop_shield					
deleteSpawn:ct_prisoner:none		ct_drop_shield					
heroic_exar_tomb_guard	tomb_guard	ct_dead	r5	-34.37	0	0.3	164.5
heroic_exar_tomb_guard	tomb_guard	ct_dead	r5	-40.57	0	-2.76	147.06				
heroic_exar_tomb_guard	tomb_guard	ct_dead	r5	-32	0	12.62	-172.39				
heroic_exar_tomb_guard	tomb_guard	ct_dead	r5	-37.1	0	12.54	-180				
heroic_exar_tomb_guard	tomb_guard	ct_dead	r5	-5.95	0	40.73	-107				
heroic_exar_tomb_guard	tomb_guard	ct_dead	r5	-9.95	0	47.47	-128				
deleteSpawn:close_lockout:none		spawn_close									
"waitForComplete:triggerId:spawn_close:tomb_guard,tomb_guard,tomb_guard,tomb_guard,tomb_guard,tomb_guard"		ct_dead									
object/tangible/door/exar_kun_door_s3.iff	close_lockin	close_lock	r5	-19.98	0	-21.83	180				1
deleteSpawn:ct_gate:none		ct_dead									
heroic_exar_tomb_guard	ct_vapor	spawn_vapor	r4	8.44	0	-2.1	180	theme_park.heroic.exar_kun.ct_vapor_walker			
delayAction:spawn_exar:1		close_dead									
heroic_exar_wordbearer	exar_wordbearer	spawn_exar	r7	15.64	4.62	105.98	0	theme_park.heroic.exar_kun.exar_wordbringer			1
deleteSpawn:exar_lockin:none		exar_reset									
deleteSpawn:exar_lockin:none		exar_dead									
delayAction:spawn_exar:10		exar_reset									
deleteSpawn:exar_kun:none		exar_reset									
deleteSpawn:exar_wordbearer:none		exar_reset									
deleteSpawn:harmony:none		exar_reset									
deleteSpawn:chaos:none		exar_reset									
deleteSpawn:veng:none		exar_reset									
deleteSpawn:wrath:none		exar_reset									
deleteSpawn:observer:none		exar_reset									
deleteSpawn:swordsman:none		exar_reset									
deleteSpawn:professor:none		exar_reset									
messageTo;observer;start_observation;none		start_observer									
object/tangible/door/exar_kun_door_s5.iff	exar_lockin	start_observer	r7	15.48	0	55.31	0				1
heroic_exar_harmony	harmony	spawn_exar	r7	7	0	92	-180	theme_park.heroic.exar_kun.exar_harmony			
heroic_exar_chaos	chaos	spawn_exar	r7	24	0	92	-180	theme_park.heroic.exar_kun.exar_chaos			
heroic_exar_vengence	veng	spawn_exar	r7	11	0	92	-180	theme_park.heroic.exar_kun.exar_vengence			
heroic_exar_wrath	wrath	spawn_exar	r7	20	0	92	-180	theme_park.heroic.exar_kun.exar_wrath		OnEnterCombat:triggerId:start_observer	
heroic_exar_tomb_guard	observer	spawn_exar	r7	30.2	4.62	112.13	-180	theme_park.heroic.exar_kun.exar_observer			
"waitForComplete:triggerId:exar_p2:harmony,wrath,veng,chaos"		spawn_exar									
messageTo;exar_wordbearer;wsToggleInvulnerability;none		exar_p2									
messageTo;exar_wordbearer;kill_command;none		exar_p2									
object/static/particle/particle_exar_kun_eyes.iff		exar_agro	r7	15.64	4.62	105.98					
heroic_exar_professor	professor	exar_p3		15.64	4.62	105.98		theme_park.heroic.exar_kun.exar_professor			1
heroic_exar_swordsman	swordsman	exar_p3		15.64	4.62	105.98		theme_park.heroic.exar_kun.exar_swordsman			1
heroic_exar_kun	exar_kun	exar_p3		15.64	4.62	105.98		theme_park.heroic.exar_kun.exar_kun		"OnDeath:signalMaster:exarDied:none,OnDeath:triggerId:exar_dead"	1
doTheaterAction:exar_wordbearer:chat:say:exar_wordbearer_end		exar_p3									
deleteSpawn:exar_wordbearer:none		execute_split									
"messageTo;exar_kun;doPathAction;string:pathAction=moveTo,string:pathName=exar_moveto"		execute_split									
"messageTo;swordsman;doPathAction;string:pathAction=moveTo,string:pathName=sword_moveto"		execute_split									
pathPoint:sword_moveto			r7	7	0	92					
pathPoint:exar_moveto			r7	24	0	92					
delayAction:last_words:4		execute_split									
doTheaterAction:professor:chat:say:exar_wordbearer_death		last_words									
delayAction:prof_die:3		last_words									
delayAction:exar_warning:6		execute_split									
delayAction:exar_agro:9		execute_split
messagePlayers:exar_warning:none		exar_warning
messagePlayers:exar_agro:none		exar_agro
messageTo;exar_kun;wsToggleInvulnerability;none		exar_agro
messageTo;swordsman;wsToggleInvulnerability;none		exar_agro
messageTo;exar_kun;kill_command;none		exar_agro
messageTo;swordsman;kill_command;none		exar_agro
messageTo;professor;assume_death;none		prof_die
deleteSpawn:observer:none		exar_dead
