spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value
s	s	s	f	f	f	f	s	s	i	s	s	s	s	s	s
object/tangible/dungeon/avatar_platform/avatar_terminal_security.iff		mainhangar	36.3	0	21.5	90	theme_park.dungeon.avatar_platform.terminal_security01_unlock				self	theme_park.dungeon.avatar_platform.avatar_door_lock			
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		techhall08	-134.3	1.1	-135.8	48	theme_park.dungeon.avatar_platform.terminal_techhall08_unlock				commandhall08	theme_park.dungeon.avatar_platform.avatar_boss_fight_spawn			
object/tangible/dungeon/avatar_platform/avatar_terminal_master_console.iff		navigationroom	-168.4	-0.3	38.9	90	theme_park.dungeon.avatar_platform.terminal_main_console			string:passcode=12345	commanddeck	theme_park.dungeon.avatar_platform.avatar_boss_fight_room			
object/tangible/dungeon/avatar_platform/avatar_terminal_safety_override.iff		sensorsystems	-197.5	0	-116	90	theme_park.dungeon.avatar_platform.terminal_safety_override				self	theme_park.dungeon.avatar_platform.avatar_destruction			
object/tangible/dungeon/avatar_platform/avatar_terminal_core_override.iff		powercore	-89.9	10	-20.8	180	theme_park.dungeon.avatar_platform.terminal_core_overload				mainhangar	theme_park.dungeon.avatar_platform.avatar_opening_chat			
object/tangible/dungeon/avatar_platform/avatar_terminal_technical_readout.iff		controlroom	-100.5	1.89	12.95	-22	theme_park.dungeon.avatar_platform.terminal_technical_readout				entrance	theme_park.dungeon.avatar_platform.avatar_entrance_explosion			
object/tangible/quest/avatar_safety_01.iff		powercore	-97	0	-50	-90									
object/tangible/quest/avatar_safety_02.iff		powercore	-89.99	-13.7	-44.3	0									
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-166.65	0.4	-135.89	-90	theme_park.dungeon.avatar_platform.terminal_cell_01								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-176.32	0.4	-135.89	90	theme_park.dungeon.avatar_platform.terminal_cell_02								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-166.65	0.4	-146.9	-90	theme_park.dungeon.avatar_platform.terminal_cell_03								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-176.3	0.4	-146.9	90	theme_park.dungeon.avatar_platform.terminal_cell_04								
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-166.7	0.4	-157.88	-90									
object/tangible/dungeon/avatar_platform/avatar_terminal_switch.iff		jails	-176.3	0.4	-157.88	90	theme_park.dungeon.avatar_platform.terminal_cell_06								
ep3_avatar_blackscale_jailer		cavehall09	-127.5	0	-121.3	-90	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_watch_cmd		navigationroom	-170	0	35	90	theme_park.dungeon.generic_death		420	
ep3_avatar_wke_captive		jails	-160.4	-0.5	-145	-90	theme_park.dungeon.avatar_platform.avatar_wke_prisoner_03			
ep3_avatar_wke_captive		jails	-182.5	-0.5	-144.5	90	theme_park.dungeon.avatar_platform.avatar_wke_prisoner_04			
object/tangible/dungeon/avatar_platform/avatar_lockbox.iff		anteroom	64.7	0	-68.5	-128	theme_park.dungeon.avatar_platform.avatar_lockbox_05			string:passcode=87424
object/tangible/dungeon/avatar_platform/avatar_lockbox.iff		barracks02	-68.2	0	-135.1	48	theme_park.dungeon.avatar_platform.avatar_lockbox_02			string:passcode=37986
object/tangible/dungeon/avatar_platform/avatar_lockbox.iff		securityoffice	-162.9	0	-112.6	0	theme_park.dungeon.avatar_platform.avatar_lockbox_01			string:passcode=14321
object/tangible/dungeon/avatar_platform/avatar_lockbox.iff		securestorage	6.9	0	24.6	-90	theme_park.dungeon.avatar_platform.avatar_lockbox_03			string:passcode=79631
object/tangible/dungeon/avatar_platform/avatar_lockbox.iff		checkpoint01	17.1	0	51.5	0	theme_park.dungeon.avatar_platform.avatar_lockbox_04			string:passcode=54376
ep3_avatar_blackscale_guard		mainhangar	62.6	0	26.3	-12	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		mainhangar	61.6	0	15.6	89	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		mainhangar	54.2	0	10	59	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		mainhangar	53.8	0	33.4	87	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		commandhall01	45.3	0	58.8	52	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		commandhall01	47.2	0	62	-141	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		checkpoint01	16	0	62.2	-175	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		checkpoint01	15.8	0	58.6	0	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_captain		checkpoint01	13.2	0	53	176	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		generalstorage	-11.6	0	23.8	-17	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		generalstorage	-20.3	0	20	-51	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		generalstorage	-18.4	0	17.4	-49	theme_park.dungeon.generic_death		1200	
ep3_avatar_blackscale_guard		generalstorage	-4.5	0	21.4	-36	theme_park.dungeon.generic_death		1200	
ep3_avatar_wke_fighter		generalstorage	-10.9	0	33.5	160	theme_park.dungeon.generic_death		1200	
ep3_avatar_wke_fighter		generalstorage	-17.7	0	32.5	145	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		generalstorage	-28.7	0	27.2	136	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		secondarystorage	-45.9	0	35.4	122	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		secondarystorage	-49.2	0	44.6	130	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		secondarystorage	-56.5	0	27.6	78	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		rockchasm	-75.1	0	97.8	135	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		rockchasm	-57.2	0	99	-125	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		rockchasm	-67	0.7	93.4	99	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_battleleader		cavehall03	-53	0	74	-74	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall03	-58.7	0	70.5	-65	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall03	-71.1	0	80.4	112	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall03	-77.5	0	74	88	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall03	-69.5	0	70.7	72	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall03	-88.6	0	61.1	-1	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall04	-93.2	0	51.8	13	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall03	-87.3	0	54	-7	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		controlroom	-85.8	-0.3	17.7	-86	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		controlroom	-90.5	-0.3	13.7	6	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		controlroom	-94.3	-0.3	17.1	-86	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_scalelord		systemscontrol	-72.8	0	30.2	-43	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		systemscontrol	-82.1	9	1	69	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		systemscontrol	-99.8	9	1	-52	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_scalelord		powercore	-85.3	10.1	-16.3	-70	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-96.1	10.1	-20.5	36	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall01	-26.6	0	-9.2	177	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall01	-30.7	0	-15.4	161	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavemaintenance	3.4	-0.6	-57.8	-94	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavemaintenance	-14.2	0.1	-54.3	66	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavemaintenance	-5.1	0	-43.6	3	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavemaintenance	-3.2	0.4	-26.2	-111	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavemaintenance	-12.3	0.2	-29.1	-89	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall02	-31.7	0	-48.3	14	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall02	-44.1	0	-50.3	71	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall01	-27.6	-0.1	-28.9	-169	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		cavehall01	-23.1	0	-25.5	-20	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-80.2	0.1	-50.2	85	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-90.2	0.1	-60.4	176	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-100.2	0.1	-50	-90	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		powercore	-90.2	-9.9	-25.3	-98	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-85.3	-13.9	-43.7	-69	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_scalelord		powercore	-94.5	-13.9	-44.1	44	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-87.9	-13.9	-68.4	77	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-82	-13.9	-80.6	90	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-65.9	-13.9	-63.3	-45	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-115.9	0.1	-74	60	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		powercore	-103.9	0.1	-89.3	20	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		powercore	-95.9	0.1	-90.3	-22	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		barracksanteroom	-52.2	0	-111.1	49	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		barracksanteroom	-49.4	0	-102.4	76	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall05	10.3	0.2	-92.8	56	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall05	15.1	0.3	-96.8	-14	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall05	15	0	-89.9	-168	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		anteroom	45.6	0	-61.1	112	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavekitchen	23.2	0	-47.6	46	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavekitchen	21.3	-0.1	-29.1	-5	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavekitchen	4.8	0.1	-14.2	103	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavekitchen	9.4	-0.1	-9.8	166	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_captive		cavekitchen	49.4	0.2	-27.6	-169	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		techhall03	59.4	0	-29.1	0	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		techhall03	60	0	-25.8	179	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		techhall07	-39.8	0	-158	5	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		techhall07	-38.1	0	-154.1	-155	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		techhall07	-43	0	-156.8	76	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		barracks01	-48.6	0	-169	102	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		barracks01	-56	0	-181.6	141	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		barracks01	-65.1	0	-173	-55	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		barracks01	-68.4	0	-183	85	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		barracks02	-55.2	0	-141.5	103	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		barracks02	-52.7	0	-141.9	-76	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall07	-99.5	0	-154	-14	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall07	-96.6	0.4	-147.9	-17	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		cavehall07	-95.3	0.1	-153.2	-23	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall08	-120.6	0.1	-131.4	95	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall08	-118.6	0.1	-134.8	81	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall08	-98.9	0	-136.5	173	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		techhall03	-102.1	0	-133.7	-90	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		cavehall09	-132.4	0.1	-93.7	133	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		cavehall09	-129.5	0.1	-94.5	-90	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_jailer		securityoffice	-164	0.1	-104	154	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_jailer		securityoffice	-159.7	0	-109.1	-89	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_jailer		securityoffice	-155.9	0	-100.6	161	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_jailer		securityoffice	-162.5	0.1	-100.8	-95	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		commandhall04	-143.9	0.1	-52	-144	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		commandhall04	-137.7	0.1	-50.4	-81	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		commandhall04	-145	0	-47	-22	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandhall04	-144.3	0.1	-64.7	7	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		commandhall04	-148.7	0	-62.6	13	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandhall04	-148.3	0.1	-36.3	162	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandhall04	-144.6	0	-37.2	-175	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandcorridor	-163.6	0.1	-26.5	96	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_battleleader		commandcorridor	-174.8	0.1	-28.6	63	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandcorridor	-171.5	0	-22.8	88	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandcorridor	-161.6	0.1	-16.8	145	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		commandhall06	-171.7	0	1.3	-23	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		commandhall06	-170.3	0	6.1	-13	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		commandhall06	-174.5	0.1	17.9	165	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		commandhall06	-171.4	0	15.8	-176	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		navigationroom	-178.8	-0.3	31.6	122	theme_park.dungeon.generic_death		420
ep3_avatar_blackscale_captain		navigationroom	-186.2	0	44.8	-25	theme_park.dungeon.generic_death		420
ep3_avatar_blackscale_scalelord		navigationroom	-163.9	0	49.7	48	theme_park.dungeon.generic_death		420
ep3_avatar_blackscale_guard		navigationroom	-170.5	-0.3	44.3	-154	theme_park.dungeon.generic_death		420
ep3_avatar_wke_commando		commandhall07	-173	0.1	-66.4	-138	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_battleleader		commandhall07	-176	0	-71.3	11	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		commandhall07	-182.3	0.1	-71.2	83	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_battleleader		sensorsystems	-185.1	-0.1	-84.4	-162	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		sensorsystems	-190.8	-0.4	-89.7	-176	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		sensorsystems	-197.3	-0.1	-86.4	167	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		sensorsystems	-195.4	-0.1	-104.3	1	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_captain		sensorsystems	-189.9	0	-108.3	0	theme_park.dungeon.generic_death		1200
ep3_avatar_blackscale_guard		sensorsystems	-182.1	-0.1	-103.2	-21	theme_park.dungeon.generic_death		1200
object/tangible/quest/avatar_cold_storage.iff		barracks01	-70.6	0	-168.1	-180			
object/tangible/quest/avatar_foot_locker.iff		securityoffice	-150.7	0	-107.4	-90			
object/tangible/quest/avatar_locker_sr71.iff		generalstorage	-19.6	0	12.4	90			
object/tangible/quest/avatar_storage_case.iff		securestorage	18.6	0	17.9	-90			
object/tangible/quest/avatar_warm_storage.iff		barracks01	-70.6	0	-185	0			
object/building/kashyyyk/mun_kash_avatar_planet_hologram.iff		navigationroom	-173.2	7.9	39.1	0			
object/building/kashyyyk/thm_spc_asteroid_bunker_energy_door.iff		jails	-166	-0.3	-133.5	90	theme_park.dungeon.avatar_platform.cell_door_setup_01		
object/building/kashyyyk/thm_spc_asteroid_bunker_energy_door.iff		jails	-177	-0.3	-133.5	-90	theme_park.dungeon.avatar_platform.cell_door_setup_02		
object/building/kashyyyk/thm_spc_asteroid_bunker_energy_door.iff		jails	-166	-0.3	-144.5	90	theme_park.dungeon.avatar_platform.cell_door_setup_03		
object/building/kashyyyk/thm_spc_asteroid_bunker_energy_door.iff		jails	-177	-0.3	-144.5	-90	theme_park.dungeon.avatar_platform.cell_door_setup_04		
object/building/kashyyyk/thm_spc_asteroid_bunker_energy_door.iff		jails	-166	-0.3	-155.5	90	theme_park.dungeon.avatar_platform.cell_door_setup_05		
object/building/kashyyyk/thm_spc_asteroid_bunker_energy_door.iff		jails	-177	-0.3	-155.5	-90	theme_park.dungeon.avatar_platform.cell_door_setup_06		
ep3_avatar_wke_fighter		cavehall03	-57.7	0	68.5	-65	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		cavehall03	-55.7	0	72.5	-65	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_fighter		generalstorage	-28.7	0	30.1	136	theme_park.dungeon.generic_death		1200
ep3_avatar_wke_commando		generalstorage	-25.7	0	27.2	136	theme_park.dungeon.generic_death		1200
clone_droid		entrance	111	0	24.4	-128			
