death_watch_quenker		largeroom62	-172.48	-60	-232.24	-9	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_miner		medroom38	-42.01	-59.6	-174.05	21	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_miner		medroom38	-62.15	-59.97	-179.1	-102	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_miner		largeroom43	-98.43	-59.96	-277.71	118	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_miner		largeroom43	-88.38	-59.48	-302.14	-58	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_miner		largeroom43	-124.92	-59.91	-303.36	-144	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		largeroom43	-127.41	-59.85	-377.92	13	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		largeroom43	-99.19	-59.67	-357.63	19	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		largeroom43	-100.59	-60.06	-314.75	16	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom6	-79.29	-20	51.78	117	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		smallroom6	-70.76	-20	50.27	-60	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom7	-70.46	-20	-10.06	4	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom7	-76.86	-20	-10.29	4	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom7	-77.13	-20	12	-179	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom7	-70.26	-20	12.15	179	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall12	-59.65	-20	-53.11	-88	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		hall16	-58.78	-20	-40.93	-89	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		hall16	-23.37	-20	-40.71	97	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		filtrationroom18	-5.28	-20	-57.31	125	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		filtrationroom18	24.2	-20	-80.83	-39	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		hall22	28.17	-20	-93.85	-27	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_miner		tramroom23	-5.23	-32	-78.29	159	theme_park.dungeon.death_watch_bunker.death_watch_death		600	
death_watch_miner		tramroom23	16.46	-32	-96.1	-51	theme_park.dungeon.death_watch_bunker.death_watch_death		600	
mand_bunker_battle_droid		hall25	71.88	-32	-101.24	-91	theme_park.dungeon.death_watch_bunker.death_watch_death		600	
mand_bunker_super_battle_droid		hall31	-7.87	-52	-143.9	-4	theme_park.dungeon.death_watch_bunker.death_watch_death		600	
object/tangible/dungeon/death_watch_bunker/filter_dispenser.iff		lab64	-13.66	-52	-147.7	180				
object/tangible/dungeon/death_watch_bunker/workbench.iff		lab64	-15.78	-52	-147.5	180				
mand_bunker_medical_droid		smallroom15	-80.2	-20	-120.7	-37				
mand_bunker_workshop_droid		smallroom14	-112.4	-20	-100.6	45				
mand_bunker_technician		lab64	-19.03	-52	-160.73	0				
mand_bunker_foreman		largeroom41	28.39	-61.8	-300.2	-159				
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff	Tailor Crafting Room Entry Terminal	hall51	-151	-60	-99	180	theme_park.dungeon.death_watch_bunker.door_lock_crafting_tailor		0	string:room=medroom54
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff	Droid Engineer Crafting Room Entry Terminal	hall53	-230	-60	-124	90	theme_park.dungeon.death_watch_bunker.door_lock_crafting_de		0	string:room=storageroom56
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff	Armorsmith Crafting Room Entry Terminal	hall59	-232	-60	-220	90	theme_park.dungeon.death_watch_bunker.door_lock_crafting_armor		0	string:room=tramroom60
object/tangible/container/general/tech_chest.iff	Chest	smallroom4	-3.14	-12	36.5	180	theme_park.dungeon.death_watch_bunker.loot_chest		0	
object/tangible/dungeon/death_watch_bunker/coal_bin_container.iff		smallroom21	-2.39	-32	-27.8	90	theme_park.dungeon.death_watch_bunker.loot_chest			
object/tangible/dungeon/death_watch_bunker/coal_bin_container.iff		tramroom23	4.29	-32	-102.3	90	theme_park.dungeon.death_watch_bunker.loot_chest			
object/tangible/container/general/tech_bookcase.iff		smallroom_69	48.07	-32	-47.8	0	theme_park.dungeon.death_watch_bunker.loot_chest		
mand_bunker_super_battle_droid		observationroom17	-10.22	-32	-102.17	0	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		observationroom17	-9.61	-32	-51.76	-176	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		observationroom17	-45.34	-32	-102.3	0	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-90.49	-60.2	-260.55	-129	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-90.84	-60.31	-282.25	-18	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-97.45	-59.82	-306.06	21	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-112.82	-60.05	-319.88	-77	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-130.44	-60.12	-319.41	9	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-147.91	-60.13	-320.53	-67	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-163	-60.16	-315.24	-122	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-130.01	-60.07	-341.07	132	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-123.2	-59.99	-364.46	-158	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-110.31	-59.94	-377.42	105	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom43	-67.36	-60.07	-314.29	106	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall42	-43.48	-59.8	-296.8	91	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom40	-9.27	-60.08	-277.07	-23	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom40	-16.42	-60.09	-244.97	17	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom40	-7.78	-60.18	-225.43	-24	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom40	-13.07	-60.13	-212.92	13	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom47	-125.65	-60.05	-137.53	127	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom47	-119.13	-59.82	-137.53	127	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom47	-124.46	-60.2	-148.38	-179	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom47	-128.19	-60.14	-161.92	161	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-93.21	-59.79	-149.1	-69	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-78.26	-59.92	-130.97	72	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-71.2	-59.57	-125.2	-146	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-57.57	-59.71	-136.29	-143	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-63.56	-59.62	-151.12	-71	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-78.58	-59.89	-151.16	-37	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-51.84	-59.51	-124.22	148	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom48	-39.94	-59.99	-135.95	-119	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom50	-143.27	-60.04	-163.95	-25	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom50	-143.71	-59.94	-175.49	-86	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom50	-153.33	-59.97	-184.49	117	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom50	-143.84	-60.44	-200.33	-101	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom50	-152.9	-59.85	-209.19	12	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall51	-148.16	-59.8	-127.23	0	theme_park.dungeon.death_watch_bunker.death_watch_death		600
