skill	branch	id
force_sensitive_heightened_senses_persuasion_04	force_sensitive_heightened_senses_persuasion	14
force_sensitive_heightened_senses_luck_01	force_sensitive_heightened_senses_luck	15
force_sensitive_heightened_senses_luck_02	force_sensitive_heightened_senses_luck	15
force_sensitive_heightened_senses_luck_03	force_sensitive_heightened_senses_luck	15
force_sensitive_heightened_senses_luck_04	force_sensitive_heightened_senses_luck	15
force_sensitive_combat_prowess_novice	novice	
force_sensitive_combat_prowess_master	master	
force_sensitive_enhanced_reflexes_novice	novice	
force_sensitive_enhanced_reflexes_master	master	
force_sensitive_crafting_mastery_novice	novice	
force_sensitive_crafting_mastery_master	master	
force_sensitive_heightened_senses_novice	novice	
force_sensitive_heightened_senses_master	master	
