type	pulse	max_spawn	max_population	expire	spawn_template	min_number	max_number	weight	script
					shadow_outlaw_nonaggro	5	10	5	systems.fs_quest.fs_village_enemy_ai
					shadow_mercenary_nonaggro	2	3	3	systems.fs_quest.fs_village_enemy_ai
fs_village_abyss_medium	10	100	10	2500					
					shadow_thug_nonaggro	10	15	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	10	15	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	10	15	5	systems.fs_quest.fs_village_enemy_ai
					shadow_mercenary_nonaggro	3	5	3	systems.fs_quest.fs_village_enemy_ai
fs_village_abyss_large	10	100	15	2500					
					shadow_thug_nonaggro	15	20	1	systems.fs_quest.fs_village_enemy_ai
					shadow_pirate_nonaggro	15	20	3	systems.fs_quest.fs_village_enemy_ai
					shadow_outlaw_nonaggro	15	20	5	systems.fs_quest.fs_village_enemy_ai
					shadow_mercenary_nonaggro	5	10	3	systems.fs_quest.fs_village_enemy_ai
fs_villagers	180	100	2	2500					
					fs_villager_target_female	2	3	1	
					fs_villager_target_male	2	3	1	
fs_counterstrike_small	10	10	10	30					
					shadow_thug_nonaggro	3	5	2	systems.fs_quest.fs_camp_guard_ai
					shadow_thug_nonaggro	3	5	2	systems.fs_quest.fs_camp_guard_ai
					shadow_thug_nonaggro	0	1	1	systems.fs_quest.fs_camp_guard_ai
fs_counterstrike_medium	10	15	15	30					
					shadow_thug_nonaggro	5	7	2	systems.fs_quest.fs_camp_guard_ai
					shadow_thug_nonaggro	5	7	2	systems.fs_quest.fs_camp_guard_ai
					shadow_thug_nonaggro	0	2	1	systems.fs_quest.fs_camp_guard_ai
fs_counterstrike_loot	120	5	5	1200					
					shadow_thug_nonaggro	1	1	1	systems.fs_quest.phase3_disk_loot
					shadow_pirate_nonaggro	2	3	2	systems.fs_quest.phase3_disk_loot
					shadow_outlaw_nonaggro	2	3	2	systems.fs_quest.phase3_disk_loot
