saddle_appearance_name	seat_index	rider_pose	comments
appearance/speeder_tantive4.apt	2	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	3	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	4	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	5	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	6	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	7	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	8	vehicle_landspeeder_passenger	""""
appearance/lava_skiff.apt	1	vehicle_landspeeder_lars	"two entries for this 2-seater ""saddle"""
appearance/lava_skiff.apt	2	vehicle_landspeeder_backseat	""""
appearance/pvp_rebel_barc.apt	1	vehicle_barc_speeder	one and only entry for this 1-seater saddle
appearance/pvp_imperial_barc.apt	1	vehicle_barc_speeder	one and only entry for this 1-seater saddle
appearance/walker_at_rt_reg.apt	1	all_b_mnt_ride_at_rt	one and only entry for this 1-seater saddle
appearance/pv_walker_at_rt_camo.sat	1	vehichle_at_rt	one and only entry for this 1-seater saddle
appearance/light_bending_barc_speeder.apt	1	vehicle_barc_speeder	one and only entry for this 1-seater saddle
appearance/gasgano_pod_racer.sat	1	vehicle_podracer_01	one and only entry for this 1-seater saddle
appearance/mawhonical_pod_racer.sat	1	vehicle_podracer_02	one and only entry for this 1-seater saddle
appearance/yodas_levitator.apt	1	vehicle_hover_chair	should be an indian style sitting pose
appearance/sith_speeder.apt	1	vehicle_sith_speeder	one and only entry for this 1-seater saddle
appearance/bail_organa_speeder.apt	1	vehicle_organa_speeder	
appearance/mechno_chair.apt	1	vehicle_mechno_chair	one and only entry for this 1-seater saddle
appearance/bail_organa_speeder.apt	2	vehicle_organa_speeder_passenger	
appearance/pv_snowspeeder.sat	1	vehicle_hover_chair	one and only entry for this 1-seater saddle
appearance/pv_at_st.sat	1	vehicle_hover_chair	"two entries for this 2-seater ""saddle"""
appearance/pv_at_st.sat	2	vehicle_hover_chair	""""
appearance/stap_speeder.apt	1	vehicle_stap_speeder	one and only entry for this 1-seater saddle
appearance/ipg_podracer.sat	1	vehicle_ipg_podracer	one and only entry for this 1-seater saddle
appearance/zam_speeder.apt	1	vehicle_zam_speeder	
appearance/zam_speeder.apt	2	vehicle_zam_speeder_passenger	
appearance/swamp_speeder.apt	1	vehicle_swamp_speeder	
appearance/swamp_speeder.apt	2	vehicle_swamp_speeder	
appearance/mandalorian_jetpack.apt	1	vehicle_jetpack	one and only entry for this 1-seater saddle
appearance/geonosian_speeder.apt	1	vehicle_geonosian_speeder	one and only entry for this 1-seater saddle
appearance/senate_pod.apt	1	space_sitting	
appearance/senate_pod.apt	2	space_sitting	
appearance/senate_pod.apt	3	space_sitting	
appearance/senate_pod.apt	4	space_sitting	
appearance/senate_pod.apt	5	space_sitting	
appearance/senate_pod.apt	6	space_sitting	
appearance/mnt_saddle_bird_s01.apt	1	saddle_bird_01	
appearance/pv_at_xt.sat	1	vehicle_ipg_podracer	one and only entry for this 1-seater saddle
appearance/speeder_tantive_x.apt	1	vehicle_landspeeder	"8 entries for this 8-seater ""saddle"""
appearance/speeder_tantive_x.apt	2	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive_x.apt	3	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive_x.apt	4	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive_x.apt	5	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive_x.apt	6	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive_x.apt	7	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive_x.apt	8	vehicle_landspeeder_passenger	""""
appearance/balta_podracer.sat	1	vehicle_podracer_04	
appearance/pv_ma3_mark_2_vehicle.sat	1	vehicle_ma3_mark_2_vehicle	mark 2 mining droid
appearance/xj6_air_speeder.apt	1	vehicle_xj6_air_speeder	
appearance/xj6_air_speeder.apt	2	vehicle_xj6_air_speeder_passenger	
appearance/fg_8t8_podracer.apt	1	vehicle_fg_8t8_podracer	
appearance/air2_swoop_speeder.apt	1	vehicle_air2_swoop_speeder	
appearance/basilisk_war_droid.sat	1	vehicle_basilisk_war_droid	
appearance/lb_gasgano_pod_racer.sat	1	vehicle_podracer_01	one and only entry for this 1-seater saddle
appearance/speeder_usv5_s02.apt	1	vehicle_landspeeder	"5 entries for this 5-seater ""saddle"""
appearance/speeder_usv5_s02.apt	2	vehicle_landspeeder_backseat	""""
appearance/speeder_usv5_s02.apt	3	vehicle_landspeeder_backseat	""""
appearance/speeder_usv5_s02.apt	4	vehicle_landspeeder_backseat	""""
appearance/speeder_usv5_s02.apt	5	vehicle_landspeeder_backseat	""""
appearance/anakin_podracer.sat	1	vehicle_anakin_podracer	one and only entry for this 1-seater saddle
appearance/flare_s_swoop.apt	1	vehicle_flare_swoop	
appearance/hoverlifter_speeder.apt	1	vehicle_hoverlifter	driver
appearance/hoverlifter_speeder.apt	2	vehicle_ma3_mark_2_vehicle	back seat 1
appearance/hoverlifter_speeder.apt	3	vehicle_ma3_mark_2_vehicle	back seat 2
appearance/hoverlifter_speeder.apt	4	vehicle_ma3_mark_2_vehicle	back seat 3
appearance/hoverlifter_speeder.apt	5	vehicle_ma3_mark_2_vehicle	back seat 4
appearance/hoverlifter_speeder.apt	6	vehicle_ma3_mark_2_vehicle	back seat 5
appearance/grievous_wheel_bike.sat	1	vehicle_grievous_wheel_bike	driver
appearance/grievous_wheel_bike.sat	2	vehicle_grievous_wheel_bike	passenger
appearance/ric_920_speeder.sat	1	vehicle_ric_920_speeder	driver
appearance/ric_920_speeder.sat	2	vehicle_ric_920_speeder	passenger
appearance/a1_deluxe_floater.apt	1	vehicle_landspeeder	
appearance/a1_deluxe_floater.apt	2	vehicle_landspeeder_passenger	
appearance/jetpack_hk47_tcg.apt	1	vehicle_jetpack	one and only entry for this 1-seater saddle
appearance/enclosed_military_vehicle.apt	1	vehicle_ma3_mark_2_vehicle	
appearance/enclosed_military_vehicle.apt	2	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	3	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	4	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	5	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	6	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	7	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	8	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	9	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	10	vehicle_landspeeder_backseat	
appearance/enclosed_military_vehicle.apt	11	vehicle_landspeeder_backseat	
appearance/republic_gunship.apt	1	vehicle_republic_gunship_driver	
appearance/republic_gunship.apt	2	vehicle_republic_gunship_passenger	
appearance/republic_gunship.apt	3	vehicle_republic_gunship_passenger	
appearance/republic_gunship.apt	4	vehicle_republic_gunship_passenger	
appearance/republic_gunship.apt	5	vehicle_republic_gunship_passenger
appearance/republic_gunship.apt	6	vehicle_republic_gunship_passenger
appearance/republic_gunship.apt	7	vehicle_republic_gunship_passenger
appearance/republic_gunship.apt	8	vehicle_republic_gunship_passenger
appearance/republic_gunship.apt	9	vehicle_republic_gunship_passenger
appearance/republic_gunship.apt	10	vehicle_republic_gunship_passenger
appearance/republic_gunship.apt	11	vehicle_republic_gunship_passenger
appearance/atpt.sat	1	vehicle_hover_chair
