# pixel program	sampler stage	effects
pixel_program/a_envmask_specmap_detail_ps20_nodot3.psh	3	a_envmask_specmap_detail.eft
pixel_program/a_envmask_specmap_ps11.psh	2	a_envmask_specmap.eft,a_envmask_specmap_cbmp.eft,a_irid.eft
pixel_program/a_envmask_specmap_ps20.psh	2	a_envmask_specmap.eft,a_irid.eft
pixel_program/a_envmask_specmap_ps20_nodot3.psh	2	a_envmask_specmap.eft,a_envmask_specmap_cbmp.eft,a_irid.eft
pixel_program/a_lava_envmask_ps14.psh	2	a_lava_envmask.eft
pixel_program/a_punchout_envmask_ps20.psh	2	a_punchout_envmask.eft
pixel_program/a_punchout_envmask_ps20_nodot3.psh	2	a_punchout_envmask.eft
pixel_program/a_screen_envmask_specmap.psh	1	a_screen_envmask_specmap.eft
pixel_program/envmask_specmap.psh	1	c_envmask_specmap.eft,c_irid.eft
pixel_program/envmask_specmap_detail.psh	1	c_envmask_specmap_detail.eft
pixel_program/envmask_specmap_detail_emismap.psh	1	c_envmask_specmap_detail_emismap.eft
pixel_program/h_alpha_color2_envmask_ps11.psh	3	h_alpha_color2_envmask_specmap.eft,h_alpha_color2_envmask_specmap_prealpha.eft
pixel_program/h_alpha_color2_envmask_ps20.psh	3	h_alpha_color2_envmask_specmap.eft,h_alpha_color2_envmask_specmap_prealpha.eft
pixel_program/h_alpha_color2_envmask_specmap_ps11.psh	3	h_alpha_color2_envmask_specmap.eft,h_alpha_color2_envmask_specmap_prealpha.eft
pixel_program/h_color2_envmask_specmap_aniso_ps11.psh	2	h_color2_envmask_specmap_aniso.eft
pixel_program/h_color2_envmask_specmap_aniso_ps20.psh	2	h_color2_envmask_specmap_aniso.eft
pixel_program/h_color2_envmask_specmap_aniso_ps20_nodot3.psh	2	h_color2_envmask_specmap_aniso.eft
pixel_program/h_color2_envmask_specmap_cbmp_ps20.psh	3	h_color2_envmask_specmap_cbmp.eft
pixel_program/h_color2_envmask_specmap_emismap_ps11.psh	3	h_color2_envmask_specmap_emismap.eft
pixel_program/h_color2_envmask_specmap_emismap_ps20.psh	3	h_color2_envmask_specmap_emismap.eft
pixel_program/h_color2_envmask_specmap_emismap_ps20_nodot3.psh	3	h_color2_envmask_specmap_emismap.eft
pixel_program/h_color2_envmask_specmap_ps11.psh	2	h_color2_envmask_specmap.eft,h_color2_envmask_specmap_cbmp.eft
pixel_program/h_color2_envmask_specmap_ps20.psh	2	h_color2_envmask_specmap.eft
pixel_program/h_color2_envmask_specmap_ps20_nodot3.psh	2	h_color2_envmask_specmap.eft,h_color2_envmask_specmap_cbmp.eft
pixel_program/h_color2w_envmask_specmap_cbmp_ps20.psh	4	h_color2w_envmask_specmap_cbmp.eft
pixel_program/h_color2w_envmask_specmap_ps11.psh	3	h_color2w_envmask_specmap_cbmp.eft
pixel_program/h_color2w_envmask_specmap_ps20_nodot3.psh	3	h_color2w_envmask_specmap_cbmp.eft
pixel_program/h_envmask_pp_ps20.psh	1	h_envmask.eft
pixel_program/h_envmask_ps11.psh	1	h_envmask.eft
pixel_program/h_envmask_specmap_aniso_ps11.psh	2	h_envmask_specmap_aniso.eft
pixel_program/h_envmask_specmap_aniso_ps20.psh	2	h_envmask_specmap_aniso.eft
pixel_program/h_envmask_specmap_aniso_ps20_nodot3.psh	2	h_envmask_specmap_aniso.eft
pixel_program/h_envmask_specmap_ps11.psh	2	h_envmask_specmap.eft
pixel_program/h_envmask_specmap_ps20.psh	2	h_envmask_specmap.eft
pixel_program/h_envmask_specmap_ps20_nodot3.psh	2	h_envmask_specmap.eft
pixel_program/mt_lerp.psh	1	c_envmask.eft
pixel_program/mt_lerp_s.psh	1	c_envmask_spec.eft
pixel_program/water_pass2_20.psh	3	water.eft
pixel_program/water_pass2_25.psh	2	water.eft
pixel_program/water_pass2_ps20.psh	3	water.eft
