strType	strComments	fltCurrentEnergy	fltMaximumEnergyModifier	fltMaximumEnergy	fltRechargeRateModifier	fltRechargeRate	fltConsumptionRateModifier	fltConsumptionRate	fltAccelerationModifier	fltAcceleration	fltMaxSpeedModifier	fltMaxSpeed	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/booster/bst_corellian_tuned_heavy_thrust_enhancer.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_cygnus_flashboost3.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_cygnus_flashboost4.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_freitek_outrunner_x1.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_gallofree_light.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_incom_deluxe_fynock.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_incom_elite_sls_1.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_incom_enhanced_mynock.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_incom_fynock.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_incom_intimidator_mk1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_incom_intimidator_mk2.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_incom_intimidator_mk3.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_incom_intimidator_mk4.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_incom_mynock.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_incom_nkj31.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_incom_performance_nkj31.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_incom_sls_1.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_incom_supercharged_vynock.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_incom_vynock.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_kde_br12.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_kessel_imperial_cygnus_hyperthrust.iff	Do not edit.	1464.1	0.0001	1464.1	0.0001	36.6	0.0001	146.41	0.0001	29.28	0.0001	22.77	1100.38	1100.38	0.0001	550.19	550.19	1	0.0001	600	0.0001	37440	9
object/tangible/ship/components/booster/bst_kessel_imperial_sds_experimental_b7.iff	Do not edit.	2196.15	0.0001	2196.15	0.0001	54.9	0.0001	219.615	0.0001	43.92	0.0001	34.155	1650.57	1650.57	0.0001	825.285	825.285	1	0.0001	600	0.0001	45120	10
object/tangible/ship/components/booster/bst_kessel_imperial_sfs_ultra_thrust.iff	Do not edit.	1464.1	0.0001	1464.1	0.0001	36.6	0.0001	146.41	0.0001	29.28	0.0001	22.77	1100.38	1100.38	0.0001	550.19	550.19	1	0.0001	600	0.0001	37440	9
object/tangible/ship/components/booster/bst_kessel_rebel_incom_quicksilver.iff	Do not edit.	1464.1	0.0001	1464.1	0.0001	36.6	0.0001	146.41	0.0001	29.28	0.0001	22.77	1100.38	1100.38	0.0001	550.19	550.19	1	0.0001	600	0.0001	37440	9
object/tangible/ship/components/booster/bst_kessel_rebel_incom_windrunner.iff	Do not edit.	2196.15	0.0001	2196.15	0.0001	54.9	0.0001	219.615	0.0001	43.92	0.0001	34.155	1650.57	1650.57	0.0001	825.285	825.285	1	0.0001	600	0.0001	45120	10
object/tangible/ship/components/booster/bst_kessel_rebel_mandal_lightning_m1.iff	Do not edit.	1464.1	0.0001	1464.1	0.0001	36.6	0.0001	146.41	0.0001	29.28	0.0001	22.77	1100.38	1100.38	0.0001	550.19	550.19	1	0.0001	600	0.0001	37440	9
object/tangible/ship/components/booster/bst_koensayr_advanced.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_koensayr_charged_advanced.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_koensayr_deluxe_elite.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_koensayr_elite.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_koensayr_evh12.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_koensayr_heavy.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_koensayr_improved_standard.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_koensayr_modified_heavy.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_koensayr_racer_mk1.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_koensayr_racer_mk2.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_koensayr_racer_mk3.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_koensayr_racer_mk4.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_koensayr_special_evh12.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_koensayr_standard.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_kse_als_1.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_kse_bti1.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_kse_bti2.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_kse_bti3.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_kse_cb6.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_kse_deluxe_bti3.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_kse_elite_als_1.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_kse_enhanced_bti2.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_kse_performance_bti1.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_kse_performance_cb6.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_kuat_military_mk1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_kuat_military_mk2.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_kuat_military_mk3.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_kuat_military_mk4.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_mandal_deluxe_jbj_mk4.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_mandal_enhanced_jbj_mk1.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_mandal_improved_jbj_mk3.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_mandal_jbj_mk1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_mandal_jbj_mk2.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_mandal_jbj_mk3.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_mandal_jbj_mk4.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_mandal_jbj_mk5.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_mandal_limited_jbj_mk5.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_mandal_modified_jbj_mk2.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_mission_reward_imperial_rss_ion_booster.iff	Do not edit.	1980	0.0001	1980	0.0001	49.5	0.0001	198	0.0001	36.3	0.0001	24.975	672.75	672.75	0.0001	336.375	336.375	1	0.0001	450	0.0001	3150	4
object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_m_series.iff	Do not edit.	1980	0.0001	1980	0.0001	49.5	0.0001	198	0.0001	36.3	0.0001	24.975	672.75	672.75	0.0001	336.375	336.375	1	0.0001	450	0.0001	3150	4
object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_q_series.iff	Do not edit.	2395.8	0.0001	2395.8	0.0001	59.904	0.0001	239.58	0.0001	43.923	0.0001	30.765	1681.974	1681.974	0.0001	840.987	840.987	1	0.0001	600	0.0001	26208	8
object/tangible/ship/components/booster/bst_mission_reward_rebel_novaldex_hypernova.iff	Do not edit.	1980	0.0001	1980	0.0001	49.5	0.0001	198	0.0001	36.3	0.0001	24.975	672.75	672.75	0.0001	336.375	336.375	1	0.0001	450	0.0001	3150	4
object/tangible/ship/components/booster/bst_mission_reward_rebel_qualdex_halcyon.iff	Do not edit.	2395.8	0.0001	2395.8	0.0001	59.904	0.0001	239.58	0.0001	43.923	0.0001	30.765	1681.974	1681.974	0.0001	840.987	840.987	1	0.0001	600	0.0001	26208	8
object/tangible/ship/components/booster/bst_moncal_advanced.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_moncal_charged_heavy.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_moncal_deluxe_standard.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_moncal_elite.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_moncal_enhanced_elite.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_moncal_heavy.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_moncal_jlc37.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_moncal_limited_jlc37.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_moncal_rare_advanced.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_moncal_standard.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_novaldex_pulsar.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_novaldex_pulsar_advanced.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_novaldex_quasar.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_novaldex_quasar_advanced.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_qualdex_xboost_mk1.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_qualdex_xboost_mk2.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_qualdex_xboost_mk3.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_qualdex_xboost_mk4.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_rss_special.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_sap_imperial_1.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_sap_imperial_2.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_sds_enhanced_imperial_2.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_sfs_imperial_1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_sfs_imperial_2.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_slayn_ion_booster_mk1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_sorosuub_enhanced_liberator_mk4.iff	Do not edit.	1996.5	0.1	1996.5	0.1	49.92	0.1	199.65	0.04	39.93	0.03	30.765	1401.645	1401.645	0.05	700.8225	700.8225	1	0.15	575	0.15	25116	8
object/tangible/ship/components/booster/bst_sorosuub_improved_liberator_mk2.iff	Do not edit.	1650	0.1	1650	0.1	41.25	0.1	165	0.04	33	0.03	24.975	517.5	517.5	0.05	258.75	258.75	1	0.15	525	0.15	3675	4
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk2.iff	Do not edit.	1100	0.1	1100	0.1	27.5	0.1	110	0.04	22	0.03	16.65	345	345	0.05	172.5	172.5	1	0.15	525	0.15	2100	3
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk3.iff	Do not edit.	1210	0.1	1210	0.1	30.25	0.1	121	0.04	24.2	0.03	18.48	634.8	634.8	0.05	317.4	317.4	1	0.15	550	0.15	5500	5
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk4.iff	Do not edit.	1331	0.1	1331	0.1	33.28	0.1	133.1	0.04	26.62	0.03	20.51	934.43	934.43	0.05	467.215	467.215	1	0.15	575	0.15	14352	7
object/tangible/ship/components/booster/bst_sorosuub_liberator_mk5.iff	Do not edit.	1464.1	0.1	1464.1	0.1	36.6	0.1	146.41	0.04	29.28	0.03	22.77	1100.38	1100.38	0.05	550.19	550.19	1	0.15	600	0.15	37440	9
object/tangible/ship/components/booster/bst_sorosuub_prized_liberator_mk1.iff	Do not edit.	1500	0.1	1500	0.1	37.5	0.1	150	0.04	30	0.03	22.5	225	225	0.05	112.5	112.5	1	0.15	500	0.15	1400	2
object/tangible/ship/components/booster/bst_sorosuub_supercharged_liberator_mk3.iff	Do not edit.	1815	0.1	1815	0.1	45.375	0.1	181.5	0.04	36.3	0.03	27.72	952.2	952.2	0.05	476.1	476.1	1	0.15	550	0.15	9614	6
object/tangible/ship/components/booster/bst_sorosuub_well_tuned_liberator_mk5.iff	Do not edit.	2196.15	0.1	2196.15	0.1	54.9	0.1	219.615	0.04	43.92	0.03	34.155	1650.57	1650.57	0.05	825.285	825.285	1	0.15	600	0.15	45120	10
object/tangible/ship/components/booster/bst_subpro_accelatron_mk1.iff	Do not edit.	1000	0.1	1000	0.1	25	0.1	100	0.04	20	0.03	15	150	150	0.05	75	75	1	0.15	500	0.15	800	1
