strType	strComments	fltShieldRechargeRateModifier	fltShieldRechargeRate	fltShieldHitpointsMaximumFrontModifier	fltShieldHitpointsMaximumFront	fltShieldHitpointsMaximumBackModifier	fltShieldHitpointsMaximumBack	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/shield_generator/shd_dual_deflector_s2.iff	Do not edit.	0.15	1.64	0.345	200	0.345	200	150	150	0.05	75	75	1	0.3	2556	0.2	1100	1
object/tangible/ship/components/shield_generator/shd_gallofree_defender_2.iff	Do not edit.	0.27	10.903	0.33	1654.716	0.33	1654.716	1284.841	1284.841	0.05	642.4205	642.4205	1	0.3	2931	0.2	43543.5	8
object/tangible/ship/components/shield_generator/shd_gallofree_defender_elite.iff	Do not edit.	0.26	13.937	0.2	2063.216	0.2	2063.216	1375.475	1375.475	0.05	687.7375	687.7375	1	0.3	3056	0.2	62040	10
object/tangible/ship/components/shield_generator/shd_incom_mark2.iff	Do not edit.	0.24	1.52	0.341	200	0.341	200	150	150	0.03	75	75	1	0.3	2556	0.2	1210	1
object/tangible/ship/components/shield_generator/shd_incom_mark5.iff	Do not edit.	0.26	1.52	0.341	200	0.341	200	150	150	0.03	75	75	1	0.3	2556	0.2	1320	1
object/tangible/ship/components/shield_generator/shd_incom_mark9.iff	Do not edit.	0.28	1.52	0.341	200	0.341	200	150	150	0.03	75	75	1	0.3	2556	0.2	1430	1
object/tangible/ship/components/shield_generator/shd_incom_rayshield_advanced.iff	Do not edit.	0.26	9.47	0.341	1245.904	0.341	1245.904	934.43	934.43	0.05	467.215	467.215	1	0.3	2931	0.1	19734	7
object/tangible/ship/components/shield_generator/shd_incom_rayshield_r4.iff	Do not edit.	0.26	1.9	0.35	250	0.35	250	187.5	187.5	0.05	93.75	93.75	1	0.3	2556	0.2	2117.5	2
object/tangible/ship/components/shield_generator/shd_incom_rayshield_r7.iff	Do not edit.	0.26	1.9	0.35	250	0.35	250	178.125	178.125	0.05	89.0625	89.0625	1	0.3	2556	0.2	2021.25	2
object/tangible/ship/components/shield_generator/shd_incom_rayshield_x1.iff	Do not edit.	0.26	3.496	0.341	460	0.341	460	345	345	0.05	172.5	172.5	1	0.3	2681	0.1	2887.5	3
object/tangible/ship/components/shield_generator/shd_incom_rayshield_x12.iff	Do not edit.	0.26	6.43	0.2	952.2	0.2	952.2	634.8	634.8	0.05	317.4	317.4	1	0.3	2806	0.2	7562.5	5
object/tangible/ship/components/shield_generator/shd_incom_rayshield_x2.iff	Do not edit.	0.26	3.496	0.341	460	0.341	460	345	345	0.05	172.5	172.5	1	0.2	2681	0.2	2887.5	3
object/tangible/ship/components/shield_generator/shd_incom_rayshield_x5.iff	Do not edit.	0.24	3.496	0.341	460	0.341	460	345	345	0.03	172.5	172.5	1	0.3	2681	0.2	3025	3
object/tangible/ship/components/shield_generator/shd_incom_rayshield_x7.iff	Do not edit.	0.27	4.025	0.33	610.938	0.33	610.938	474.375	474.375	0.05	237.1875	237.1875	1	0.3	2681	0.2	6256.25	4
object/tangible/ship/components/shield_generator/shd_incom_rayshield_x9.iff	Do not edit.	0.26	4.37	0.341	575	0.341	575	431.25	431.25	0.05	215.625	215.625	1	0.3	2681	0.2	5053.125	4
object/tangible/ship/components/shield_generator/shd_incom_rayshield_z1.iff	Do not edit.	0.26	5.922	0.341	740.6	0.341	740.6	825.24	825.24	0.07	412.62	412.62	1	0.3	2806	0.2	8937.5	5
object/tangible/ship/components/shield_generator/shd_incom_rayshield_z5.iff	Do not edit.	0.26	8.037	0.35	1058	0.35	1058	753.825	753.825	0.05	376.9125	376.9125	1	0.3	2806	0.2	13820.125	6
object/tangible/ship/components/shield_generator/shd_incom_rayshield_z7.iff	Do not edit.	0.27	8.037	0.35	1058	0.35	1058	714.15	714.15	0.05	357.075	357.075	1	0.3	2875	0.2	14421	6
object/tangible/ship/components/shield_generator/shd_incom_techscreen_1.iff	Do not edit.	0.22	11.837	0.32	1557.38	0.32	1557.38	1168.037	1168.037	0.04	584.0185	584.0185	1	0.2	2931	0.1	34534.5	8
object/tangible/ship/components/shield_generator/shd_incom_techscreen_2.iff	Do not edit.	0.26	11.149	0.35	1467.176	0.35	1467.176	1045.361	1045.361	0.05	522.6805	522.6805	1	0.3	3056	0.2	53625	9
object/tangible/ship/components/shield_generator/shd_incom_techscreen_elite.iff	Do not edit.	0.26	13.937	0.341	1833.97	0.341	1833.97	1375.475	1375.475	0.03	687.7375	687.7375	1	0.3	3056	0.2	72380	10
object/tangible/ship/components/shield_generator/shd_interlaced_graviton.iff	Do not edit.	0.28	11.149	0.341	1467.176	0.341	1467.176	1100.38	1100.38	0.03	550.19	550.19	1	0.3	3056	0.2	64350	9
object/tangible/ship/components/shield_generator/shd_kessel_imperial_cygnus_experimental_system.iff	Do not edit.	0.26	11.149	0.341	1467.176	0.341	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.2	3056	0.2	51480	9
object/tangible/ship/components/shield_generator/shd_kessel_imperial_sds_secret_ops.iff	Do not edit.	0.27	12.836	0.33	1948.593	0.33	1948.593	1513.023	1513.023	0.05	756.5115	756.5115	1	0.3	3056	0.2	77550	10
object/tangible/ship/components/shield_generator/shd_kessel_imperial_sfs_megapolyweb.iff	Do not edit.	0.26	11.149	0.341	1467.176	0.341	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.3	3056	0.1	51480	9
object/tangible/ship/components/shield_generator/shd_kessel_rebel_incom_rayshield_overdriver.iff	Do not edit.	0.26	11.149	0.341	1467.176	0.341	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.3	3056	0.2	51480	9
object/tangible/ship/components/shield_generator/shd_kessel_rebel_sorosuub_ion_mesh_projection.iff	Do not edit.	0.26	12.836	0.341	1604.724	0.341	1604.724	1788.118	1788.118	0.07	894.059	894.059	1	0.3	3056	0.2	62040	10
object/tangible/ship/components/shield_generator/shd_kessel_rebel_unknown_proton_interweave_system.iff	Do not edit.	0.26	12.47	0.341	1467.176	0.341	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.35	3125	0.2	51480	9
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_advanced.iff	Do not edit.	0.15	12.772	0.345	1557.38	0.345	1557.38	1168.037	1168.037	0.05	584.0185	584.0185	1	0.3	2931	0.2	34534.5	8
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_elite.iff	Do not edit.	0.24	13.937	0.341	1833.97	0.341	1833.97	1375.475	1375.475	0.03	687.7375	687.7375	1	0.3	3056	0.2	67210	10
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m1.iff	Do not edit.	0.22	1.52	0.32	200	0.32	200	150	150	0.04	75	75	1	0.2	2556	0.1	1100	1
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m2.iff	Do not edit.	0.15	3.772	0.345	460	0.345	460	345	345	0.05	172.5	172.5	1	0.3	2681	0.2	2887.5	3
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m3.iff	Do not edit.	0.22	6.43	0.32	846.4	0.32	846.4	634.8	634.8	0.04	317.4	317.4	1	0.2	2806	0.1	7562.5	5
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m6.iff	Do not edit.	0.26	8.037	0.35	1058	0.35	1058	793.5	793.5	0.05	396.75	396.75	1	0.3	2806	0.2	14421	6
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m8.iff	Do not edit.	0.26	10.217	0.341	1245.904	0.341	1245.904	934.43	934.43	0.05	467.215	467.215	1	0.35	3125	0.2	19734	7
object/tangible/ship/components/shield_generator/shd_koensayr_improved_deflector_m1.iff	Do not edit.	0.26	1.9	0.341	250	0.341	250	187.5	187.5	0.05	93.75	93.75	1	0.3	2556	0.1	1925	2
object/tangible/ship/components/shield_generator/shd_koensayr_modified_deflector_advanced.iff	Do not edit.	0.26	11.149	0.35	1467.176	0.35	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.3	3056	0.2	55770	9
object/tangible/ship/components/shield_generator/shd_kse_elite.iff	Do not edit.	0.27	13.937	0.35	1833.97	0.35	1833.97	1237.928	1237.928	0.05	618.964	618.964	1	0.3	3000	0.2	67210	10
object/tangible/ship/components/shield_generator/shd_kse_enhanced_military_mk1.iff	Do not edit.	0.26	1.9	0.341	250	0.341	250	187.5	187.5	0.05	93.75	93.75	1	0.2	2556	0.2	1925	2
object/tangible/ship/components/shield_generator/shd_kse_military_mk1.iff	Do not edit.	0.26	1.52	0.2	225	0.2	225	150	150	0.05	75	75	1	0.3	2556	0.2	1100	1
object/tangible/ship/components/shield_generator/shd_kse_military_mk2.iff	Do not edit.	0.22	3.496	0.32	460	0.32	460	345	345	0.04	172.5	172.5	1	0.2	2681	0.1	2887.5	3
object/tangible/ship/components/shield_generator/shd_kse_mk3.iff	Do not edit.	0.26	6.43	0.341	846.4	0.341	846.4	634.8	634.8	0.05	317.4	317.4	1	0.3	2806	0.1	7562.5	5
object/tangible/ship/components/shield_generator/shd_kse_mk4.iff	Do not edit.	0.26	8.037	0.2	1190.25	0.2	1190.25	793.5	793.5	0.05	396.75	396.75	1	0.3	2806	0.2	13219.25	6
object/tangible/ship/components/shield_generator/shd_kse_mk5.iff	Do not edit.	0.28	9.47	0.341	1245.904	0.341	1245.904	934.43	934.43	0.03	467.215	467.215	1	0.3	2931	0.2	24882	7
object/tangible/ship/components/shield_generator/shd_kse_mk6.iff	Do not edit.	0.26	11.837	0.341	1557.38	0.341	1557.38	1168.037	1168.037	0.05	584.0185	584.0185	1	0.3	2931	0.2	34534.5	8
object/tangible/ship/components/shield_generator/shd_kse_mk7.iff	Do not edit.	0.22	11.149	0.32	1467.176	0.32	1467.176	1100.38	1100.38	0.04	550.19	550.19	1	0.2	3056	0.1	51480	9
object/tangible/ship/components/shield_generator/shd_mandal_double_protector_mk1.iff	Do not edit.	0.24	1.9	0.341	250	0.341	250	187.5	187.5	0.03	93.75	93.75	1	0.3	2556	0.2	2117.5	2
object/tangible/ship/components/shield_generator/shd_mandal_flexshield_ks25.iff	Do not edit.	0.28	8.037	0.341	1058	0.341	1058	793.5	793.5	0.03	396.75	396.75	1	0.3	2806	0.2	16824.5	6
object/tangible/ship/components/shield_generator/shd_mandal_flexshield_ks5.iff	Do not edit.	0.24	6.43	0.341	846.4	0.341	846.4	634.8	634.8	0.03	317.4	317.4	1	0.3	2806	0.2	8250	5
object/tangible/ship/components/shield_generator/shd_mandal_flexshield_ks7.iff	Do not edit.	0.26	9.47	0.341	1245.904	0.341	1245.904	934.43	934.43	0.05	467.215	467.215	1	0.3	2931	0.2	19734	7
object/tangible/ship/components/shield_generator/shd_mandal_flexshield_kx1.iff	Do not edit.	0.15	12.772	0.341	1557.38	0.341	1557.38	1168.037	1168.037	0.05	584.0185	584.0185	1	0.3	2931	0.2	34534.5	8
object/tangible/ship/components/shield_generator/shd_mandal_protector_mk1.iff	Do not edit.	0.26	1.4	0.341	175	0.341	175	195	195	0.07	97.5	97.5	1	0.3	2556	0.2	1320	1
object/tangible/ship/components/shield_generator/shd_mandalor_flexshield_ks1.iff	Do not edit.	0.15	3.772	0.341	460	0.341	460	345	345	0.05	172.5	172.5	1	0.3	2681	0.2	2887.5	3
object/tangible/ship/components/shield_generator/shd_mandalor_flexshield_ks18.iff	Do not edit.	0.15	6.937	0.345	846.4	0.345	846.4	634.8	634.8	0.05	317.4	317.4	1	0.3	2806	0.2	7562.5	5
object/tangible/ship/components/shield_generator/shd_mandalor_flexshield_ks3.iff	Do not edit.	0.26	4.025	0.341	503.125	0.341	503.125	560.625	560.625	0.07	280.3125	280.3125	1	0.3	2681	0.2	5775	4
object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	Do not edit.	0.0001	11.837	0.0001	2433.406	0.0001	2433.406	1401.645	1401.645	0.0001	700.8225	700.8225	1	0.0001	2931	0.0001	43543.5	8
object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	Do not edit.	0.0001	4.37	0.0001	898.438	0.0001	898.438	517.5	517.5	0.0001	258.75	258.75	1	0.0001	2681	0.0001	6256.25	4
object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	Do not edit.	0.0001	11.837	0.0001	2433.406	0.0001	2433.406	1401.645	1401.645	0.0001	700.8225	700.8225	1	0.0001	2931	0.0001	43543.5	8
object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	Do not edit.	0.0001	4.37	0.0001	898.438	0.0001	898.438	517.5	517.5	0.0001	258.75	258.75	1	0.0001	2681	0.0001	6256.25	4
object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	Do not edit.	0.0001	4.37	0.0001	898.438	0.0001	898.438	517.5	517.5	0.0001	258.75	258.75	1	0.0001	2681	0.0001	6256.25	4
object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	Do not edit.	0.0001	11.837	0.0001	2433.406	0.0001	2433.406	1401.645	1401.645	0.0001	700.8225	700.8225	1	0.0001	2931	0.0001	43543.5	8
object/tangible/ship/components/shield_generator/shd_moncal.iff	Do not edit.	0.28	4.37	0.341	575	0.341	575	431.25	431.25	0.03	215.625	215.625	1	0.3	2681	0.2	6256.25	4
object/tangible/ship/components/shield_generator/shd_moncal_deluxe_ionweb_a.iff	Do not edit.	0.26	1.9	0.341	250	0.341	250	187.5	187.5	0.03	93.75	93.75	1	0.3	2556	0.2	2310	2
object/tangible/ship/components/shield_generator/shd_moncal_deluxe_ionweb_b.iff	Do not edit.	0.26	3.496	0.2	517.5	0.2	517.5	345	345	0.05	172.5	172.5	1	0.3	2681	0.2	2887.5	3
object/tangible/ship/components/shield_generator/shd_moncal_ionweb_a.iff	Do not edit.	0.27	1.4	0.33	212.5	0.33	212.5	165	165	0.05	82.5	82.5	1	0.3	2556	0.2	1430	1
object/tangible/ship/components/shield_generator/shd_moncal_ionweb_advanced.iff	Do not edit.	0.26	13.239	0.341	1557.38	0.341	1557.38	1168.037	1168.037	0.05	584.0185	584.0185	1	0.35	3125	0.2	34534.5	8
object/tangible/ship/components/shield_generator/shd_moncal_ionweb_elite.iff	Do not edit.	0.26	11.149	0.2	1650.573	0.2	1650.573	1100.38	1100.38	0.05	550.19	550.19	1	0.3	3056	0.2	51480	9
object/tangible/ship/components/shield_generator/shd_moncal_ionweb_elite_2.iff	Do not edit.	0.15	15.037	0.341	1833.97	0.341	1833.97	1375.475	1375.475	0.05	687.7375	687.7375	1	0.3	3056	0.2	72380	10
object/tangible/ship/components/shield_generator/shd_moncal_ionweb_heavy.iff	Do not edit.	0.26	9.47	0.35	1245.904	0.35	1245.904	934.43	934.43	0.05	467.215	467.215	1	0.3	2931	0.2	22308	7
object/tangible/ship/components/shield_generator/shd_phased_fullerine_fx12.iff	Do not edit.	0.26	8.037	0.341	1058	0.341	1058	793.5	793.5	0.03	396.75	396.75	1	0.3	2806	0.2	15622.75	6
object/tangible/ship/components/shield_generator/shd_phased_fullerine_fx27.iff	Do not edit.	0.27	8.722	0.33	1323.773	0.33	1323.773	1027.873	1027.873	0.05	513.9365	513.9365	1	0.3	2931	0.2	22308	7
object/tangible/ship/components/shield_generator/shd_phased_fullerine_fx92.iff	Do not edit.	0.27	11.837	0.35	1557.38	0.35	1557.38	1051.234	1051.234	0.05	525.617	525.617	1	0.3	3000	0.2	37537.5	8
object/tangible/ship/components/shield_generator/shd_rendili.iff	Do not edit.	0.26	4.37	0.35	575	0.35	575	431.25	431.25	0.05	215.625	215.625	1	0.3	2681	0.2	5534.375	4
object/tangible/ship/components/shield_generator/shd_seinar_experimental_a1.iff	Do not edit.	0.26	3.496	0.35	460	0.35	460	345	345	0.05	172.5	172.5	1	0.3	2681	0.2	3162.5	3
object/tangible/ship/components/shield_generator/shd_seinar_gx3.iff	Do not edit.	0.26	1.52	0.35	200	0.35	200	150	150	0.05	75	75	1	0.3	2556	0.2	1210	1
object/tangible/ship/components/shield_generator/shd_seinar_gx7.iff	Do not edit.	0.26	1.52	0.35	200	0.35	200	142.5	142.5	0.05	71.25	71.25	1	0.3	2556	0.2	1155	1
object/tangible/ship/components/shield_generator/shd_seinar_gx_elite.iff	Do not edit.	0.27	1.52	0.35	200	0.35	200	135	135	0.05	67.5	67.5	1	0.3	2625	0.2	1210	1
object/tangible/ship/components/shield_generator/shd_seinar_proton_screen_p1.iff	Do not edit.	0.27	1.9	0.35	250	0.35	250	168.75	168.75	0.05	84.375	84.375	1	0.3	2625	0.2	2117.5	2
object/tangible/ship/components/shield_generator/shd_seinar_proton_screen_p6.iff	Do not edit.	0.15	2.05	0.341	250	0.341	250	187.5	187.5	0.05	93.75	93.75	1	0.3	2556	0.2	1925	2
object/tangible/ship/components/shield_generator/shd_seinar_reflector_elite.iff	Do not edit.	0.28	3.496	0.341	460	0.341	460	345	345	0.03	172.5	172.5	1	0.3	2681	0.2	3575	3
object/tangible/ship/components/shield_generator/shd_seinar_reflector_standard.iff	Do not edit.	0.26	3.496	0.341	460	0.341	460	345	345	0.03	172.5	172.5	1	0.3	2681	0.2	3300	3
object/tangible/ship/components/shield_generator/shd_sfs_advanced.iff	Do not edit.	0.15	8.672	0.341	1058	0.341	1058	793.5	793.5	0.05	396.75	396.75	1	0.3	2806	0.2	13219.25	6
object/tangible/ship/components/shield_generator/shd_sfs_custom_polyweb_elite.iff	Do not edit.	0.26	13.937	0.35	1833.97	0.35	1833.97	1375.475	1375.475	0.05	687.7375	687.7375	1	0.3	3056	0.2	67210	10
object/tangible/ship/components/shield_generator/shd_sfs_imperial_deluxe_standard.iff	Do not edit.	0.26	4.37	0.341	575	0.341	575	431.25	431.25	0.05	215.625	215.625	1	0.2	2681	0.2	5053.125	4
object/tangible/ship/components/shield_generator/shd_sfs_imperial_heavy.iff	Do not edit.	0.27	5.922	0.33	899.3	0.33	899.3	698.28	698.28	0.05	349.14	349.14	1	0.3	2806	0.2	9625	5
object/tangible/ship/components/shield_generator/shd_sfs_imperial_special_forces.iff	Do not edit.	0.26	9.47	0.341	1245.904	0.341	1245.904	934.43	934.43	0.05	467.215	467.215	1	0.2	2931	0.2	19734	7
object/tangible/ship/components/shield_generator/shd_sfs_imperial_standard.iff	Do not edit.	0.26	4.37	0.341	575	0.341	575	431.25	431.25	0.05	215.625	215.625	1	0.3	2681	0.1	5053.125	4
object/tangible/ship/components/shield_generator/shd_sfs_limited_advanced.iff	Do not edit.	0.15	8.672	0.345	1058	0.345	1058	793.5	793.5	0.05	396.75	396.75	1	0.3	2806	0.2	13219.25	6
object/tangible/ship/components/shield_generator/shd_sfs_modified_imperial_heavy.iff	Do not edit.	0.26	6.43	0.341	846.4	0.341	846.4	634.8	634.8	0.05	317.4	317.4	1	0.3	2806	0.2	7562.5	5
object/tangible/ship/components/shield_generator/shd_sfs_modified_imperial_special_forces.iff	Do not edit.	0.24	9.47	0.341	1245.904	0.341	1245.904	934.43	934.43	0.03	467.215	467.215	1	0.3	2931	0.2	21450	7
object/tangible/ship/components/shield_generator/shd_sfs_modified_polyweb_advanced.iff	Do not edit.	0.15	12.029	0.341	1467.176	0.341	1467.176	1100.38	1100.38	0.05	550.19	550.19	1	0.3	3056	0.2	51480	9
object/tangible/ship/components/shield_generator/shd_sfs_polyweb_4.iff	Do not edit.	0.26	11.837	0.2	1752.053	0.2	1752.053	1168.037	1168.037	0.05	584.0185	584.0185	1	0.3	2931	0.2	34534.5	8
object/tangible/ship/components/shield_generator/shd_sfs_polyweb_6.iff	Do not edit.	0.26	10.903	0.341	1362.708	0.341	1362.708	1518.449	1518.449	0.07	759.2245	759.2245	1	0.3	2931	0.2	40540.5	8
object/tangible/ship/components/shield_generator/shd_sfs_polyweb_advanced.iff	Do not edit.	0.27	11.149	0.35	1467.176	0.35	1467.176	990.342	990.342	0.05	495.171	495.171	1	0.3	3000	0.2	55770	9
object/tangible/ship/components/shield_generator/shd_sfs_polyweb_elite.iff	Do not edit.	0.28	13.937	0.341	1833.97	0.341	1833.97	1375.475	1375.475	0.03	687.7375	687.7375	1	0.3	3056	0.2	77550	10
object/tangible/ship/components/shield_generator/shd_taim_advanced.iff	Do not edit.	0.26	11.837	0.341	1557.38	0.341	1557.38	1168.037	1168.037	0.05	584.0185	584.0185	1	0.3	2931	0.1	34534.5	8
object/tangible/ship/components/shield_generator/shd_taim_elite.iff	Do not edit.	0.15	15.037	0.345	1833.97	0.345	1833.97	1375.475	1375.475	0.05	687.7375	687.7375	1	0.3	3056	0.2	62040	10
object/tangible/ship/components/shield_generator/shd_taim_enhanced_advanced.iff	Do not edit.	0.26	10.269	0.341	1283.779	0.341	1283.779	1430.494	1430.494	0.07	715.247	715.247	1	0.3	3056	0.2	60060	9
object/tangible/ship/components/shield_generator/shd_taim_heavy.iff	Do not edit.	0.26	9.47	0.35	1245.904	0.35	1245.904	887.708	887.708	0.05	443.854	443.854	1	0.3	2931	0.2	19819.8	7
object/tangible/ship/components/shield_generator/shd_taim_standard.iff	Do not edit.	0.26	4.887	0.341	575	0.341	575	431.25	431.25	0.05	215.625	215.625	1	0.35	2875	0.2	5053.125	4
object/tangible/ship/components/shield_generator/shd_tiefighter_basic.iff	Do not edit.	0.26	1.52	0.341	200	0.341	200	150	150	0.05	75	75	1	0.3	2556	0.1	1100	1
object/tangible/ship/components/shield_generator/shd_unknown_holosteel_x1.iff	Do not edit.	0.26	3.496	0.35	460	0.35	460	327.75	327.75	0.05	163.875	163.875	1	0.3	2681	0.2	2887.5	3
object/tangible/ship/components/shield_generator/shd_unknown_holosteel_x2.iff	Do not edit.	0.27	3.496	0.35	460	0.35	460	310.5	310.5	0.05	155.25	155.25	1	0.3	2750	0.2	3025	3
object/tangible/ship/components/shield_generator/shd_unknown_proton_projector.iff	Do not edit.	0.22	1.9	0.32	250	0.32	250	187.5	187.5	0.04	93.75	93.75	1	0.2	2556	0.1	1925	2
object/tangible/ship/components/shield_generator/shd_z95_basic.iff	Do not edit.	0.26	1.52	0.341	200	0.341	200	150	150	0.05	75	75	1	0.2	2556	0.2	1100	1
object/tangible/ship/components/shield_generator/shd_esp_reactive.iff	Do not edit.	0.15	8.672	0.345	1058	0.345	1058	793.5	793.5	0.05	396.75	396.75	1	0.3	2806	0.2	13219.25	6
object/tangible/ship/components/shield_generator/shd_protecto_net.iff	Do not edit.	0.26	11.837	0.2	1752.053	0.2	1752.053	1168.037	1168.037	0.05	584.0185	584.0185	1	0.3	2931	0.2	34534.5	7
object/tangible/ship/components/shield_generator/shd_taim_torton.iff	Do not edit.	0.28	13.937	0.3	2300	0.3	2300	1375.475	1375.475	0.03	687.7375	687.7375	1	0.3	3056	0.2	87550	10
object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	Do not edit.	0.28	8.037	0.25	1325	0.25	1325	793.5	793.5	0.03	396.75	396.75	1	0.3	2806	0.2	16824.5	6
