strType	strComments	fltMaxSpeedModifier	fltMaxSpeed	fltMaxPitchModifier	fltMaxPitch	fltMaxRollModifier	fltMaxRoll	fltMaxYawModifier	fltMaxYaw	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/engine/eng_rendili_demon_mk1.iff	Do not edit.	0.1	52.68	0.07	50.56	0.07	50.56	0.07	50.56	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	6187.5	5
object/tangible/ship/components/engine/eng_sds_imperial_2.iff	Do not edit.	0.1	44.778	0.07	50.56	0.07	50.56	0.07	50.56	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	5343.75	5
object/tangible/ship/components/engine/eng_sfs_imperial_3.iff	Do not edit.	0.1	55.314	0.09	48.032	0.09	48.032	0.09	48.032	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	6187.5	5
object/tangible/ship/components/engine/engine_novaldex_singularity.iff	Do not edit.	0.1	52.68	0.06	53.088	0.06	53.088	0.06	53.088	634.8	634.8	0.05	317.4	317.4	1	0.14	1650	0.14	6187.5	5
object/tangible/ship/components/engine/engine_nubian_221.iff	Do not edit.	0.1	55.314	0.07	53.088	0.07	53.088	0.07	53.088	666.54	666.54	0.05	333.27	333.27	1	0.14	1725	0.14	6468.75	5
object/tangible/ship/components/engine/engine_qualdex_a10.iff	Do not edit.	0.1	50.046	0.07	48.032	0.07	48.032	0.07	50.56	603.06	603.06	0.05	301.53	301.53	1	0.14	1575	0.14	5906.25	5
object/tangible/ship/components/engine/eng_cygnus_hd8.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_incom_advanced_fusialthrust.iff	Do not edit.	0.1	69.1425	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10324.125	6
object/tangible/ship/components/engine/eng_kse_a8x.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_mandal_enhanced_heavy.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	872.85	872.85	0.05	436.425	436.425	1	0.14	1650	0.14	11799	6
object/tangible/ship/components/engine/eng_mission_reward_imperial_cygnus_megadrive.iff	Do not edit.	0.0001	79.02	0.0001	63.2	0.0001	63.2	0.0001	63.2	1110.9	1110.9	0.0001	555.45	555.45	1	0.0001	2100	0.0001	13765.5	6
object/tangible/ship/components/engine/eng_mission_reward_neutral_mandal_inferno.iff	Do not edit.	0.0001	79.02	0.0001	63.2	0.0001	63.2	0.0001	63.2	1110.9	1110.9	0.0001	555.45	555.45	1	0.0001	2100	0.0001	13765.5	6
object/tangible/ship/components/engine/eng_mission_reward_rebel_incom_military.iff	Do not edit.	0.0001	79.02	0.0001	63.2	0.0001	63.2	0.0001	63.2	1110.9	1110.9	0.0001	555.45	555.45	1	0.0001	2100	0.0001	13765.5	6
object/tangible/ship/components/engine/eng_moncal_improved_heavy.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_novaldex_x6.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	11307.375	6
object/tangible/ship/components/engine/eng_qualdex_a13.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_2.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10324.125	6
object/tangible/ship/components/engine/eng_sfs_modified_imperial_3.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	753.825	753.825	0.05	376.9125	376.9125	1	0.14	1575	0.14	10815.75	6
object/tangible/ship/components/engine/engine_koensayr_ionjet.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_freitek_dual_jet.iff	Do not edit.	0.1	59.01	0.07	53.6	0.07	53.6	0.07	53.6	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	16146	7
object/tangible/ship/components/engine/eng_incom_fusialthrust_2.iff	Do not edit.	0.1	61.9605	0.07	56.28	0.07	56.28	0.07	56.28	981.1515	981.1515	0.05	490.57575	490.57575	1	0.14	1800	0.14	16848	7
object/tangible/ship/components/engine/eng_mandal_firestorm.iff	Do not edit.	0.1	59.01	0.07	53.6	0.07	53.6	0.07	53.6	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	16146	7
object/tangible/ship/components/engine/eng_moncal_ifs32.iff	Do not edit.	0.1	59.01	0.07	53.6	0.07	53.6	0.07	53.6	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	16146	7
object/tangible/ship/components/engine/eng_novaldex_x7.iff	Do not edit.	0.1	59.01	0.07	53.6	0.07	53.6	0.07	53.6	747.544	747.544	0.05	373.772	373.772	1	0.14	1425	0.14	17550	7
object/tangible/ship/components/engine/eng_qualdex_b10.iff	Do not edit.	0.1	64.911	0.07	53.6	0.07	53.6	0.07	53.6	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	18954	7
object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_3.iff	Do not edit.	0.1	50.1585	0.07	53.6	0.07	53.6	0.07	53.6	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	14040	7
object/tangible/ship/components/engine/eng_sfs_imperial_4.iff	Do not edit.	0.1	61.9605	0.09	50.92	0.09	50.92	0.09	50.92	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	16146	7
object/tangible/ship/components/engine/engine_kuat_a9x.iff	Do not edit.	0.1	56.0595	0.07	50.92	0.07	50.92	0.07	53.6	887.7085	887.7085	0.05	443.85425	443.85425	1	0.14	1650	0.14	15444	7
object/tangible/ship/components/engine/engine_kuat_f31.iff	Do not edit.	0.1	59.01	0.06	56.28	0.06	56.28	0.06	56.28	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	16146	7
object/tangible/ship/components/engine/eng_cygnus_hdx.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	28255.5	8
object/tangible/ship/components/engine/eng_incom_improved_fusialthrust_2.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	28255.5	8
object/tangible/ship/components/engine/eng_koensayr_heavy_ionjet.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	28255.5	8
object/tangible/ship/components/engine/eng_mandal_firestorm_2.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1284.84125	1284.84125	0.05	642.420625	642.420625	1	0.14	1725	0.14	30712.5	8
object/tangible/ship/components/engine/eng_mission_reward_neutral_haor_chall_military.iff	Do not edit.	0.0001	88.515	0.0001	67	0.0001	67	0.0001	67	1635.2525	1635.2525	0.0001	817.62625	817.62625	1	0.0001	2100	0.0001	34398	8
object/tangible/ship/components/engine/eng_moncal_ifs64.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	28255.5	8
object/tangible/ship/components/engine/eng_novaldex_x9.iff	Do not edit.	0.1	77.450625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	27027	8
object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_4.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	27027	8
object/tangible/ship/components/engine/eng_sfs_imperial_5.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1109.635625	1109.635625	0.05	554.8178125	554.8178125	1	0.14	1650	0.14	28255.5	8
object/tangible/ship/components/engine/engine_kuat_tc40.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	29484	8
object/tangible/ship/components/engine/engine_qualdex_igt.iff	Do not edit.	0.1	73.7625	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.14	1725	0.14	28255.5	8
object/tangible/ship/components/engine/eng_gallofree_advanced.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/eng_incom_advanced.iff	Do not edit.	0.1	72.699	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	49140	9
object/tangible/ship/components/engine/eng_kessel_imperial_rendili_hyperion_drive.iff	Do not edit.	0.1	69.3945	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	40365	9
object/tangible/ship/components/engine/eng_kessel_imperial_sfs_special_forces.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/eng_kessel_rebel_incom_t11_elite.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/eng_kessel_rebel_novaldex_grb1138.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	43875	9
object/tangible/ship/components/engine/eng_koensayr_advanced.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	880.304	880.304	0.05	440.152	440.152	1	0.14	1500	0.14	45630	9
object/tangible/ship/components/engine/eng_kse_advanced.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/eng_mandal_advanced.iff	Do not edit.	0.1	66.09	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/eng_novaldex_advanced.iff	Do not edit.	0.1	62.7855	0.07	53.9695	0.07	53.9695	0.07	56.81	1045.361	1045.361	0.05	522.6805	522.6805	1	0.14	1725	0.14	40365	9
object/tangible/ship/components/engine/eng_qualdex_advanced.iff	Do not edit.	0.1	69.3945	0.07	59.6505	0.07	59.6505	0.07	59.6505	1155.399	1155.399	0.05	577.6995	577.6995	1	0.14	1875	0.14	43875	9
object/tangible/ship/components/engine/eng_rss_advanced.iff	Do not edit.	0.1	56.1765	0.07	56.81	0.07	56.81	0.07	56.81	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	36855	9
object/tangible/ship/components/engine/eng_sfs_advanced.iff	Do not edit.	0.1	69.3945	0.09	53.9695	0.09	53.9695	0.09	53.9695	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/engine_ubrikkian_n2.iff	Do not edit.	0.1	66.09	0.06	59.6505	0.06	59.6505	0.06	59.6505	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1800	0.14	42120	9
object/tangible/ship/components/engine/eng_incom_elite.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1513.0225	1513.0225	0.05	756.51125	756.51125	1	0.14	1800	0.14	54990	10
object/tangible/ship/components/engine/eng_kessel_imperial_sds_special_forces.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	50760	10
object/tangible/ship/components/engine/eng_kessel_rebel_novaldex_blackhole_elite.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	52875	10
object/tangible/ship/components/engine/eng_koensayr_elite.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	50760	10
object/tangible/ship/components/engine/eng_kse_elite.iff	Do not edit.	0.1	86.743125	0.07	74.563125	0.07	74.563125	0.07	74.563125	1444.24875	1444.24875	0.05	722.124375	722.124375	1	0.14	1875	0.14	52875	10
object/tangible/ship/components/engine/eng_mandal_elite.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1100.38	1100.38	0.05	550.19	550.19	1	0.14	1500	0.14	54990	10
object/tangible/ship/components/engine/eng_qualdex_elite.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	50760	10
object/tangible/ship/components/engine/eng_rendili_elite.iff	Do not edit.	0.1	78.481875	0.07	67.461875	0.07	67.461875	0.07	71.0125	1306.70125	1306.70125	0.05	653.350625	653.350625	1	0.14	1725	0.14	48645	10
object/tangible/ship/components/engine/eng_rss_elite.iff	Do not edit.	0.1	82.6125	0.06	74.563125	0.06	74.563125	0.06	74.563125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	50760	10
object/tangible/ship/components/engine/eng_sfs_elite.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	50760	10
object/tangible/ship/components/engine/engine_novaldex_x12.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1306.70125	1306.70125	0.05	653.350625	653.350625	1	0.14	1725	0.14	50760	10
object/tangible/ship/components/engine/engine_nubian_221_racing_mod.iff	Do not edit.	0.1	82.6125	0.07	71.0125	0.07	71.0125	0.07	71.0125	1375.475	1375.475	0.05	687.7375	687.7375	1	0.14	1800	0.14	48645	10
object/tangible/ship/components/engine/eng_h17_singularity.iff	Do not edit.	0.1	65.85	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_bezelbok_kessel_runner.iff	Do not edit.	0.1	59.01	0.07	53.6	0.07	53.6	0.07	53.6	934.43	934.43	0.05	467.215	467.215	1	0.14	1725	0.14	16146	7
object/tangible/ship/components/engine/eng_quantum_ion_drive.iff	Do not edit.	0.1	92	0.07	67	0.07	67	0.07	67	1168.0375	1168.0375	0.05	584.01875	584.01875	1	0.001	1900	0.001	30000	8
object/tangible/ship/components/engine/eng_t86_shooting_star.iff	Do not edit.	0.13	82	0.07	63.2	0.07	63.2	0.07	63.2	793.5	793.5	0.05	396.75	396.75	1	0.14	1650	0.14	10815.75	6
object/tangible/ship/components/engine/eng_kuat_m24.iff	Do not edit.	0.1	96	0.07	74.563125	0.07	74.563125	0.07	74.563125	1444.24875	1444.24875	0.05	722.124375	722.124375	1	0.14	1875	0.14	52875	10
