strType	strComments	fltMinDamageModifier	fltMinDamage	fltMaxDamageModifier	fltMaxDamage	fltShieldEffectivenessModifier	fltShieldEffectiveness	fltArmorEffectivenessModifier	fltArmorEffectiveness	fltEnergyPerShotModifier	fltEnergyPerShot	fltRefireRateModifier	fltRefireRate	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/weapon/wpn_hk_scorcher_advanced.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2300	0.17	31395	8
object/tangible/ship/components/weapon/wpn_hk_scorcher_elite.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.6	0.05	0.6	0.17	32.357	0.05	0.408	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	52650	9
object/tangible/ship/components/weapon/wpn_hk_scorcher_heavy.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.6	0.05	0.6	0.17	29.419	0.05	0.408	934.43	934.43	0.05	467.215	467.215	1	0.17	2300	0.17	20280	7
object/tangible/ship/components/weapon/wpn_incom_advanced_blaster.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	714.15	714.15	0.05	357.075	357.075	1	0.17	2200	0.17	10925	6
object/tangible/ship/components/weapon/wpn_incom_blaster.iff	Do not edit.	0.12	326.25	0.12	438.75	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	1800	0.17	1750	2
object/tangible/ship/components/weapon/wpn_incom_disruptor.iff	Do not edit.	0.12	609	0.12	858	0.05	0.3	0.05	0.7	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	2100	0.17	2625	3
object/tangible/ship/components/weapon/wpn_incom_elite_quad_blaster.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2400	0.17	56400	10
object/tangible/ship/components/weapon/wpn_incom_heavy_blaster.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	1027.873	1027.873	0.05	513.9365	513.9365	1	0.17	2300	0.17	19500	7
object/tangible/ship/components/weapon/wpn_incom_heavy_quad_blaster.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_incom_light_blaster.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	135	135	0.05	67.5	67.5	1	0.17	2000	0.17	900	1
object/tangible/ship/components/weapon/wpn_incom_quad_blaster.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2300	0.17	31395	8
object/tangible/ship/components/weapon/wpn_incom_shredder.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	206.25	206.25	0.05	103.125	103.125	1	0.17	2000	0.17	1925	2
object/tangible/ship/components/weapon/wpn_incom_tt13.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	571.32	571.32	0.05	285.66	285.66	1	0.17	2200	0.17	6250	5
object/tangible/ship/components/weapon/wpn_incom_tt8.iff	Do not edit.	0.11	784.087	0.11	1104.675	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	517.5	517.5	0.05	258.75	258.75	1	0.17	2100	0.17	5031.25	4
object/tangible/ship/components/weapon/wpn_kdy_pounder_mk1.iff	Do not edit.	0.12	685.125	0.12	965.25	0.05	0.625	0.05	0.625	0.16	28.05	0.05	0.408	431.25	431.25	0.05	215.625	215.625	1	0.17	1900	0.17	4593.75	4
object/tangible/ship/components/weapon/wpn_kessel_imperial_rendili_prototype_x.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.6	0.05	0.45	0.17	29.868	0.05	0.34	990.342	990.342	0.05	495.171	495.171	1	0.17	2400	0.17	42900	9
object/tangible/ship/components/weapon/wpn_kessel_imperial_sds_experimental_secret_ops.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2400	0.17	56400	10
object/tangible/ship/components/weapon/wpn_kessel_imperial_sfs_elite_ops.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_kessel_rebel_incom_dualcore_flashcannon.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_kessel_rebel_riiz_combine_slammer_cannon.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_kessel_rebel_unknown_rayslinger.iff	Do not edit.	0.14	2550.924	0.14	4132.167	0.05	0.75	0.05	0.5	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2600	0.17	56400	10
object/tangible/ship/components/weapon/wpn_koensayr_deluxe_ion_accelerator.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	388.125	388.125	0.05	194.0625	194.0625	1	0.17	2100	0.17	4156.25	4
object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator.iff	Do not edit.	0.12	609	0.12	858	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	2100	0.17	2625	3
object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_2.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.65	0.05	0.35	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2200	0.17	6875	5
object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_3.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2200	0.17	12017.5	6
object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_advanced.iff	Do not edit.	0.14	2040.739	0.14	3305.733	0.05	0.6	0.05	0.4	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2600	0.17	46800	9
object/tangible/ship/components/weapon/wpn_koensayr_light_disruptor.iff	Do not edit.	0.12	261	0.12	351	0.05	0.3	0.05	0.7	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	1800	0.17	1000	1
object/tangible/ship/components/weapon/wpn_koensayr_tuned_light_disruptor.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.375	0.05	0.875	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2000	0.17	1750	2
object/tangible/ship/components/weapon/wpn_kse_double_blaster.iff	Do not edit.	0.12	609	0.12	858	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	310.5	310.5	0.05	155.25	155.25	1	0.17	2100	0.17	2375	3
object/tangible/ship/components/weapon/wpn_kse_light_disruptor.iff	Do not edit.	0.12	290	0.12	390	0.05	0.3	0.05	0.7	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	1940	0.17	970	1
object/tangible/ship/components/weapon/wpn_mandal_advanced_annihilator.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.06	0.55	0.06	0.55	0.17	29.868	0.05	0.357	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_mandal_annihilator_mk2.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	934.43	934.43	0.05	467.215	467.215	1	0.17	2300	0.17	17940	7
object/tangible/ship/components/weapon/wpn_mandal_annilhator_mk1.iff	Do not edit.	0.14	1383.135	0.14	2041.434	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2400	0.17	12017.5	6
object/tangible/ship/components/weapon/wpn_mandal_elite_annihilator.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.06	0.563	0.06	0.563	0.17	37.335	0.05	0.40375	1513.023	1513.023	0.05	756.5115	756.5115	1	0.17	2400	0.17	61100	10
object/tangible/ship/components/weapon/wpn_mandal_enhanced_mangler_mk1.iff	Do not edit.	0.11	373.375	0.11	502.125	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	225	225	0.05	112.5	112.5	1	0.17	2000	0.17	1925	2
object/tangible/ship/components/weapon/wpn_mandal_heavy_annihilator.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2300	0.17	31395	8
object/tangible/ship/components/weapon/wpn_mandal_mangler_mk1.iff	Do not edit.	0.14	298.7	0.14	401.7	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2200	0.17	1000	1
object/tangible/ship/components/weapon/wpn_mandal_qv3_disruptor.iff	Do not edit.	0.12	548.1	0.12	772.2	0.05	0.4	0.05	0.6	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	1900	0.17	2625	3
object/tangible/ship/components/weapon/wpn_mandal_qv5_disruptor.iff	Do not edit.	0.14	1106.508	0.14	1633.147	0.05	0.35	0.05	0.65	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2400	0.17	6875	5
object/tangible/ship/components/weapon/wpn_mandal_super_mangler.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	431.25	431.25	0.05	215.625	215.625	1	0.17	2100	0.17	4593.75	4
object/tangible/ship/components/weapon/wpn_mission_reward_imperial_cygnus_starblaster.iff	Do not edit.	0.0001	913.5	0.0001	1287	0.0001	0.625	0.0001	0.625	0.0001	28.05	0.0001	0.425	517.5	517.5	0.0001	258.75	258.75	1	0.0001	2600	0.0001	5687.5	4
object/tangible/ship/components/weapon/wpn_mission_reward_imperial_sds_boltdriver.iff	Do not edit.	0.0001	1910.184	0.0001	2953.596	0.0001	0.5	0.0001	0.5	0.0001	27.156	0.0001	0.34	1121.316	1121.316	0.0001	560.658	560.658	1	0.0001	2800	0.0001	21840	7
object/tangible/ship/components/weapon/wpn_mission_reward_neutral_borstel_disruptor.iff	Do not edit.	0.0001	2387.73	0.0001	3691.995	0.0001	0.625	0.0001	0.625	0.0001	14.144	0.0001	0.425	1401.645	1401.645	0.0001	700.8225	700.8225	1	0.0001	2800	0.0001	38220	8
object/tangible/ship/components/weapon/wpn_mission_reward_neutral_hk_military_blaster.iff	Do not edit.	0.0001	913.5	0.0001	1287	0.0001	0.625	0.0001	0.625	0.0001	28.05	0.0001	0.425	517.5	517.5	0.0001	258.75	258.75	1	0.0001	2600	0.0001	5687.5	4
object/tangible/ship/components/weapon/wpn_mission_reward_neutral_mandal_light_blaster.iff	Do not edit.	0.0001	348	0.0001	468	0.0001	0.5	0.0001	0.5	0.0001	20.4	0.0001	0.34	180	180	0.0001	90	90	1	0.0001	2400	0.0001	1200	1
object/tangible/ship/components/weapon/wpn_mission_reward_rebel_incom_tricannon.iff	Do not edit.	0.0001	2387.73	0.0001	3691.995	0.0001	0.625	0.0001	0.625	0.0001	14.144	0.0001	0.425	1401.645	1401.645	0.0001	700.8225	700.8225	1	0.0001	2800	0.0001	38220	8
object/tangible/ship/components/weapon/wpn_mission_reward_rebel_taim_ion_driver.iff	Do not edit.	0.0001	913.5	0.0001	1287	0.0001	0.625	0.0001	0.625	0.0001	28.05	0.0001	0.425	517.5	517.5	0.0001	258.75	258.75	1	0.0001	2600	0.0001	5687.5	4
object/tangible/ship/components/weapon/wpn_moncal_light_blaster.iff	Do not edit.	0.13	362.5	0.13	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	1920	0.18	1697.5	2
object/tangible/ship/components/weapon/wpn_rendili_advanced.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1210.418	1210.418	0.05	605.209	605.209	1	0.17	2400	0.17	50700	9
object/tangible/ship/components/weapon/wpn_rendili_fr13_disruptor.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.4	0.05	0.6	0.17	24.684	0.05	0.34	698.28	698.28	0.05	349.14	349.14	1	0.17	2200	0.17	7500	5
object/tangible/ship/components/weapon/wpn_rendili_fr9_disruptor.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	431.25	431.25	0.05	215.625	215.625	1	0.17	2100	0.17	4593.75	4
object/tangible/ship/components/weapon/wpn_rendili_sc3_disruptor.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	872.85	872.85	0.05	436.425	436.425	1	0.17	2200	0.17	13110	6
object/tangible/ship/components/weapon/wpn_rendili_sc8_disruptor.iff	Do not edit.	0.14	1639.575	0.14	2535.17	0.05	0.6	0.05	0.4	0.17	27.156	0.05	0.34	934.43	934.43	0.05	467.215	467.215	1	0.17	2500	0.17	17940	7
object/tangible/ship/components/weapon/wpn_rss_imperial_cannon.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	698.28	698.28	0.05	349.14	349.14	1	0.17	2200	0.17	7500	5
object/tangible/ship/components/weapon/wpn_sds_elite.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1210.418	1210.418	0.05	605.209	605.209	1	0.17	2400	0.17	50700	9
object/tangible/ship/components/weapon/wpn_sds_heavy_imperial_spc_forces_cannon.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	35.076	0.05	0.408	1401.645	1401.645	0.05	700.8225	700.8225	1	0.17	2300	0.17	35490	8
object/tangible/ship/components/weapon/wpn_sds_imperial_blaster_1.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	165	165	0.05	82.5	82.5	1	0.17	2000	0.17	1100	1
object/tangible/ship/components/weapon/wpn_sds_imperial_blaster_2.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	872.85	872.85	0.05	436.425	436.425	1	0.17	2200	0.17	13110	6
object/tangible/ship/components/weapon/wpn_sds_imperial_special_forces_cannon.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	1027.873	1027.873	0.05	513.9365	513.9365	1	0.17	2300	0.17	19500	7
object/tangible/ship/components/weapon/wpn_sds_modified_elite.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2400	0.17	56400	10
object/tangible/ship/components/weapon/wpn_seinar_disruptor.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.375	0.05	0.875	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2000	0.17	1750	2
object/tangible/ship/components/weapon/wpn_seinar_ion_cannon.iff	Do not edit.	0.14	373.375	0.14	502.125	0.05	0.875	0.05	0.375	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2200	0.17	1750	2
object/tangible/ship/components/weapon/wpn_seinar_linked_cannon.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	206.25	206.25	0.05	103.125	103.125	1	0.17	2000	0.17	1925	2
object/tangible/ship/components/weapon/wpn_seinar_ls1.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	934.43	934.43	0.05	467.215	467.215	1	0.17	2300	0.17	17940	7
object/tangible/ship/components/weapon/wpn_seinar_ls72.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1513.023	1513.023	0.05	756.5115	756.5115	1	0.17	2400	0.17	61100	10
object/tangible/ship/components/weapon/wpn_sfs_elite.iff	Do not edit.	0.12	1783.17	0.12	2888.505	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2200	0.17	46800	9
object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_1.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	165	165	0.05	82.5	82.5	1	0.17	2000	0.17	1100	1
object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_2.iff	Do not edit.	0.14	627.27	0.14	883.74	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	2300	0.17	2625	3
object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_3.iff	Do not edit.	0.12	966.852	0.12	1427.022	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2000	0.17	6875	5
object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_4.iff	Do not edit.	0.12	1208.565	0.12	1783.777	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2000	0.17	12017.5	6
object/tangible/ship/components/weapon/wpn_sfs_imperial_special_forces_blaster.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1284.841	1284.841	0.05	642.4205	642.4205	1	0.17	2300	0.17	34125	8
object/tangible/ship/components/weapon/wpn_sfs_improved_imperial_blaster_2.iff	Do not edit.	0.13	761.25	0.13	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	431.25	431.25	0.05	215.625	215.625	1	0.17	2020	0.18	4462.5	4
object/tangible/ship/components/weapon/wpn_slayn_deluxe_light_ioncannon.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.875	0.05	0.375	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2000	0.17	1750	2
object/tangible/ship/components/weapon/wpn_slayn_ioncannon.iff	Do not edit.	0.12	609	0.12	858	0.05	0.7	0.05	0.3	0.17	22.44	0.05	0.34	345	345	0.05	172.5	172.5	1	0.17	2100	0.17	2625	3
object/tangible/ship/components/weapon/wpn_slayn_light_ioncannon.iff	Do not edit.	0.12	290	0.12	390	0.05	0.7	0.05	0.3	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2000	0.17	1000	1
object/tangible/ship/components/weapon/wpn_subpro_advanced_cannon.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2200	0.17	6875	5
object/tangible/ship/components/weapon/wpn_subpro_improved_light_ioncannon.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.875	0.05	0.375	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	1940	0.17	1697.5	2
