strType	strComments	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/armor/arm_freitek_standard.iff	Do not edit.	473.8	473.8	0.3	473.8	473.8	1	0	0	0.318	3862.688	4
object/tangible/ship/components/armor/arm_gallofree_mk1.iff	Do not edit.	164.8	164.8	0.38	164.8	164.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/arm_gallofree_mk2.iff	Do not edit.	379.04	379.04	0.3	379.04	379.04	1	0	0	0.318	2207.25	3
object/tangible/ship/components/armor/arm_incom_light_plate.iff	Do not edit.	164.8	164.8	0.38	164.8	164.8	1	0	0	0.2	864.9	1
object/tangible/ship/components/armor/arm_incom_modified_standard_plate.iff	Do not edit.	473.8	473.8	0.2	473.8	473.8	1	0	0	0.318	3862.688	4
object/tangible/ship/components/armor/arm_incom_standard_plate.iff	Do not edit.	379.04	379.04	0.2	379.04	379.04	1	0	0	0.318	2207.25	3
object/tangible/ship/components/armor/arm_kessel_imperial_rendili_crystalline_durasteel.iff	Do not edit.	1540.529	1540.529	0.38	1540.529	1540.529	1	0	0	0.483	42120	9
object/tangible/ship/components/armor/arm_kessel_imperial_sds_imperial_impervious.iff	Do not edit.	1833.963	1833.963	0.3	1833.963	1833.963	1	0	0	0.1	46530	10
object/tangible/ship/components/armor/arm_kessel_imperial_sfs_imperial_finest.iff	Do not edit.	1467.17	1467.17	0.38	1467.17	1467.17	1	0	0	0.1	38610	9
object/tangible/ship/components/armor/arm_kessel_rebel_mandal_corrugated_plastisteel.iff	Do not edit.	1540.529	1540.529	0.38	1540.529	1540.529	1	0	0	0.25	42120	9
object/tangible/ship/components/armor/arm_kessel_rebel_slayn_flexsteel_multilayer.iff	Do not edit.	1833.963	1833.963	0.38	1833.963	1833.963	1	0	0	0.25	46530	10
object/tangible/ship/components/armor/arm_kessel_rebel_sorosuub_spidershell_plating.iff	Do not edit.	1467.17	1467.17	0.38	1467.17	1467.17	1	0	0	0.1	38610	9
object/tangible/ship/components/armor/arm_koensayr_advanced_durasteel.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.375	9449.033	6
object/tangible/ship/components/armor/arm_koensayr_b5_durasteel.iff	Do not edit.	168.8	168.8	0.39	168.8	168.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/arm_koensayr_b9_durasteel.iff	Do not edit.	164.8	164.8	0.38	164.8	164.8	1	0	0	0.25	873.9	1
object/tangible/ship/components/armor/arm_koensayr_elite_plastisteel.iff	Do not edit.	1208.948	1208.948	0.38	1208.948	1208.948	1	0	0	0.3	33731.1	9
object/tangible/ship/components/armor/arm_koensayr_enhanced_heavy_durasteel.iff	Do not edit.	697.434	697.434	0.38	697.434	697.434	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/arm_koensayr_enhanced_standard_durasteel.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.31	3862.688	4
object/tangible/ship/components/armor/arm_koensayr_heavy_durasteel.iff	Do not edit.	358.8	358.8	0.38	358.8	358.8	1	0	0	0.318	3075.188	4
object/tangible/ship/components/armor/arm_koensayr_improved_elite_plastisteel.iff	Do not edit.	1208.948	1208.948	0.38	1208.948	1208.948	1	0	0	0.483	34433.1	9
object/tangible/ship/components/armor/arm_koensayr_light_advanced_durasteel.iff	Do not edit.	528.154	528.154	0.38	528.154	528.154	1	0	0	0.375	4955.625	5
object/tangible/ship/components/armor/arm_koensayr_limited_heavy_durasteel.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.345	9645.683	6
object/tangible/ship/components/armor/arm_koensayr_limited_supreme_durasteel.iff	Do not edit.	971.802	971.802	0.38	971.802	971.802	1	0	0	0.433	23611.77	8
object/tangible/ship/components/armor/arm_koensayr_promotional_b9_durasteel.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.318	2162.25	3
object/tangible/ship/components/armor/arm_koensayr_reinforced_b5_durasteel.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.2	1513.575	2
object/tangible/ship/components/armor/arm_koensayr_special_supreme_durasteel.iff	Do not edit.	1283.277	1283.277	0.2	1283.277	1283.277	1	0	0	0.433	24103.17	8
object/tangible/ship/components/armor/arm_koensayr_standard_durasteel.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.31	2207.25	3
object/tangible/ship/components/armor/arm_koensayr_supreme_durasteel.iff	Do not edit.	1026.622	1026.622	0.38	1026.622	1026.622	1	0	0	0.433	13632.84	7
object/tangible/ship/components/armor/arm_koensayr_thick_advanced_durasteel.iff	Do not edit.	1026.622	1026.622	0.38	1026.622	1026.622	1	0	0	0.433	13773.24	7
object/tangible/ship/components/armor/arm_kse_advanced_durasteel.iff	Do not edit.	882.372	882.372	0.38	882.372	882.372	1	0	0	0.375	9842.332	6
object/tangible/ship/components/armor/arm_kse_customized_advanced_durasteel.iff	Do not edit.	1026.622	1026.622	0.38	1026.622	1026.622	1	0	0	0.4	13773.24	7
object/tangible/ship/components/armor/arm_kse_elite_durasteel.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.39	24103.17	8
object/tangible/ship/components/armor/arm_kse_heavy_durasteel.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.318	3862.688	4
object/tangible/ship/components/armor/arm_kse_intermediate_durasteel.iff	Do not edit.	206	206	0.2	206	206	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/arm_kse_limited_heavy_durasteel.iff	Do not edit.	765.992	765.992	0.38	765.992	765.992	1	0	0	0.375	7679.182	6
object/tangible/ship/components/armor/arm_kse_modified_heavy_durasteel.iff	Do not edit.	697.434	697.434	0.38	697.434	697.434	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/arm_kse_modified_light_durasteel.iff	Do not edit.	206	206	0.3	206	206	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/arm_kse_modified_supreme_durasteel.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.433	24103.17	8
object/tangible/ship/components/armor/arm_kse_standard_durasteel.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.318	2207.25	3
object/tangible/ship/components/armor/arm_kse_supreme_durasteel.iff	Do not edit.	1051.54	1051.54	0.39	1051.54	1051.54	1	0	0	0.433	13773.24	7
object/tangible/ship/components/armor/arm_mandal_advanced_composite.iff	Do not edit.	777.442	777.442	0.38	777.442	777.442	1	0	0	0.433	13773.24	7
object/tangible/ship/components/armor/arm_mandal_composite_j5.iff	Do not edit.	164.8	164.8	0.38	164.8	164.8	1	0	0	0.24	864.9	1
object/tangible/ship/components/armor/arm_mandal_composite_j7.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.318	2184.75	3
object/tangible/ship/components/armor/arm_mandal_custom_heavy_composite.iff	Do not edit.	697.434	697.434	0.38	697.434	697.434	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/arm_mandal_double_insulated_i5.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.375	9645.683	6
object/tangible/ship/components/armor/arm_mandal_double_insulated_i7.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.2	24103.17	8
object/tangible/ship/components/armor/arm_mandal_double_plated_composite_j7.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.318	3823.313	4
object/tangible/ship/components/armor/arm_mandal_elite_composite.iff	Do not edit.	1144.393	1144.393	0.38	1144.393	1144.393	1	0	0	0.483	41496.3	10
object/tangible/ship/components/armor/arm_mandal_enhanced_elite_composite.iff	Do not edit.	1511.185	1511.185	0.2	1511.185	1511.185	1	0	0	0.4	41073.3	10
object/tangible/ship/components/armor/arm_mandal_enhanced_heavy_composite.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.375	9449.033	6
object/tangible/ship/components/armor/arm_mandal_heavy_composite.iff	Do not edit.	714.362	714.362	0.39	714.362	714.362	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/arm_mandal_insulated_i7.iff	Do not edit.	1026.622	1026.622	0.2	1026.622	1026.622	1	0	0	0.433	13773.24	7
object/tangible/ship/components/armor/arm_mandal_modified_supreme_composite.iff	Do not edit.	1208.948	1208.948	0.38	1208.948	1208.948	1	0	0	0.4	34433.1	9
object/tangible/ship/components/armor/arm_mandal_modifier_composite_j5.iff	Do not edit.	156	156	0.38	156	156	1	0	0	0.14	1545.075	2
object/tangible/ship/components/armor/arm_mandal_reinforced_advanced_composite.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.433	21646.17	8
object/tangible/ship/components/armor/arm_mandal_supreme_composite.iff	Do not edit.	1062.231	1062.231	0.38	1062.231	1062.231	1	0	0	0.483	34433.1	9
object/tangible/ship/components/armor/arm_mission_reward_imperial_rss_special_durasteel.iff	Do not edit.	1868.85	1868.85	0.0001	1868.85	1868.85	1	0	0	0.0001	24840	8
object/tangible/ship/components/armor/arm_mission_reward_imperial_sfs_light_military.iff	Do not edit.	460	460	0.0001	460	460	1	0	0	0.0001	2047.5	4
object/tangible/ship/components/armor/arm_mission_reward_neutral_kse_handcrafted.iff	Do not edit.	1269.6	1269.6	0.0001	1269.6	1269.6	1	0	0	0.0001	9180	6
object/tangible/ship/components/armor/arm_mission_reward_rebel_corellian_triplate.iff	Do not edit.	1269.6	1269.6	0.0001	1269.6	1269.6	1	0	0	0.0001	9180	6
object/tangible/ship/components/armor/arm_mission_reward_rebel_incom_ultralight.iff	Do not edit.	160	160	0.0001	160	160	1	0	0	0.0001	585	1
object/tangible/ship/components/armor/arm_moncal_advanced_weave.iff	Do not edit.	1547.864	1547.864	0.39	1547.864	1547.864	1	0	0	0.483	33036.3	10
object/tangible/ship/components/armor/arm_moncal_elite_weave.iff	Do not edit.	1327.789	1327.789	0.38	1327.789	1327.789	1	0	0	0.483	41496.3	10
object/tangible/ship/components/armor/arm_moncal_improved_light_weave.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.25	1214.325	2
object/tangible/ship/components/armor/arm_moncal_light_weave.iff	Do not edit.	124.8	124.8	0.38	124.8	124.8	1	0	0	0.14	702.9	1
object/tangible/ship/components/armor/arm_moncal_supreme_weave.iff	Do not edit.	1511.185	1511.185	0.38	1511.185	1511.185	1	0	0	0.4	42342.3	10
object/tangible/ship/components/armor/arm_rendili_tough_plate.iff	Do not edit.	208.5	208.5	0.38	208.5	208.5	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/arm_rss_light_plastisteel.iff	Do not edit.	164.8	164.8	0.3	164.8	164.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/arm_sds_triplate_system.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.318	3862.688	4
object/tangible/ship/components/armor/arm_sfs_enhanced_standard_durasteel.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.318	3783.938	4
object/tangible/ship/components/armor/arm_sfs_light_durasteel.iff	Do not edit.	164.8	164.8	0.2	164.8	164.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/arm_sfs_standard_durasteel.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.318	2162.25	3
object/tangible/ship/components/armor/arm_slayn_tech_weave.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/arm_sorosuub_advanced_plastisteel.iff	Do not edit.	1208.948	1208.948	0.2	1208.948	1208.948	1	0	0	0.4	34433.1	9
object/tangible/ship/components/armor/arm_sorosuub_elite_plastisteel.iff	Do not edit.	1511.185	1511.185	0.38	1511.185	1511.185	1	0	0	0.3	41496.3	10
object/tangible/ship/components/armor/arm_sorosuub_enhanced_advanced_plastisteel.iff	Do not edit.	1208.948	1208.948	0.3	1208.948	1208.948	1	0	0	0.483	34433.1	9
object/tangible/ship/components/armor/arm_sorosuub_heavy_plastisteel.iff	Do not edit.	697.434	697.434	0.38	697.434	697.434	1	0	0	0.378	5518.125	5
object/tangible/ship/components/armor/arm_sorosuub_improved_light_plastisteel.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.24	1513.575	2
object/tangible/ship/components/armor/arm_sorosuub_intemediate_plastisteel.iff	Do not edit.	388.24	388.24	0.39	388.24	388.24	1	0	0	0.318	2207.25	3
object/tangible/ship/components/armor/arm_sorosuub_modified_elite_plastisteel.iff	Do not edit.	1511.185	1511.185	0.38	1511.185	1511.185	1	0	0	0.483	41073.3	10
object/tangible/ship/components/armor/arm_sorosuub_special_intermediate_durasteel.iff	Do not edit.	485.3	485.3	0.39	485.3	485.3	1	0	0	0.318	3862.688	4
object/tangible/ship/components/armor/arm_subpro_advanced_plasisteel.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.433	24103.17	8
object/tangible/ship/components/armor/arm_subpro_bargain_plastisteel.iff	Do not edit.	124.8	124.8	0.4	124.8	124.8	1	0	0	0.14	882.9	1
object/tangible/ship/components/armor/arm_subpro_elite_plastisteel.iff	Do not edit.	1511.185	1511.185	0.3	1511.185	1511.185	1	0	0	0.483	41496.3	10
object/tangible/ship/components/armor/arm_subpro_enhanced_supreme_plastisteel.iff	Do not edit.	1208.948	1208.948	0.38	1208.948	1208.948	1	0	0	0.483	34082.1	9
object/tangible/ship/components/armor/arm_subpro_experimental_advanced_plastisteel.iff	Do not edit.	1283.277	1283.277	0.38	1283.277	1283.277	1	0	0	0.433	23857.47	8
object/tangible/ship/components/armor/arm_subpro_heavy_plastisteel.iff	Do not edit.	1026.622	1026.622	0.3	1026.622	1026.622	1	0	0	0.433	12369.24	7
object/tangible/ship/components/armor/arm_subpro_improved_light_plastisteel.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.318	2252.25	3
object/tangible/ship/components/armor/arm_subpro_improved_standard_durasteel.iff	Do not edit.	697.434	697.434	0.2	697.434	697.434	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/arm_subpro_limited_heavy_plastisteel.iff	Do not edit.	1026.622	1026.622	0.38	1026.622	1026.622	1	0	0	0.3	13773.24	7
object/tangible/ship/components/armor/arm_subpro_special_elite_plastisteel.iff	Do not edit.	1511.185	1511.185	0.38	1511.185	1511.185	1	0	0	0.483	41073.3	10
object/tangible/ship/components/armor/arm_subpro_standard_plastisteel.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.318	3941.437	4
object/tangible/ship/components/armor/arm_subpro_supreme_plastisteel.iff	Do not edit.	1238.291	1238.291	0.39	1238.291	1238.291	1	0	0	0.483	34433.1	9
object/tangible/ship/components/armor/armor_alderaan_royal_plate.iff	Do not edit.	479.55	479.55	0.38	479.55	479.55	1	0	0	0.316	3862.688	4
object/tangible/ship/components/armor/armor_alderaan_royal_weave.iff	Do not edit.	416.3	416.3	0.38	416.3	416.3	1	0	0	0.315	3468.938	4
object/tangible/ship/components/armor/armor_baktoid_mtt_prototype.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.25	1529.325	2
object/tangible/ship/components/armor/armor_baktoid_shock_armor.iff	Do not edit.	206	206	0.38	206	206	1	0	0	0.24	1513.575	2
object/tangible/ship/components/armor/armor_baktoid_spider_shell_g2.iff	Do not edit.	211	211	0.39	211	211	1	0	0	0.24	1545.075	2
object/tangible/ship/components/armor/armor_freitek_es4_durasteel.iff	Do not edit.	383.64	383.64	0.38	383.64	383.64	1	0	0	0.316	2207.25	3
object/tangible/ship/components/armor/armor_freitek_ew6_prototype.iff	Do not edit.	379.04	379.04	0.38	379.04	379.04	1	0	0	0.317	2207.25	3
object/tangible/ship/components/armor/armor_mandal_composite_j14.iff	Do not edit.	333.04	333.04	0.38	333.04	333.04	1	0	0	0.315	1982.25	3
object/tangible/ship/components/armor/armor_mandal_insulated_i5.iff	Do not edit.	473.8	473.8	0.38	473.8	473.8	1	0	0	0.317	3862.688	4
object/tangible/ship/components/armor/armor_seinar_coated_plasteel.iff	Do not edit.	166.8	166.8	0.38	166.8	166.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/armor_seinar_enhanced_plasteel.iff	Do not edit.	164.8	164.8	0.38	164.8	164.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/armor_subpro_corrugated_durasteel.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.375	9547.358	6
object/tangible/ship/components/armor/armor_subpro_light_plasteel.iff	Do not edit.	697.434	697.434	0.38	697.434	697.434	1	0	0	0.375	4955.625	5
object/tangible/ship/components/armor/armor_subpro_reinforced_plasteel.iff	Do not edit.	871.792	871.792	0.3	871.792	871.792	1	0	0	0.375	9645.683	6
object/tangible/ship/components/armor/armor_tiefighter_basic.iff	Do not edit.	144.8	144.8	0.38	144.8	144.8	1	0	0	0.24	792.9	1
object/tangible/ship/components/armor/armor_trilon_custom.iff	Do not edit.	612.794	612.794	0.38	612.794	612.794	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/armor_trilon_unknown.iff	Do not edit.	705.898	705.898	0.38	705.898	705.898	1	0	0	0.375	5518.125	5
object/tangible/ship/components/armor/armor_z95_basic.iff	Do not edit.	164.8	164.8	0.38	164.8	164.8	1	0	0	0.24	882.9	1
object/tangible/ship/components/armor/arm_ur_0015_rancor.iff	Do not edit.	871.792	871.792	0.38	871.792	871.792	1	0	0	0.375	9547.358	6
object/tangible/ship/components/armor/arm_fibertech_steel_plating.iff	Do not edit.	1920	1920	0.0001	1920	1920	1	0	0	0.0001	25000	8
