strType	strComments	fltCurrentEnergy	fltMaxEnergyModifier	fltMaxEnergy	fltRechargeRateModifier	fltRechargeRate	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/weapon_capacitor/cap_kessel_rebel_taim_hypercharger.iff	Do not edit.	732.05	0.25	732.05	0.25	29.28	1100.38	1100.38	0.05	550.19	550.19	1	0.25	1200	0.18	46800	9
object/tangible/ship/components/weapon_capacitor/cap_koensayr_custom_light.iff	Do not edit.	712.5	0.23	712.5	0.2	28.5	225	225	0.05	112.5	112.5	1	0.22	1000	0.13	1487.5	2
object/tangible/ship/components/weapon_capacitor/cap_koensayr_deluxe_mk4.iff	Do not edit.	998.25	0.23	998.25	0.2	39.93	1401.645	1401.645	0.05	700.8225	700.8225	1	0.22	1150	0.13	31395	8
object/tangible/ship/components/weapon_capacitor/cap_koensayr_elite_mk5.iff	Do not edit.	1043.171	0.23	1043.171	0.2	46.116	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1250	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_koensayr_improved_light.iff	Do not edit.	577.5	0.23	577.5	0.2	23.1	362.25	362.25	0.05	181.125	181.125	1	0.22	1100	0.13	2750	3
object/tangible/ship/components/weapon_capacitor/cap_koensayr_light.iff	Do not edit.	450	0.23	450	0.2	18	150	150	0.05	75	75	1	0.22	1000	0.13	800	1
object/tangible/ship/components/weapon_capacitor/cap_koensayr_mk3.iff	Do not edit.	514.25	0.23	514.25	0.2	20.57	603.06	603.06	0.05	301.53	301.53	1	0.22	1050	0.13	6562.5	5
object/tangible/ship/components/weapon_capacitor/cap_koensayr_mk4.iff	Do not edit.	598.95	0.23	598.95	0.2	23.958	934.43	934.43	0.05	467.215	467.215	1	0.22	1150	0.13	14820	7
object/tangible/ship/components/weapon_capacitor/cap_koensayr_mk5.iff	Do not edit.	512.435	0.23	512.435	0.2	20.496	770.266	770.266	0.05	385.133	385.133	1	0.22	900	0.13	35100	9
object/tangible/ship/components/weapon_capacitor/cap_koensayr_rare_mk2.iff	Do not edit.	825	0.23	825	0.2	33	517.5	517.5	0.05	258.75	258.75	1	0.22	1050	0.13	4593.75	4
object/tangible/ship/components/weapon_capacitor/cap_koensayr_tuned_mk3.iff	Do not edit.	907.5	0.23	907.5	0.2	36.3	952.2	952.2	0.05	476.1	476.1	1	0.22	1100	0.13	12017.5	6
object/tangible/ship/components/weapon_capacitor/cap_kse_elite_mk5.iff	Do not edit.	768.652	0.23	768.652	0.2	30.744	1155.399	1155.399	0.05	577.6995	577.6995	1	0.22	900	0.13	42300	10
object/tangible/ship/components/weapon_capacitor/cap_kse_limited_mk1.iff	Do not edit.	525	0.23	525	0.2	21	157.5	157.5	0.05	78.75	78.75	1	0.22	700	0.13	1225	2
object/tangible/ship/components/weapon_capacitor/cap_kse_limited_mk4.iff	Do not edit.	1048.162	0.23	1048.162	0.2	41.927	1471.727	1471.727	0.05	735.8635	735.8635	1	0.22	1150	0.13	32760	8
object/tangible/ship/components/weapon_capacitor/cap_kse_mk1.iff	Do not edit.	500	0.23	500	0.2	20	150	150	0.05	75	75	1	0.22	1000	0.13	1000	1
object/tangible/ship/components/weapon_capacitor/cap_kse_mk2.iff	Do not edit.	660	0.23	660	0.2	22	345	345	0.05	172.5	172.5	1	0.22	1250	0.13	2625	3
object/tangible/ship/components/weapon_capacitor/cap_kse_mk3.iff	Do not edit.	574.75	0.23	574.75	0.2	22.99	603.06	603.06	0.05	301.53	301.53	1	0.22	1050	0.13	6562.5	5
object/tangible/ship/components/weapon_capacitor/cap_kse_mk4.iff	Do not edit.	465.85	0.23	465.85	0.2	18.634	654.101	654.101	0.05	327.0505	327.0505	1	0.22	850	0.13	13260	7
object/tangible/ship/components/weapon_capacitor/cap_kse_mk5.iff	Do not edit.	622.242	0.23	622.242	0.2	24.888	1045.361	1045.361	0.05	522.6805	522.6805	1	0.22	1150	0.13	44850	9
object/tangible/ship/components/weapon_capacitor/cap_kse_performance_mk2.iff	Do not edit.	783.75	0.23	783.75	0.2	31.35	491.625	491.625	0.05	245.8125	245.8125	1	0.22	1000	0.13	4375	4
object/tangible/ship/components/weapon_capacitor/cap_kse_supercharged_mk3.iff	Do not edit.	862.125	0.23	862.125	0.2	38.115	952.2	952.2	0.05	476.1	476.1	1	0.22	1150	0.13	11471.25	6
object/tangible/ship/components/weapon_capacitor/cap_mandal_improved_powermaster_mk3.iff	Do not edit.	862.125	0.23	862.125	0.2	34.485	952.2	952.2	0.05	476.1	476.1	1	0.22	1100	0.13	10378.75	6
object/tangible/ship/components/weapon_capacitor/cap_mandal_powermaster_mk1.iff	Do not edit.	550	0.2	550	0.1	22	150	150	0.05	75	75	1	0.22	1100	0.13	1000	1
object/tangible/ship/components/weapon_capacitor/cap_mandal_powermaster_mk2.iff	Do not edit.	495	0.23	495	0.2	19.8	310.5	310.5	0.05	155.25	155.25	1	0.22	950	0.13	2375	3
object/tangible/ship/components/weapon_capacitor/cap_mandal_powermaster_mk3.iff	Do not edit.	605	0.23	605	0.2	24.2	634.8	634.8	0.05	317.4	317.4	1	0.22	1100	0.13	6875	5
object/tangible/ship/components/weapon_capacitor/cap_mandal_powermaster_mk4.iff	Do not edit.	665.5	0.23	665.5	0.2	26.62	934.43	934.43	0.05	467.215	467.215	1	0.22	1150	0.13	17940	7
object/tangible/ship/components/weapon_capacitor/cap_mandal_powermaster_mk5.iff	Do not edit.	695.447	0.23	695.447	0.2	30.744	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	44850	9
object/tangible/ship/components/weapon_capacitor/cap_mandal_powersoak.iff	Do not edit.	1098.075	0.23	1098.075	0.2	43.92	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1200	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_mandal_provider_p1.iff	Do not edit.	1043.171	0.23	1043.171	0.2	41.724	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1200	0.13	49350	10
object/tangible/ship/components/weapon_capacitor/cap_mandal_rare_powermaster_mk4.iff	Do not edit.	948.338	0.23	948.338	0.2	37.934	1331.563	1331.563	0.05	665.7815	665.7815	1	0.22	1000	0.13	30030	8
object/tangible/ship/components/weapon_capacitor/cap_mandal_special_powermaster_mk1.iff	Do not edit.	750	0.23	750	0.2	30	225	225	0.05	112.5	112.5	1	0.22	1000	0.13	1750	2
object/tangible/ship/components/weapon_capacitor/cap_mandal_tuned_powermaster_mk2.iff	Do not edit.	825	0.23	825	0.2	33	517.5	517.5	0.05	258.75	258.75	1	0.22	1050	0.13	4593.75	4
object/tangible/ship/components/weapon_capacitor/cap_mission_reward_imperial_rendili_k_class.iff	Do not edit.	952.875	0.23	952.875	0.2	38.115	1047.42	1047.42	0.05	523.71	523.71	1	0.22	1150	0.13	9775	6
object/tangible/ship/components/weapon_capacitor/cap_mission_reward_neutral_sorosuub_v1.iff	Do not edit.	907.5	0.25	907.5	0.25	36.3	952.2	952.2	0.05	476.1	476.1	1	0.25	1100	0.18	9350	6
object/tangible/ship/components/weapon_capacitor/cap_mission_reward_rebel_qualdex_battery_array.iff	Do not edit.	771.375	0.23	771.375	0.2	30.855	904.59	904.59	0.05	452.295	452.295	1	0.22	1050	0.13	8925	6
object/tangible/ship/components/weapon_capacitor/cap_moncal_advanced.iff	Do not edit.	632.225	0.23	632.225	0.2	25.289	934.43	934.43	0.05	467.215	467.215	1	0.22	1150	0.13	15600	7
object/tangible/ship/components/weapon_capacitor/cap_moncal_charged_light.iff	Do not edit.	712.5	0.23	712.5	0.2	31.5	225	225	0.05	112.5	112.5	1	0.22	1050	0.13	1662.5	2
object/tangible/ship/components/weapon_capacitor/cap_moncal_deluxe_elite.iff	Do not edit.	1152.979	0.23	1152.979	0.2	46.116	1815.627	1815.627	0.05	907.8135	907.8135	1	0.22	1250	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_moncal_elite.iff	Do not edit.	768.653	0.23	768.653	0.2	30.744	1210.418	1210.418	0.05	605.209	605.209	1	0.22	1200	0.13	48750	9
object/tangible/ship/components/weapon_capacitor/cap_moncal_enhanced_advanced.iff	Do not edit.	898.425	0.23	898.425	0.2	35.937	1261.48	1261.48	0.05	630.74	630.74	1	0.22	1050	0.13	28665	8
object/tangible/ship/components/weapon_capacitor/cap_moncal_heavy.iff	Do not edit.	605	0.23	605	0.2	24.2	634.8	634.8	0.05	317.4	317.4	1	0.22	1100	0.13	6875	5
object/tangible/ship/components/weapon_capacitor/cap_moncal_light.iff	Do not edit.	475	0.23	475	0.2	19	150	150	0.05	75	75	1	0.22	1000	0.13	850	1
object/tangible/ship/components/weapon_capacitor/cap_moncal_modified_heavy.iff	Do not edit.	635.25	0.23	635.25	0.2	25.41	666.54	666.54	0.05	333.27	333.27	1	0.22	800	0.13	8740	6
object/tangible/ship/components/weapon_capacitor/cap_moncal_modified_standard.iff	Do not edit.	742.5	0.23	742.5	0.2	29.7	465.75	465.75	0.05	232.875	232.875	1	0.22	950	0.13	8531.25	4
object/tangible/ship/components/weapon_capacitor/cap_moncal_standard.iff	Do not edit.	550	0.23	550	0.1	26.4	345	345	0.05	172.5	172.5	1	0.22	1050	0.13	2625	3
object/tangible/ship/components/weapon_capacitor/cap_novaldex_deluxe_wampa_s1.iff	Do not edit.	598.95	0.23	598.95	0.2	23.958	840.987	840.987	0.05	420.4935	420.4935	1	0.22	1150	0.13	16380	7
object/tangible/ship/components/weapon_capacitor/cap_novaldex_experimental.iff	Do not edit.	1152.979	0.23	1152.979	0.2	46.116	1733.099	1733.099	0.05	866.5495	866.5495	1	0.22	1250	0.13	58750	10
object/tangible/ship/components/weapon_capacitor/cap_novaldex_experimental_sarlacc_s1.iff	Do not edit.	550	0.25	550	0.25	22	345	345	0.05	172.5	172.5	1	0.25	1050	0.18	2625	3
object/tangible/ship/components/weapon_capacitor/cap_novaldex_sarlacc_s1.iff	Do not edit.	787.5	0.23	787.5	0.2	31.5	236.25	236.25	0.05	118.125	118.125	1	0.22	1050	0.13	1837.5	2
object/tangible/ship/components/weapon_capacitor/cap_novaldex_sarlacc_s2.iff	Do not edit.	783.75	0.23	783.75	0.2	34.65	517.5	517.5	0.05	258.75	258.75	1	0.22	1100	0.13	4375	4
object/tangible/ship/components/weapon_capacitor/cap_novaldex_sarlacc_s3.iff	Do not edit.	574.75	0.23	574.75	0.2	25.41	634.8	634.8	0.05	317.4	317.4	1	0.22	1150	0.13	6562.5	5
object/tangible/ship/components/weapon_capacitor/cap_novaldex_small_capacitor.iff	Do not edit.	475	0.23	475	0.2	19	142.5	142.5	0.05	71.25	71.25	1	0.22	950	0.13	950	1
object/tangible/ship/components/weapon_capacitor/cap_novaldex_wampa_s1.iff	Do not edit.	952.875	0.23	952.875	0.2	38.115	999.81	999.81	0.05	499.905	499.905	1	0.22	1150	0.13	12563.75	6
object/tangible/ship/components/weapon_capacitor/cap_novaldex_wampa_s2.iff	Do not edit.	948.338	0.23	948.338	0.2	41.927	1401.645	1401.645	0.05	700.8225	700.8225	1	0.22	1200	0.13	30030	8
object/tangible/ship/components/weapon_capacitor/cap_novaldex_wampa_s3.iff	Do not edit.	805.255	0.2	805.255	0.1	32.208	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	46800	9
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_q3.iff	Do not edit.	866.25	0.23	866.25	0.2	34.65	569.25	569.25	0.05	284.625	284.625	1	0.22	1100	0.13	4812.5	4
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_q7.iff	Do not edit.	665.5	0.23	665.5	0.2	26.62	934.43	934.43	0.05	467.215	467.215	1	0.22	1150	0.13	17940	7
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx1.iff	Do not edit.	574.75	0.23	574.75	0.2	22.99	634.8	634.8	0.05	317.4	317.4	1	0.22	1100	0.13	5937.5	5
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx2.iff	Do not edit.	907.5	0.23	907.5	0.1	43.56	952.2	952.2	0.05	476.1	476.1	1	0.22	1100	0.13	12017.5	6
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx3.iff	Do not edit.	798.6	0.23	798.6	0.2	26.62	934.43	934.43	0.05	467.215	467.215	1	0.22	1350	0.13	17940	7
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx4.iff	Do not edit.	848.512	0.23	848.512	0.2	33.941	1331.563	1331.563	0.05	665.7815	665.7815	1	0.22	1100	0.13	30030	8
object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx5.iff	Do not edit.	658.845	0.23	658.845	0.2	26.352	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	39000	9
object/tangible/ship/components/weapon_capacitor/cap_qualdex_experimental.iff	Do not edit.	988.268	0.23	988.268	0.2	39.528	1485.513	1485.513	0.05	742.7565	742.7565	1	0.22	1100	0.13	51700	10
object/tangible/ship/components/weapon_capacitor/cap_qualdex_miser_elite.iff	Do not edit.	467.5	0.23	467.5	0.2	18.7	327.75	327.75	0.05	163.875	163.875	1	0.22	1000	0.13	2500	3
object/tangible/ship/components/weapon_capacitor/cap_qualdex_miser_light.iff	Do not edit.	450	0.23	450	0.2	18	135	135	0.05	67.5	67.5	1	0.22	900	0.13	900	1
object/tangible/ship/components/weapon_capacitor/cap_qualdex_miser_standard.iff	Do not edit.	900	0.23	900	0.2	30	225	225	0.05	112.5	112.5	1	0.22	1200	0.13	1750	2
object/tangible/ship/components/weapon_capacitor/cap_rendili_overseer_j7.iff	Do not edit.	500	0.25	500	0.25	20	150	150	0.05	75	75	1	0.25	1000	0.18	1000	1
object/tangible/ship/components/weapon_capacitor/cap_rendili_overseer_j8.iff	Do not edit.	742.5	0.23	742.5	0.2	29.7	517.5	517.5	0.05	258.75	258.75	1	0.22	1050	0.13	3718.75	4
object/tangible/ship/components/weapon_capacitor/cap_rss_imperial_1.iff	Do not edit.	425	0.23	425	0.2	17	142.5	142.5	0.05	71.25	71.25	1	0.22	950	0.13	950	1
object/tangible/ship/components/weapon_capacitor/cap_sds_imperial_1.iff	Do not edit.	712.5	0.23	712.5	0.2	28.5	213.75	213.75	0.05	106.875	106.875	1	0.22	950	0.13	1662.5	2
object/tangible/ship/components/weapon_capacitor/cap_sds_imperial_2.iff	Do not edit.	550	0.23	550	0.2	22	345	345	0.05	172.5	172.5	1	0.22	1050	0.13	2625	3
object/tangible/ship/components/weapon_capacitor/cap_sds_special_imperial_2.iff	Do not edit.	907.5	0.2	907.5	0.1	36.3	517.5	517.5	0.05	258.75	258.75	1	0.22	1150	0.13	4593.75	4
object/tangible/ship/components/weapon_capacitor/cap_sfs_imperial_1.iff	Do not edit.	525	0.23	525	0.2	21	165	165	0.05	82.5	82.5	1	0.22	1050	0.13	1050	1
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_dynamo_mk1.iff	Do not edit.	525	0.23	525	0.2	21	157.5	157.5	0.05	78.75	78.75	1	0.22	1050	0.13	1050	1
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_dynamo_mk2.iff	Do not edit.	550	0.23	550	0.2	22	345	345	0.05	172.5	172.5	1	0.22	1050	0.13	2625	3
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_dynamo_mk3.iff	Do not edit.	998.25	0.2	998.25	0.1	39.93	952.2	952.2	0.05	476.1	476.1	1	0.22	1200	0.13	12017.5	6
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_dynamo_mk4.iff	Do not edit.	998.25	0.23	998.25	0.2	39.93	1401.645	1401.645	0.05	700.8225	700.8225	1	0.22	1150	0.13	31395	8
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_enhanced_dynamo_mk1.iff	Do not edit.	750	0.23	750	0.1	36	225	225	0.05	112.5	112.5	1	0.22	1000	0.13	1750	2
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_flash.iff	Do not edit.	988.268	0.23	988.268	0.2	39.528	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1200	0.13	47000	10
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_premium_dynamo_mk2.iff	Do not edit.	701.25	0.23	701.25	0.2	28.05	491.625	491.625	0.05	245.8125	245.8125	1	0.22	1000	0.13	4812.5	4
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_supercharged_dynamo_mk4.iff	Do not edit.	695.447	0.23	695.447	0.2	27.816	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1200	0.13	40950	9
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_tuned_dynamo_mk3.iff	Do not edit.	665.5	0.23	665.5	0.1	31.944	934.43	934.43	0.05	467.215	467.215	1	0.22	1150	0.13	17940	7
object/tangible/ship/components/weapon_capacitor/cap_sorosuub_turbo.iff	Do not edit.	423.5	0.23	423.5	0.2	16.94	444.36	444.36	0.05	222.18	222.18	1	0.22	800	0.13	5000	5
object/tangible/ship/components/weapon_capacitor/cap_subpro_dauntless_z3.iff	Do not edit.	998.25	0.25	998.25	0.25	39.93	1401.645	1401.645	0.05	700.8225	700.8225	1	0.25	1150	0.18	31395	8
object/tangible/ship/components/weapon_capacitor/cap_subpro_dauntless_z5.iff	Do not edit.	732.05	0.23	732.05	0.1	35.136	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1150	0.13	46800	9
object/tangible/ship/components/weapon_capacitor/cap_subpro_defiant_c1.iff	Do not edit.	635.25	0.23	635.25	0.2	25.41	698.28	698.28	0.05	349.14	349.14	1	0.22	1150	0.13	7187.5	5
object/tangible/ship/components/weapon_capacitor/cap_subpro_defiant_c2.iff	Do not edit.	665.5	0.23	665.5	0.2	26.62	934.43	934.43	0.05	467.215	467.215	1	0.22	1150	0.13	17940	7
object/tangible/ship/components/weapon_capacitor/cap_subpro_defiant_c3.iff	Do not edit.	732.05	0.2	732.05	0.1	29.282	934.43	934.43	0.05	467.215	467.215	1	0.22	1250	0.13	17940	7
object/tangible/ship/components/weapon_capacitor/cap_subpro_experimental.iff	Do not edit.	1317.69	0.23	1317.69	0.2	43.92	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1400	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_subpro_gallant_a1.iff	Do not edit.	577.5	0.23	577.5	0.2	23.1	362.25	362.25	0.05	181.125	181.125	1	0.22	750	0.13	3281.25	4
object/tangible/ship/components/weapon_capacitor/cap_subpro_improved_valiant_z1.iff	Do not edit.	675	0.23	675	0.2	27	225	225	0.05	112.5	112.5	1	0.22	1000	0.13	1400	2
object/tangible/ship/components/weapon_capacitor/cap_subpro_modified_defiant_c1.iff	Do not edit.	816.75	0.23	816.75	0.2	32.67	952.2	952.2	0.05	476.1	476.1	1	0.22	1100	0.13	9832.5	6
object/tangible/ship/components/weapon_capacitor/cap_subpro_valiant_z1.iff	Do not edit.	500	0.23	500	0.1	24	150	150	0.05	75	75	1	0.22	1000	0.13	1000	1
object/tangible/ship/components/weapon_capacitor/cap_subpro_valiant_z2.iff	Do not edit.	522.5	0.23	522.5	0.2	20.9	327.75	327.75	0.05	163.875	163.875	1	0.22	1000	0.13	2500	3
object/tangible/ship/components/weapon_capacitor/cap_tiefighter_basic.iff	Do not edit.	500	0.23	500	0.2	20	150	150	0.05	75	75	1	0.22	1000	0.13	1000	1
object/tangible/ship/components/weapon_capacitor/cap_tiefighter_elite_mk1.iff	Do not edit.	577.5	0.23	577.5	0.2	23.1	379.5	379.5	0.05	189.75	189.75	1	0.22	1100	0.13	2750	3
object/tangible/ship/components/weapon_capacitor/cap_tiefighter_elite_mk2.iff	Do not edit.	816.75	0.23	816.75	0.2	32.67	856.98	856.98	0.05	428.49	428.49	1	0.22	1000	0.13	10925	6
object/tangible/ship/components/weapon_capacitor/cap_tiefighter_elite_mk3.iff	Do not edit.	878.46	0.23	878.46	0.2	29.28	1100.38	1100.38	0.05	550.19	550.19	1	0.22	1350	0.13	46800	9
object/tangible/ship/components/weapon_capacitor/cap_tiefighter_experimental.iff	Do not edit.	1098.075	0.23	1098.075	0.1	52.704	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1200	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_unknown_experimental.iff	Do not edit.	632.225	0.23	632.225	0.2	25.289	887.708	887.708	0.05	443.854	443.854	1	0.22	1100	0.13	17160	7
object/tangible/ship/components/weapon_capacitor/cap_z95_basic.iff	Do not edit.	500	0.23	500	0.2	20	150	150	0.05	75	75	1	0.22	1000	0.13	1000	1
object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_experimental.iff	Do not edit.	1207.882	0.2	1207.882	0.1	48.312	1650.57	1650.57	0.05	825.285	825.285	1	0.22	1300	0.13	56400	10
object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_k3.iff	Do not edit.	675	0.23	675	0.2	27	202.5	202.5	0.05	101.25	101.25	1	0.22	900	0.13	1575	2
object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_k5.iff	Do not edit.	605	0.23	605	0.2	24.2	634.8	634.8	0.05	317.4	317.4	1	0.22	1100	0.13	6875	5
object/tangible/ship/components/weapon_capacitor/cap_tiburon.iff	Do not edit.	632.225	0.23	632.225	0.2	25.289	887.708	887.708	0.05	443.854	443.854	1	0.22	1100	0.13	17160	6
