tatooine	naboo	corellia	rori	talus	dantooine	lok	yavin4	endor	dathomir	collections
armor_assault_con_lvl20_bicep_l_02_01	item_clothing_bandolier_pre_lvl20_02_01	item_clothing_bandolier_pre_lvl30_02_01	item_clothing_bandolier_pre_lvl40_02_01	item_clothing_bandolier_pre_lvl50_02_01	item_clothing_bandolier_pre_lvl50_02_01	item_clothing_bandolier_pre_lvl60_02_01	item_clothing_bandolier_pre_lvl70_02_01	item_clothing_bandolier_pre_lvl80_02_01	item_clothing_bandolier_pre_lvl80_02_01	col_rancor_fang_02_01
armor_assault_con_lvl20_bicep_r_02_01	item_clothing_bandolier_sta_lvl20_02_01	item_clothing_bandolier_sta_lvl30_02_01	item_clothing_bandolier_sta_lvl40_02_01	item_clothing_bandolier_sta_lvl50_02_01	item_clothing_bandolier_sta_lvl50_02_01	item_clothing_bandolier_sta_lvl60_02_01	item_clothing_bandolier_sta_lvl70_02_01	item_clothing_bandolier_sta_lvl80_02_01	item_clothing_bandolier_sta_lvl80_02_01	col_rancor_finger_02_01
armor_assault_con_lvl20_boots_02_01	item_clothing_bandolier_str_lvl20_02_01	item_clothing_bandolier_str_lvl30_02_01	item_clothing_bandolier_str_lvl40_02_01	item_clothing_bandolier_str_lvl50_02_01	item_clothing_bandolier_str_lvl50_02_01	item_clothing_bandolier_str_lvl60_02_01	item_clothing_bandolier_str_lvl70_02_01	item_clothing_bandolier_str_lvl80_02_01	item_clothing_bandolier_str_lvl80_02_01	col_aurebesh_tile_aurek_02_01
armor_assault_con_lvl20_bracer_l_02_01	item_clothing_belt_agi_lvl20_02_01	item_clothing_belt_agi_lvl30_02_01	item_clothing_belt_agi_lvl40_02_01	item_clothing_belt_agi_lvl50_02_01	item_clothing_belt_agi_lvl50_02_01	item_clothing_belt_agi_lvl60_02_01	item_clothing_belt_agi_lvl70_02_01	item_clothing_belt_agi_lvl80_02_01	item_clothing_belt_agi_lvl80_02_01	col_aurebesh_tile_besh_02_01
armor_assault_con_lvl20_bracer_r_02_01	item_clothing_belt_con_lvl20_02_01	item_clothing_belt_con_lvl30_02_01	item_clothing_belt_con_lvl40_02_01	item_clothing_belt_con_lvl50_02_01	item_clothing_belt_con_lvl50_02_01	item_clothing_belt_con_lvl60_02_01	item_clothing_belt_con_lvl70_02_01	item_clothing_belt_con_lvl80_02_01	item_clothing_belt_con_lvl80_02_01	col_aurebesh_tile_cherek_02_01
armor_assault_con_lvl20_chest_02_01	item_clothing_belt_lck_lvl20_02_01	item_clothing_belt_lck_lvl30_02_01	item_clothing_belt_lck_lvl40_02_01	item_clothing_belt_lck_lvl50_02_01	item_clothing_belt_lck_lvl50_02_01	item_clothing_belt_lck_lvl60_02_01	item_clothing_belt_lck_lvl70_02_01	item_clothing_belt_lck_lvl80_02_01	item_clothing_belt_lck_lvl80_02_01	col_aurebesh_tile_cresh_02_01
armor_assault_con_lvl20_gloves_02_01	item_clothing_belt_pre_lvl20_02_01	item_clothing_belt_pre_lvl30_02_01	item_clothing_belt_pre_lvl40_02_01	item_clothing_belt_pre_lvl50_02_01	item_clothing_belt_pre_lvl50_02_01	item_clothing_belt_pre_lvl60_02_01	item_clothing_belt_pre_lvl70_02_01	item_clothing_belt_pre_lvl80_02_01	item_clothing_belt_pre_lvl80_02_01	col_aurebesh_tile_dorn_02_01
armor_assault_con_lvl20_helmet_02_01	item_clothing_belt_sta_lvl20_02_01	item_clothing_belt_sta_lvl30_02_01	item_clothing_belt_sta_lvl40_02_01	item_clothing_belt_sta_lvl50_02_01	item_clothing_belt_sta_lvl50_02_01	item_clothing_belt_sta_lvl60_02_01	item_clothing_belt_sta_lvl70_02_01	item_clothing_belt_sta_lvl80_02_01	item_clothing_belt_sta_lvl80_02_01	col_aurebesh_tile_enth_02_01
armor_assault_con_lvl20_leggings_02_01	item_clothing_belt_str_lvl20_02_01	item_clothing_belt_str_lvl30_02_01	item_clothing_belt_str_lvl40_02_01	item_clothing_belt_str_lvl50_02_01	item_clothing_belt_str_lvl50_02_01	item_clothing_belt_str_lvl60_02_01	item_clothing_belt_str_lvl70_02_01	item_clothing_belt_str_lvl80_02_01	item_clothing_belt_str_lvl80_02_01	col_aurebesh_tile_esk_02_01
armor_assault_lck_lvl20_bicep_l_02_01	item_clothing_boots_agi_lvl20_02_01	item_clothing_boots_agi_lvl30_02_01	item_clothing_boots_agi_lvl40_02_01	item_clothing_boots_agi_lvl50_02_01	item_clothing_boots_agi_lvl50_02_01	item_clothing_boots_agi_lvl60_02_01	item_clothing_boots_agi_lvl70_02_01	item_clothing_boots_agi_lvl80_02_01	item_clothing_boots_agi_lvl80_02_01	col_aurebesh_tile_forn_02_01
armor_assault_lck_lvl20_bicep_r_02_01	item_clothing_boots_con_lvl20_02_01	item_clothing_boots_con_lvl30_02_01	item_clothing_boots_con_lvl40_02_01	item_clothing_boots_con_lvl50_02_01	item_clothing_boots_con_lvl50_02_01	item_clothing_boots_con_lvl60_02_01	item_clothing_boots_con_lvl70_02_01	item_clothing_boots_con_lvl80_02_01	item_clothing_boots_con_lvl80_02_01	col_aurebesh_tile_grek_02_01
armor_assault_lck_lvl20_boots_02_01	item_clothing_boots_lck_lvl20_02_01	item_clothing_boots_lck_lvl30_02_01	item_clothing_boots_lck_lvl40_02_01	item_clothing_boots_lck_lvl50_02_01	item_clothing_boots_lck_lvl50_02_01	item_clothing_boots_lck_lvl60_02_01	item_clothing_boots_lck_lvl70_02_01	item_clothing_boots_lck_lvl80_02_01	item_clothing_boots_lck_lvl80_02_01	col_aurebesh_tile_herf_02_01
armor_assault_lck_lvl20_bracer_l_02_01	item_clothing_boots_pre_lvl20_02_01	item_clothing_boots_pre_lvl30_02_01	item_clothing_boots_pre_lvl40_02_01	item_clothing_boots_pre_lvl50_02_01	item_clothing_boots_pre_lvl50_02_01	item_clothing_boots_pre_lvl60_02_01	item_clothing_boots_pre_lvl70_02_01	item_clothing_boots_pre_lvl80_02_01	item_clothing_boots_pre_lvl80_02_01	col_aurebesh_tile_isk_02_01
armor_assault_lck_lvl20_bracer_r_02_01	item_clothing_boots_sta_lvl20_02_01	item_clothing_boots_sta_lvl30_02_01	item_clothing_boots_sta_lvl40_02_01	item_clothing_boots_sta_lvl50_02_01	item_clothing_boots_sta_lvl50_02_01	item_clothing_boots_sta_lvl60_02_01	item_clothing_boots_sta_lvl70_02_01	item_clothing_boots_sta_lvl80_02_01	item_clothing_boots_sta_lvl80_02_01	col_aurebesh_tile_jenth_02_01
armor_assault_lck_lvl20_chest_02_01	item_clothing_boots_str_lvl20_02_01	item_clothing_boots_str_lvl30_02_01	item_clothing_boots_str_lvl40_02_01	item_clothing_boots_str_lvl50_02_01	item_clothing_boots_str_lvl50_02_01	item_clothing_boots_str_lvl60_02_01	item_clothing_boots_str_lvl70_02_01	item_clothing_boots_str_lvl80_02_01	item_clothing_boots_str_lvl80_02_01	col_aurebesh_tile_kerenth_02_01
armor_assault_lck_lvl20_gloves_02_01	item_clothing_bracelet_l_agi_lvl20_02_01	item_clothing_bracelet_l_agi_lvl30_02_01	item_clothing_bracelet_l_agi_lvl40_02_01	item_clothing_bracelet_l_agi_lvl50_02_01	item_clothing_bracelet_l_agi_lvl50_02_01	item_clothing_bracelet_l_agi_lvl60_02_01	item_clothing_bracelet_l_agi_lvl70_02_01	item_clothing_bracelet_l_agi_lvl80_02_01	item_clothing_bracelet_l_agi_lvl80_02_01	col_aurebesh_tile_krill_02_01
armor_assault_lck_lvl20_helmet_02_01	item_clothing_bracelet_l_con_lvl20_02_01	item_clothing_bracelet_l_con_lvl30_02_01	item_clothing_bracelet_l_con_lvl40_02_01	item_clothing_bracelet_l_con_lvl50_02_01	item_clothing_bracelet_l_con_lvl50_02_01	item_clothing_bracelet_l_con_lvl60_02_01	item_clothing_bracelet_l_con_lvl70_02_01	item_clothing_bracelet_l_con_lvl80_02_01	item_clothing_bracelet_l_con_lvl80_02_01	col_aurebesh_tile_leth_02_01
armor_assault_lck_lvl20_leggings_02_01	item_clothing_bracelet_l_lck_lvl20_02_01	item_clothing_bracelet_l_lck_lvl30_02_01	item_clothing_bracelet_l_lck_lvl40_02_01	item_clothing_bracelet_l_lck_lvl50_02_01	item_clothing_bracelet_l_lck_lvl50_02_01	item_clothing_bracelet_l_lck_lvl60_02_01	item_clothing_bracelet_l_lck_lvl70_02_01	item_clothing_bracelet_l_lck_lvl80_02_01	item_clothing_bracelet_l_lck_lvl80_02_01	col_aurebesh_tile_mern_02_01
armor_assault_pre_lvl20_bicep_l_02_01	item_clothing_bracelet_l_pre_lvl20_02_01	item_clothing_bracelet_l_pre_lvl30_02_01	item_clothing_bracelet_l_pre_lvl40_02_01	item_clothing_bracelet_l_pre_lvl50_02_01	item_clothing_bracelet_l_pre_lvl50_02_01	item_clothing_bracelet_l_pre_lvl60_02_01	item_clothing_bracelet_l_pre_lvl70_02_01	item_clothing_bracelet_l_pre_lvl80_02_01	item_clothing_bracelet_l_pre_lvl80_02_01	col_aurebesh_tile_nen_02_01
armor_assault_pre_lvl20_bicep_r_02_01	item_clothing_bracelet_l_sta_lvl20_02_01	item_clothing_bracelet_l_sta_lvl30_02_01	item_clothing_bracelet_l_sta_lvl40_02_01	item_clothing_bracelet_l_sta_lvl50_02_01	item_clothing_bracelet_l_sta_lvl50_02_01	item_clothing_bracelet_l_sta_lvl60_02_01	item_clothing_bracelet_l_sta_lvl70_02_01	item_clothing_bracelet_l_sta_lvl80_02_01	item_clothing_bracelet_l_sta_lvl80_02_01	col_aurebesh_tile_nern_02_01
armor_assault_pre_lvl20_boots_02_01	item_clothing_bracelet_l_str_lvl20_02_01	item_clothing_bracelet_l_str_lvl30_02_01	item_clothing_bracelet_l_str_lvl40_02_01	item_clothing_bracelet_l_str_lvl50_02_01	item_clothing_bracelet_l_str_lvl50_02_01	item_clothing_bracelet_l_str_lvl60_02_01	item_clothing_bracelet_l_str_lvl70_02_01	item_clothing_bracelet_l_str_lvl80_02_01	item_clothing_bracelet_l_str_lvl80_02_01	col_aurebesh_tile_onith_02_01
armor_assault_pre_lvl20_bracer_l_02_01	item_clothing_bracelet_r_agi_lvl20_02_01	item_clothing_bracelet_r_agi_lvl30_02_01	item_clothing_bracelet_r_agi_lvl40_02_01	item_clothing_bracelet_r_agi_lvl50_02_01	item_clothing_bracelet_r_agi_lvl50_02_01	item_clothing_bracelet_r_agi_lvl60_02_01	item_clothing_bracelet_r_agi_lvl70_02_01	item_clothing_bracelet_r_agi_lvl80_02_01	item_clothing_bracelet_r_agi_lvl80_02_01	col_aurebesh_tile_orenth_02_01
armor_assault_pre_lvl20_bracer_r_02_01	item_clothing_bracelet_r_con_lvl20_02_01	item_clothing_bracelet_r_con_lvl30_02_01	item_clothing_bracelet_r_con_lvl40_02_01	item_clothing_bracelet_r_con_lvl50_02_01	item_clothing_bracelet_r_con_lvl50_02_01	item_clothing_bracelet_r_con_lvl60_02_01	item_clothing_bracelet_r_con_lvl70_02_01	item_clothing_bracelet_r_con_lvl80_02_01	item_clothing_bracelet_r_con_lvl80_02_01	col_aurebesh_tile_osk_02_01
armor_assault_pre_lvl20_chest_02_01	item_clothing_bracelet_r_lck_lvl20_02_01	item_clothing_bracelet_r_lck_lvl30_02_01	item_clothing_bracelet_r_lck_lvl40_02_01	item_clothing_bracelet_r_lck_lvl50_02_01	item_clothing_bracelet_r_lck_lvl50_02_01	item_clothing_bracelet_r_lck_lvl60_02_01	item_clothing_bracelet_r_lck_lvl70_02_01	item_clothing_bracelet_r_lck_lvl80_02_01	item_clothing_bracelet_r_lck_lvl80_02_01	col_aurebesh_tile_peth_02_01
armor_assault_pre_lvl20_gloves_02_01	item_clothing_bracelet_r_pre_lvl20_02_01	item_clothing_bracelet_r_pre_lvl30_02_01	item_clothing_bracelet_r_pre_lvl40_02_01	item_clothing_bracelet_r_pre_lvl50_02_01	item_clothing_bracelet_r_pre_lvl50_02_01	item_clothing_bracelet_r_pre_lvl60_02_01	item_clothing_bracelet_r_pre_lvl70_02_01	item_clothing_bracelet_r_pre_lvl80_02_01	item_clothing_bracelet_r_pre_lvl80_02_01	col_aurebesh_tile_qek_02_01
armor_assault_pre_lvl20_helmet_02_01	item_clothing_bracelet_r_sta_lvl20_02_01	item_clothing_bracelet_r_sta_lvl30_02_01	item_clothing_bracelet_r_sta_lvl40_02_01	item_clothing_bracelet_r_sta_lvl50_02_01	item_clothing_bracelet_r_sta_lvl50_02_01	item_clothing_bracelet_r_sta_lvl60_02_01	item_clothing_bracelet_r_sta_lvl70_02_01	item_clothing_bracelet_r_sta_lvl80_02_01	item_clothing_bracelet_r_sta_lvl80_02_01	col_aurebesh_tile_resh_02_01
armor_assault_pre_lvl20_leggings_02_01	item_clothing_bracelet_r_str_lvl20_02_01	item_clothing_bracelet_r_str_lvl30_02_01	item_clothing_bracelet_r_str_lvl40_02_01	item_clothing_bracelet_r_str_lvl50_02_01	item_clothing_bracelet_r_str_lvl50_02_01	item_clothing_bracelet_r_str_lvl60_02_01	item_clothing_bracelet_r_str_lvl70_02_01	item_clothing_bracelet_r_str_lvl80_02_01	item_clothing_bracelet_r_str_lvl80_02_01	col_aurebesh_tile_senth_02_01
armor_assault_sta_lvl20_bicep_l_02_01	item_clothing_gloves_agi_lvl20_02_01	item_clothing_gloves_agi_lvl30_02_01	item_clothing_gloves_agi_lvl40_02_01	item_clothing_gloves_agi_lvl50_02_01	item_clothing_gloves_agi_lvl50_02_01	item_clothing_gloves_agi_lvl60_02_01	item_clothing_gloves_agi_lvl70_02_01	item_clothing_gloves_agi_lvl80_02_01	item_clothing_gloves_agi_lvl80_02_01	col_aurebesh_tile_shen_02_01
armor_assault_sta_lvl20_bicep_r_02_01	item_clothing_gloves_con_lvl20_02_01	item_clothing_gloves_con_lvl30_02_01	item_clothing_gloves_con_lvl40_02_01	item_clothing_gloves_con_lvl50_02_01	item_clothing_gloves_con_lvl50_02_01	item_clothing_gloves_con_lvl60_02_01	item_clothing_gloves_con_lvl70_02_01	item_clothing_gloves_con_lvl80_02_01	item_clothing_gloves_con_lvl80_02_01	col_aurebesh_tile_thesh_02_01
armor_assault_sta_lvl20_boots_02_01	item_clothing_gloves_lck_lvl20_02_01	item_clothing_gloves_lck_lvl30_02_01	item_clothing_gloves_lck_lvl40_02_01	item_clothing_gloves_lck_lvl50_02_01	item_clothing_gloves_lck_lvl50_02_01	item_clothing_gloves_lck_lvl60_02_01	item_clothing_gloves_lck_lvl70_02_01	item_clothing_gloves_lck_lvl80_02_01	item_clothing_gloves_lck_lvl80_02_01	col_aurebesh_tile_trill_02_01
armor_assault_sta_lvl20_bracer_l_02_01	item_clothing_gloves_pre_lvl20_02_01	item_clothing_gloves_pre_lvl30_02_01	item_clothing_gloves_pre_lvl40_02_01	item_clothing_gloves_pre_lvl50_02_01	item_clothing_gloves_pre_lvl50_02_01	item_clothing_gloves_pre_lvl60_02_01	item_clothing_gloves_pre_lvl70_02_01	item_clothing_gloves_pre_lvl80_02_01	item_clothing_gloves_pre_lvl80_02_01	col_aurebesh_tile_usk_02_01
armor_assault_sta_lvl20_bracer_r_02_01	item_clothing_gloves_sta_lvl20_02_01	item_clothing_gloves_sta_lvl30_02_01	item_clothing_gloves_sta_lvl40_02_01	item_clothing_gloves_sta_lvl50_02_01	item_clothing_gloves_sta_lvl50_02_01	item_clothing_gloves_sta_lvl60_02_01	item_clothing_gloves_sta_lvl70_02_01	item_clothing_gloves_sta_lvl80_02_01	item_clothing_gloves_sta_lvl80_02_01	col_aurebesh_tile_vev_02_01
armor_assault_sta_lvl20_chest_02_01	item_clothing_gloves_str_lvl20_02_01	item_clothing_gloves_str_lvl30_02_01	item_clothing_gloves_str_lvl40_02_01	item_clothing_gloves_str_lvl50_02_01	item_clothing_gloves_str_lvl50_02_01	item_clothing_gloves_str_lvl60_02_01	item_clothing_gloves_str_lvl70_02_01	item_clothing_gloves_str_lvl80_02_01	item_clothing_gloves_str_lvl80_02_01	col_aurebesh_tile_wesk_02_01
armor_assault_sta_lvl20_gloves_02_01	item_clothing_hat_agi_lvl20_02_01	item_clothing_hat_agi_lvl30_02_01	item_clothing_hat_agi_lvl40_02_01	item_clothing_hat_agi_lvl50_02_01	item_clothing_hat_agi_lvl50_02_01	item_clothing_hat_agi_lvl60_02_01	item_clothing_hat_agi_lvl70_02_01	item_clothing_hat_agi_lvl80_02_01	item_clothing_hat_agi_lvl80_02_01	col_aurebesh_tile_xesh_02_01
armor_assault_sta_lvl20_helmet_02_01	item_clothing_hat_con_lvl20_02_01	item_clothing_hat_con_lvl30_02_01	item_clothing_hat_con_lvl40_02_01	item_clothing_hat_con_lvl50_02_01	item_clothing_hat_con_lvl50_02_01	item_clothing_hat_con_lvl60_02_01	item_clothing_hat_con_lvl70_02_01	item_clothing_hat_con_lvl80_02_01	item_clothing_hat_con_lvl80_02_01	col_aurebesh_tile_yirt_02_01
armor_assault_sta_lvl20_leggings_02_01	item_clothing_hat_lck_lvl20_02_01	item_clothing_hat_lck_lvl30_02_01	item_clothing_hat_lck_lvl40_02_01	item_clothing_hat_lck_lvl50_02_01	item_clothing_hat_lck_lvl50_02_01	item_clothing_hat_lck_lvl60_02_01	item_clothing_hat_lck_lvl70_02_01	item_clothing_hat_lck_lvl80_02_01	item_clothing_hat_lck_lvl80_02_01	col_aurebesh_tile_zerek_02_01
armor_battle_agi_lvl20_bicep_l_02_01	item_clothing_hat_pre_lvl20_02_01	item_clothing_hat_pre_lvl30_02_01	item_clothing_hat_pre_lvl40_02_01	item_clothing_hat_pre_lvl50_02_01	item_clothing_hat_pre_lvl50_02_01	item_clothing_hat_pre_lvl60_02_01	item_clothing_hat_pre_lvl70_02_01	item_clothing_hat_pre_lvl80_02_01	item_clothing_hat_pre_lvl80_02_01	col_nightsister_bracelet_02_01
armor_battle_agi_lvl20_bicep_r_02_01	item_clothing_hat_sta_lvl20_02_01	item_clothing_hat_sta_lvl30_02_01	item_clothing_hat_sta_lvl40_02_01	item_clothing_hat_sta_lvl50_02_01	item_clothing_hat_sta_lvl50_02_01	item_clothing_hat_sta_lvl60_02_01	item_clothing_hat_sta_lvl70_02_01	item_clothing_hat_sta_lvl80_02_01	item_clothing_hat_sta_lvl80_02_01	col_nightsister_broach_02_01
armor_battle_agi_lvl20_boots_02_01	item_clothing_hat_str_lvl20_02_01	item_clothing_hat_str_lvl30_02_01	item_clothing_hat_str_lvl40_02_01	item_clothing_hat_str_lvl50_02_01	item_clothing_hat_str_lvl50_02_01	item_clothing_hat_str_lvl60_02_01	item_clothing_hat_str_lvl70_02_01	item_clothing_hat_str_lvl80_02_01	item_clothing_hat_str_lvl80_02_01	col_nightsister_earrings_02_01
armor_battle_agi_lvl20_bracer_l_02_01	item_clothing_jacket_agi_lvl20_02_01	item_clothing_jacket_agi_lvl30_02_01	item_clothing_jacket_agi_lvl40_02_01	item_clothing_jacket_agi_lvl50_02_01	item_clothing_jacket_agi_lvl50_02_01	item_clothing_jacket_agi_lvl60_02_01	item_clothing_jacket_agi_lvl70_02_01	item_clothing_jacket_agi_lvl80_02_01	item_clothing_jacket_agi_lvl80_02_01	col_nightsister_pendant_02_01
armor_battle_agi_lvl20_bracer_r_02_01	item_clothing_jacket_con_lvl20_02_01	item_clothing_jacket_con_lvl30_02_01	item_clothing_jacket_con_lvl40_02_01	item_clothing_jacket_con_lvl50_02_01	item_clothing_jacket_con_lvl50_02_01	item_clothing_jacket_con_lvl60_02_01	item_clothing_jacket_con_lvl70_02_01	item_clothing_jacket_con_lvl80_02_01	item_clothing_jacket_con_lvl80_02_01	col_nightsister_ring_02_01
armor_battle_agi_lvl20_chest_02_01	item_clothing_jacket_lck_lvl20_02_01	item_clothing_jacket_lck_lvl30_02_01	item_clothing_jacket_lck_lvl40_02_01	item_clothing_jacket_lck_lvl50_02_01	item_clothing_jacket_lck_lvl50_02_01	item_clothing_jacket_lck_lvl60_02_01	item_clothing_jacket_lck_lvl70_02_01	item_clothing_jacket_lck_lvl80_02_01	item_clothing_jacket_lck_lvl80_02_01	col_tusken_bantha_braid_02_01
armor_battle_agi_lvl20_gloves_02_01	item_clothing_jacket_pre_lvl20_02_01	item_clothing_jacket_pre_lvl30_02_01	item_clothing_jacket_pre_lvl40_02_01	item_clothing_jacket_pre_lvl50_02_01	item_clothing_jacket_pre_lvl50_02_01	item_clothing_jacket_pre_lvl60_02_01	item_clothing_jacket_pre_lvl70_02_01	item_clothing_jacket_pre_lvl80_02_01	item_clothing_jacket_pre_lvl80_02_01	col_tusken_gaderffi_02_01
armor_battle_agi_lvl20_helmet_02_01	item_clothing_jacket_sta_lvl20_02_01	item_clothing_jacket_sta_lvl30_02_01	item_clothing_jacket_sta_lvl40_02_01	item_clothing_jacket_sta_lvl50_02_01	item_clothing_jacket_sta_lvl50_02_01	item_clothing_jacket_sta_lvl60_02_01	item_clothing_jacket_sta_lvl70_02_01	item_clothing_jacket_sta_lvl80_02_01	item_clothing_jacket_sta_lvl80_02_01	col_tusken_hubba_gourd_02_01
armor_battle_agi_lvl20_leggings_02_01	item_clothing_jacket_str_lvl20_02_01	item_clothing_jacket_str_lvl30_02_01	item_clothing_jacket_str_lvl40_02_01	item_clothing_jacket_str_lvl50_02_01	item_clothing_jacket_str_lvl50_02_01	item_clothing_jacket_str_lvl60_02_01	item_clothing_jacket_str_lvl70_02_01	item_clothing_jacket_str_lvl80_02_01	item_clothing_jacket_str_lvl80_02_01	col_tusken_massif_thorn_02_01
armor_battle_con_lvl20_bicep_l_02_01	item_clothing_necklace_agi_lvl20_02_01	item_clothing_necklace_agi_lvl30_02_01	item_clothing_necklace_agi_lvl40_02_01	item_clothing_necklace_agi_lvl50_02_01	item_clothing_necklace_agi_lvl50_02_01	item_clothing_necklace_agi_lvl60_02_01	item_clothing_necklace_agi_lvl70_02_01	item_clothing_necklace_agi_lvl80_02_01	item_clothing_necklace_agi_lvl80_02_01	col_tusken_metal_02_01
armor_battle_con_lvl20_bicep_r_02_01	item_clothing_necklace_con_lvl20_02_01	item_clothing_necklace_con_lvl30_02_01	item_clothing_necklace_con_lvl40_02_01	item_clothing_necklace_con_lvl50_02_01	item_clothing_necklace_con_lvl50_02_01	item_clothing_necklace_con_lvl60_02_01	item_clothing_necklace_con_lvl70_02_01	item_clothing_necklace_con_lvl80_02_01	item_clothing_necklace_con_lvl80_02_01	col_tusken_spirit_mask_02_01
armor_battle_con_lvl20_boots_02_01	item_clothing_necklace_lck_lvl20_02_01	item_clothing_necklace_lck_lvl30_02_01	item_clothing_necklace_lck_lvl40_02_01	item_clothing_necklace_lck_lvl50_02_01	item_clothing_necklace_lck_lvl50_02_01	item_clothing_necklace_lck_lvl60_02_01	item_clothing_necklace_lck_lvl70_02_01	item_clothing_necklace_lck_lvl80_02_01	item_clothing_necklace_lck_lvl80_02_01	col_tusken_womp_rat_tusk_02_01
armor_battle_con_lvl20_bracer_l_02_01	item_clothing_necklace_pre_lvl20_02_01	item_clothing_necklace_pre_lvl30_02_01	item_clothing_necklace_pre_lvl40_02_01	item_clothing_necklace_pre_lvl50_02_01	item_clothing_necklace_pre_lvl50_02_01	item_clothing_necklace_pre_lvl60_02_01	item_clothing_necklace_pre_lvl70_02_01	item_clothing_necklace_pre_lvl80_02_01	item_clothing_necklace_pre_lvl80_02_01	col_dejarik_battery_02_01
