NAME	TYPE	SPAWN	SCRIPT	SKILL	SDATA1	LIFESPAN	SCENE	RANGE	FDATA1	FDATA2
Rebel Honor Guard 3X10	honorguard	rebel_crewman	none	none	none	57600	none	-1	5	3
Rebel Honor Guard 4X10	honorguard	rebel_crewman	none	none	none	57600	none	-1	10	2
Corsec Honor Guard 1X10	honorguard	corsec_trooper	none	none	none	57600	none	-1	5	1
Corsec Honor Guard 2X10	honorguard	corsec_trooper	none	none	none	57600	none	-1	5	2
Corsec Honor Guard 3X10	honorguard	corsec_trooper	none	none	none	57600	none	-1	5	3
Corsec Honor Guard 4X10	honorguard	corsec_trooper	none	none	none	57600	none	-1	10	2
Fed-Dub Honor Guard 1X10	honorguard	fed_dub_patrolman	none	none	none	57600	none	-1	5	1
Fed-Dub Honor Guard 2X10	honorguard	fed_dub_patrolman	none	none	none	57600	none	-1	5	2
Fed-Dub Honor Guard 3X10	honorguard	fed_dub_patrolman	none	none	none	57600	none	-1	5	3
Fed-Dub Honor Guard 4X10	honorguard	fed_dub_patrolman	none	none	none	57600	none	-1	10	2
Flags of the Universe	theater	datatables/theater/event_perk/universe_flags.iff	none	none	none	57600	none	10.3	9	3
Large Imperial Wedding Garden	theater	datatables/theater/event_perk/wedding_garden_imperial_large_theater.iff	none	none	none	57600	none	500	-1	-1
Large Rebel Wedding Garden	theater	datatables/theater/event_perk/wedding_garden_rebel_large_theater.iff	none	none	none	57600	none	500	-1	-1
RSF Honor Guard 1X10	honorguard	rsf_security_guard	none	none	none	57600	none	-1	5	1
RSF Honor Guard 2X10	honorguard	rsf_security_guard	none	none	none	57600	none	-1	5	2
RSF Honor Guard 3X10	honorguard	rsf_security_guard	none	none	none	57600	none	-1	5	3
RSF Honor Guard 4X10	honorguard	rsf_security_guard	none	none	none	57600	none	-1	10	2
Party Stage	theater	datatables/theater/event_perk/party_stage_theater.iff	none	none	none	57600	none	8.7	8.5	8
Imperial Stage	theater	datatables/theater/event_perk/imperial_stage_theater.iff	none	none	none	57600	none	8.7	8.5	8
Rebel Stage	theater	datatables/theater/event_perk/rebel_stage_theater.iff	none	none	none	57600	none	8.7	8.5	8
Corsec Stage	theater	datatables/theater/event_perk/corsec_stage_theater.iff	none	none	none	57600	none	8.7	8.5	8
Fed-Dub Stage	theater	datatables/theater/event_perk/fed_dub_stage_theater.iff	none	none	none	57600	none	8.7	8.5	8
RSF Stage	theater	datatables/theater/event_perk/rsf_stage_theater.iff	none	none	none	57600	none	8.7	8.5	8
NPC Actor	npc	none	none	none	none	57600	none	-1	-1	-1
Treasure Box	static	object/tangible/container/drum/poi_prize_box_off.iff	systems.event_perk.event_perk_chest	none	none	57600	none	3	-1	-1
Sparking Treasure Box	static	object/tangible/container/drum/poi_prize_box_on.iff	systems.event_perk.event_perk_chest	none	none	57600	none	3	-1	-1
Treasure Crate	static	object/tangible/container/drum/large_plain_crate_s04.iff	systems.event_perk.event_perk_chest	none	none	57600	none	3	-1	-1
Technical Chest	static	object/tangible/container/drum/warren_drum_tech_chest.iff	systems.event_perk.event_perk_chest	none	none	57600	none	3	-1	-1
Skeleton	static	object/tangible/container/drum/warren_drum_skeleton.iff	systems.event_perk.event_perk_chest	none	none	57600	none	3	-1	-1
Radiologically Shielded Chest	static	object/tangible/container/drum/warren_reactor_core.iff	systems.event_perk.event_perk_chest	none	none	57600	none	3	-1	-1
Capture the Flag Game	static	object/tangible/spawning/event_perk_flag_game_spawner.iff	none	none	none	57600	none	3	-1	-1
Lottery Droid	gamedroid	object/mobile/3po_protocol_droid.iff	systems.event_perk.lottery_droid	none	name_lottery_droid	15552000	none	-1	-1	-1
Race Droid	gamedroid	object/mobile/3po_protocol_droid.iff	systems.event_perk.race_droid	none	name_race_droid	57600	none	-1	-1	-1
Scavenger Droid	gamedroid	object/mobile/3po_protocol_droid.iff	systems.event_perk.scavenger_droid	none	name_scavenger_droid	57600	none	-1	-1	-1
Military Outpost	static	object/tangible/event_perk/military_outpost_guard_tower_1.iff	none	none	none	57600	none	5	-1	-1
Webbed Tree	static	object/tangible/event_perk/web_tree.iff	none	none	none	57600	none	-1	-1	-1
Sandcrawler	static	object/tangible/event_perk/sandcrawler.iff	none	none	none	57600	tatooine	15	-1	-1
Gravestone	static	object/tangible/event_perk/gravestone02.iff	none	none	none	57600	none	-1	-1	-1
Fruit Stand	static	object/tangible/event_perk/frn_tato_fruit_stand_small_style_01.iff	none	none	none	57600	none	-1	-1	-1
Meat Rack	static	object/tangible/event_perk/frn_tato_meat_rack.iff	none	none	none	57600	none	-1	-1	-1
Audience Seating	theater	datatables/theater/event_perk/audience_seating.iff	none	none	none	57600	none	5.2	-4.4	-4
Fenced Area	theater	datatables/theater/event_perk/barbed_wired_area.iff	none	none	none	57600	none	13.5	12.4	0
Fire Pit	theater	datatables/theater/event_perk/fire_pit.iff	none	none	none	57600	none	2.5	-2.3	0
Graveyard	theater	datatables/theater/event_perk/graveyard.iff	none	none	none	57600	none	3.7	-3.5	-2.7
Jawas and Droids	theater	datatables/theater/event_perk/jawas_and_droids.iff	none	none	none	57600	none	2	0.1	-1.7
Picnic Pavillion	theater	datatables/theater/event_perk/picnic_pavillion.iff	none	none	none	57600	none	8.5	-5.9	-3.1
Wrecked Sandcrawler	theater	datatables/theater/event_perk/wrecked_sandcrawler.iff	none	none	none	57600	tatooine	23	12	0.1
