crackdown_rebel_master_sergeant		world	-3013	5	2293	theme_park.script_spawner.spawner_methods.ss_setup		-130		180	spawn_objvar	city_wander	spawn_objvar2	customs
crackdown_rebel_elite_sand_rat		world	-3008	5	2343	theme_park.script_spawner.spawner_methods.ss_setup		136		180	spawn_objvar	static		
crackdown_rebel_elite_sand_rat		world	-3002	5	2322	theme_park.script_spawner.spawner_methods.ss_setup		34		180	spawn_objvar	static		
crackdown_rebel_elite_sand_rat		world	-2979	5	2327	theme_park.script_spawner.spawner_methods.ss_setup		-53		180	spawn_objvar	static		
crackdown_rebel_elite_sand_rat		world	-2984	5	2352	theme_park.script_spawner.spawner_methods.ss_setup		-150		180	spawn_objvar	static		
crackdown_rebel_sergeant		world	-3021	5	2290	theme_park.script_spawner.spawner_methods.ss_setup		50		180	spawn_objvar	city_wander	spawn_objvar2	customs
crackdown_rebel_soldier		world	-2973	5	2570	theme_park.script_spawner.spawner_methods.ss_setup		-55		180	spawn_objvar	static		
crackdown_rebel_sergeant		world	-2943	5	2510	theme_park.script_spawner.spawner_methods.ss_setup		28		180	spawn_objvar	static		
crackdown_rebel_sergeant		world	-2922	5	2515	theme_park.script_spawner.spawner_methods.ss_setup		-167		180	spawn_objvar	city_wander		
crackdown_rebel_medic		world	-2923	5	2405	theme_park.script_spawner.spawner_methods.ss_setup		23		180	spawn_objvar	default		
crackdown_rebel_soldier		world	-2914	5	2417	theme_park.script_spawner.spawner_methods.ss_setup		-34		180	spawn_objvar	city_wander		
crackdown_rebel_sergeant		world	-2965	5	2426	theme_park.script_spawner.spawner_methods.ss_setup		85		180	spawn_objvar	static		
crackdown_rebel_recruit		world	-2956	5	2415	theme_park.script_spawner.spawner_methods.ss_setup		36		180	spawn_objvar	city_wander	spawn_objvar2	customs
crackdown_rebel_elite_sand_rat		world	-2942	5	2459	theme_park.script_spawner.spawner_methods.ss_setup		129		180	spawn_objvar	city_wander		
crackdown_rebel_liberator		world	-2906	5	2455	theme_park.script_spawner.spawner_methods.ss_setup		-7		180	spawn_objvar	default		
crackdown_rebel_soldier		world	-2979	5	2493	theme_park.script_spawner.spawner_methods.ss_setup		154		180	spawn_objvar	default		
crackdown_rebel_liberator		world	-2861	5	2468	theme_park.script_spawner.spawner_methods.ss_setup		132		180	spawn_objvar	city_wander		
