entry_type	type	schematic_name	schematic_description	crafting_script	items_per_container	crafting_type	slots	xp_type	volume	crafted_object_template	crafted_object_template_hash	complexity	xp	hit_points_low	hit_points_high	min_damage_low	min_damage_high	max_damage_low	max_damage_high	accuracy_low	accuracy_high	damage_type	elemental_type	elemental_value_low	elemental_value_high	attack_speed_low	attack_speed_high	wound_chance_low	wound_chance_high	special_attack_cost_low	special_attack_cost_high	min_range_distance	max_range_distance	slot_type	slot_optional	slot_name	slot_ingredient_name	slot_ingredient_count	slot_appearance	exports_to	gasQuality_min_low	gasQuality_min_high	gasQuality_max_low	gasQuality_max_high	coreLevel_min	coreLevel_max	powerBit_type_min	powerBit_type_max	powerBit_min	powerBit_max	coreQuality_min_low	coreQuality_min_high	coreQuality_max_low	coreQuality_max_high	componentBonus_min_low	componentBonus_min_high	componentBonus_max_low	componentBonus_max_high	meleeComponentQuality_min_low	meleeComponentQuality_min_high	meleeComponentQuality_max_low	meleeComponentQuality_max_high	appearanceBonus_min_low	appearanceBonus_min_high	appearanceBonus_max_low	appearanceBonus_max_high
slot																																		resource	0	axe_head_fastener	steel	6																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_axe_vibro		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	4	weapon_crafting		object/weapon/melee/axe/axe_vibroaxe.iff	object/weapon/melee/axe/axe_vibroaxe.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	30
slot																																		resource	0	vibro_unit_and_power_cell_brackets	copper	24																												
slot																																		resource	0	axe_base	steel_ditanium	38																												
slot																																		template	0	vibration_generator	object/tangible/component/weapon/vibro_unit_base.iff	1																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_baton_gaderiffi		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	4	weapon_crafting		object/weapon/melee/baton/baton_gaderiffi.iff	object/weapon/melee/baton/baton_gaderiffi.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	grip_unit	iron	20																												
slot																																		resource	0	reactive_striking_surface	metal_ferrous	23																												
slot																																		resource	0	power_cell_brackets	metal	10																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_victor_baton_gaderiffi		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	4	weapon_crafting		object/weapon/melee/baton/victor_baton_gaderiffi.iff	object/weapon/melee/baton/victor_baton_gaderiffi.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	grip_unit	iron	65																												
slot																																		resource	0	reactive_striking_surface	metal_ferrous	50																												
slot																																		resource	0	power_cell_brackets	metal	30																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_baton_stun		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	5	weapon_crafting		object/weapon/melee/baton/baton_stun.iff	object/weapon/melee/baton/baton_stun.iff	40	120	800	1100	0	0	0	0	0	0	energy	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	grip_unit	steel	18																												
slot																																		resource	0	reactive_striking_surface	metal_ferrous	18																												
slot																																		resource	0	power_cell_brackets	copper_polysteel	10																												
slot																																		resource	0	charge_accumulator	crystalline_byrothsis	6																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_battleaxe		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	4	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	16	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	axe_head	iron	45																												
slot																																		resource	0	shaft	wood	35																												
slot																																		resource	0	axe_head_fastener	steel	8																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_battleaxe_quest		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	4	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_battleaxe_quest.iff	object/weapon/melee/2h_sword/2h_sword_battleaxe_quest.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	axe_head	iron	65																												
slot																																		resource	0	shaft	wood	40																												
slot																																		resource	0	axe_head_fastener	steel	8																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_quest_battleaxe		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	4	weapon_crafting		object/weapon/melee/2h_sword/quest_2h_sword_battleaxe.iff	object/weapon/melee/2h_sword/quest_2h_sword_battleaxe.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	axe_head	iron	65																												
slot																																		resource	0	shaft	wood	40																												
slot																																		resource	0	axe_head_fastener	steel	8																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	carbine	weapon_appearance_carbine_blaster_cdef		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	7	weapon_crafting		object/weapon/ranged/carbine/carbine_cdef.iff	object/weapon/ranged/carbine/carbine_cdef.iff	16	120	800	1100	0	0	0	0	0	0	energy	none	-1	-1	carbine	carbine	1	1	100	100		45							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	metal_ferrous	100																												
slot																																		resource	0	receiver_assembly	metal	45																												
slot																																		resource	0	grip_assembly	chemical	28																												
slot																																		template	0	barrel_pistol_blaster	object/tangible/component/weapon/blaster_pistol_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_ranged_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	carbine	weapon_appearance_carbine_blaster_cdef_corsec		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	7	weapon_crafting		object/weapon/ranged/carbine/carbine_cdef_corsec.iff	object/weapon/ranged/carbine/carbine_cdef_corsec.iff	40	450	800	1100	0	0	0	0	0	0	energy	none	-1	-1	carbine	carbine	1	1	100	100		45							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	metal_ferrous	100																												
slot																																		resource	0	receiver_assembly	metal	45																												
slot																																		resource	0	grip_assembly	chemical	28																												
slot																																		template	0	barrel_pistol_blaster	object/tangible/component/weapon/blaster_pistol_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_ranged_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	carbine	weapon_appearance_carbine_quest_smuggler_underslung		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	7	weapon_crafting		object/weapon/ranged/carbine/carbine_cdef.iff	object/weapon/ranged/carbine/carbine_cdef.iff	40	450	800	1100	0	0	0	0	0	0	energy	none	-1	-1	carbine	carbine	1	1	100	100		45							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	metal_ferrous	100																												
slot																																		resource	0	receiver_assembly	metal	45																												
slot																																		resource	0	grip_assembly	chemical	28																												
slot																																		template	0	barrel_pistol_blaster	object/tangible/component/weapon/blaster_pistol_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_ranged_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	melee	weapon_appearance_cleaver		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	3	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_cleaver.iff	object/weapon/melee/2h_sword/2h_sword_cleaver.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	sword_core_jacket	iron_colat	42																												
slot																																		resource	0	grip	metal	18																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	rifle	weapon_appearance_rifle_t21		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	9	weapon_crafting		object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_t21.iff	40	120	800	1100	0	0	0	0	0	0	energy	none	-1	-1	rifle	rifle	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	steel_ditanium	150																												
slot																																		resource	0	receiver_assembly	iron_polonium	85																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	20																												
slot																																		resource	0	enhanced_cooling_mechanism	crystalline_gallinorian	15																												
slot																																		resource	0	thermal_control_unit	ore_carbonate_alantium	30																												
slot																																		template	0	barrel_rifle_blaster	object/tangible/component/weapon/blaster_rifle_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_ranged_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	melee	weapon_appearance_executioners_hack		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	4	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_blacksun_hack.iff	object/weapon/melee/2h_sword/2h_sword_blacksun_hack.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	sword_core_jacket	steel_carbonite	60																												
slot																																		resource	0	grip	aluminum_phrik	30																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
slot																																		template	0	geonosian_sword_core	object/tangible/component/weapon/geonosian_sword_core.iff	1																												
weapon	heavy	weapon_appearance_heavy_acid_beam		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	9	weapon_crafting		object/weapon/ranged/heavy/heavy_acid_beam.iff	object/weapon/ranged/heavy/heavy_acid_beam.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	acid	-1	-1	heavy	heavy	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	steel	150																												
slot																																		resource	0	receiver_assembly	iron	40																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	20																												
slot																																		resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45																												
slot																																		resource	0	thermal_control_unit	ore_carbonate	20																												
slot																																		template	0	barrel_rifle_blaster	object/tangible/component/weapon/blaster_rifle_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_heavy_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	heavy	weapon_appearance_quest_heavy_acid_beam		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	9	weapon_crafting		object/weapon/ranged/heavy/quest_heavy_acid_beam.iff	object/weapon/ranged/heavy/quest_heavy_acid_beam.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	acid	-1	-1	heavy	heavy	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	steel	150																												
slot																																		resource	0	receiver_assembly	iron	40																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	20																												
slot																																		resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45																												
slot																																		resource	0	thermal_control_unit	ore_carbonate	20																												
slot																																		template	0	barrel_rifle_blaster	object/tangible/component/weapon/blaster_rifle_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_heavy_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	heavy	weapon_appearance_heavy_lightning_beam		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	9	weapon_crafting		object/weapon/ranged/heavy/heavy_lightning_beam.iff	object/weapon/ranged/heavy/heavy_lightning_beam.iff	40	120	800	1100	0	0	0	0	0	0	energy	electric	-1	-1	heavy	heavy	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	steel	150																												
slot																																		resource	0	receiver_assembly	iron	40																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	20																												
slot																																		resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45																												
slot																																		resource	0	thermal_control_unit	ore_carbonate	20																												
slot																																		template	0	barrel_rifle_blaster	object/tangible/component/weapon/blaster_rifle_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_heavy_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	heavy	weapon_appearance_heavy_particle_beam		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	9	weapon_crafting		object/weapon/ranged/heavy/heavy_particle_beam.iff	object/weapon/ranged/heavy/heavy_particle_beam.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	energy	-1	-1	heavy	heavy	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	steel	150																												
slot																																		resource	0	receiver_assembly	iron	40																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	20																												
slot																																		resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45																												
slot																																		resource	0	thermal_control_unit	ore_carbonate	20																												
slot																																		template	0	barrel_rifle_blaster	object/tangible/component/weapon/blaster_rifle_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_heavy_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	heavy	weapon_appearance_quest_heavy_particle_beam		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	9	weapon_crafting		object/weapon/ranged/heavy/quest_heavy_particle_beam.iff	object/weapon/ranged/heavy/quest_heavy_particle_beam.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	energy	-1	-1	heavy	heavy	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	20
slot																																		resource	0	frame_assembly	steel	175																												
slot																																		resource	0	receiver_assembly	iron	75																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	45																												
slot																																		resource	0	enhanced_cooling_mechanism	gemstone_crystalline	60																												
slot																																		resource	0	thermal_control_unit	ore_carbonate	20																												
slot																																		template	0	barrel_rifle_blaster	object/tangible/component/weapon/blaster_rifle_barrel_base.iff	1	muzzle																											
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_heavy_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	heavy	weapon_appearance_heavy_rocket_launcher		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	8	weapon_crafting		object/weapon/ranged/heavy/heavy_rocket_launcher.iff	object/weapon/ranged/heavy/heavy_rocket_launcher.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	heat	-1	-1	heavy	heavy	1	1	100	100		64							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	25
slot																																		resource	0	frame_assembly	steel	150																												
slot																																		resource	0	receiver_assembly	iron	40																												
slot																																		resource	0	grip_assembly	petrochem_inert_polymer	20																												
slot																																		resource	0	launch_tubes	steel	170																												
slot																																		resource	0	shell_handling_unit	steel_neutronium	225																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_heavy_base.iff	1																												
slot																																		template	1	scope	object/tangible/component/weapon/scope_weapon_base.iff	1	scope																											
slot																																		template	1	stock	object/tangible/component/weapon/stock_base.iff	1	stock																											
weapon	melee	weapon_appearance_katana		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	3	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_katana.iff	object/weapon/melee/2h_sword/2h_sword_katana.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	sword_core_jacket	steel	42																												
slot																																		resource	0	grip	petrochem_inert_polymer	12																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_katana_quest		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	3	weapon_crafting		object/weapon/melee/2h_sword/2h_sword_katana_quest.iff	object/weapon/melee/2h_sword/2h_sword_katana_quest.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	sword_core_jacket	steel	42																												
slot																																		resource	0	grip	petrochem_inert_polymer	12																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_stone		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	3	weapon_crafting		object/weapon/melee/knife/knife_stone.iff	object/weapon/melee/knife/knife_stone.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	knife_blade	mineral	18																												
slot																																		resource	0	grip	bone	12																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_janta		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	4	weapon_crafting		object/weapon/melee/knife/knife_janta.iff	object/weapon/melee/knife/knife_janta.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	knife_blade	mineral	15																												
slot																																		resource	0	grip	bone	25																												
slot																																		resource	0	grip_cap	metal	20																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_survival		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	5	weapon_crafting		object/weapon/melee/knife/knife_survival.iff	object/weapon/melee/knife/knife_survival.iff	40	120	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	knife_shaft	metal_ferrous	12																												
slot																																		resource	0	cutting_edge	metal	6																												
slot																																		resource	0	grip_cap	metal	2																												
slot																																		resource	0	grip	mineral	2																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_donkuwah		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	5	weapon_crafting		object/weapon/melee/knife/knife_donkuwah.iff	object/weapon/melee/knife/knife_donkuwah.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	knife_shaft	metal_ferrous	12																												
slot																																		resource	0	cutting_edge	metal	6																												
slot																																		resource	0	grip_cap	metal	2																												
slot																																		resource	0	grip	mineral	2																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_twilek_dagger		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	4	weapon_crafting		object/weapon/melee/knife/knife_dagger.iff	object/weapon/melee/knife/knife_dagger.iff	40	450	800	1100	0	0	0	0	0	0	kinetic	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	50	0	40
slot																																		resource	0	knife_shaft	steel	18																												
slot																																		resource	0	cutting_edge	metal_ferrous	4																												
slot																																		resource	0	grip	petrochem_inert	7																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_vibroblade		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	6	weapon_crafting		object/weapon/melee/knife/knife_vibroblade.iff	object/weapon/melee/knife/knife_vibroblade.iff	40	120	800	1100	0	0	0	0	0	0	energy	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	30
slot																																		resource	0	knife_shaft	steel	18																												
slot																																		resource	0	cutting_edge	metal_ferrous	8																												
slot																																		resource	0	grip	metal	9																												
slot																																		resource	0	vibro_unit_and_power_cell_brackets	copper	5																												
slot																																		template	0	vibration_generator	object/tangible/component/weapon/vibro_unit_base.iff	1																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knife_vibroblade_quest		systems.crafting.weapon.core.crafting_new_weapon_final	0	weapon	6	weapon_crafting		object/weapon/melee/knife/knife_vibroblade_quest.iff	object/weapon/melee/knife/knife_vibroblade_quest.iff	40	450	800	1100	0	0	0	0	0	0	energy	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	30
slot																																		resource	0	knife_shaft	steel	18																												
slot																																		resource	0	cutting_edge	metal_ferrous	8																												
slot																																		resource	0	grip	metal	9																												
slot																																		resource	0	vibro_unit_and_power_cell_brackets	copper	5																												
slot																																		template	0	vibration_generator	object/tangible/component/weapon/vibro_unit_base.iff	1																												
slot																																		template	0	weapon_core	object/tangible/component/weapon/core/weapon_core_melee_base.iff	1																												
weapon	melee	weapon_appearance_knuckler_vibro		systems.crafting.weapon.core.crafting_new_weapon_final	25	weapon	6	weapon_crafting		object/weapon/melee/special/vibroknuckler.iff	object/weapon/melee/special/vibroknuckler.iff	40	120	800	1100	0	0	0	0	0	0	energy	none	-1	-1	melee	melee	1	1	100	100		4							sys.server/compiled/game/object/draft_schematic/weapon/appearance/																							0	42	0	30
slot																																		resource	0	grip_unit	metal_ferrous	18																												
slot																																		resource	0	strike_face	steel	8																												
slot																																		resource	0	vibro_unit_and_power_cell_brackets	metal	8																												
slot																																		resource	0	power_cell_socket	copper	4																												
