entry_type	schematic_name	schematic_description	crafting_script	items_per_container	crafting_type	slots	xp_type	volume	crafted_object_template	crafted_object_template_hash	complexity	xp	hit_points_low	hit_points_high	min_damage_low	min_damage_high	max_damage_low	max_damage_high	min_damage_low_cap	min_damage_high_cap	max_damage_low_cap	max_damage_high_cap	accuracy_low	accuracy_high	damage_type	elemental_type	elemental_value_low	elemental_value_high	attack_speed_low	attack_speed_high	tier_granted	wound_chance_low	wound_chance_high	special_attack_cost_low	special_attack_cost_high	min_range_distance	max_range_distance	slot_type	slot_optional	slot_name	slot_ingredient_name	slot_ingredient_count	slot_appearance	schematic_conversion	crc_schematic_name
slot																																						resource	0	power_cell_brackets	metal	10			
slot																																						resource	0	charge_accumulator	crystalline_byrothsis	6			
slot																																						template	0	shock_pulsor	object/tangible/component/item/electronic_power_conditioner.iff	2			
slot																																						template	0	reinforcement_core_advanced	object/tangible/component/weapon/reinforcement_core_advanced.iff	1			
weapon	battleaxe		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	8	60	800	1100	55	109	163	217	55	109	163	217	0	0	kinetic				100	100	3	1	1	100	100	0	4								object/draft_schematic/weapon/battleaxe.iff
slot																																						resource	0	axe_head	iron	45			
slot																																						resource	0	shaft	wood	35			
slot																																						resource	0	axe_head_fastener	steel	8			
slot																																						template	0	reinforcement_core	object/tangible/component/weapon/reinforcement_core.iff	1			
weapon	battleaxe_quest		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/2h_sword/2h_sword_battleaxe_quest.iff	object/weapon/melee/2h_sword/2h_sword_battleaxe_quest.iff	8	60	800	1100	55	109	163	217	55	109	163	217	0	0	kinetic				100	100	3	1	1	100	100	0	4								object/draft_schematic/weapon/battleaxe_quest.iff
slot																																						resource	0	axe_head	iron	35			
slot																																						resource	0	shaft	wood	25			
slot																																						resource	0	axe_head_fastener	steel	8			
slot																																						template	0	reinforcement_core	object/tangible/component/weapon/reinforcement_core.iff	1			
weapon	quest_battleaxe		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/2h_sword/quest_2h_sword_battleaxe.iff	object/weapon/melee/2h_sword/quest_2h_sword_battleaxe.iff	8	60	800	1100	55	109	163	217	55	109	163	217	0	0	kinetic				100	100	3	1	1	100	100	0	4								object/draft_schematic/weapon/quest_battleaxe.iff
slot																																						resource	0	axe_head	iron	35			
slot																																						resource	0	shaft	wood	25			
slot																																						resource	0	axe_head_fastener	steel	8			
slot																																						template	0	reinforcement_core	object/tangible/component/weapon/reinforcement_core.iff	1			
weapon	carbine_blaster_cdef		systems.crafting.weapon.crafting_blaster_artisan_weapon	25	weapon	3	crafting	3	object/weapon/ranged/carbine/carbine_cdef.iff	object/weapon/ranged/carbine/carbine_cdef.iff	8	42	800	1100	7	15	23	30	7	15	23	30	0	0	energy				60	60	1	1	1	100	100	0	35								object/draft_schematic/weapon/carbine_blaster_cdef.iff
slot																																						resource	0	frame_assembly	metal	12			
slot																																						resource	0	receiver_assembly	chemical	6			
slot																																						resource	0	grip_assembly	metal	3			
weapon	carbine_blaster_cdef_corsec		systems.crafting.weapon.crafting_blaster_artisan_weapon	25	weapon	3	crafting	3	object/weapon/ranged/carbine/carbine_cdef_corsec.iff	object/weapon/ranged/carbine/carbine_cdef_corsec.iff	8	42	800	1100	7	15	23	30	7	15	23	30	0	0	energy				60	60	1	1	1	100	100	0	35								object/draft_schematic/weapon/carbine_blaster_cdef_corsec.iff
slot																																						resource	0	frame_assembly	metal	15			
slot																																						resource	0	receiver_assembly	chemical	10			
slot																																						resource	0	grip_assembly	metal	5			
weapon	carbine_quest_smuggler_underslung		systems.crafting.weapon.crafting_blaster_artisan_weapon	25	weapon	3	crafting	1	object/weapon/ranged/carbine/carbine_cdef.iff	object/weapon/ranged/carbine/carbine_cdef.iff	8	42	800	1100	7	15	23	30	7	15	23	30	0	0	energy				60	60	1	1	1	100	100	0	35								object/draft_schematic/weapon/carbine_quest_smuggler_underslung.iff
slot																																						resource	0	frame_assembly	metal	12			
slot																																						resource	0	receiver_assembly	chemical	6			
slot																																						resource	0	grip_assembly	metal	3			
weapon	cleaver		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	4	object/weapon/melee/2h_sword/2h_sword_cleaver.iff	object/weapon/melee/2h_sword/2h_sword_cleaver.iff	21	120	800	1100	101	203	305	406	101	203	305	406	0	0	kinetic				100	100	5	1	1	100	100	0	4								object/draft_schematic/weapon/cleaver.iff
slot																																						resource	0	sword_core_jacket	iron_colat	42			
slot																																						resource	0	grip	metal	18			
slot																																						template	0	jacketed_sword_core	object/tangible/component/weapon/sword_core.iff	2			
weapon	rifle_t21		systems.crafting.weapon.crafting_blaster_weapon	25	weapon	7	weapon_crafting	4	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_t21.iff	34	402	800	1100	225	450	675	900	225	450	675	900	0	0	energy				80	80	11	1	1	100	100	0	64								object/draft_schematic/weapon/rifle_t21.iff
slot																																						resource	0	frame_assembly	steel_ditanium	150			
slot																																						resource	0	receiver_assembly	iron_polonium	85			
slot																																						resource	0	grip_assembly	metal	20			
slot																																						resource	0	enhanced_cooling_mechanism	crystalline_gallinorian	15			
slot																																						template	0	powerhandler_advanced	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	thermal_control_unit	ore_carbonate_alantium	30			
slot																																						template	0	barrel_rifle_blaster_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	1			
weapon	executioners_hack		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	1	object/weapon/melee/2h_sword/2h_sword_blacksun_hack.iff	object/weapon/melee/2h_sword/2h_sword_blacksun_hack.iff	30	308	800	1100	229	458	687	916	229	458	687	916	0	0	kinetic				100	100	9	1	1	100	100	0	4								object/draft_schematic/weapon/executioners_hack.iff
slot																																						resource	0	sword_core_jacket	steel_carbonite	60			
slot																																						resource	0	grip	aluminum_phrik	30			
slot																																						template	0	omnipotent_sword_core	object/tangible/component/weapon/geonosian_sword_core.iff	2			
weapon	heavy_acid_beam		systems.crafting.weapon.crafting_heavy_weapon	7	weapon	7	weapon_crafting	1	object/weapon/ranged/heavy/heavy_acid_beam.iff	object/weapon/ranged/heavy/heavy_acid_beam.iff	32	355	800	1100	145	290	435	580	145	290	435	580	0	0	kinetic	acid	121	242	100	100	10	1	1	100	100	0	64								object/draft_schematic/weapon/heavy_acid_beam.iff
slot																																						resource	0	frame_assembly	steel	150			
slot																																						resource	0	receiver_assembly	iron	40			
slot																																						resource	0	grip_assembly	metal	20			
slot																																						resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45			
slot																																						template	0	powerhandler_advanced	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	thermal_control_unit	ore_carbonate	20			
slot																																						template	0	barrel_rifle_blaster_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	1			
weapon	quest_heavy_acid_beam		systems.crafting.weapon.crafting_heavy_weapon	7	weapon	7	weapon_crafting	1	object/weapon/ranged/heavy/quest_heavy_acid_beam.iff	object/weapon/ranged/heavy/quest_heavy_acid_beam.iff	32	355	800	1100	145	290	435	580	145	290	435	580	0	0	kinetic	acid	121	242	100	100	10	1	1	100	100	0	64								object/draft_schematic/weapon/quest_heavy_acid_beam.iff
slot																																						resource	0	frame_assembly	steel	150			
slot																																						resource	0	receiver_assembly	iron	40			
slot																																						resource	0	grip_assembly	metal	20			
slot																																						resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45			
slot																																						template	0	powerhandler_advanced	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	thermal_control_unit	ore_carbonate	20			
slot																																						template	0	barrel_rifle_blaster_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	1			
weapon	heavy_lightning_beam		systems.crafting.weapon.crafting_heavy_weapon	7	weapon	7	weapon_crafting	1	object/weapon/ranged/heavy/heavy_lightning_beam.iff	object/weapon/ranged/heavy/heavy_lightning_beam.iff	34	402	800	1100	178	356	534	711	178	356	534	711	0	0	energy	electric	121	242	100	100	11	1	1	100	100	0	64								object/draft_schematic/weapon/heavy_lightning_beam.iff
slot																																						resource	0	frame_assembly	steel	150			
slot																																						resource	0	receiver_assembly	iron	40			
slot																																						resource	0	grip_assembly	metal	20			
slot																																						resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45			
slot																																						template	0	powerhandler_advanced	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	thermal_control_unit	ore_carbonate	20			
slot																																						template	0	barrel_rifle_blaster_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	1			
weapon	heavy_particle_beam		systems.crafting.weapon.crafting_heavy_weapon	7	weapon	7	weapon_crafting	1	object/weapon/ranged/heavy/heavy_particle_beam.iff	object/weapon/ranged/heavy/heavy_particle_beam.iff	30	308	800	1100	112	225	338	450	112	225	338	450	0	0	kinetic	heat	120	240	100	100	9	1	1	100	100	0	64								object/draft_schematic/weapon/heavy_particle_beam.iff
slot																																						resource	0	frame_assembly	steel	150			
slot																																						resource	0	receiver_assembly	iron	40			
slot																																						resource	0	grip_assembly	metal	20			
slot																																						resource	0	enhanced_cooling_mechanism	gemstone_crystalline	45			
slot																																						template	0	powerhandler_advanced	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	thermal_control_unit	ore_carbonate	20			
slot																																						template	0	barrel_rifle_blaster_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	1			
weapon	quest_heavy_particle_beam		systems.crafting.weapon.crafting_heavy_weapon	7	weapon	7	weapon_crafting	1	object/weapon/ranged/heavy/quest_heavy_particle_beam.iff	object/weapon/ranged/heavy/quest_heavy_particle_beam.iff	30	308	800	1100	112	225	338	450	112	225	338	450	0	0	kinetic	heat	121	242	100	100	9	1	1	100	100	0	64								object/draft_schematic/weapon/quest_heavy_particle_beam.iff
slot																																						resource	0	frame_assembly	steel	175			
slot																																						resource	0	receiver_assembly	iron	75			
slot																																						resource	0	grip_assembly	metal	45			
slot																																						resource	0	enhanced_cooling_mechanism	gemstone_crystalline	60			
slot																																						template	0	powerhandler_advanced	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	thermal_control_unit	ore_carbonate	20			
slot																																						template	0	barrel_rifle_blaster_advanced	object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	1			
weapon	heavy_rocket_launcher		systems.crafting.weapon.crafting_heavy_weapon	8	weapon	7	weapon_crafting	4	object/weapon/ranged/heavy/heavy_rocket_launcher.iff	object/weapon/ranged/heavy/heavy_rocket_launcher.iff	28	261	800	1100	193	385	577	769	193	385	577	769	0	0	kinetic	heat	8	30	100	100	8	1	1	100	100	0	64								object/draft_schematic/weapon/heavy_rocket_launcher.iff
slot																																						resource	0	frame_assembly	iron	150			
slot																																						resource	0	receiver_assembly	metal	40			
slot																																						resource	0	grip_assembly	metal	25			
slot																																						template	0	ignition_pulse_generator	object/tangible/component/weapon/blaster_power_handler_advanced.iff	3			
slot																																						resource	0	launch_tubes	steel	170			
slot																																						template	0	shell_handling_unit	object/tangible/component/weapon/projectile_feed_mechanism_advanced.iff	3			
slot																																						template	0	warheads	object/weapon/ranged/grenade/grenade_proton.iff	5			
weapon	katana		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	4	object/weapon/melee/2h_sword/2h_sword_katana.iff	object/weapon/melee/2h_sword/2h_sword_katana.iff	24	167	800	1100	159	319	479	638	159	319	479	638	0	0	kinetic				100	100	6	1	1	100	100	0	4								object/draft_schematic/weapon/katana.iff
slot																																						resource	0	sword_core_jacket	steel	42			
slot																																						resource	0	grip	petrochem_inert_polymer	12			
slot																																						template	0	jacketed_sword_core_advanced	object/tangible/component/weapon/sword_core_advanced.iff	1			
weapon	katana_quest		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	4	object/weapon/melee/2h_sword/2h_sword_katana_quest.iff	object/weapon/melee/2h_sword/2h_sword_katana_quest.iff	24	167	800	1100	159	319	479	638	159	319	479	638	0	0	kinetic				100	100	6	1	1	100	100	0	4								object/draft_schematic/weapon/katana_quest.iff
slot																																						resource	0	sword_core_jacket	steel	42			
slot																																						resource	0	grip	petrochem_inert_polymer	12			
slot																																						template	0	jacketed_sword_core_advanced	object/tangible/component/weapon/sword_core_advanced.iff	1			
weapon	knife_stone		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	2	weapon_crafting	1	object/weapon/melee/knife/knife_stone.iff	object/weapon/melee/knife/knife_stone.iff	8	42	800	1100	14	29	44	58	14	29	44	58	0	0	kinetic				100	100	1	1	1	100	100	0	4								object/draft_schematic/weapon/knife_stone.iff
slot																																						resource	0	knife_blade	mineral	7			
slot																																						resource	0	grip	bone	3			
weapon	knife_janta		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	1	object/weapon/melee/knife/knife_janta.iff	object/weapon/melee/knife/knife_janta.iff	8	42	800	1100	14	29	44	58	14	29	44	58	0	0	kinetic				100	100	1	1	1	100	100	0	4								object/draft_schematic/weapon/knife_janta.iff
slot																																						resource	0	knife_blade	mineral	15			
slot																																						resource	0	grip	bone	25			
slot																																						resource	0	grip_cap	metal	20			
weapon	knife_survival		systems.crafting.weapon.crafting_melee_artisan_weapon	25	weapon	4	crafting	1	object/weapon/melee/knife/knife_survival.iff	object/weapon/melee/knife/knife_survival.iff	8	42	800	1100	14	29	44	58	14	29	44	58	0	0	kinetic				100	100	1	1	1	100	100	0	4								object/draft_schematic/weapon/knife_survival.iff
slot																																						resource	0	knife_shaft	metal	6			
slot																																						resource	0	cutting_edge	metal	4			
slot																																						resource	0	grip_cap	metal	2			
slot																																						resource	0	grip	mineral	2			
weapon	knife_donkuwah		systems.crafting.weapon.crafting_melee_artisan_weapon	25	weapon	4	crafting	1	object/weapon/melee/knife/knife_donkuwah.iff	object/weapon/melee/knife/knife_donkuwah.iff	8	42	800	1100	14	29	44	58	14	29	44	58	0	0	kinetic				100	100	1	1	1	100	100	0	4								object/draft_schematic/weapon/knife_donkuwah.iff
slot																																						resource	0	knife_shaft	metal	6			
slot																																						resource	0	cutting_edge	metal	4			
slot																																						resource	0	grip_cap	metal	2			
slot																																						resource	0	grip	mineral	2			
weapon	knife_twilek_dagger		systems.crafting.weapon.crafting_melee_artisan_weapon	25	weapon	3	crafting	1	object/weapon/melee/knife/knife_dagger.iff	object/weapon/melee/knife/knife_dagger.iff	8	42	800	1100	14	29	44	58	14	29	44	58	0	0	kinetic				100	100	1	1	1	100	100	0	4								object/draft_schematic/weapon/knife_twilek_dagger.iff
slot																																						resource	0	knife_shaft	steel	9			
slot																																						resource	0	cutting_edge	metal_ferrous	4			
slot																																						resource	0	grip	petrochem_inert	7			
weapon	knife_vibroblade		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	5	weapon_crafting	1	object/weapon/melee/knife/knife_vibroblade.iff	object/weapon/melee/knife/knife_vibroblade.iff	21	120	800	1100	101	203	305	406	101	203	305	406	0	0	energy				100	100	5	1	1	100	100	0	4								object/draft_schematic/weapon/knife_vibroblade.iff
slot																																						resource	0	knife_shaft	steel	18			
slot																																						resource	0	cutting_edge	metal_ferrous	8			
slot																																						resource	0	grip	metal	9			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	copper	5			
slot																																						template	0	vibration_generator	object/tangible/component/weapon/vibro_unit.iff	1			
weapon	knife_vibroblade_quest		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	5	weapon_crafting	2	object/weapon/melee/knife/knife_vibroblade_quest.iff	object/weapon/melee/knife/knife_vibroblade_quest.iff	21	120	800	1100	101	203	305	406	101	203	305	406	0	0	energy				100	100	5	1	1	100	100	0	4								object/draft_schematic/weapon/knife_vibroblade_quest.iff
slot																																						resource	0	knife_shaft	steel	18			
slot																																						resource	0	cutting_edge	metal_ferrous	8			
slot																																						resource	0	grip	metal	9			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	copper	5			
slot																																						template	0	vibration_generator	object/tangible/component/weapon/vibro_unit.iff	1			
weapon	knuckler_vibro		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	5	weapon_crafting	3	object/weapon/melee/special/vibroknuckler.iff	object/weapon/melee/special/vibroknuckler.iff	26	214	800	1100	159	319	479	638	159	319	479	638	0	0	energy				100	100	7	1	1	100	100	0	4								object/draft_schematic/weapon/knuckler_vibro.iff
slot																																						resource	0	grip_unit	metal_ferrous	12			
slot																																						resource	0	strike_face	steel	8			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	metal	8			
slot																																						resource	0	power_cell_socket	copper	4			
slot																																						template	0	vibration_generator_advanced	object/tangible/component/weapon/vibro_unit_advanced.iff	1			
weapon	lance_nightsister		systems.crafting.weapon.crafting_melee_standard_weapon	0	weapon	4	weapon_crafting	1	object/weapon/melee/polearm/lance_nightsister.iff	object/weapon/melee/polearm/lance_nightsister.iff	34	402	800	1100	299	597	895	1193	299	597	895	1193	0	0	energy				100	100	11	1	1	100	100	0	4								object/draft_schematic/weapon/lance_nightsister.iff
slot																																						resource	0	lance_shaft	steel_quadranium	60			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	copper_polysteel	30			
slot																																						resource	0	grip	metal	15			
slot																																						template	0	vibration_generator	object/tangible/component/weapon/vibro_unit_nightsister.iff	2			
weapon	lance_vibro		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	1	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/lance_vibrolance.iff	34	402	800	1100	299	597	895	1193	299	597	895	1193	0	0	energy				100	100	11	1	1	100	100	0	4								object/draft_schematic/weapon/lance_vibro.iff
slot																																						resource	0	lance_shaft	steel_ditanium	38			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	copper_polysteel	17			
slot																																						resource	0	grip	metal	6			
slot																																						template	0	vibration_generator_advanced	object/tangible/component/weapon/vibro_unit_advanced.iff	2			
weapon	lance_vibro_controller_fp		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	5	object/weapon/melee/polearm/lance_controllerfp.iff	object/weapon/melee/polearm/lance_controllerfp.iff	26	214	800	1100	159	319	479	638	159	319	479	638	0	0	energy				100	100	7	1	1	100	100	0	4								object/draft_schematic/weapon/lance_vibro_controller_fp.iff
slot																																						resource	0	staff_shaft	metal	27			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	metal_ferrous	17			
slot																																						template	0	power_circuits	object/tangible/component/item/electronic_control_unit.iff	1			
slot																																						template	0	vibration_generator_advanced	object/tangible/component/weapon/vibro_unit_advanced.iff	1			
weapon	lance_vibro_nightsister		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	5	object/weapon/melee/polearm/lance_controllerfp_nightsister.iff	object/weapon/melee/polearm/lance_controllerfp_nightsister.iff	30	308	800	1100	229	458	687	916	229	458	687	916	0	0	energy				100	100	9	1	1	100	100	0	4								object/draft_schematic/weapon/lance_vibro_nightsister.iff
slot																																						resource	0	staff_shaft	metal	35			
slot																																						resource	0	vibro_unit_and_power_cell_brackets	metal_ferrous	25			
slot																																						template	0	power_circuits	object/tangible/component/item/electronic_control_unit.iff	1			
slot																																						template	0	vibration_generator_advanced	object/tangible/component/weapon/vibro_unit_advanced.iff	2			
weapon	maul		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/2h_sword/2h_sword_maul.iff	object/weapon/melee/2h_sword/2h_sword_maul.iff	34	402	800	1100	299	597	895	1193	299	597	895	1193	0	0	kinetic				100	100	11	1	1	100	100	0	4								object/draft_schematic/weapon/maul.iff
slot																																						resource	0	grip_unit	metal	40			
slot																																						resource	0	reactive_striking_surface	iron_kammris	75			
slot																																						resource	0	power_cell_brackets	copper	24			
slot																																						template	0	reinforcement_core_advanced	object/tangible/component/weapon/reinforcement_core_advanced.iff	1			
weapon	quest_maul		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/2h_sword/quest_2h_sword_maul.iff	object/weapon/melee/2h_sword/quest_2h_sword_maul.iff	36	450	800	1100	334	667	1000	1333	334	667	1000	1333	0	0	kinetic				100	100	12	1	1	100	100	0	4								object/draft_schematic/weapon/quest_maul.iff
slot																																						resource	0	grip_unit	metal	75			
slot																																						resource	0	reactive_striking_surface	iron_kammris	125			
slot																																						resource	0	power_cell_brackets	copper	75			
slot																																						template	0	reinforcement_core_advanced	object/tangible/component/weapon/reinforcement_core_advanced.iff	1			
weapon	pistol_blaster_cdef		systems.crafting.weapon.crafting_blaster_artisan_weapon	25	weapon	3	crafting	3	object/weapon/ranged/pistol/pistol_cdef.iff	object/weapon/ranged/pistol/pistol_cdef.iff	8	42	800	1100	5	10	15	20	5	10	15	20	0	0	energy				40	40	1	1	1	100	100	0	35								object/draft_schematic/weapon/pistol_blaster_cdef.iff
slot																																						resource	0	frame_assembly	metal	12			
slot																																						resource	0	receiver_assembly	chemical	6			
slot																																						resource	0	grip_assembly	metal	3			
weapon	pistol_blaster_cdef_corsec		systems.crafting.weapon.crafting_blaster_artisan_weapon	25	weapon	3	crafting	3	object/weapon/ranged/pistol/pistol_cdef_corsec.iff	object/weapon/ranged/pistol/pistol_cdef_corsec.iff	8	42	800	1100	5	10	15	20	5	10	15	20	0	0	energy				40	40	1	1	1	100	100	0	35								object/draft_schematic/weapon/pistol_blaster_cdef_corsec.iff
slot																																						resource	0	frame_assembly	metal	20			
slot																																						resource	0	receiver_assembly	chemical	12			
slot																																						resource	0	grip_assembly	metal	6			
weapon	pistol_blaster_d18		systems.crafting.weapon.crafting_blaster_weapon	25	weapon	5	weapon_crafting	3	object/weapon/ranged/pistol/pistol_d18.iff	object/weapon/ranged/pistol/pistol_d18.iff	8	60	800	1100	20	40	60	80	20	40	60	80	0	0	energy				40	40	3	1	1	100	100	0	35								object/draft_schematic/weapon/pistol_blaster_d18.iff
slot																																						resource	0	frame_assembly	metal_nonferrous	18			
slot																																						resource	0	receiver_assembly	metal	8			
slot																																						resource	0	grip_assembly	metal	5			
slot																																						template	0	powerhandler	object/tangible/component/weapon/blaster_power_handler.iff	1			
slot																																						template	0	barrel_pistol_blaster	object/tangible/component/weapon/blaster_pistol_barrel.iff	1			
weapon	pistol_blaster_dh17		systems.crafting.weapon.crafting_blaster_weapon	25	weapon	5	weapon_crafting	3	object/weapon/ranged/pistol/pistol_dh17.iff	object/weapon/ranged/pistol/pistol_dh17.iff	28	261	800	1100	75	150	225	300	75	150	225	300	0	0	energy				40	40	8	1	1	100	100	0	35								object/draft_schematic/weapon/pistol_blaster_dh17.iff
slot																																						resource	0	frame_assembly	metal	30			
