schematic_name	schematic_uses	source_object
object/draft_schematic/armor/armor_appearance_stormtrooper_chest.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_chest_plate_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_golden_flower_01.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_golden_flower_01.tpf
object/draft_schematic/armor/shield_generator_personal_imperial_test.iff	5	object\tangible\loot\quest\shield_generator_personal_imperial_test_schematic.tpf
object/draft_schematic/furniture/furniture_bubble_tank.iff	1	object\tangible\loot\loot_schematic\bubble_tank_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_blueleaf_temple.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_blueleaf_temple.tpf
object/draft_schematic/furniture/furniture_lamp_street.iff	1	object\tangible\loot\loot_schematic\streetlamp_schematic.tpf
object/draft_schematic/furniture/furniture_chair_cantina.iff	1	object\tangible\loot\loot_schematic\cantina_chair_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_bracer_l.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_bracer_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_assault_bracer_r.iff	1	object\tangible\loot\factional_schematic\rebel_assault_bracer_r_schematic.tpf
object/draft_schematic/space/reactor/mustafar_fusion_reactor.iff	25	item_tow_schematic_reactor_02_01
object/draft_schematic/weapon/pistol_republic_blaster_quest.iff	3	object\tangible\loot\quest\schematic_republic_blaster_quest.tpf
object/draft_schematic/furniture/furniture_microphone_s01.iff	1	object\tangible\loot\loot_schematic\microphone_s01_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_bicep_r.iff	1	object\tangible\loot\factional_schematic\rebel_marine_bicep_r_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_helmet.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_helmet_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_bracer_r.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_bracer_r_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_bracer_r.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_bracer_r_schematic.tpf
object/draft_schematic/vehicle/civilian/landspeeder_usv5.iff	1	object\tangible\loot\loot_schematic\speeder_usv5_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_utility_belt.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_utility_belt_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_leggings.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_leggings_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_bracer_r.iff	1	object\tangible\loot\factional_schematic\rebel_battle_bracer_r_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_moncal_eye_01.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_moncal_eye_01.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_boots.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_boots_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_assault_chest.iff	1	object\tangible\loot\factional_schematic\rebel_assault_chest_plate_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_leggings.iff	1	object\tangible\loot\factional_schematic\rebel_marine_leggings_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_helmet.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_helmet_schematic.tpf
object/draft_schematic/weapon/lightsaber_one_handed_gen4_must.iff	1	item_tow_schematic_saber_03_01
object/draft_schematic/armor/armor_appearance_rebel_assault_leggings.iff	1	object\tangible\loot\factional_schematic\rebel_assault_leggings_schematic.tpf
object/draft_schematic/furniture/furniture_technical_console_s02.iff	1	object\tangible\loot\loot_schematic\technical_console_s02_schematic.tpf
object/draft_schematic/clothing/clothing_apron_field_01_quest_03.iff	3	object\tangible\loot\quest\schematic_apron_s01_quest_03.tpf
object/draft_schematic/item/item_recycler_chemical.iff	1	object\tangible\loot\loot_schematic\chemical_recycler_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_bracer_r.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_bracer_r_schematic.tpf
object/draft_schematic/space/chassis/firespray.iff	3	object\tangible\space\special_loot\firespray_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_gloves.iff	1	object\tangible\loot\factional_schematic\rebel_marine_gloves_schematic.tpf
object/draft_schematic/furniture/tanning_hide.iff	1	object\tangible\loot\loot_schematic\tanning_hide_s01_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_boots.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_boots_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_bracer_r.iff	1	object\tangible\loot\factional_schematic\rebel_marine_bracer_r_schematic.tpf
object/draft_schematic/furniture/furniture_diagnostic_screen.iff	1	object\tangible\loot\loot_schematic\diagnostic_screen_schematic.tpf
object/draft_schematic/weapon/rifle_light_blaster_e11_carbine_quest.iff	3	object\tangible\loot\quest\schematic_carbine_e11_quest.tpf
object/draft_schematic/vehicle/civilian/jetpack.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_jetpack_schematic.tpf
object/draft_schematic/weapon/rifle_berserker.iff	5	object\tangible\loot\loot_schematic\corellian_corvette_rifle_berserker_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_bracer_l.iff	1	object\tangible\loot\factional_schematic\rebel_marine_bracer_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_belt.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_belt_schematic.tpf
object/draft_schematic/clothing/clothing_apron_field_01_quest_01.iff	3	object\tangible\loot\quest\schematic_apron_s01_quest_01.tpf
object/draft_schematic/furniture/tanning_hide_2.iff	1	object\tangible\loot\loot_schematic\tanning_hide_s02_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_assault_gloves.iff	1	object\tangible\loot\factional_schematic\rebel_assault_gloves_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_boffa.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_boffa.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_bicep_r.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_bicep_r_schematic.tpf
object/draft_schematic/furniture/must_furniture_jedi_relic_01.iff	3	item_tow_schematic_jedi_relic_02_01
object/draft_schematic/furniture/furniture_chair_cafe.iff	1	object\tangible\loot\loot_schematic\chair_cafe_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_assault_helmet.iff	1	object\tangible\loot\factional_schematic\rebel_assault_helmet_schematic.tpf
object/draft_schematic/furniture/furniture_professors_desk.iff	1	object\tangible\loot\loot_schematic\professors_desk_schematic.tpf
object/draft_schematic/weapon/lance_nightsister.iff	5	object\tangible\loot\quest\lance_nightsister_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_blumbush.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_blumbush.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_gloves.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_gloves_schematic.tpf
object/draft_schematic/weapon/lightsaber_two_handed_gen4_must.iff	1	item_tow_schematic_saber_03_02
object/draft_schematic/furniture/furniture_stove.iff	1	object\tangible\loot\loot_schematic\stove_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_bicep_r.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_bicep_r_schematic.tpf
object/draft_schematic/furniture/furniture_slave_brazier.iff	1	object\tangible\loot\loot_schematic\slave_brazier_schematic.tpf
object/draft_schematic/item/item_agitator_motor.iff	1	object\tangible\loot\loot_schematic\agitator_motor_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_bracer_r.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_bracer_r_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_helmet.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_helmet_schematic.tpf
object/draft_schematic/furniture/furniture_cabinet_elegant.iff	1	object\tangible\loot\loot_schematic\cabinet_elegant_schematic.tpf
object/draft_schematic/furniture/furniture_microphone_s02.iff	1	object\tangible\loot\loot_schematic\microphone_s02_schematic.tpf
object/draft_schematic/clothing/clothing_backpack_field_06_quest.iff	3	object\tangible\loot\quest\schematic_backpack_s06_quest.tpf
object/draft_schematic/furniture/bestine/painting_bestine_lucky_despot.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_lucky_despot.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_leggings.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_leggings_schematic.tpf
object/draft_schematic/furniture/furniture_table_coffee_modern_02.iff	1	object\tangible\loot\loot_schematic\table_coffee_modern_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_bicep_l.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_bicep_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_leggings.iff	1	object\tangible\loot\factional_schematic\rebel_battle_leggings_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_bracer_l.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_bracer_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_gloves.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_gloves_schematic.tpf
object/draft_schematic/furniture/furniture_bottle_fat.iff	1	object\tangible\loot\loot_schematic\bottle_fat_schematic.tpf
object/draft_schematic/furniture/furniture_bowl_plain.iff	1	object\tangible\loot\loot_schematic\bowl_plain_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_bicep_r.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_bicep_r_schematic.tpf
object/draft_schematic/weapon/pistol_de_10.iff	1	object\tangible\loot\loot_schematic\death_watch_pistol_de_10_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_moncal_eye_02.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_moncal_eye_02.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_bicep_l.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_bicep_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_bicep_l.iff	1	object\tangible\loot\factional_schematic\rebel_battle_bicep_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_chest.iff	1	object\tangible\loot\factional_schematic\rebel_battle_chest_plate_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_krayt_skeleton.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_krayt_skeleton.tpf
object/draft_schematic/furniture/furniture_bowl_carved.iff	1	object\tangible\loot\loot_schematic\bowl_carved_schematic.tpf
object/draft_schematic/weapon/component/sword_core_geo.iff	5	object\tangible\loot\loot_schematic\geonosian_sword_core_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_utility_belt.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_utility_belt_schematic.tpf
object/draft_schematic/item/item_tumble_blender.iff	1	object\tangible\loot\loot_schematic\tumble_blender_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_ronka.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_ronka.tpf
object/draft_schematic/furniture/furniture_tatooine_tapestry.iff	1	object\tangible\loot\loot_schematic\tatooine_tapestry_schematic.tpf
object/draft_schematic/armor/shield_generator_personal_old_republic.iff	25	item_tow_schematic_psg_05_01
object/draft_schematic/furniture/bestine/painting_bestine_mattberry.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_mattberry.tpf
object/draft_schematic/vehicle/civilian/landspeeder_desert_skiff.iff	1	object\tangible\loot\loot_schematic\speeder_desert_skiff_schematic.tpf
object/draft_schematic/weapon/component/reinforcement_core_geo.iff	5	object\tangible\loot\loot_schematic\geonosian_reinforcement_core_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_bracer_l.iff	1	object\tangible\loot\factional_schematic\rebel_battle_bracer_l_schematic.tpf
object/draft_schematic/armor/armor_segment_ris_acklay.iff	5	object\tangible\loot\loot_schematic\geonosian_acklay_muscle_armor_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_bicep_r.iff	1	object\tangible\loot\factional_schematic\rebel_battle_bicep_r_schematic.tpf
object/draft_schematic/furniture/furniture_shisa.iff	1	object\tangible\loot\loot_schematic\shisa_schematic.tpf
object/draft_schematic/item/item_recycler_flora.iff	1	object\tangible\loot\loot_schematic\flora_recycler_schematic.tpf
object/draft_schematic/armor/shield_generator_personal_borvo.iff	25	item_content_schematic_psg_borvo_02_01
object/draft_schematic/armor/armor_appearance_mandalorian_belt.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_belt_schematic.tpf
object/draft_schematic/furniture/furniture_utensils.iff	1	object\tangible\loot\loot_schematic\utensils_schematic.tpf
object/draft_schematic/armor/armor_segment_bone_acklay.iff	5	object\tangible\loot\loot_schematic\geonosian_acklay_bone_armor_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_leggings.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_leggings_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_bracer_l.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_bracer_l_schematic.tpf
object/draft_schematic/furniture/furniture_couch_blue.iff	1	object\tangible\loot\loot_schematic\couch_blue_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_chest.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_chest_plate_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_assault_bicep_r.iff	1	object\tangible\loot\factional_schematic\rebel_assault_bicep_r_schematic.tpf
object/draft_schematic/furniture/must_furniture_old_republic_tech_09.iff	5	item_tow_schematic_old_republic_tech_02_09
object/draft_schematic/armor/armor_appearance_rebel_assault_bracer_l.iff	1	object\tangible\loot\factional_schematic\rebel_assault_bracer_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_gloves.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_gloves_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_bracer_r.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_bracer_r_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_chest.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_chest_plate_schematic.tpf
object/draft_schematic/furniture/furniture_throwpillow.iff	1	object\tangible\loot\loot_schematic\throwpillow_schematic.tpf
object/draft_schematic/furniture/furniture_display_fish.iff	1	object\tangible\loot\loot_schematic\stuffed_fish_schematic.tpf
object/draft_schematic/furniture/furniture_plant_hanging.iff	1	object\tangible\loot\loot_schematic\hanging_planter_schematic.tpf
object/draft_schematic/chemistry/quest_stimpack_a.iff	5	object\tangible\loot\quest\quest_stimpack_a_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_house.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_house.tpf
object/draft_schematic/furniture/must_painting_03.iff	10	item_tow_schematic_mustafar_painting_02_03
object/draft_schematic/furniture/bestine/painting_bestine_golden_flower_03.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_golden_flower_03.tpf
object/draft_schematic/furniture/furniture_technical_console_s01.iff	1	object\tangible\loot\loot_schematic\technical_console_s01_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_helmet.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_helmet_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_bicep_r.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_bicep_r_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_rainbow_berry_bush.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_rainbow_berry_bush.tpf
object/draft_schematic/furniture/must_painting_01.iff	10	item_tow_schematic_mustafar_painting_02_01
object/draft_schematic/armor/armor_appearance_scout_trooper_bicep_l.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_bicep_l_schematic.tpf
object/draft_schematic/weapon/executioners_hack.iff	1	object\tangible\loot\loot_schematic\death_watch_executioners_hack_schematic.tpf
object/draft_schematic/furniture/furniture_food_cart.iff	1	object\tangible\loot\loot_schematic\foodcart_schematic.tpf
object/draft_schematic/weapon/pistol_geo_sonic_blaster.iff	5	object\tangible\loot\loot_schematic\geonosian_sonic_blaster_schematic.tpf
object/draft_schematic/furniture/must_furniture_jedi_statue.iff	3	item_tow_schematic_jedi_statue_02_01
object/draft_schematic/armor/armor_appearance_rebel_assault_bicep_l.iff	1	object\tangible\loot\factional_schematic\rebel_assault_bicep_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_chest.iff	1	object\tangible\loot\factional_schematic\rebel_marine_chest_plate_rebel_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_boots.iff	1	object\tangible\loot\factional_schematic\rebel_marine_boots_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_boots.iff	1	object\tangible\loot\factional_schematic\rebel_battle_boots_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_leggings.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_leggings_schematic.tpf
object/draft_schematic/clothing/clothing_bandolier_field_02_quest.iff	3	object\tangible\loot\quest\schematic_bandolier_s02_quest.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_gloves.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_gloves_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_bicep_l.iff	1	object\tangible\loot\factional_schematic\rebel_marine_bicep_l_schematic.tpf
object/draft_schematic/furniture/furniture_bacta_tank_large.iff	1	object\tangible\loot\loot_schematic\bacta_tank_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_chest.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_chest_plate_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_battle_helmet.iff	1	object\tangible\loot\factional_schematic\rebel_battle_helmet_schematic.tpf
object/draft_schematic/furniture/furniture_spear_stand.iff	1	object\tangible\loot\loot_schematic\spear_rack_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_boots.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_boots_schematic.tpf
object/draft_schematic/armor/armor_appearance_assault_trooper_leggings.iff	1	object\tangible\loot\factional_schematic\imperial_assault_trooper_leggings_schematic.tpf
object/draft_schematic/furniture/furniture_pitcher_full.iff	1	object\tangible\loot\loot_schematic\pitcher_full_schematic.tpf
object/draft_schematic/armor/shield_generator_personal_droideka.iff	25	item_content_schematic_psg_droideka_02_01
object/draft_schematic/furniture/furniture_assorted_fruit.iff	1	object\tangible\loot\loot_schematic\assorted_fruit_schematic.tpf
object/draft_schematic/furniture/furniture_radio.iff	1	object\tangible\loot\loot_schematic\radio_schematic.tpf
object/draft_schematic/clothing/clothing_backpack_field_03_quest.iff	3	object\tangible\loot\quest\schematic_backpack_s03_quest.tpf
object/draft_schematic/furniture/furniture_radar_table.iff	1	object\tangible\loot\loot_schematic\radar_screen_schematic.tpf
object/draft_schematic/item/item_recycler_ore.iff	1	object\tangible\loot\loot_schematic\ore_recycler_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_utility_belt.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_utility_belt_schematic.tpf
object/draft_schematic/weapon/pistol_flechette_fwg5_quest.iff	3	object\tangible\loot\quest\schematic_pistol_fwg5_quest.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_boots.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_boots_schematic.tpf
object/draft_schematic/furniture/bestine/painting_bestine_raventhorn.iff	2	object\tangible\loot\bestine\bestine_painting_schematic_raventhorn.tpf
object/draft_schematic/furniture/furniture_droid_head.iff	1	object\tangible\loot\loot_schematic\droid_head_schematic.tpf
object/draft_schematic/furniture/furniture_corellia_flagpole.iff	1	object\tangible\loot\loot_schematic\corellian_flagpole_schematic.tpf
object/draft_schematic/clothing/clothing_apron_field_01_quest_04.iff	3	object\tangible\loot\quest\schematic_apron_s01_quest_04.tpf
object/draft_schematic/furniture/furniture_command_console.iff	1	object\tangible\loot\loot_schematic\command_console_schematic.tpf
object/draft_schematic/armor/armor_appearance_bounty_hunter_crafted_bracer_l.iff	1	object\tangible\loot\loot_schematic\death_watch_bounty_hunter_bracer_l_schematic.tpf
object/draft_schematic/clothing/clothing_bandolier_field_04_quest.iff	3	object\tangible\loot\quest\schematic_bandolier_s04_quest.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_gloves.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_gloves_schematic.tpf
object/draft_schematic/armor/armor_appearance_mandalorian_bicep_r.iff	1	object\tangible\loot\loot_schematic\death_watch_mandalorian_bicep_r_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_assault_boots.iff	1	object\tangible\loot\factional_schematic\rebel_assault_boots_schematic.tpf
object/draft_schematic/furniture/furniture_campfire.iff	1	object\tangible\loot\loot_schematic\campfire_schematic.tpf
object/draft_schematic/furniture/furniture_table_gambling.iff	1	object\tangible\loot\loot_schematic\gambling_table_schematic.tpf
object/draft_schematic/furniture/furniture_basket_closed.iff	1	object\tangible\loot\loot_schematic\basket_closed_schematic.tpf
object/draft_schematic/clothing/clothing_dress_formal_08_quest.iff	3	object\tangible\loot\quest\schematic_dress_s08_quest.tpf
object/draft_schematic/weapon/2h_sword_scythe.iff	2	object\tangible\loot\quest\2h_sword_scythe_schematic.tpf
object/draft_schematic/armor/armor_appearance_stormtrooper_bicep_l.iff	1	object\tangible\loot\factional_schematic\imperial_stormtrooper_bicep_l_schematic.tpf
object/draft_schematic/weapon/lightsaber_one_handed_gen4_restuss.iff	1	item_restuss_schematic_saber_04_01
object/draft_schematic/furniture/furniture_droid_body.iff	1	object\tangible\loot\loot_schematic\droid_body_schematic.tpf
object/draft_schematic/furniture/must_furniture_old_republic_tech_01.iff	5	item_tow_schematic_old_republic_tech_02_01
object/draft_schematic/furniture/furniture_bottle_pear.iff	1	object\tangible\loot\loot_schematic\bottle_pear_schematic.tpf
object/draft_schematic/armor/armor_appearance_scout_trooper_bracer_l.iff	1	object\tangible\loot\factional_schematic\imperial_scout_trooper_bracer_l_schematic.tpf
object/draft_schematic/armor/armor_appearance_rebel_marine_helmet.iff	1	object\tangible\loot\factional_schematic\rebel_marine_helmet_schematic.tpf
