core_level	pistol_min_damage	pistol_max_damage	carbine_min_damage	carbine_max_damage	rifle_min_damage	rifle_max_damage	heavy_min_damage	heavy_max_damage	directional_min_damage	directional_max_damage	melee_min_damage	melee_max_damage	elemental_pistol_average_damage	elemental_carbine_average_damage	elemental_rifle_average_damage	elemental_heavy_average_damage	elemental_directional_average_damage	elemental_melee_average_damage
36	89	177	133	266	177	354	221	443	55	111	225	449	14	22	29	0	0	36
37	91	181	136	272	181	363	227	453	57	113	230	460	15	22	30	0	0	37
38	93	186	139	278	186	371	232	464	58	116	235	471	15	23	30	0	0	38
39	95	190	142	285	190	380	237	475	59	119	241	481	16	23	31	0	0	39
40	100	200	150	300	200	400	249	498	62	125	250	500	16	24	32	21	5	40
41	103	205	154	308	205	411	255	510	64	128	257	515	16	25	33	25	6	41
42	105	211	158	316	211	421	261	522	65	131	265	529	17	25	34	29	7	42
43	108	216	162	324	216	432	267	534	67	134	272	544	17	26	34	33	8	43
44	111	221	166	332	221	443	273	546	68	137	279	559	18	26	35	37	9	44
45	113	227	170	340	227	453	279	558	70	140	287	573	18	27	36	41	10	45
46	116	232	174	348	232	464	285	570	71	143	294	588	18	28	37	45	11	46
47	119	237	178	356	237	475	291	582	73	146	301	603	19	28	38	49	12	47
48	125	250	188	375	250	500	306	613	77	153	319	639	19	29	38	54	14	48
49	128	255	192	383	255	511	312	625	78	156	327	653	20	29	39	58	15	49
50	130	261	196	391	261	522	318	637	80	159	334	668	20	30	40	62	16	50
51	133	266	200	399	266	532	324	649	81	162	341	683	20	31	41	66	17	51
52	136	271	204	407	271	543	330	661	83	165	349	697	21	31	42	70	18	52
53	138	277	208	415	277	554	336	673	84	168	356	712	21	32	42	74	19	53
54	141	282	212	423	282	564	342	685	86	171	363	727	22	32	43	78	20	54
55	144	287	216	431	287	575	348	697	87	174	371	741	22	33	44	82	21	55
56	150	300	225	450	300	601	364	728	91	182	389	777	22	34	45	84	21	56
57	153	306	229	458	306	611	370	740	93	185	396	792	23	34	46	88	22	57
58	155	311	233	466	311	622	376	752	94	188	403	807	23	35	46	92	23	58
59	158	316	237	474	316	633	382	764	96	191	411	821	24	35	47	96	24	59
60	161	322	241	482	322	643	388	776	97	194	418	836	24	36	48	100	25	60
61	163	327	245	490	327	654	394	788	99	197	425	851	24	37	49	104	26	61
62	166	332	249	498	332	665	400	800	100	200	433	865	25	37	50	108	27	62
63	169	338	253	506	338	675	406	812	102	203	440	880	25	38	50	112	28	63
64	175	350	263	526	350	701	422	843	105	211	458	916	26	38	51	114	29	64
65	178	356	267	534	356	711	428	855	107	214	465	931	26	39	52	118	30	65
66	181	361	271	542	361	722	434	867	108	217	473	945	26	40	53	122	31	66
67	183	366	275	550	366	733	440	879	110	220	480	960	27	40	54	126	32	67
68	186	372	279	558	372	743	446	891	111	223	487	975	27	41	54	130	33	68
69	189	377	283	566	377	754	452	903	113	226	495	989	28	41	55	134	34	69
70	191	382	287	574	382	765	458	915	114	229	502	1004	28	42	56	138	35	70
71	194	388	291	582	388	775	464	927	116	232	509	1019	28	43	57	142	36	71
72	200	401	300	601	401	801	479	958	120	240	527	1055	29	43	58	146	37	72
73	203	406	304	609	406	812	485	970	121	243	535	1069	29	44	58	150	38	73
74	206	411	308	617	411	822	491	982	123	246	542	1084	30	44	59	154	39	74
75	208	417	312	625	417	833	497	994	124	249	549	1099	30	45	60	158	40	75
76	211	422	316	633	422	844	503	1006	126	252	557	1113	30	46	61	162	41	76
77	214	427	320	641	427	854	509	1018	127	255	564	1128	31	46	62	166	42	77
78	216	433	324	649	433	865	515	1030	129	258	571	1143	31	47	62	170	43	78
79	219	438	328	657	438	876	521	1042	130	261	579	1157	32	47	63	174	44	79
80	225	451	338	676	451	901	536	1073	134	268	597	1193	32	48	64	178	45	80
81	228	456	342	684	456	912	542	1085	136	271	604	1208	32	49	65	182	46	81
82	231	461	346	692	461	923	548	1097	137	274	611	1223	33	49	66	186	47	82
83	233	467	350	700	467	933	554	1109	139	277	619	1237	33	50	66	190	48	83
84	236	472	354	708	472	944	560	1121	140	280	626	1252	34	50	67	194	49	84
85	239	477	358	716	477	955	566	1133	142	283	633	1267	34	51	68	198	50	85
86	241	483	362	724	483	965	572	1145	143	286	641	1281	34	52	69	202	51	86
87	244	488	366	732	488	976	578	1157	145	289	648	1296	35	52	70	206	52	87
88	253	506	379	758	506	1011	600	1200	150	300	667	1333	35	53	70	208	52	88
89	255	511	383	766	511	1022	606	1212	152	303	675	1351	36	53	71	212	53	89
90	258	516	387	774	516	1033	612	1224	153	306	684	1368	36	54	72	216	54	90
