prefix_text	target_text	trailing_text	planet_text
We need to show everyone in this city that technology is bad m'kay? Go directly to this city and carry out your mission.	Banking Terminals	Nashal	Talus
Take your team and scout out the following target well in advance. No mess ups.	Bazaar Terminals	Nashal	Talus
The King wanted this target taken out by the best but we had to settle for you because our best blew off his hands in the last mission. 	Speeder Garage	Nashal	Talus
We are spelling this out for you in simple steps because we know you are not the sharpest individual.	Cloning Facility	Nashal	Talus
Approach the city from the West and await the signal.  When you receive the signal (your superiour slapping the back of your head) proceed to the target and place explosives.	Starport Terminals	Pirate Outpost	Dantooine
You messed up the last target so here is another chance to show you are worthy of your current rank.	Starport Terminals	Mining Outpost	Dantooine
Make sure the explosion can be heard by the newspaper people.  We want to show them we ain't so dumb like they say.	Crafting Stations	Pirate Outpost	Dantooine
The King has chosen you to take on a super secret demolitions mission.  He told me he doesn't think you are smart enough to pull this off and that you smell funny...but I think differently.	Medical Center	Pirate Outpost	Dantooine
The recently promoted Decider has decided to take volunteers for the next mission. Since no one volunteered he picked you. Ha ha.	Bazaar Terminals	Mining Outpost	Dantooine
Hope you don't mind traveling because your target involves a bit of travel.  Proceed with caution as we have hit this city before.  Make sure you aren't followed.	Hotel Lobby	Pirate Outpost	Dantooine
Approach the city from the West and await the signal.  When you receive the signal (your superiour slapping the back of your head) proceed to the target and place explosives.	Crafting Stations	Mining Outpost	Dantooine
You messed up the last target so here is another chance to show you are worthy of your current rank.	Cantina Lounge	Pirate Outpost	Dantooine
Make sure the explosion can be heard by the newspaper people.  We want to show them we ain't so dumb like they say.	Medical Center	Pirate Outpost	Dantooine
The King has chosen you to take on a super secret demolitions mission.  He told me he doesn't think you are smart enough to pull this off and that you smell funny...but I think differently.	Cloning Facility	Mining Outpost	Dantooine
The recently promoted Decider has decided to take volunteers for the next mission. Since no one volunteered he picked you. Ha ha.	City Spaceport	Pirate Outpost	Dantooine
Hope you don't mind traveling because your target involves a bit of travel.  Proceed with caution as we have hit this city before.  Make sure you aren't followed.	Bazaar Terminals	Mining Outpost	Dantooine
