Name	AnimationName	WeaponName	LeftHandTrail	RightHandTrail	LeftFootTrail	RightFootTrail	WeaponTrail	DefenderOffset
Lightsaber (Ben)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_ben.iff					1	1.4
Lightsaber (Dugald)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_dugald.iff					1	1.4
Lightsaber (Leather)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_leather.iff					1	1.4
Lightsaber (Luke)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_luke.iff					1	1.4
Lightsaber  (Mace)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_mace.iff					1	1.4
Lightsaber  (Nebu)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_nebu.iff					1	1.4
Lightsaber  (Obi)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_obi.iff					1	1.4
Lightsaber  (Quigon)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_quigon.iff					1	1.4
Lightsaber  (Sleek Black)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_sleekblack.iff					1	1.4
Lightsaber  (Sleek Silver)	lower_posture_2hmelee_1	object/weapon/melee/sword/shared_sword_lightsaber_sleeksilver.iff					1	1.4
Sword (1)	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_01.iff					1	1.4
Sword noob	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_01_noob.iff					1	1.4
Sword (2)	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_02.iff					1	1.4
Ryke	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_blade_ryyk.iff					1	1.4
Curved Nyax	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_curved_nyax.iff					1	1.4
Nyax	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_nyax.iff					1	1.4
Rantok	knockdown_1hmelee_1	object/weapon/melee/sword/shared_sword_rantok.iff					1	1.4
Cleaver	lower_posture_2hmelee_4	object/weapon/melee/2h_sword/shared_2h_sword_cleaver.iff					1	1.4
BattleAxe	lower_posture_2hmelee_5	object/weapon/melee/2h_sword/shared_2h_sword_battleaxe.iff					1	1.4
Katana	lower_posture_2hmelee_5	object/weapon/melee/2h_sword/shared_2h_sword_katana.iff					1	1.4
Maul	lower_posture_2hmelee_5	object/weapon/melee/2h_sword/shared_2h_sword_maul.iff					1	1.4
Scythe	knockdown_2hmelee_1	object/weapon/melee/2h_sword/shared_2h_sword_scythe.iff					1	1.4
Heavy Duty Axe	knockdown_2hmelee_1	object/weapon/melee/axe/shared_axe_heavy_duty.iff					1	1.4
Vibroaxe	knockdown_2hmelee_1	object/weapon/melee/axe/shared_axe_vibroaxe.iff					1	1.4
Gaderiffi Baton	knockdown_2hmelee_1	object/weapon/melee/baton/shared_baton_gaderiffi.iff					1	1.4
Stun Baton	knockdown_2hmelee_1	object/weapon/melee/baton/shared_baton_stun.iff					1	1.4
Dagger	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_dagger.iff					1	1.4
Donkuwah	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_donkuwah.iff					1	1.4
Janta	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_janta.iff					1	1.4
Stone	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_stone.iff					1	1.4
Stone noob	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_stone_noob.iff					1	1.4
Stone Survival	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_survival.iff					1	1.4
Vibroblade	knockdown_1hmelee_1	object/weapon/melee/knife/shared_knife_vibroblade.iff					1	1.4
dlt20a Rifle	fire_5_special_single_light_face	object/weapon/ranged/rifle/shared_rifle_dlt20a.iff					1	25
Bow Caster	fire_5_special_single_medium_face	object/weapon/ranged/rifle/shared_rifle_bowcaster.iff					1	25
Acid Beam	fire_heavy_acid_beam_medium						1	25
Lightning Beam	fire_heavy_lightning_beam_medium						1	25
Partilcle Beam	fire_heavy_particle_beam_medium						1	25
Rocket Launcher	fire_heavy_rocket_launcher_medium						1	25
Flame Thrower	fire_flame_thrower_cone_2_light	object/weapon/ranged/heavy/shared_rifle_flame_thrower.iff					1	25
