elite_insect_1_10	elite_insect_11_20	elite_insect_21_30	elite_insect_31_40	elite_insect_41_50	elite_insect_51_60	elite_insect_61_70	elite_insect_71_80	elite_insect_81_90	elite_insect_scorp_kliknik
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	cash_loot/insect_cash_loot_31_40	cash_loot/insect_cash_loot_41_50	cash_loot/insect_cash_loot_51_60	cash_loot/insect_cash_loot_61_70	cash_loot/insect_cash_loot_71_80	cash_loot/insect_cash_loot_81_90	cash_loot/insect_cash_loot_81_90
wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	cash_loot/insect_cash_loot_31_40	cash_loot/insect_cash_loot_41_50	cash_loot/insect_cash_loot_51_60	cash_loot/insect_cash_loot_61_70	cash_loot/insect_cash_loot_71_80	cash_loot/insect_cash_loot_81_90	cash_loot/insect_cash_loot_81_90
wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	cash_loot/insect_cash_loot_31_40	cash_loot/insect_cash_loot_41_50	cash_loot/insect_cash_loot_51_60	cash_loot/insect_cash_loot_61_70	cash_loot/insect_cash_loot_71_80	cash_loot/insect_cash_loot_81_90	cash_loot/insect_cash_loot_81_90
wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_armor_boss	cash_loot/insect_cash_loot_31_40	cash_loot/insect_cash_loot_41_50	cash_loot/insect_cash_loot_51_60	cash_loot/insect_cash_loot_61_70	cash_loot/insect_cash_loot_71_80	cash_loot/insect_cash_loot_81_90	cash_loot/insect_cash_loot_81_90
	crafting_loot/weapon_components:wp_comp_11_20	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	cash_loot/insect_cash_loot_81_90	cash_loot/insect_cash_loot_81_90
		crafting_loot/weapon_components:wp_comp_21_30	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
			wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
			wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
			wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
			wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
			wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
			crafting_loot/weapon_components:wp_comp_31_40	crafting_loot/weapon_components:wp_comp_41_50	crafting_loot/weapon_components:wp_comp_51_60	crafting_loot/weapon_components:wp_comp_61_70	crafting_loot/weapon_components:wp_comp_71_80	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
								wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
								crafting_loot/weapon_components:wp_comp_81_90	collectible/creature_trophy:scorpion_kliknik
