Object Template Name	Male Human	Female Human	Male Rodian	Female Rodian	Male MonCal	Female MonCal	Male Wookiee	Female Wookiee	Male Twi'lek	Female Twi'lek	Male Trandoshan	Female Trandoshan	Male Zabrak	Female Zabrak	Male Bothan	Female Bothan	Male Ithorian	Female Ithorian	Male Sullustan	Female Sullustan
shared_armor_bone_s01_bracer_r	appearance/armor_bone_s01_bracer_r_m.sat	appearance/armor_bone_s01_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_chest_plate	appearance/armor_bone_s01_chest_plate_m.sat	appearance/armor_bone_s01_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_gloves	appearance/armor_bone_s01_gloves_m.sat	appearance/armor_bone_s01_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s01_helmet	appearance/armor_bone_s01_helmet_m.sat	appearance/armor_bone_s01_helmet_f.sat	appearance/armor_bone_s01_helmet_rod_m.sat	appearance/armor_bone_s01_helmet_rod_f.sat	appearance/armor_bone_s01_helmet_mon_m.sat	appearance/armor_bone_s01_helmet_mon_f.sat	:block	:block	appearance/armor_bone_s01_helmet_twk_m.sat	appearance/armor_bone_s01_helmet_twk_f.sat	appearance/armor_bone_s01_helmet_trn_m.sat	appearance/armor_bone_s01_helmet_trn_f.sat	:default	:default	appearance/armor_bone_s01_helmet_bth_m.sat	appearance/armor_bone_s01_helmet_bth_f.sat	:block	:block	appearance/armor_bone_s01_helmet_sul_m.sat	appearance/armor_bone_s01_helmet_sul_f.sat
shared_armor_bone_s01_leggings	appearance/armor_bone_s01_leggings_m.sat	appearance/armor_bone_s01_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_bicep_l	appearance/armor_bone_s02_bicep_l_m.sat	appearance/armor_bone_s02_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_bicep_r	appearance/armor_bone_s02_bicep_r_m.sat	appearance/armor_bone_s02_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_boots	appearance/armor_bone_s02_boots_m.sat	appearance/armor_bone_s02_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_bracer_l	appearance/armor_bone_s02_bracer_l_m.sat	appearance/armor_bone_s02_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_bracer_r	appearance/armor_bone_s02_bracer_r_m.sat	appearance/armor_bone_s02_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_chest_plate	appearance/armor_bone_s02_chest_plate_m.sat	appearance/armor_bone_s02_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_helmet	appearance/armor_bone_s02_helmet_m.sat	appearance/armor_bone_s02_helmet_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bone_s02_leggings	appearance/armor_bone_s02_leggings_m.sat	appearance/armor_bone_s02_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_belt	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	:block	:block	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat	:block	:block	appearance/armor_bounty_hunter_belt_m.sat	appearance/armor_bounty_hunter_belt_f.sat
shared_armor_bounty_hunter_crafted_bicep_l	appearance/armor_bounty_hunter_bicep_l_m.sat	appearance/armor_bounty_hunter_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_bicep_r	appearance/armor_bounty_hunter_bicep_r_m.sat	appearance/armor_bounty_hunter_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_bracer_l	appearance/armor_bounty_hunter_bracer_l_m.sat	appearance/armor_bounty_hunter_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_bracer_r	appearance/armor_bounty_hunter_bracer_r_m.sat	appearance/armor_bounty_hunter_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_chest_plate	appearance/armor_bounty_hunter_chest_plate_m.sat	appearance/armor_bounty_hunter_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_gloves	appearance/armor_bounty_hunter_gloves_m.sat	appearance/armor_bounty_hunter_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_helmet	appearance/armor_bounty_hunter_helmet_m.sat	appearance/armor_bounty_hunter_helmet_f.sat	:default	:default	appearance/armor_bounty_hunter_helmet_mon_m.sat	appearance/armor_bounty_hunter_helmet_mon_f.sat	:block	:block	appearance/armor_bounty_hunter_helmet_twk_m.sat	appearance/armor_bounty_hunter_helmet_twk_f.sat	:default	:default	:default	:default	appearance/armor_bounty_hunter_helmet_bth_m.sat	appearance/armor_bounty_hunter_helmet_bth_f.sat	:block	:block	appearance/armor_bounty_hunter_helmet_sul_m.sat	appearance/armor_bounty_hunter_helmet_sul_f.sat
shared_armor_bounty_hunter_crafted_leggings	appearance/armor_bounty_hunter_leggings_m.sat	appearance/armor_bounty_hunter_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_bounty_hunter_crafted_boots	appearance/armor_bounty_hunter_boots_m.sat	appearance/armor_bounty_hunter_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_charal	appearance/armor_charal_m.sat	appearance/armor_charal_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_bicep_l	appearance/armor_chitin_s01_bicep_l_m.sat	appearance/armor_chitin_s01_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_bicep_r	appearance/armor_chitin_s01_bicep_r_m.sat	appearance/armor_chitin_s01_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_boots	appearance/armor_chitin_s01_boots_m.sat	appearance/armor_chitin_s01_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_bracer_l	appearance/armor_chitin_s01_bracer_l_m.sat	appearance/armor_chitin_s01_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_bracer_r	appearance/armor_chitin_s01_bracer_r_m.sat	appearance/armor_chitin_s01_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_chest_plate	appearance/armor_chitin_s01_chest_plate_m.sat	appearance/armor_chitin_s01_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_gloves	appearance/armor_chitin_s01_gloves_m.sat	appearance/armor_chitin_s01_gloves_f.sat	:default	:default	:block	:block	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s01_helmet	appearance/armor_chitin_s01_helmet_m.sat	appearance/armor_chitin_s01_helmet_f.sat	appearance/armor_chitin_s01_helmet_rod_m.sat	appearance/armor_chitin_s01_helmet_rod_f.sat	appearance/armor_chitin_s01_helmet_mon_m.sat	appearance/armor_chitin_s01_helmet_mon_f.sat	:block	:block	appearance/armor_chitin_s01_helmet_twk_m.sat	appearance/armor_chitin_s01_helmet_twk_f.sat	appearance/armor_chitin_s01_helmet_trn_m.sat	appearance/armor_chitin_s01_helmet_trn_f.sat	:default	:default	appearance/armor_chitin_s01_helmet_bth_m.sat	appearance/armor_chitin_s01_helmet_bth_f.sat	:block	:block	appearance/armor_chitin_s01_helmet_sul_m.sat	appearance/armor_chitin_s01_helmet_sul_f.sat
shared_armor_chitin_s01_leggings	appearance/armor_chitin_s01_leggings_m.sat	appearance/armor_chitin_s01_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_bicep_l	appearance/armor_chitin_s02_bicep_l_m.sat	appearance/armor_chitin_s02_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_bicep_r	appearance/armor_chitin_s02_bicep_r_m.sat	appearance/armor_chitin_s02_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_boots	appearance/armor_chitin_s02_boots_m.sat	appearance/armor_chitin_s02_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_bracer_l	appearance/armor_chitin_s02_bracer_l_m.sat	appearance/armor_chitin_s02_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_bracer_r	appearance/armor_chitin_s02_bracer_r_m.sat	appearance/armor_chitin_s02_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_chest_plate	appearance/armor_chitin_s02_chest_plate_m.sat	appearance/armor_chitin_s02_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_helmet	appearance/armor_chitin_s02_helmet_m.sat	appearance/armor_chitin_s02_helmet_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_chitin_s02_leggings	appearance/armor_chitin_s02_leggings_m.sat	appearance/armor_chitin_s02_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_bicep_l	appearance/armor_composite_s01_bicep_l_m.sat	appearance/armor_composite_s01_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_bicep_r	appearance/armor_composite_s01_bicep_r_m.sat	appearance/armor_composite_s01_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_boots	appearance/armor_composite_s01_boots_m.sat	appearance/armor_composite_s01_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_bracer_l	appearance/armor_composite_s01_bracer_l_m.sat	appearance/armor_composite_s01_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_bracer_r	appearance/armor_composite_s01_bracer_r_m.sat	appearance/armor_composite_s01_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_chest_plate	appearance/armor_composite_s01_chest_plate_m.sat	appearance/armor_composite_s01_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_gloves	appearance/armor_composite_s01_gloves_m.sat	appearance/armor_composite_s01_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_composite_helmet	appearance/armor_composite_s01_helmet_m.sat	appearance/armor_composite_helmet_f.sat	appearance/armor_composite_s01_helmet_rod_m.sat	appearance/armor_composite_s01_helmet_rod_f.sat	appearance/armor_composite_s01_helmet_mon_m.sat	appearance/armor_composite_s01_helmet_mon_f.sat	:block	:block	appearance/armor_composite_s01_helmet_twk_m.sat	appearance/armor_composite_s01_helmet_twk_f.sat	appearance/armor_composite_s01_helmet_trn_m.sat	appearance/armor_composite_s01_helmet_trn_f.sat	:default	:default	appearance/armor_composite_s01_helmet_bth_m.sat	appearance/armor_composite_s01_helmet_bth_f.sat	:block	:block	appearance/armor_composite_s01_helmet_sul_m.sat	appearance/armor_composite_s01_helmet_sul_f.sat
shared_armor_composite_leggings	appearance/armor_composite_s01_leggings_m.sat	appearance/armor_composite_s01_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_coruscant_gloves	appearance/armor_coruscant_gloves_m.sat	appearance/armor_coruscant_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_coruscant_helmet	appearance/armor_coruscant_helmet_m.sat	appearance/armor_coruscant_helmet_f.sat	:block	:block	:block	:block	:block	:block	:block	:block	:block	:block	:default	:default	:block	:block	:block	:block	:block	:block
shared_armor_composite_s01_leggings	appearance/armor_composite_s01_leggings_m.sat	appearance/armor_composite_s01_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_coruscant_pants	appearance/armor_coruscant_pants_m.sat	appearance/armor_coruscant_pants_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_coruscant_robe	appearance/armor_coruscant_robe_m.sat	appearance/armor_coruscant_robe_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_belt	appearance/armor_imperial_guard_belt_m.sat	appearance/armor_imperial_guard_belt_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_boots	appearance/armor_imperial_guard_boots_m.sat	appearance/armor_imperial_guard_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_bracer_l	appearance/armor_imperial_guard_bracer_l_m.sat	appearance/armor_imperial_guard_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_bracer_r	appearance/armor_imperial_guard_bracer_r_m.sat	appearance/armor_imperial_guard_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_dress	appearance/armor_imperial_guard_dress_m.sat	appearance/armor_imperial_guard_dress_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_gloves	appearance/armor_imperial_guard_gloves_m.sat	appearance/armor_imperial_guard_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_imperial_guard_helmet	appearance/armor_imperial_guard_helmet_m.sat	appearance/armor_imperial_guard_helmet_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:block	:block
shared_armor_mandalorian_arm_l	appearance/armor_mandalorian_arm_l_m.sat	appearance/armor_mandalorian_arm_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_arm_r	appearance/armor_mandalorian_arm_r_m.sat	appearance/armor_mandalorian_arm_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_belt	appearance/armor_mandalorian_belt_m.sat	appearance/armor_mandalorian_belt_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_bicep_l	appearance/armor_mandalorian_bicep_l_m.sat	appearance/armor_mandalorian_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_bicep_r	appearance/armor_mandalorian_bicep_r_m.sat	appearance/armor_mandalorian_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_bracer_l	appearance/armor_mandalorian_bracer_l_m.sat	appearance/armor_mandalorian_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_bracer_r	appearance/armor_mandalorian_bracer_r_m.sat	appearance/armor_mandalorian_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_chest_plate	appearance/armor_mandalorian_chest_plate_m.sat	appearance/armor_mandalorian_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_gloves	appearance/armor_mandalorian_gloves_m.sat	appearance/armor_mandalorian_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_helmet	appearance/armor_mandalorian_helmet_m.sat	appearance/armor_mandalorian_helmet_f.sat	:default	:default	appearance/armor_mandalorian_helmet_mon_m.sat	appearance/armor_mandalorian_helmet_mon_f.sat	:block	:block	appearance/armor_mandalorian_helmet_twk_m.sat	appearance/armor_mandalorian_helmet_twk_f.sat	:default	:default	:default	:default	appearance/armor_mandalorian_helmet_bth_m.sat	appearance/armor_mandalorian_helmet_bth_f.sat	:block	:block	appearance/armor_mandalorian_helmet_sul_m.sat	appearance/armor_mandalorian_helmet_sul_f.sat
shared_armor_mandalorian_jetpack	appearance/armor_mandalorian_jetpack_m.sat	appearance/armor_mandalorian_jetpack_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_leggings	appearance/armor_mandalorian_leggings_m.sat	appearance/armor_mandalorian_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_mandalorian_shoes	appearance/armor_mandalorian_shoes_m.sat	appearance/armor_mandalorian_shoes_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_belt	appearance/armor_marauder_s01_belt_m.sat	appearance/armor_marauder_s01_belt_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_bicep_l	appearance/armor_marauder_s01_bicep_l_m.sat	appearance/armor_marauder_s01_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_bicep_r	appearance/armor_marauder_s01_bicep_r_m.sat	appearance/armor_marauder_s01_bicep_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_boots	appearance/armor_marauder_s01_boots_m.sat	appearance/armor_marauder_s01_boots_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:hide	:hide	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_bracer_l	appearance/armor_marauder_s01_bracer_l_m.sat	appearance/armor_marauder_s01_bracer_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_bracer_r	appearance/armor_marauder_s01_bracer_r_m.sat	appearance/armor_marauder_s01_bracer_r_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_chest_plate	appearance/armor_marauder_s01_chest_plate_m.sat	appearance/armor_marauder_s01_chest_plate_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_gloves	appearance/armor_marauder_s01_gloves_m.sat	appearance/armor_marauder_s01_gloves_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:block	:block	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s01_helmet	appearance/armor_marauder_s01_helmet_m.sat	appearance/armor_marauder_s01_helmet_f.sat	appearance/armor_marauder_s01_helmet_rod_m.sat	appearance/armor_marauder_s01_helmet_rod_f.sat	appearance/armor_marauder_s01_helmet_mon_m.sat	appearance/armor_marauder_s01_helmet_mon_f.sat	:block	:block	appearance/armor_marauder_s01_helmet_twk_m.sat	appearance/armor_marauder_s01_helmet_twk_f.sat	appearance/armor_marauder_s01_helmet_trn_m.sat	appearance/armor_marauder_s01_helmet_trn_f.sat	:default	:default	appearance/armor_marauder_s01_helmet_bth_m.sat	appearance/armor_marauder_s01_helmet_bth_f.sat	:block	:block	appearance/armor_marauder_s01_helmet_sul_m.sat	appearance/armor_marauder_s01_helmet_sul_f.sat
shared_armor_marauder_s01_leggings	appearance/armor_marauder_s01_leggings_m.sat	appearance/armor_marauder_s01_leggings_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
shared_armor_marauder_s02_bicep_l	appearance/armor_marauder_s02_bicep_l_m.sat	appearance/armor_marauder_s02_bicep_l_f.sat	:default	:default	:default	:default	:block	:block	:default	:default	:default	:default	:default	:default	:default	:default	:block	:block	:default	:default
