strCommandName	strComments	strStringId	strClientEffect	fltBaseDelay	intComponentToModify	fltEnergyEfficiency	fltGeneralEfficiency	fltRepairMin	fltRepairMax	fltDamageToComponent	fltRepairKitConsumed	strMessageHandlerOnPlayer	fltCountermeasureCapacitorCost	fltCountermeasureShieldCost	fltFrontToBackShieldReinforcePercentage	fltBackToFrontShieldReinforcePercentage	fltCapacitorReinforcePercentage	fltFrontShieldRatio
droidcommand_shieldbacktofrontfifty		shields_backtofront_fifty		0.15	SHIELD_0	0	0	0	0	0	0		0	0	0	0.4	0	0
droidcommand_shieldfronttobackfifty		shields_fronttoback_fifty		0.15	SHIELD_0	0	0	0	0	0	0		0	0	0.4	0	0	0
droidcommand_reactoroverloadtwo		reactor_overload_two		0.15	REACTOR	1	1.3	0	0	5	0		0	0	0	0	0	0
droidcommand_shieldadjustfronttwo		shield_adjust_front_two		0.15	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	1.5
droidcommand_shieldadjustreartwo		shield_adjust_rear_two		0.15	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	0.5
droidcommand_weaponoverloadthree		weapons_overload_three		0.25	ALL_WEAPONS	0.35	2	0	0	6	0		0	0	0	0	0	0
droidcommand_weaponeffeciencythree		weapons_efficiency_three		0.25	ALL_WEAPONS	2	0.25	0	0	0	0		0	0	0	0	0	0
droidcommand_breaklockthree		countermeasure_breaklock_three		0	NONE	0	0	0	0	0	0		0	0	0	0	0	0
droidcommand_engineoverloadthree		engine_overload_three		0.2	ENGINE	0.3	1.3	0	0	6	0		0	0	0	0	0	0
droidcommand_engineefficiencythree		engine_efficiency_three		0.2	ENGINE	2	0.25	0	0	0	0		0	0	0	0	0	0
droidcommand_shieldbacktofronteighty		shields_backtofront_eighty		0.175	SHIELD_0	0	0	0	0	0	0		0	0	0	0.8	0	0
droidcommand_shieldfronttobackeighty		shields_fronttoback_eighty		0.175	SHIELD_0	0	0	0	0	0	0		0	0	0.8	0	0	0
droidcommand_reactoroverloadthree		reactor_overload_three		0.22	REACTOR	1	1.6	0	0	10	0		0	0	0	0	0	0
droidcommand_shieldadjustfrontthree		shield_adjust_front_three		0.2	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	1.75
droidcommand_shieldadjustrearthree		shield_adjust_rear_three		0.2	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	0.25
droidcommand_weaponoverloadfour		weapons_overload_four		0.3	ALL_WEAPONS	0.2	3	0	0	18	0		0	0	0	0	0	0
droidcommand_weaponeffeciencyfour		weapons_efficiency_four		0.3	ALL_WEAPONS	3	0.1	0	0	0	0		0	0	0	0	0	0
droidcommand_breaklockfour		countermeasure_breaklock_four		0	NONE	0	0	0	0	0	0		0	0	0	0	0	0
droidcommand_engineoverloadfour		engine_overload_four		0.25	ENGINE	0.1	1.4	0	0	18	0		0	0	0	0	0	0
droidcommand_engineefficiencyfour		engine_efficiency_four		0.25	ENGINE	3	0.1	0	0	0	0		0	0	0	0	0	0
droidcommand_shieldbacktofronthundred		shields_backtofront_hundred		0.2	SHIELD_0	0	0	0	0	0	0		0	0	0	1	0	0
droidcommand_shieldfronttobackhundred		shields_fronttoback_hundred		0.2	SHIELD_0	0	0	0	0	0	0		0	0	1	0	0	0
droidcommand_reactoroverloadfour		reactor_overload_four		0.25	REACTOR	1	1.9	0	0	30	0		0	0	0	0	0	0
droidcommand_shieldadjustfrontfour		shield_adjust_front_four		0.23	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	1.9
droidcommand_shieldadjustrearfour		shield_adjust_rear_four		0.23	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0	0.1
droidcommand_mutedroid	this sets a flag to shut the droid vocalizations up	mute_droid		0	NONE	0	0	0	0	0	0	muteDroid	0	0	0	0	0	0
droidcommand_weapcaptoshieldone		weapcap_to_shield_one		1	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0.25	0
droidcommand_weapcaptoshieldtwo		weapcap_to_shield_two		1	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0.5	0
droidcommand_weapcaptoshieldthree		weapcap_to_shield_three		1	SHIELD_0	1	1	0	0	0	0		0	0	0	0	0.75	0
droidcommand_weapcaptoshieldfour		weapcap_to_shield_four		1	SHIELD_0	1	1	0	0	0	0		0	0	0	0	1	0
droidcommand_shieldemergencyfront		shield_emergency_front		0.1	SHIELD_0	1	1	0	0	0	0		0	0	0	0.75	0.75	0
droidcommand_shieldemergencyrear		shield_emergency_rear		0.1	SHIELD_0	1	1	0	0	0	0		0	0	0.75	0	0.75	0
droidcommand_weapcappowerupone		weapcap_powerup_one		0.1	CAPACITOR	1.25	1.25	0	0	2	0		0	0	0	0	0	0
droidcommand_weapcappoweruptwo		weapcap_powerup_two		0.15	CAPACITOR	1.5	1.5	0	0	4	0		0	0	0	0	0	0
droidcommand_weapcappowerupthree		weapcap_powerup_three		0.2	CAPACITOR	1.75	1.75	0	0	8	0		0	0	0	0	0	0
droidcommand_weapcappowerupfour		weapcap_powerup_four		0.25	CAPACITOR	2	2	0	0	16	0		0	0	0	0	0	0
droidcommand_weapcapequalize		weapcap_equalize		0.1	CAPACITOR	1	1	0	0	0	0		0	0	0	0	0	0
droidcommand_zonetokessel		zone_to_kessel		0	NONE	0	0	0	0	0	0	zoneToKessel	0	0	0	0	0	0
droidcommand_zonetoimperialdeepspace		zone_to_imperial_deep_space		0	NONE	0	0	0	0	0	0	zoneToImperialDeepSpace	0	0	0	0	0	0
droidcommand_zonetorebeldeepspace		zone_to_rebel_deep_space		0	NONE	0	0	0	0	0	0	zoneToRebelDeepSpace	0	0	0	0	0	0
