tatooine	bestine	naboo	corellia	rori	talus	lok	dathomir	dantooine	endor	yavin4
commoner	imperial_major	bothan_information_broker	farmer_rancher	hunter	hunter	fringer	hunter	hunter	hunter	hunter
entertainer	imperial_major	brawler	gambler	info_broker	info_broker	gambler	info_broker	info_broker	info_broker	info_broker
explorer	imperial_major	businessman	medic	medic	medic	hunter	medic	medic	medic	medic
farmer	imperial_major	commoner	mercenary	mercenary	mercenary	info_broker	mercenary	mercenary	mercenary	mercenary
farmer_agriculturalist	imperial_colonel	entertainer	miner	miner	miner	medic	miner	miner	miner	miner
farmer_rancher	imperial_colonel	explorer	artisan	noble	noble	mercenary	noble	noble	noble	noble
fringer	imperial_major_general	farmer	bodyguard	pilot	pilot	miner	pilot	pilot	pilot	pilot
gambler	imperial_lieutenant_general	farmer_agriculturalist	bothan_diplomat	scientist	scientist	noble	scientist	scientist	scientist	scientist
hunter		farmer_rancher	bothan_information_broker	slicer	slicer	pilot	slicer	slicer	slicer	slicer
info_broker		fringer	brawler	smuggler	smuggler	scientist	smuggler	smuggler	smuggler	smuggler
medic		gambler	businessman	spacer	spacer	slicer	spacer	spacer	spacer	spacer
mercenary		gungan_hermit	commoner	technician	technician	smuggler	technician	technician	technician	technician
miner		hunter	entertainer	noble	noble	spacer	noble	noble	noble	noble
moisture_farmer		info_broker	explorer	pathfinder	pathfinder	technician	pathfinder	pathfinder	pathfinder	pathfinder
noble		medic	farmer	pilot	pilot	noble	pilot	pilot	pilot	pilot
nomad		mercenary	farmer_agriculturalist	rorgungan_commoner	scientist	nym_guard_weak	scientist	scientist	scientist	scientist
pilot		miner	farmer_rancher	scientist	scoundrel	nym_surveyer	scoundrel	scoundrel	scoundrel	scoundrel
rodian_clan_captain		mountain_villager	fringer	scoundrel	smuggler	pathfinder	smuggler	smuggler	smuggler	smuggler
rodian_clan_medic		naboo_police	gambler	smuggler	spacer	pilot	spacer	spacer	spacer	spacer
rodian_clan_warchief		noble	hunter	spacer	technician	scientist	technician	technician	technician	technician
rodian_gladiator		official	info_broker	spice_collective_courier	trailblazer	scoundrel	trailblazer	trailblazer	trailblazer	trailblazer
scavenger		otolla_gungan	medic	spice_collective_miner	traveller	smuggler	traveller	traveller	traveller	traveller
scientist		philosopher	mercenary	technician	vendor	spacer	vendor	vendor	vendor	vendor
settler		pilot	miner	trailblazer	vetran_explorer	technician	vetran_explorer	vetran_explorer	vetran_explorer	vetran_explorer
slicer		plainsfolk	noble	traveller	warder	trailblazer	warder	warder	warder	warder
smuggler		rsf_captain	pilot	vendor		traveller				
spacer		rsf_commando	scientist	vetran_explorer		vendor				
squatter		rsf_palace_guard	slicer	warder		vetran_explorer				
tatooine_militiaman		rsf_pilot	slicer			warder				
technician		rsf_security_guard	slicer							
moisture_farmer		rsf_security_officer	slicer
noble		scientist	
nomad		scout_trooper	
pathfinder		slicer	
pilot		smuggler	
rodian_clan_captain		spacer	
rodian_clan_medic		swamp_villager	
rodian_clan_warchief		technician	
rodian_gladiator		mountain_villager	
scavenger		naboo_holy_man	
scientist		naboo_monk	
scoundrel		naboo_nomad	
settler		naboo_police	
smuggler		noble	
spacer		official	
squatter		otolla_gungan	
tatooine_militiaman		pathfinder
technician		philosopher
trailblazer		pilot
traveller		plainsfolk
vendor		scientist
vetran_explorer		scoundrel
wandering_kitonak		smuggler
warder		spacer
		swamp_villager
		technician
		trailblazer
		traveller
		vendor
		vetran_explorer
		warder
