spawns	name	room	loc_x	loc_y	loc_z	script	yaw	mood	respawn_time	spawn_objvar
nightsister_bull_rancor	a Nightsister bull rancor	r8	-122.44	-69.97	-180.1	theme_park.dungeon.generic_death			909	
nightsister_enraged_rancor	a Nightsister enraged rancor	r8	-107.12	-69	-203.72	theme_park.dungeon.generic_death			909	
nightsister_rancor		r8	-61.07	-69.83	-189.26	theme_park.dungeon.generic_death	45		909	
nightsister_initiate		r8	-58.09	-70.96	-186.18	theme_park.dungeon.generic_death	-135	conversation	909	
nightsister_rancor		r9	-25.79	-70.17	-112.65	theme_park.dungeon.generic_death			909	
nightsister_enraged_rancor	a Nightsister enraged rancor	r9	-36.35	-70.73	-89.71	"theme_park.nightsister.rancor_attacker_rancor_cave,theme_park.dungeon.generic_death"	-81		909	string:roomname=r9
cave_gaping_spider		r9	-42.47	-69.9	-88.76	"theme_park.nightsister.slave_attacker_rancor_cave,theme_park.dungeon.generic_death"	102		909	string:roomname=r9
nightsister_bull_rancor	a Nightsister bull rancor	r9	-60.14	-69.69	-90.67	theme_park.dungeon.generic_death			909	
nightsister_rancor		r9	-72.01	-69.4	-97.35	theme_park.dungeon.generic_death			909	
nightsister_enraged_bull_rancor	a Nightsister enraged bull rancor	r8	-78.02	-99.23	-145.07	theme_park.dungeon.generic_death	-18		909	
nightsister_rancor_tamer		r10	-25.46	-79.24	-139.63	theme_park.dungeon.generic_death	59	conversation	909
nightsister_bull_rancor	a Nightsister bull rancor	r10	-22.42	-78.76	-137.33	theme_park.dungeon.generic_death	-140		909
nightsister_elder		r11	-89.99	-101.02	-105.03	theme_park.dungeon.generic_death	-146	conversation	909
nightsister_spell_weaver		r11	-91.27	-101.06	-106.68	theme_park.dungeon.generic_death	31	conversation	909
nightsister_spell_weaver		r11	-88	-101	-106	theme_park.dungeon.generic_death	-89	nervous	909
nightsister_enraged_bull_rancor	a Nightsister enraged bull rancor	r11	-81.04	-99.5	-96.16	theme_park.dungeon.generic_death	-137		909
object/tangible/door/heroic_axkva_min_door.iff		r11	-91.0384	-101	-102.707		180		0
object/tangible/quest/township/axkva_nightsister_skull.iff		r5	47.5	-54.5	-155.6		-37		0
object/tangible/quest/township/axkva_pedastal.iff		r5	47.5	-58.35	-155.6		-37		0
