emoteName	Type	Contact	Alien
scared	0	0	0
scream	0	0	0
seenoevil	0	0	0
shake	0	0	0
shiver	0	0	0
shower	0	0	0
shrug	0	0	0
shudder	0	0	0
shush	0	0	0
sigh	0	0	0
skip	0	0	0
small	0	0	0
smile	0	0	0
smirk	0	0	0
snap	0	0	0
snicker	0	0	0
sniff	0	0	0
sniffle	0	0	0
snore	0	0	0
snort	0	0	0
soapbox	0	0	0
softclap	0	0	0
spam	0	0	0
speaknoevil	0	0	0
squirm	0	0	0
stare	0	0	0
stink	0	0	0
strut	0	0	0
sulk	0	0	0
summon	0	0	0
surprised	0	0	0
surrenderself	1	0	1
sweep	0	0	0
tantrum	0	0	0
tease	0	0	0
thank	0	0	0
thirst	0	0	0
thxinfo	0	0	0
tiny	0	0	0
tiphat	0	0	0
tiptoe	0	0	0
tmi	0	0	0
tsktsk	0	0	0
twibble	0	0	0
twiddle	0	0	0
twitch	0	0	0
uncle	0	0	0
up	0	0	0
waft	0	0	0
wait	0	0	0
ward	0	0	0
wave	0	0	0
welcome	0	0	0
whimper	0	0	0
whisper	0	0	0
whistle	0	0	0
wildpanic	0	0	0
wince	0	0	0
wink	0	0	0
wrinkle	0	0	0
yes	0	0	0
zip	0	0	0
zone	0	0	0
going	2	0	0
