creatureName	rankName	rankValue	level
mission_imperial_retreat_guard	elite_officer	84	72
assassin_mission_recruiter_imperial	unknown	85	16
cx_425	unknown	85	100
herald_biogenic_harmon	unknown	85	100
imprisoned_imperial	unknown	85	12
mission_signalman	unknown	85	15
record_keeper_imperial	unknown	85	100
sabol	unknown	85	100
signalman	unknown	85	15
warden_vinzel_haylon	unknown	85	100
xarot_korlin	unknown	85	100
commander_byrne	named	86	23
darkstone	named	86	100
darth_vader	named	86	300
gins_darone	named	86	100
kaja_orzee	named	86	100
loam_redge	named	86	100
lord_hethrir	named	86	100
mara_jade	named	86	100
palpatine	named	86	100
prefect_talmont	named	86	100
sergeant_ruwan_tokai	named	86	100
shibb_nisshil	named	86	100
thrawn	named	86	26
veers	named	86	25
imperial_veermok	animal	87	27
mozo_bondog	animal	87	100
stormtrooper_dewback	animal	87	29
at_at	droid	88	228
at_st	droid	88	125
battle_droid	droid	88	32
imperial_probot_drone	droid	88	8
imperial_probot_handler	droid	88	10
imperial_probot_seeker	droid	88	9
super_battle_droid	droid	88	86
emperor_royal_guard	uber	89	100
emperors_hand	uber	89	252
lesser_prophet_of_the_dark_side	uber	89	85
master_prophet_of_the_dark_side	uber	89	168
prophet_of_the_dark_side	uber	89	126
senior_prophet_of_the_dark_side	uber	89	138
