commandName	baseCommandName	level
sm_bad_odds_4	sm_bad_odds_1	74
sm_bad_odds_5	sm_bad_odds_1	84
sm_narrow_escape_2	sm_narrow_escape_1	50
sm_narrow_escape_3	sm_narrow_escape_2	66
sm_narrow_escape_4	sm_narrow_escape_3	82
sm_pistol_whip_2	sm_pistol_whip_1	50
sm_pistol_whip_3	sm_pistol_whip_1	66
sm_pistol_whip_4	sm_pistol_whip_1	82
sm_shoot_first_2	sm_shoot_first_1	46
sm_shoot_first_3	sm_shoot_first_1	62
sm_shoot_first_4	sm_shoot_first_1	74
sm_shoot_first_5	sm_shoot_first_1	90
sm_spot_a_sucker_2	sm_spot_a_sucker_1	26
sm_spot_a_sucker_3	sm_spot_a_sucker_2	46
sm_spot_a_sucker_4	sm_spot_a_sucker_3	70
of_buff_def_5	of_buff_def_4	34
of_buff_def_6	of_buff_def_4	48
of_buff_def_7	of_buff_def_4	62
of_buff_def_8	of_buff_def_4	76
of_buff_def_9	of_buff_def_4	90
of_focus_fire_2	of_focus_fire_1	34
of_focus_fire_3	of_focus_fire_1	48
of_focus_fire_4	of_focus_fire_1	62
of_focus_fire_5	of_focus_fire_1	76
of_focus_fire_6	of_focus_fire_1	90
of_inspiration_2	of_inspiration_1	34
of_inspiration_3	of_inspiration_1	48
of_inspiration_4	of_inspiration_1	62
of_inspiration_5	of_inspiration_1	76
of_inspiration_6	of_inspiration_1	90
of_medical_sup_2	of_medical_sup_1	34
of_medical_sup_3	of_medical_sup_1	48
of_medical_sup_4	of_medical_sup_1	62
of_medical_sup_5	of_medical_sup_1	76
of_medical_sup_6	of_medical_sup_1	90
of_tactical_sup_2	of_tactical_sup_1	34
of_tactical_sup_3	of_tactical_sup_1	48
of_tactical_sup_4	of_tactical_sup_1	62
of_tactical_sup_5	of_tactical_sup_1	76
of_tactical_sup_6	of_tactical_sup_1	90
of_reinforcements_2	of_reinforcements_1	48
of_reinforcements_3	of_reinforcements_1	62
of_reinforcements_4	of_reinforcements_1	76
of_reinforcements_5	of_reinforcements_1	90
of_deb_def_5	of_deb_def_4	48
of_deb_def_6	of_deb_def_4	62
of_deb_def_7	of_deb_def_4	76
of_deb_def_8	of_deb_def_4	90
of_decapitate_2	of_decapitate_1	34
of_decapitate_3	of_decapitate_1	48
of_decapitate_4	of_decapitate_1	62
of_decapitate_5	of_decapitate_1	76
of_decapitate_6	of_decapitate_1	90
of_vortex_2	of_vortex_1	48
of_vortex_3	of_vortex_1	62
of_vortex_4	of_vortex_1	76
of_vortex_5	of_vortex_1	90
co_shock_tracer_2	co_shock_tracer_1	34
co_shock_tracer_3	co_shock_tracer_1	58
co_shock_tracer_4	co_shock_tracer_1	82
co_shock_grenade_2	co_shock_grenade_1	34
co_shock_grenade_3	co_shock_grenade_1	58
co_shock_grenade_4	co_shock_grenade_1	82
co_remote_detonator_2	co_remote_detonator_1	30
co_remote_detonator_3	co_remote_detonator_1	50
co_remote_detonator_4	co_remote_detonator_1	70
co_remote_detonator_5	co_remote_detonator_1	90
me_bacta_bomb_2	me_bacta_bomb_1	48
me_bacta_bomb_3	me_bacta_bomb_1	62
me_bacta_bomb_4	me_bacta_bomb_1	76
me_bacta_bomb_5	me_bacta_bomb_1	90
me_bacta_grenade_2	me_bacta_grenade_1	48
me_bacta_grenade_3	me_bacta_grenade_1	62
me_bacta_grenade_4	me_bacta_grenade_1	76
me_bacta_grenade_5	me_bacta_grenade_1	90
me_enhance_action_2	me_enhance_action_1	46
me_enhance_action_3	me_enhance_action_1	76
me_buff_health_2	me_enhance_action_1	14
me_buff_health_3	me_enhance_action_1	76
me_reckless_stimulation_2	me_reckless_stimulation_1	34
me_reckless_stimulation_3	me_reckless_stimulation_1	48
me_reckless_stimulation_4	me_reckless_stimulation_1	62
me_reckless_stimulation_5	me_reckless_stimulation_1	76
me_reckless_stimulation_6	me_reckless_stimulation_1	90
me_traumatize_2	me_traumatize_1	48
me_traumatize_3	me_traumatize_1	62
me_traumatize_4	me_traumatize_1	76
me_traumatize_5	me_traumatize_1	90
me_burst_2	me_burst_1	48
me_burst_3	me_burst_1	62
me_burst_4	me_burst_1	76
me_burst_5	me_burst_1	90
me_cranial_smash_2	me_cranial_smash_1	48
me_cranial_smash_3	me_cranial_smash_1	62
me_cranial_smash_4	me_cranial_smash_1	76
me_cranial_smash_5	me_cranial_smash_1	90
me_enhance_strength_2	me_enhance_strength_1	46
me_enhance_strength_3	me_enhance_strength_1	76
me_enhance_agility_2	me_enhance_agility_1	46
me_enhance_agility_3	me_enhance_agility_1	76
me_enhance_precision_2	me_enhance_precision_1	46
me_enhance_precision_3	me_enhance_precision_1	76
sp_dot_2	sp_dot_0	28
sp_dot_3	sp_dot_0	58
sp_dot_4	sp_dot_0	72
sp_dot_5	sp_dot_0	88
sp_improved_cc_dot_1	sp_improved_cc_dot_0	38
sp_improved_cc_dot_2	sp_improved_cc_dot_0	54
sp_improved_cc_dot_3	sp_improved_cc_dot_0	88
sp_stealth_melee_0	sp_ambush_snipe_0	10
sp_stealth_melee_1	sp_ambush_snipe_0	20
sp_stealth_melee_2	sp_ambush_snipe_0	32
sp_stealth_melee_3	sp_ambush_snipe_0	46
sp_stealth_melee_4	sp_ambush_snipe_0	58
sp_stealth_melee_5	sp_ambush_snipe_0	70
sp_stealth_melee_6	sp_ambush_snipe_0	84
sp_stealth_ranged_0	sp_ambush_snipe_0	10
sp_stealth_ranged_1	sp_ambush_snipe_0	22
sp_stealth_ranged_2	sp_ambush_snipe_0	34
sp_stealth_ranged_3	sp_ambush_snipe_0	48
sp_stealth_ranged_4	sp_ambush_snipe_0	60
sp_stealth_ranged_5	sp_ambush_snipe_0	72
sp_stealth_ranged_6	sp_ambush_snipe_0	86
sp_hd_melee_0	sp_hd_ability_0	1
sp_hd_melee_1	sp_hd_ability_0	18
sp_hd_melee_2	sp_hd_ability_0	32
sp_hd_melee_3	sp_hd_ability_0	46
sp_hd_melee_4	sp_hd_ability_0	58
sp_hd_melee_5	sp_hd_ability_0	70
sp_hd_melee_6	sp_hd_ability_0	84
sp_hd_range_0	sp_hd_ability_0	1
sp_hd_range_1	sp_hd_ability_0	18
sp_hd_range_2	sp_hd_ability_0	32
sp_hd_range_3	sp_hd_ability_0	46
sp_hd_range_4	sp_hd_ability_0	58
sp_hd_range_5	sp_hd_ability_0	70
sp_hd_range_6	sp_hd_ability_0	84
sp_cloaked_recovery_1	sp_cloaked_recovery_0	28
sp_cloaked_recovery_2	sp_cloaked_recovery_0	54
sp_cloaked_recovery_3	sp_cloaked_recovery_0	70
sp_cloaked_recovery_4	sp_cloaked_recovery_0	86
me_stasis_self_1	me_stasis_1	14
en_strike_1	en_strike_0	22
en_strike_2	en_strike_0	34
en_strike_3	en_strike_0	46
en_strike_4	en_strike_0	58
en_strike_5	en_strike_0	70
en_strike_6	en_strike_0	82
en_project_will_1	en_project_will_0	30
en_project_will_2	en_project_will_0	42
en_project_will_3	en_project_will_0	54
en_project_will_4	en_project_will_0	66
en_project_will_5	en_project_will_0	78
en_project_will_6	en_project_will_0	90
en_sweeping_pirouette_1	en_sweeping_pirouette_0	38
en_sweeping_pirouette_2	en_sweeping_pirouette_0	50
en_sweeping_pirouette_3	en_sweeping_pirouette_0	62
en_sweeping_pirouette_4	en_sweeping_pirouette_0	74
en_sweeping_pirouette_5	en_sweeping_pirouette_0	86
en_spiral_kick_1	en_spiral_kick_0	48
en_spiral_kick_2	en_spiral_kick_0	62
en_spiral_kick_3	en_spiral_kick_0	76
en_spiral_kick_4	en_spiral_kick_0	90
en_holographic_recall	en_holographic_image	26
bm_mend_pet_2	bm_mend_pet_1	54
bm_mend_pet_3	bm_mend_pet_1	82
bm_pet_trick_2	bm_pet_trick_1	10
bm_revive_pet_1	bm_collect_dna	10
bm_follow_1	bm_collect_dna	10
bm_stay_1	bm_collect_dna	10
trainPet	bm_collect_dna	10
co_hw_dm_2	co_hw_dm_1	26
co_hw_dm_3	co_hw_dm_2	42
co_hw_dm_4	co_hw_dm_3	58
co_hw_dm_5	co_hw_dm_4	74
co_hw_dm_6	co_hw_dm_5	90
co_hw_dm_crit_2	co_hw_dm_crit_1	26
co_hw_dm_crit_3	co_hw_dm_crit_2	42
co_hw_dm_crit_4	co_hw_dm_crit_3	58
co_hw_dm_crit_5	co_hw_dm_crit_4	74
co_hw_dm_crit_6	co_hw_dm_crit_5	90
