object	stage	triggerId	location_type	locx	locy	locz	yaw	patrolType	script	objVar	path
s	i[-1]	s[none]	"e(offset=0,literal=1)[offset]"	f[0]	f[0]	f[0]	f[0]	"e(none=0,patrol=1,patrol_once=2,patrol_flip=3,patrol_flip_once=4,patrol_random=5,patrol_random_once=6)[none]"	s[none]	s[none]	s
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5144	80	5744	-179			string:wp_name=rebel_soldier_01_06	rebel_soldier_01_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5156	80	5747	135			string:wp_name=rebel_soldier_02_06	rebel_soldier_02_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5158	80	5749	135			string:wp_name=rebel_soldier_03_06	rebel_soldier_03_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5132	80	5747	-135			string:wp_name=rebel_soldier_04_06	rebel_soldier_04_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5130	80	5749	-135			string:wp_name=rebel_soldier_05_06	rebel_soldier_05_06
restuss_rebel_trooper_st3	3		literal	5144	80	5760	-179	patrol_once		int:path=0	
restuss_rebel_trooper_st3	3		literal	5146	80	5760	-179	patrol_once		int:path=1	
restuss_rebel_trooper_st3	3		literal	5148	80	5760	-179	patrol_once		int:path=2	
restuss_rebel_trooper_st3	3		literal	5142	80	5760	-179	patrol_once		int:path=3	
restuss_rebel_trooper_st3	3		literal	5140	80	5760	-179	patrol_once		int:path=4	
restuss_rebel_trooper_st3	40		literal	5144	80	5760	-179	patrol_once		int:path=6	
restuss_rebel_trooper_st3	40		literal	5146	80	5760	-179	patrol_once		int:path=7	
restuss_rebel_trooper_st3	40		literal	5148	80	5760	-179	patrol_once		int:path=8	
restuss_rebel_trooper_st3	40		literal	5142	80	5760	-179	patrol_once		int:path=9	
restuss_rebel_trooper_st3	40		literal	5140	80	5760	-179	patrol_once		int:path=10	
restuss_rebel_trooper_st3	65		literal	5144	80	5760	-179	patrol_once		int:path=11	
restuss_rebel_trooper_st3	65		literal	5146	80	5760	-179	patrol_once		int:path=12	
restuss_rebel_trooper_st3	65		literal	5148	80	5760	-179	patrol_once		int:path=13	
restuss_rebel_trooper_st3	65		literal	5142	80	5760	-179	patrol_once		int:path=14	
restuss_rebel_trooper_st3	65		literal	5140	80	5760	-179	patrol_once		int:path=15	
restuss_rebel_trooper_st3	110		literal	5144	80	5760	-179	patrol_once		int:path=16
restuss_rebel_trooper_st3	110		literal	5146	80	5760	-179	patrol_once		int:path=17
restuss_rebel_trooper_st3	110		literal	5148	80	5760	-179	patrol_once		int:path=18
restuss_rebel_trooper_st3	110		literal	5142	80	5760	-179	patrol_once		int:path=19
restuss_rebel_trooper_st3	110		literal	5140	80	5760	-179	patrol_once		int:path=20
restuss_elite_rebel_commando	150		literal	5144	80	5760	-179	patrol_once		int:path=21
restuss_elite_rebel_commando	150		literal	5146	80	5760	-179	patrol_once		int:path=22
restuss_elite_rebel_commando	150		literal	5148	80	5760	-179	patrol_once		int:path=23
restuss_elite_rebel_commando	150		literal	5142	80	5760	-179	patrol_once		int:path=24
restuss_elite_rebel_commando	150		literal	5140	80	5760	-179	patrol_once		int:path=25
restuss_elite_rebel_commando	180		literal	5144	80	5760	-179	patrol_once		int:path=26
restuss_elite_rebel_commando	180		literal	5146	80	5760	-179	patrol_once		int:path=27
restuss_elite_rebel_commando	180		literal	5148	80	5760	-179	patrol_once		int:path=28
restuss_elite_rebel_commando	180		literal	5142	80	5760	-179	patrol_once		int:path=29
restuss_elite_rebel_commando	180		literal	5140	80	5760	-179	patrol_once		int:path=30
restuss_rebel_captain_vrinko	180		literal	5144	80	5762	-179	patrol_once		int:path=5
endOfLine	300
