name	type	strength	affects_onfoot	affects_vehicle	affects_mount	comments
axkva_crystalize	root			1	1
caretaker_drain	snare	50		1	1
kun_wrath_wave	snare	60		1	1
test_stun	stun					
sm_pistol_whip	stun					
sm_nerf_herder_root	root					
co_double_time	boost	25				
bm_kick	stun					
event_halloween_costume_jawa	boost	10				
event_halloween_costume_toydarian	boost	10				
event_halloween_costume_hutt_female	snare	50				
event_halloween_costume_droid	boost	10				
event_halloween_costume_kowakian	boost	10				
wampa_boss_ice_throw	stun					
sp_covert_mastery_detect_recourse	stun					
costume_4lom	snare	60				
costume_droid_8t88	snare	60				
death_troopers_afflicted_konk	stun					
gcw_stim_burst_run_01	boost	75				CityGcw burst run stim
