Scene	Top Left Chunk X	Top Left Chunk Z	Bottom Right Chunk X	Bottom Right Chunk Z	City Server Id	Wilderness Server Id
naboo	-4700	-1100	-3600	0	2	2
naboo	4200	-2100	5400	-900	3	5
naboo	-4300	-5900	-3200	-4800	3	5
naboo	4200	-5400	5400	-4200	2	5
naboo	4500	6100	5700	7300	4	4
naboo	1000	2000	2200	3200	4	4
naboo	1200	2000	2400	3200	4	4
rori	4400	4600	6400	6600	1	1
rori	-5900	-2900	-4700	-1700	1	1
rori	-3900	-7500	-2800	-6400	1	1
rori	3000	-7100	4200	-5900	1	1
rori	2300	-1800	3400	-700	1	1
rori	-600	-600	600	600	1	1
rori	-1100	1900	100	3100	1	1
rori	-2900	5900	-1800	7000	1	1
talus	-200	-3600	1000	-2400	1	1
talus	-2800	1700	-1600	2900	1	1
talus	-5900	2200	-4800	3300	1	1
talus	-4000	2600	-2900	3800	1	1
talus	-1000	4100	200	5200	1	1
talus	-700	-1400	500	-200	1	1
talus	3700	4600	4900	5800	1	1
tatooine	3200	1700	4400	2900	3	3
tatooine	-5900	-7200	-4700	-6000	1	1
tatooine	-6500	-6800	-5300	-5600	1	1
tatooine	800	2600	2000	3800	3	3
tatooine	1900	3800	3100	5000	3	3
tatooine	4400	4100	5500	5200	3	3
tatooine	-1900	-4300	-700	-3100	4	4
tatooine	2900	-5400	4100	-4200	5	5
tatooine	-3600	1700	-2400	2900	2	2
tatooine	-200	-1000	1000	200	3	3
tatooine	5400	-3600	6600	-2400	3	3
tatooine	-3600	-1600	-2400	-400	1	1
tatooine	-4300	-2600	-3100	-1400	1	1
yavin4	-200	-1300	1000	-100	1	1
yavin4	-1600	-2700	-400	-1500	1	1
yavin4	4500	5000	5700	6200	1	1
yavin4	-7600	-6400	-6400	-5200	1	1
yavin4	-900	4200	300	5400	1	1
yavin4	-3800	-3800	-2600	-2600	1	1
yavin4	3400	-6900	4600	-5700	1	1
yavin4	3200	-3000	4400	-1900	1	1
yavin4	-4800	3200	-3700	4300	1	1
dungeon1	600	500	1400	1300	1	1
dungeon1	1900	500	2700	1300	1	1
dungeon1	600	1700	1400	2500	1	1
dungeon1	1900	1700	2700	2500	1	1
dungeon1	600	2900	1400	3700	1	1
dungeon1	1900	2900	2700	3700	1	1
space_corellia	-100	-100	200	200	1	1
space_naboo	-100	-100	200	200	1	1
space_tatooine	-100	-100	200	200	1	1
space_lok	-100	-100	200	200	1	1
space_dantooine	-100	-100	200	200	1	1
space_dathomir	-100	-100	200	200	1	1
space_yavin4	-100	-100	200	200	1	1
space_endor	-100	-100	200	200	1	1
space_heavy1	-100	-100	200	200	1	1
space_light1	-100	-100	200	200	1	1
kashyyyk_main	-100	-100	200	200	1	1
kashyyyk_pob_dungeons	-12000	-12000	4100	4100	1	1
kashyyyk_south_dungeons	-12000	-12000	4100	4100	1	1
kashyyyk_north_dungeons	-12000	-12000	4100	4100	1	1
kashyyyk_rryatt_trail	-100	-100	200	200	1	1
kashyyyk_hunting	-100	-100	200	200	1	1
kashyyyk_dead_forest	-100	-100	200	200	1	1
space_kashyyyk	-100	-100	200	200	1	1
adventure1	-100	-100	200	200	1	1
adventure2	-100	-100	200	200	1	1
space_nova_orion	-100	-100	200	200	1	1
