skill_mod	profession	category	display	rank	divisor	percent	comment
creature_harvesting	ALL	misc	1	2820			Creature Harvesting
expertise_damage_line_dm_cc	bounty_hunter_1a	bounty_hunter	1	2810			Cripple Damage
fast_attack_line_dm_cc	bounty_hunter_1a	bounty_hunter	1	2805			Cripple Fast Attack
expertise_sp_cripple_trap_proc_increase	spy_1a	spy	1	2800			Cripple Trap Proc Chance
expertise_on_target_critical	commando_1a	commando	1	2790			Critical Chance
expertise_spot_a_sucker_critical_decrease	smuggler_1a	smuggler	1	2780			Critical Chance Decrease
expertise_critical_niche_all	ALL	combat	1	2770	1	1	Critical Chance Increase
expertise_on_target_protection	commando_1a	commando	1	2760			Critical Hit Protection
critical_hit_vulnerable	ALL	combat	1	2750			Critical Hit Vulnerability
expertise_damage_add_to_action	force_sensitive_1a	combat	1	2740	1	1	Damage Adds To Action
expertise_damage_attacker_action	force_sensitive_1a	combat	1	2730			Damage Attacker Action
damage_decrease_percentage	ALL	combat	1	2720	1	1	Damage Decrease
expertise_damage_decrease_chance	ALL	combat	1	2710			Damage Decrease Chance
level_add_to_damage	ALL	combat	1	2705	1	1	Damage Increase By Level
expertise_dot_increase	ALL	combat	1	2701			Damage Over Time Increase
expertise_buff_best_deal_ever	smuggler_1a	smuggler	1	2700			Damage Reduction
healing_dance_ability	entertainer_1a	entertainer	1	2690			Dance Knowledge
healing_dance_wound	entertainer_1a	entertainer	1	2680			Dancing Enhancement
expertise_cooldown_line_of_purge	officer_1a	officer	1	2675			Debuff/DoT Purge Cooldown
expertise_buff_duration_line_sp_decoy	spy_1a	spy	1	2670			Decoy Duration
defense_reverse	ALL	trader	1	2660			Defense Reverse Engineering
detect_hidden	ALL	stealth	1	2650			Detect Camoflage
expertise_devastation_bonus	commando_1a	commando	1	2645	10	1	Innate Devastation Value
expertise_burst_fire_devastation_bonus	commando_1a	commando	1	2640			Devastation Bonus
bh_dire_root	ALL	combat	1	2636			Dire Root Chance
bh_dire_snare	ALL	combat	1	2635			Dire Snare Chance
absorption_disease	ALL	combat	1	2630			Disease Absorption
resistance_disease	ALL	combat	1	2620			Disease Resistance
expertise_bm_dna_harvesting_1	ALL	beastmaster	1	2615			DNA Harvesting
combat_dodge	ALL	combat	1	2612			Dodge Chance
expertise_dot_duration_line_me_dot	medic_1a	medic	1	2610			DoT Duration
expertise_damage_line_me_dot	medic_1a	medic	1	2600			DoT Potency
expertise_dot_absorption_all	ALL	combat	1	2590	1	1	DOT Resistance
me_doom_chance	medic_1a	medic	1	2585			DOOM Chance
expertise_double_deal_chance	smuggler_1a	smuggler	1	2580			Double Deal Chance
expertise_double_hit_chance	smuggler_1a	smuggler	1	2570			Double Hit Chance
cybernetic_assembly	ALL	trader	1	2569			Cybernetic Assembly
cybernetic_customization	ALL	trader	1	2568			Cybernetic Customization
cybernetic_experimentation	ALL	trader	1	2567			Cybernetic Experimentation
expertise_experimentation_increase_cybernetic	ALL	trader	1	2566			Cybernetic Experimentation Roll Increase (Expertise)
droid_assembly	ALL	trader	1	2560			Droid Assembly
expertise_assembly_increase_droid	ALL	trader	1	2550			Droid Assembly Increase
expertise_complexity_decrease_droid	ALL	trader	1	2540			Droid Complexity Decrease
expertise_critical_niche_droid	ALL	combat	1	2530			Droid Critical Chance
droid_customization	ALL	trader	1	2520			Droid Customization
expertise_experimentation_point_droid	ALL	trader	1	2510			Droid Experiment Point
droid_experimentation	ALL	trader	1	2500			Droid Experimentation
expertise_experimentation_increase_droid	ALL	trader	1	2480			Droid Experimentation
droid_find_chance	bounty_hunter_1a	bounty_hunter	1	2470			Droid Precision
droid_find_speed	bounty_hunter_1a	bounty_hunter	1	2460			Droid Speed
droid_track_speed	bounty_hunter_1a	bounty_hunter	1	2450			Droid Tracking Speed
expertise_dueterium_rounds_proc	medic_1a	medic	1	2440			Dueterium Rounds
expertise_armorset_protection_1_energy	ALL	combat	1	2430			Energy Armor
expertise_armorset_protection_2_energy	ALL	combat	1	2420			Energy Armor
expertise_dot_duration_line_co_shock_tracer	commando_1a	commando	1	2410			Energy DOT Duration
expertise_innate_protection_energy	ALL	combat	1	2400			Energy Protection
engine_assembly	ALL	trader	1	2390			Engine Assembly
engine_experimentation	ALL	trader	1	2380			Engine Experimentation
expertise_buff_duration_line_me_enhance	medic_1a	medic	1	2370			Enhancement Duration
expertise_bm_enzyme_enhancement	ALL	beastmaster	1	2365			Enzyme Enhancement
expertise_force_cloak_combat_escape	force_sensitive_1a	force_sensitive	1	2360			Escape Combat
combat_evasion_chance	ALL	combat	1	2355			Evasion Chance
expertise_cooldown_line_me_evasion	medic_1a	medic	1	2354			Evasion Cooldown
combat_evasion_value	ALL	combat	1	2352			Evasion Value
expertise_factory_maintenance_decrease	ALL	trader	1	2350			Factory Cost Decrease
expertise_factory_energy_decrease	ALL	trader	1	2340			Factory Energy Decrease
expertise_factory_production_increase	ALL	trader	1	2330			Factory Production Increase
factory_speed	ALL	trader	1	2320			Factory Speed
expertise_cooldown_line_sm_false_hope	smuggler_1a	smuggler	1	2315			False Hope Cooldown
expertise_buff_duration_line_sm_false_hope	smuggler_1a	smuggler	1	2310			False Hope Duration
expertise_cooldown_line_sm_dm	smuggler_1a	smuggler	1	2305			Fast Draw Cooldown
expertise_critical_line_sm_dm	smuggler_1a	smuggler	1	2300			Fast Draw Critical Chance
expertise_damage_line_sm_dm	smuggler_1a	smuggler	1	2290			Fast Draw Damage
expertise_freeshot_sm_dm	smuggler_1a	smuggler	1	2280			Fast Draw Freeshot Chance
fast_attack_line_sm_dm	smuggler_1a	smuggler	1	2275			Fast Draw Quick Attack
expertise_fast_talk_bonus	smuggler_1a	smuggler	1	2270			Fast Talk Bonus
expertise_fast_talk_rank	smuggler_1a	smuggler	1	2260			Fast Talk Bonus Each Rank
expertise_sm_feeling_lucky_chance_proc	smuggler_1a	smuggler	1	2250			Feeling Lucky Proc
absorption_fire	ALL	combat	1	2240			Fire Absorption
expertise_dot_duration_line_co_it_burns	commando_1a	commando	1	2230			Fire DOT Duration
resistance_fire	ALL	combat	1	2220			Fire Resistance
expertise_cooldown_line_bh_flawless_strike	medic_1a	medic	1	2217			Flawless Strike
expertise_action_line_me_smash	medic_1a	medic	1	2215			Flurry Action Cost
expertise_focus_critical_buff_line	force_sensitive_1a	force_sensitive	1	2210	1	1	Focus Critical
expertise_focus_stamina	force_sensitive_1a	force_sensitive	1	2205			Focus Stamina
expertise_focus_strength	force_sensitive_1a	force_sensitive	1	2200			Focus Strength
expertise_action_line_co_dm	commando_1a	commando	1	2190	1	1	Focused Fire Action
expertise_critical_line_co_dm	commando_1a	commando	1	2180	1	1	Focused Fire Critical Chance
expertise_damage_line_co_dm	commando_1a	commando	1	2170			Focused Fire Damage
expertise_freeshot_co_dm	commando_1a	commando	1	2160	1	1	Focused Fire Freeshot Chance
food_assembly	ALL	trader	1	2150			Food Assembly
food_experimentation	ALL	trader	1	2140			Food Experimentation
expertise_damage_line_fs_ae_dm_cc	force_sensitive_1a	force_sensitive	1	2137	1	1	Force Electrical Damage
expertise_action_line_fs_cc_crit	force_sensitive_1a	force_sensitive	1	2135			Force Lightning Action Cost
expertise_cooldown_line_fs_cc_crit	force_sensitive_1a	force_sensitive	1	2133			Force Lightning Cooldown
expertise_buff_chance_line_fs_ae_dm_cc	force_sensitive_1a	force_sensitive	1	2130	1	1	Force Lightning Snare
expertise_buff_duration_line_fs_force_run	force_sensitive_1a	force_sensitive	1	2120			Force Run Duration
expertise_movement_buff_fs_force_run	force_sensitive_1a	force_sensitive	1	2110			Force Run Movement
expertise_action_line_fs_ae_dm_cc	force_sensitive_1a	force_sensitive	1	2105			Force Shockwave Action Cost
expertise_cooldown_line_fs_ae_dm_cc	force_sensitive_1a	force_sensitive	1	2103			Force Shockwave Cooldown
expertise_damage_line_fs_force_throw	force_sensitive_1a	force_sensitive	1	2100	1	1	Force Throw Damage
expertise_buff_chance_fs_force_throw_root	force_sensitive_1a	force_sensitive	1	2095	1	1	Force Throw Root
expertise_buff_chance_line_fs_force_throw	force_sensitive_1a	force_sensitive	1	2090	1	1	Force Throw Snare
fast_attack_line_fs_powers	force_sensitive_1a	force_sensitive	1	2087			Fury Chance
expertise_bm_genetic_engineering	ALL	beastmaster	1	2085			Genetic Engineering
expertise_spot_a_sucker_glance_chance	smuggler_1a	smuggler	1	2080			Glancing Blow Chance
expertise_glancing_blow_melee	ALL	combat	1	2070	1	1	Glancing Blow Chance (Melee)
expertise_glancing_blow_ranged	ALL	combat	1	2060	1	1	Glancing Blow Chance (Ranged)
expertise_co_muscle_spasm	commando_1a	commando	1	2050			Glancing Blow Increase
expertise_glancing_blow_all	ALL	combat	1	2040			Glancing Blow Increase
expertise_glancing_blow_all	force_sensitive_1a	combat	1	2030			Glancing Blow Increase
expertise_skill_buff_glancing_blow_vulnerable	commando_1a	commando	1	2020			Glancing Blow Increase
glancing_blow_vulnerable	ALL	combat	1	2010			Glancing Blow Increase
expertise_glancing_blow_melee_defense	ALL	combat	1	2005	1	1	Glancing Blow Melee Defense
expertise_action_line_co_grenade	commando_1a	commando	1	2000			Grenade Action Decrease
expertise_damage_line_co_grenade	commando_1a	commando	1	1990			Grenade Damage Increase
kill_meter_damage_line_co_grenade	commando_1a	commando	1	1980			Grenade Damage Increase
expertise_dot_duration_line_co_grenade	commando_1a	commando	1	1970			Grenade DOT Duration
expertise_freeshot_co_grenade	commando_1a	commando	1	1967			Grenade Freeshot Chance
fast_attack_line_co_grenade	commando_1a	commando	1	1965			Grenade Fast Attack Chance
expertise_area_size_line_co_grenade	commando_1a	commando	1	1960			Grenade Radius Increase
expertise_action_line_of_group_buff	officer_1a	officer	1	1950			Group Buff Action Cost
cooldown_percent_of_group_buff	officer_1a	officer	1	1945			Group Buff Cooldown Percent
expertise_buff_duration_line_of_group_buff	officer_1a	officer	1	1940			Group Buff Duration
expertise_sm_ranged_shot_proc	smuggler_1a	smuggler	1	1930			Hammer Fanning Chance
expertise_harvester_collection_increase	ALL	trader	1	1920			Harvester Collection Increase
expertise_harvester_maintenance_decrease	ALL	trader	1	1910			Harvester Cost Decrease
expertise_harvester_energy_decrease	ALL	trader	1	1900			Harvester Energy Decrease
expertise_havester_storage_increase	ALL	trader	1	1890			Havester Hopper Increase
expertise_cooldown_line_of_heal	officer_1a	officer	1	1880			Heal Cooldown
expertise_buff_chance_line_fs_heal	force_sensitive_1a	force_sensitive	1	1860	1	1	Heal DOT Chance
expertise_action_line_me_heal	medic_1a	medic	1	1850			Heal Efficiency
expertise_healing_line_me_hot	medic_1a	medic	1	1840			Heal Over Time Potency
expertise_healing_line_me_heal	medic_1a	medic	1	1830			Heal Potency
expertise_healing_line_of_heal	officer_1a	officer	1	1820			Heal Potency
expertise_agro_healing	medic_1a	medic	1	1810			Healing Hate Reduction
expertise_healing_all	medic_1a	medic	1	1800			Healing Potency
expertise_action_weapon_3	ALL	combat	1	1790			Heavy Weapon Action Cost
expertise_critical_heavy	ALL	combat	1	1780	1	1	Heavy Weapon Critical Chance
expertise_damage_weapon_3	ALL	combat	1	1770	1	1	Heavy Weapon Damage
hiring	ALL	trader	1	1760			Hiring
expertise_increase_hit_by_luck	smuggler_1a	smuggler	1	1755	1	1	Hit Roll Percentage Increase
expertise_critical_niche_npc	bounty_hunter_1a	bounty_hunter	1	1750			Humanoid Critical Chance
expertise_critical_niche_npc	medic_1a	medic	1	1740			Humanoid Critical Chance
expertise_buff_duration_line_fs_heal	force_sensitive_1a	force_sensitive	1	1730			Immunity Duration
expertise_buff_duration_line_sm_impossible_odds	smuggler_1a	smuggler	1	1726			Impossible Odds Duration Increase
expertise_en_improv	entertainer_1a	entertainer	1	1720			Improv Performances 20% Effectiveness
expertise_damage_to_healing_fs_ae_dm_cc	force_sensitive_1a	force_sensitive	1	1719	1	1	Improved Force Drain
expertise_avoidance_overpower	spy_1a	spy	1	1718			Indefensible Attack
expertise_bm_incubation_time	ALL	beastmaster	1	1717			Incubation Processing Time
expertise_bm_incubation_quality	ALL	beastmaster	1	1713			Incubation Quality
expertise_innate_protection_all	ALL	combat	1	1710			Innate Armor
expertise_underworld_boss	smuggler_1a	smuggler	1	1700			Innate Armor Bonus
expertise_youll_regret_that	commando_1a	commando	1	1690			Innate Armor Increase
tka_armor	force_sensitive_1a	combat	1	1680			Innate Teras Kasi Armor
expertise_en_inspire_attrib_increase	entertainer_1a	entertainer	1	1670			Inspire Attribute Bonus
expertise_en_inspire_base_point_increase	entertainer_1a	entertainer	1	1660			Inspire Base Point Increase
expertise_en_inspire_buff_duration_increase	entertainer_1a	entertainer	1	1650			Inspire Buff Duration Increase
expertise_en_combat_buff_increase	entertainer_1a	entertainer	1	1640			Inspire Effect
expertise_en_inspire_proc_chance_increase	entertainer_1a	entertainer	1	1630			Inspire Effect
expertise_en_inspire_pulse_duration_increase	entertainer_1a	entertainer	1	1620			Inspire Pulse Duration Increase
expertise_en_inspire_resist_increase	entertainer_1a	entertainer	1	1610			Inspire ResistanceIncrease
expertise_en_inspire_trader_increase	entertainer_1a	entertainer	1	1600			Inspire Trade Increase
of_inspired_action_chance	officer_1a	officer	1	1595			Inspired Action Chance
instrument_assembly	entertainer_1a	entertainer	1	1590			Instrument Assembly
kill_meter_co_it_burns_proc	commando_1a	commando	1	1580			It Burns Chance
expertise_action_line_fs_dm	force_sensitive_1a	force_sensitive	1	1570			Jedi Strike Action Cost
expertise_cooldown_line_fs_dm	force_sensitive_1a	force_sensitive	1	1565			Jedi Strike Cooldown
expertise_critical_line_fs_dm	force_sensitive_1a	force_sensitive	1	1560			Jedi Strike Critical Chance
expertise_freeshot_fs_dm	force_sensitive_1a	force_sensitive	1	1550			Jedi Strike Freeshot Chance
expertise_action_line_fs_sweep	force_sensitive_1a	force_sensitive	1	1545			Jedi Sweep Action Cost
expertise_cooldown_line_fs_sweep	force_sensitive_1a	force_sensitive	1	1543			Jedi Sweep Cooldown
expertise_armorset_protection_1_kinetic	ALL	combat	1	1540			Kinetic Armor
expertise_armorset_protection_2_kinetic	ALL	combat	1	1530			Kinetic Armor
expertise_innate_protection_kinetic	ALL	combat	1	1520			Kinetic Protection
expertise_buff_duration_line_fs_ae_dm_cc	force_sensitive_1a	force_sensitive	1	1510			Lightning Duration
jedi_saber_assembly	force_sensitive_1a	force_sensitive	1	1500			Lightsaber Assembly
jedi_saber_experimentation	force_sensitive_1a	force_sensitive	1	1490			Lightsaber Experimentation
luck_modified	ALL	attributes	1	1480			Luck
expertise_buff_duration_line_me_debuff	medic_1a	medic	1	1479			Medic Buff Duration
expertise_cooldown_line_me_dot	medic_1a	medic	1	1478			Medic DoT Cooldown
fast_attack_line_me_debuff	medic_1a	medic	1	1477			Medic Debuff Fast-Attack
expertise_freeshot_me_debuff	medic_1a	medic	1	1476			Medic Debuff Freeshot
expertise_freeshot_me_heal	medic_1a	medic	1	1475			Medic Heal Freeshot
expertise_critical_melee	ALL	combat	1	1473	1	1	Melee Critical Increase
expertise_damage_melee	ALL	combat	1	1470			Melee Damage Increase
expertise_damage_weapon_29	ALL	combat	1	1465	1	1	Melee Damage Increase
expertise_sm_card_melee_proc	smuggler_1a	smuggler	1	1460			Melee Double Attack
expertise_sm_melee_stun_proc	smuggler_1a	smuggler	1	1450			Melee Stun Chance
expertise_action_weapon_melee	ALL	combat	1	1445			Melee Weapon Action Cost
expertise_buff_duration_line_fs_mind_trick	force_sensitive_1a	force_sensitive	1	1440			Mind Trick Duration
missile_launching	ALL	piloting	1	1430			Missile Launching Skill
healing_music_ability	entertainer_1a	entertainer	1	1420			Music Knowledge
healing_music_wound	entertainer_1a	entertainer	1	1410			Musical Enhancement
expertise_sm_melee_proc	smuggler_1a	smuggler	1	1400			One Two Pummel Chance
expertise_damage_weapon_9	ALL	combat	1	1390	1	1	One-Hand Lightsaber Damage
expertise_action_weapon_4	ALL	combat	1	1380			One-Hand Melee Action Cost
expertise_action_weapon_9	ALL	combat	1	1370			One-Handed Lightsaber Action Cost
expertise_overridable_protection_generic	ALL	combat	1	1360			Overridable Protection
expertise_action_line_of_paint	officer_1a	officer	1	1350			Paint Target Action Cost
expertise_cooldown_line_of_paint	officer_1a	officer	1	1345			Paint Target Cooldown
expertise_damage_line_of_paint	officer_1a	officer	1	1340			Paint Target Damage
combat_parry	ALL	combat	1	1335			Parry Rating
fast_attack_line_sp_perfect	spy_1a	spy	1	1337			Perfect Opportunity Chance
pilot_special_tactics	ALL	piloting	1	1330			Pilot Special Tactics
expertise_action_weapon_2	ALL	combat	1	1320			Pistol Action Cost
expertise_critical_pistol	ALL	combat	1	1310	1	1	Pistol Critical Chance
expertise_damage_weapon_2	ALL	combat	1	1300	1	1	Pistol Damage
expertise_damage_pistol	ALL	combat	1	1290			Pistol Damage Increase
expertise_range_bonus_pistol	ALL	combat	1	1280			Pistol Range Bonus
