0x00070bcf	spacequest/destroy/npe_hard_main_1
0x14e07fb2	spacequest/inspect/corellia_imperial_tier4_2_a
0x14edb810	spacequest/assassinate/imperial_ss_3
0x14fd2d64	spacequest/destroy_surpriseattack/corellia_mining_quest_2
0x1519b97c	spacequest/delivery_no_pickup/naboo_imperial_tier3_3_d
0x152780ab	quest/mtp_hideout_instance_escort_trapped_meatlump_fail
0x152a61b2	spacequest/inspect/poi_tatooine_privateer_2_b
0x154ae630	spacequest/destroy_duty/naboo_imperial_tier2_destroyduty
0x15807330	quest/recovery_quest_rebel_07
0x15ab8939	spacequest/destroy/tatooine_imperial_tier3_3_b
0x15b49993	quest/ep3_forest_ardon_quest_3
0x15b86266	spacequest/delivery_no_pickup/ep3_trando_fezrik_01
0x15bdd15c	quest/restuss_imperial_space_mining_2
0x16148589	spacequest/rescue/orion_rank3_01
0x16451c4e	quest/test_conditional_quest_grant
0x1658ad16	quest/itp_kaja_02
0x165c3f51	spacequest/destroy/corellia_imperial_tier3_4b
0x16620119	quest/kill_2_womprats
0x16898a3b	spacequest/inspect/corellia_imperial_tier4_1_a
0x168ab540	spacequest/destroy_duty/lok_imperial_ss_1a
0x16f747a7	quest/som_kenobi_serpent_shard_1
0x170bf3f5	quest/ep3_forest_cryl_quest_1
0x170ec1a5	quest/ep3_cheyerooto_5_rrwii_root
0x171bb657	quest/u13_ponda_03
0x17249aea	quest/ep3_myyydril_talaoree_destroy_1
0x17771128	spacequest/recovery_duty/corellia_privateer_tier4_1
0x17d0cbd3	spacequest/escort_duty/corellia_imperial_7
0x182d4ae1	quest/som_xandank_trophey
0x184813ed	quest/ep3_hunt_chrilooc_seek_rodians
0x186d4284	spacequest/survival/corellia_imperial_tier3_4_b
0x18925849	quest/corellia_39_chirq_council_02_failed
0x18a8ff6b	quest/mtp_hideout_get_lunch
0x18c355e9	quest/recovery_quest_rebel_04
0x18da1de6	quest/u16_nym_themepark_pirate_boss_1
0x18fb44bf	spacequest/delivery_no_pickup/ep3_trando_fezrik_02
0x18fef785	quest/restuss_imperial_space_mining_1
0x19232efa	spacequest/destroy_surpriseattack/naboo_privateer_tier3_2c
0x19555320	quest/corellia_39_sidequest_02
0x196f883b	quest/c_dathomir_nightsister_combat1
0x197fff46	quest/corellia_tyrena_slavemaster
0x198cc14d	quest/som_hk_history_nine
0x199a283b	quest/legacy_button_jawatracks_pt3_v2
0x19a249dc	quest/tatooine_eisley_heirloom
0x19ca3865	quest/no_rank5_02_orion
0x19ccf50c	spacequest/destroy_duty/endor_blacksun_tier5
0x19e8ed50	spacequest/patrol/corellia_privateer_3
0x19f25aa8	quest/chapter7_beginning_inventory_collection_04
0x19fb8665	spacequest/assassinate/naboo_rebel_tier3_3_d
0x19fbc7b7	spacequest/delivery_no_pickup/test_delivery_no_pickup
0x1a0aa890	quest/naboo_boss_nass_password_recon
0x1a384f6c	spacequest/inspect/ep3_wke_bowcaster_crafting
0x1a42c4d5	quest/npe_brawler_2hand
0x1a48d52c	quest/ep3_forest_cryl_quest_2
0x1a54590f	quest/typho_pilot_two
0x1a771795	quest/camp_alpha_delivery_01
0x1a785967	spacequest/delivery_no_pickup/ep3_hunting_kerssoc_smuggle_goods
0x1a884b2d	quest/naboo_deeja_peak_sequencer_missing
0x1acb6da3	quest/test_task_signals
0x1ae2c702	spacequest/space_mining_destroy/lok_mining_quest_6
0x1af11a29	quest/legacy_head_runaway
0x1b1b8bcf	quest/itp_kaja_01
0x1b1c9b76	quest/smuggle_generic_4
0x1b1eca5d	quest/mtp_hideout_retrieve_delivery
0x1b37a095	quest/npe_new_main_quest
0x1b43206b	quest/feeder_tusken_01
0x1b51cff1	spacequest/destroy_duty/ep3_kash_station_destroy_duty_veteran
0x1b5a24ed	quest/ac_ongoing_launchpad_loruna_repeater
0x1b631016	quest/tatooine_anchorjobs_leg
0x1bbb8d6e	quest/gcw_entertain_rallying
0x1be68094	spacequest/destroy_surpriseattack/naboo_privateer_tier4_2d
0x1bf38777	quest/tyrena_meet_the_meatlumps
0x1c02485e	quest/recovery_quest_rebel_05
0x1c0d94af	spacequest/survival/naboo_imperial_tier4_3
0x1c1f620a	spacequest/survival/naboo_imperial_tier2_2
0x1c36a2fd	quest/ep3_forest_ardon_quest_1
0x1c3a5908	spacequest/delivery_no_pickup/ep3_trando_fezrik_03
0x1c44ce27	quest/ep3_gursan_capture_sequencer_codes
0x1c7db72d	quest/chapter7_publish_gift_activation
0x1c93bb57	quest/gcw_defend_rebel_barricade
0x1caa9218	spacequest/destroy/corellia_privateer_16
0x1cbae85b	spacequest/inspect/corellia_imperial_tier4_3_c
0x1cd0d6d1	spacequest/escort/corellia_imperial_tier3_2b
0x1cd39676	spacequest/assassinate/tatooine_rebel_4
0x1cdf72ce	quest/loveday_flowers_2010
0x1d0de8bb	spacequest/destroy_duty/endor_blacksun_tier4
0x1d24027f	spacequest/inspect/corellia_imperial_13
0x1d42b0b8	quest/quest_05_frame_valarians_success_assassin
0x1d6afb94	quest/newbie_gendra_spiced_tea
0x1d7c695d	quest/newbie_mayor_shinn_muggers_2
0x1d910340	quest/naboo_24_gungan_power_grab_02a
0x1d944e97	quest/corellia_39_sidequest_03
0x1daba34b	quest/c_prof_entertainer
0x1dda2dae	quest/reconstructed_crystals_reward
0x1e1cf184	quest/npe_officer_home_pointer
0x1e1efeb2	quest/tatooine_eisley_krayt_cult
0x1e1fd86c	spacequest/assassinate/corellia_privateer_tier4_1b
0x1e5c5690	quest/borvos_guard_dagorel
0x1e6d737e	spacequest/escort/corellia_rebel_3
0x1e98546b	spacequest/destroy/npe_hard_main_1a
0x1e998d39	quest/u13_ponda_01
0x1eb8f233	quest/tatooine_eisley_appropriating_funds
0x1ed05a28	quest/legacy_naboo_imperial_final_reward
0x1f325fc2	quest/coronet_murmurs_3_miniboss
0x1f3314be	quest/heroic_echo_rebel_evac
0x1fa3779f	spacequest/space_battle/naboo_privateer_tier3_4b
0x1fc3fd38	quest/gcw_construct_turret
0x1fc406bb	quest/outbreak_quest_facility_02_neutral
0x1fdc056b	spacequest/patrol/npe_med_main_2b
0x1fdd86c1	quest/smuggle_generic_5
0x1fe80208	spacequest/destroy_surpriseattack/no_rank4_orion_02_02
0x200a87ca	quest/quest_01_comlink_call_to_adventure_neut_faction
0x202697ca	quest/npe_job_pointer_mira
0x203a1313	quest/crash_site_03_imp_engineering
0x205c9e05	quest/quest_05_frame_valarians
0x206e5866	spacequest/assassinate/npe_hard_main_2a
0x20c68be3	quest/npe_brawler_1
0x20d9fc1c	spacequest/survival/stn_yavin4_company_all_massassi_tier2_7
0x214266c7	quest/crash_site_06_reb_structures
0x216f1fa9	quest/ep3_kymayrr_rescue_rroot
0x2179add1	spacequest/rescue_duty/naboo_rebel_tier4_1
0x21883b4d	spacequest/destroy_surpriseattack/npe_med_main_2c
0x2193412b	spacequest/destroy/corellia_imperial_tier3_3b
0x21c7723c	quest/ep3_hunt_mada_johnson_to_wrelaac
0x21d6ac66	quest/som_story_arc_prelude_01
0x21f14842	quest/c_story1_1_neu
0x2212532a	quest/test_wait_for_signal
0x22173d54	quest/chapter9_ice_cream
0x221c0452	quest/corellia_39_chirq_council_04
0x222f72df	quest/ep3_forest_wirartu_epic_1
0x229c25b9	quest/ep3_hunt_sordaan_mouf_bet_lost
0x22c708a7	spacequest/assassinate/corellia_coronet_starport_vandals_a
0x22c73940	spacequest/escort/naboo_privateer_tier4_1a
0x22d7c73a	quest/coronet_captain_dool
0x23047f05	quest/ep3_gursan_kymayrr_brief
0x2312c885	spacequest/patrol/no_rank5_01_01
0x23346ea5	spacequest/destroy_duty/dantooine_rebel_tier4
0x234116ee	quest/rtp_c3po_02
0x2348a14e	quest/tatooine_eisley_data_purge
0x23823116	quest/ep3_forest_kerritamba_epic_3
0x239e45ec	quest/prof_commando_21
0x23a52b06	quest/npe_han_comm_scout
0x23c59985	spacequest/destroy_duty/dantooine_rogue_droid_tier4
0x23d39bff	spacequest/rescue/corellia_imperial_tier4_3_a
0x23fdc3d7	quest/tatooine_eisley_drensbounty_v2
0x23feaeeb	quest/borvos_guard_corellia
0x242b85f7	quest/test_static_escort
0x245fcb0c	spacequest/patrol/npe_easy_main_2b
0x24803055	spacequest/recovery/tatooine_imperial_tier4_4_b
0x2489655e	quest/som_exploration_mining
0x24917efc	quest/rtp_ackbar_02
0x2492c6f0	spacequest/recovery/tatooine_imperial_tier4_2_c
0x24a43a8d	quest/npe_brawler_2handreward
0x24d6bb82	quest/smuggle_pointer_generic_1
0x24e658b6	quest/naboo_boss_nass_artifacts_skaak
0x24f62fbf	spacequest/patrol/corellia_imperial_1
0x24f9c872	spacequest/assassinate/corellia_privateer_tier1_4a
0x25802b44	quest/npe_han_comm_marksman_done
0x2594f401	spacequest/rescue/naboo_privateer_tier3_2e
0x25b41ce1	quest/entertainer_imperial_06
0x25c208ea	quest/som_tanray_hunt_20
0x25ef3a48	quest/som_kenobi_cursed_shard_1
0x25f379a6	spacequest/recovery/corellia_imperial_tier3_4
0x26260887	quest/crash_site_02_imp_structures
0x26439da1	spacequest/assassinate/ep3_stren_dorn_lackey
0x2677abb7	spacequest/delivery_no_pickup/stan_dantooine_owner_all_lokdelivery_tier2_1
0x26e20c72	spacequest/patrol/npe_smuggler_3a
0x27048432	spacequest/destroy_duty/dantooine_rogue_droid_tier5
0x270d9810	spacequest/patrol/npe_training_3a
0x271cc418	quest/npe_han_comm_brawler
0x273712e0	spacequest/inspect/corellia_privateer_tier3_2
0x27432ca1	quest/ep3_forest_kerritamba_epic_2
0x274e13a7	quest/newbie_mayor_hooligans_droids
0x27622dc8	spacequest/recovery_duty/lok_imperial_ss_2b
0x277d46a3	spacequest/salvage/corellia_mining_quest_7
0x27b5bdaa	spacequest/rescue_duty/tatooine_privateer_tier4_1
0x27c0c209	quest/tatooine_knives_thrust
0x27e1079c	spacequest/rescue/talus_station_mission2_1
0x27f57312	spacequest/destroy_duty/dantooine_rebel_tier5
0x2813067e	quest/u16_nym_themepark_pirate_hideout
0x28256ee6	groundquest/_debug/_debug
0x28549708	quest/som_story_arc_prelude_03
0x286028df	spacequest/space_battle/corellia_privateer_tier4_3a
0x28a9e334	quest/camp_beta_delivery_01
0x28ac1c91	quest/som_kenobi_cursed_shard_2
0x28ac79a9	spacequest/destroy_surpriseattack/corellia_find_missing_shipment_b
0x28bdfeef	spacequest/destroy_surpriseattack/corellia_rebel_1
0x28c6f5ff	quest/newbie_gendra_rebel_pilot
0x28c88906	quest/som_hk_history_eight
0x28cb6eb7	spacequest/escort/naboo_imperial_tier3_1
0x28f73a38	quest/entertainer_imperial_05
0x2944b08d	quest/npe_brawler_3
0x296aa297	spacequest/patrol/tatooine_rebel_tier3_4_a
0x296b3368	quest/corellia_coronet_capitol_problems_the_informant
0x29959d5b	quest/smuggle_pointer_generic_2
0x29b67ab7	quest/event_gcwcheerleader_sfreb10
0x29d25825	quest/rtp_ackbar_01
0x29eb8749	quest/mtp_angry_meatlumps
0x29ec6308	spacequest/assassinate/npe_hard_main_2c
0x2a000a78	quest/ep3_forest_kerritamba_epic_1
0x2a0f8c76	spacequest/destroy/tatooine_privateer_2
0x2a1488cf	spacequest/escort/tatooine_privateer_3
0x2a18dc72	spacequest/destroy_duty/dathomir_hidden_dagger_tier4
0x2a392681	quest/npe_pointer_spy_template
0x2a6aab92	quest/ep3_clone_relics_clone_trooper_mort_1
0x2a84eca1	quest/crash_site_04_reb_domestics
0x2a90af08	quest/npe_brawler_1handreward
0x2aa71e97	spacequest/recovery/stn_endor_irs_imp_tier3_2c
0x2ad1214d	spacequest/delivery/naboo_rebel_tier3_4_d
0x2af9a4d8	quest/crash_site_01_reb_engineering
0x2aff019f	spacequest/destroy_duty/ep3_kash_station_destroy_duty_rodian
0x2b178580	quest/quest_08_dathomir_outpost
0x2b5e6bd9	spacequest/escort_duty/corellia_imperial_9
0x2b63a1f1	quest/c_newbie_start
0x2b6de8f4	quest/c_story1_3_imp
0x2baba8d2	quest/tatooine_espa_body_building
0x2bad49b1	quest/ep3_forest_wirartu_epic_3
0x2bf292ed	quest/newbie_mayor_hooligans_criminals
0x2c10caa2	quest/quest_06_conspire_cale
0x2c161e5b	quest/u16_nym_themepark_elite_kill_miner_cave_collection
0x2c281b47	quest/npe_force_sensitive
0x2c36278f	quest/entertainer_imperial_04
0x2c4c3113	spacequest/rescue/poi_tatooine_general2_2_b
0x2c5888c6	spacequest/destroy_duty/lok_imperial_tier5
0x2c62cf0b	spacequest/delivery_no_pickup/tatooine_imperial_tier4_2_c
0x2c6f711b	quest/gcw_repair_patrol
0x2c7d72ec	spacequest/escort_duty/tatooine_rebel_tier4_1
0x2c8e1c93	spacequest/patrol/npe_training_tansarii
0x2c958abf	quest/som_story_arc_prelude_02
0x2d10fd9e	spacequest/recovery/tatooine_imperial_tier4_2_a
0x2d3c0be3	quest/u16_nym_themepark_elite_kill_imperial_facility_collection
0x2d44e385	quest/u16_nym_themepark_interview_moore
0x2d5480ec	quest/smuggle_pointer_generic_3
0x2d65c74f	quest/ep3_clone_relics_nym_starmap_4
0x2d758730	quest/outbreak_betsy_hidden_content
0x2d7ae3a5	spacequest/survival/corellia_rebel_tier3_4_d
0x2d7fdf4d	quest/talus_dearic_genocide
0x2d85ad3a	quest/npe_brawler_2
0x2d8a2406	quest/tatooine_eisley_noncombat
0x2d99b766	quest/ep3_hunt_johnson_brody_johnson
0x2dafa92b	quest/test_grant_quest
0x2db1359d	quest/npe_runequest
0x2dd7edbe	spacequest/escort_duty/dathomir_station_imp_escort_duty_tier3
0x2de3a1b7	quest/mtp_hideout_instance_escort_trapped_meatlump
0x2df792b5	spacequest/assassinate/c_sink_imp_space
0x2e007eab	quest/npe_brawler_unarmed
0x2e023037	quest/rtp_c3po_01
0x2e231e65	quest/restuss_rebel_st3_destroy_elite
0x2e4b8feb	quest/ep3_rryatt_tressk_kill_lost_rodian_hunters
0x2e4eeadb	spacequest/escort/naboo_rebel_tier4_1_b
0x2e713d3b	quest/crash_site_06_imp_domestics
0x2ebc457e	spacequest/destroy_duty/tatooine_privateer_8
0x2ecb4868	quest/legacy_head_runaway3_space
0x2ed9c1c5	spacequest/destroy_duty/dathomir_hidden_dagger_tier5
0x2ee948ed	spacequest/space_battle/ep3_slaver_rhosk_space_battle
0x2f2662c1	quest/npe_boba_tracker
0x2f4364ac	quest/jabba_porcellus
0x2f5f305a	quest/legacy_head_ground
0x2f6c5406	quest/ep3_forest_wirartu_epic_2
0x2f841f99	spacequest/escort/naboo_privateer_tier4_1b
0x2f842e7e	spacequest/assassinate/corellia_coronet_starport_vandals_b
0x2faa8825	spacequest/destroy_duty/yavin_blacksun_tier3
0x2fca0c62	quest/prof_officer_21
0x2fcf3d38	quest/camp_delta_delivery_01
0x2fd34e04	quest/tatooine_espa_pod_retrieval
0x2ff2991d	spacequest/destroy_duty/rori_station_reb_destroy_duty_tier3
0x2ffb406a	quest/legacy_together_2
0x30297191	quest/crash_site_03_reb_domestics
0x303df96a	quest/quest_02_investigate_murder
0x304c6a87	spacequest/delivery_no_pickup/tatooine_imperial_tier4_1_d
0x308647ca	quest/ep3_forest_kerritamba_epic_7
0x308e536a	spacequest/space_mining_destroy/dathomir_mining_quest_10
0x30d3be56	spacequest/destroy_surpriseattack/tatooine_privateer_tier3_1_d
0x30df40ef	spacequest/destroy_duty/naboo_station_imperial_destroy_duty_tier2_1
0x30e11313	quest/c_newbie_hall_range02
0x30f71622	quest/borvo_acklay_bracers
0x3107025b	quest/u16_nym_themepark_repair_flocculation_chamber
0x31355797	quest/naboo_deeja_peak_goto_prof_hudmasse
0x31460d60	quest/outbreak_quest_02_imperial
0x319f63ab	quest/npe_pilot_first_mission_no_ground
0x31b56d2e	quest/test_destroy_multiple
0x31f991da	quest/ep3_forest_rhiek_quest_2
0x3207230b	quest/naboo_kadaraa_tipping_the_balance_2
0x3271778a	quest/entertainer_imperial_03
0x32801cdd	quest/ep3_forest_aveso_quest_3
0x329737f7	spacequest/destroy/corellia_imperial_tier3_3f
0x32aedcd4	quest/outbreak_quest_rescue_04_fail
0x32b4ccbc	spacequest/escort/vortex_mission_2
0x32db11bb	quest/rtp_leia_03
0x32e1ef83	quest/profession_medic_11
0x33082928	quest/outbreak_quest_01_rebel
0x3313d0e9	quest/smuggle_pointer_generic_4
0x3322974a	quest/ep3_clone_relics_nym_starmap_3
0x3324776f	spacequest/destroy_surpriseattack/no_rank4_nova_01_02
0x332f4505	spacequest/survival/corellia_rebel_tier3_2_b
0x33387143	spacequest/recovery/naboo_imperial_tier4_2_c
0x3346911f	quest/u13_vengeance_02
0x3382e594	spacequest/survival/naboo_imperial_tier3_3_c
0x33a50789	spacequest/salvage/nova_rank3_01
0x33c27b3f	quest/newbie_gendra_neutral_pilot
0x33cc501b	spacequest/escort_duty/tatooine_privateer_tier2_1
0x343e4e80	quest/no_rank4_orion_01
