Level	HP	Action	HealthRegen	ActionRegen	MindRegen	Regen	CombatRegen	MinDmg	MaxDmg	ToHit	Def	Armor	XP
67	11865	100	253	4	1000	100	1	505	765	128	128	4650	2485200
68	12190	100	257	4	1000	100	1	511	775	129	129	4725	2560500
69	12500	100	260	4	1000	100	1	517	785	131	130	4800	2636900
70	12790	100	263	4	1000	100	1	523	795	132	130	4875	2714400
71	12940	100	267	4	1000	100	1	529	805	133	131	4950	2793000
72	13090	100	270	4	1000	100	1	535	815	135	131	5025	2872700
73	13240	100	273	4	1000	100	1	541	825	136	132	5100	2953600
74	13375	100	277	4	1000	100	1	547	835	137	132	5175	3035600
75	13690	100	280	4	1000	100	1	553	845	139	133	5250	3118700
76	14000	100	283	4	1000	100	1	559	855	140	133	5325	3202900
77	14315	100	287	4	1000	100	1	565	865	141	134	5400	3288300
78	14625	100	290	4	1000	100	1	571	875	142	134	5475	3374800
79	14750	100	293	4	1000	100	1	577	885	144	135	5550	3462400
80	14875	100	297	4	1000	100	1	586	899	145	135	5625	3551100
81	15000	100	300	4	1000	100	1	595	913	146	136	5700	3640900
82	15125	100	303	4	1000	100	1	604	927	148	136	5775	3731900
83	15250	100	307	4	1000	100	1	613	941	149	137	5850	3824000
84	15375	100	310	4	1000	100	1	622	955	150	137	5925	3917200
85	15500	100	313	4	1000	100	1	631	969	152	138	6000	4011500
86	15625	100	317	4	1000	100	1	640	983	153	138	6075	4107000
87	15780	100	320	4	1000	100	1	649	997	154	139	6150	4203600
88	15940	100	323	4	1000	100	1	658	1011	155	140	6225	4301300
89	16095	100	327	4	1000	100	1	667	1025	157	141	6300	4400100
90	16250	100	330	4	1000	100	1	676	1039	158	141	6375	4500100
