ability_name	abilityCrc	skill_line	skill_rank	training_cost	level_to_learn	specialType	avian	bat	bull	camel	elephant	fambaa	frog	giraffe	goat	gorilla	griffon	horse	lizard	mantis	monkey	moth	mynock	pig	predatory_cat	rabbit	raptor	rat	roach	snake	spider	tanray	turkey	wolf
bm_claw_5	bm_claw_5	bm_claw	5	365	8		1										1			1					1	1	1					1		
bm_slash_1	bm_slash_1	bm_slash	1	5	1		1								1		1			1				1	1							1		
bm_slash_2	bm_slash_2	bm_slash	2	95	3		1								1		1			1				1	1							1		
bm_slash_3	bm_slash_3	bm_slash	3	185	5		1								1		1			1				1	1							1
bm_slash_4	bm_slash_4	bm_slash	4	275	7		1								1		1			1				1	1							1
bm_slash_5	bm_slash_5	bm_slash	5	365	9		1								1		1			1				1	1							1
bm_flank_1	bm_flank_1	bm_flank	1	185	6																		1		1							
bm_flank_2	bm_flank_2	bm_flank	2	275	8																		1		1							
bm_flank_3	bm_flank_3	bm_flank	3	365	9																		1		1							
bm_bolster_armor_1	bm_bolster_armor_1	bm_bolster_armor	1	5	1									1					1									1	1			
bm_bolster_armor_2	bm_bolster_armor_2	bm_bolster_armor	2	95	2									1					1									1	1			
bm_bolster_armor_3	bm_bolster_armor_3	bm_bolster_armor	3	185	3									1					1									1	1			
bm_bolster_armor_4	bm_bolster_armor_4	bm_bolster_armor	4	275	4									1					1									1	1			
bm_bolster_armor_5	bm_bolster_armor_5	bm_bolster_armor	5	365	6									1					1									1	1			
bm_dampen_pain_1	bm_dampen_pain_1	bm_dampen_pain	1	5	1				1		1	1				1				1				1		1						
bm_dampen_pain_2	bm_dampen_pain_2	bm_dampen_pain	2	95	2				1		1	1				1				1				1		1						
bm_dampen_pain_3	bm_dampen_pain_3	bm_dampen_pain	3	185	3				1		1	1				1				1				1		1						
bm_dampen_pain_4	bm_dampen_pain_4	bm_dampen_pain	4	275	4				1		1	1				1				1				1		1						
bm_dampen_pain_5	bm_dampen_pain_5	bm_dampen_pain	5	365	6				1		1	1				1				1				1		1						
bm_shield_master	bm_shield_master	bm_shield_master	1	450	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_deflective_hide	bm_deflective_hide	bm_deflective_hide	1	450	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_defensive_1	bm_defensive_1	bm_defensive	1	5	1										1			1			1									1	1			
bm_defensive_2	bm_defensive_2	bm_defensive	2	95	2										1			1			1									1	1			
bm_defensive_3	bm_defensive_3	bm_defensive	3	185	3										1			1			1									1	1			
bm_defensive_4	bm_defensive_4	bm_defensive	4	275	4										1			1			1									1	1			
bm_defensive_5	bm_defensive_5	bm_defensive	5	365	6										1			1			1									1	1			
bm_damage_poison_1	bm_damage_poison_1	bm_damage_poison	1	5	1								1				1			1										1	1	1		
bm_damage_poison_2	bm_damage_poison_2	bm_damage_poison	2	95	3								1				1			1										1	1	1		
bm_damage_poison_3	bm_damage_poison_3	bm_damage_poison	3	185	5								1				1			1										1	1	1		
bm_damage_poison_4	bm_damage_poison_4	bm_damage_poison	4	275	7								1				1			1										1	1	1		
bm_damage_poison_5	bm_damage_poison_5	bm_damage_poison	5	365	9								1				1			1										1	1	1		
bm_paralytic_poison	bm_paralytic_poison	bm_damage_poison	6	450	-1								1				1		1		1									1	1	1		
bm_damage_disease_1	bm_damage_disease_1	bm_damage_disease	1	5	1														1		1												1	
bm_damage_disease_2	bm_damage_disease_2	bm_damage_disease	2	95	3														1		1												1	
bm_damage_disease_3	bm_damage_disease_3	bm_damage_disease	3	185	5														1		1												1	
bm_damage_disease_4	bm_damage_disease_4	bm_damage_disease	4	275	7														1		1												1
bm_damage_disease_5	bm_damage_disease_5	bm_damage_disease	5	365	9														1		1												1
bm_enfeeble_1	bm_enfeeble_1	bm_enfeeble	1	5	1														1									1	1				1
bm_enfeeble_2	bm_enfeeble_2	bm_enfeeble	2	95	2														1									1	1				1
bm_enfeeble_3	bm_enfeeble_3	bm_enfeeble	3	185	4														1									1	1				1
bm_enfeeble_4	bm_enfeeble_4	bm_enfeeble	4	275	6														1									1	1				1
bm_enfeeble_5	bm_enfeeble_5	bm_enfeeble	5	365	8														1									1	1				1
bm_preperation	bm_preperation	bm_preperation	1	450	10																												
bm_stomp_1	bm_stomp_1	bm_stomp	1	5	2				1		1	1		1		1																	
bm_stomp_2	bm_stomp_2	bm_stomp	2	95	3				1		1	1		1		1																	
bm_stomp_3	bm_stomp_3	bm_stomp	3	185	5				1		1	1		1		1																	
bm_stomp_4	bm_stomp_4	bm_stomp	4	275	7				1		1	1		1		1																	
bm_stomp_5	bm_stomp_5	bm_stomp	5	365	9				1		1	1		1		1																	
bm_shaken_1	bm_shaken_1	bm_shaken	1	185	5						1	1		1		1																	
bm_shaken_2	bm_shaken_2	bm_shaken	2	275	7						1	1		1		1																	
bm_shaken_3	bm_shaken_3	bm_shaken	3	365	8						1	1		1		1																	
bm_wing_buffet_1	bm_wing_buffet_1	bm_wing_buffet	1	5	1		1	1									1					1	1											
bm_wing_buffet_2	bm_wing_buffet_2	bm_wing_buffet	2	95	2		1	1									1					1	1											
bm_wing_buffet_3	bm_wing_buffet_3	bm_wing_buffet	3	185	4		1	1									1					1	1											
bm_wing_buffet_4	bm_wing_buffet_4	bm_wing_buffet	4	275	6		1	1									1					1	1											
bm_wing_buffet_5	bm_wing_buffet_5	bm_wing_buffet	5	365	8		1	1									1					1	1											
bm_enrage	bm_enrage	bm_enrage	1	-1	-1	innate																												
bm_frenzy	bm_frenzy	bm_frenzy	1	-1	-1	innate																												
bm_provoke_1	bm_provoke_1	bm_provoke	1	5	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_provoke_2	bm_provoke_2	bm_provoke	2	95	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_provoke_3	bm_provoke_3	bm_provoke	3	185	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_provoke_4	bm_provoke_4	bm_provoke	4	275	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_provoke_5	bm_provoke_5	bm_provoke	5	365	-1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_spit_1	bm_spit_1	bm_spit	1	5	1					1			1																					
bm_spit_2	bm_spit_2	bm_spit	2	95	2					1			1																					
bm_spit_3	bm_spit_3	bm_spit	3	185	4					1			1																					
bm_spit_4	bm_spit_4	bm_spit	4	275	6					1			1																					
bm_spit_5	bm_spit_5	bm_spit	5	365	8					1			1																					
bm_kick_1	bm_kick_1	bm_kick	1	5	1					1								1																
bm_kick_2	bm_kick_2	bm_kick	2	95	2					1								1																
bm_kick_3	bm_kick_3	bm_kick	3	185	4					1								1																
bm_kick_4	bm_kick_4	bm_kick	4	275	6					1								1																
bm_kick_5	bm_kick_5	bm_kick	5	365	8					1								1																
bm_pig_forage	bm_pig_forage	bm_forage_enzyme	1	1	-1	noncombat																		1										
bm_helper_monkey_domestic	bm_helper_monkey_domestic	bm_helper_monkey_domestic	1	1	-1	noncombat															1													
bm_helper_monkey_engineering	bm_helper_monkey_engineering	bm_helper_monkey_engineering	1	1	-1	noncombat															1													
bm_helper_monkey_structure	bm_helper_monkey_structure	bm_helper_monkey_structure	1	1	-1	noncombat															1													
bm_helper_monkey_munitions	bm_helper_monkey_munitions	bm_helper_monkey_munitions	1	1	-1	noncombat															1													
bm_helper_monkey_jedi	bm_helper_monkey_jedi	bm_helper_monkey_jedi	1	1	-1	noncombat															1													
bm_dancing_cat	bm_dancing_cat	bm_dancing_cat	1	1	-1	noncombat																			1									
bm_dancing_pet_entertainer	bm_dancing_pet_entertainer	bm_dancing_pet_entertainer	1	1	-1	noncombat	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_survey_bonus	bm_survey_bonus	bm_survey_bonus	1	1	-1	noncombat	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bm_helper_monkey_shipwright	bm_helper_monkey_shipwright	bm_helper_monkey_shipwright	1	1	-1	noncombat															1													
