fltTime	strActor	strAction	strTarget	strData1	strData2	intTime
f	s	s	s	s	s	i
0.1	hanSolo	saySound	player	han_tutorial_3	sound/han_6.snd	
0.15	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
0.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face		
0.75	hutt3	combatAnimation	r2	fire_3_single_medium_face		
1.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
1.75	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
2.75	hanSolo	posture		kneel		
3.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
3.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
4.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face		
4.75	hutt3	combatAnimation	r2	fire_3_single_medium_face		
5.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
5.75	chewie	posture		kneel		
6.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
32.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
32.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
33.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face
33.75	hutt3	combatAnimation	r2	fire_3_single_medium_face
34.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
34.75	chewie	posture		kneel
35.25	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
35.75	hutt2	combatAnimation	chewie	fire_3_single_medium_face
36.25	hutt3	combatAnimation	r2	fire_3_single_medium_face
36.75	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
37.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
37.75	hanSolo	posture		kneel
38.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
38.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
39.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face
39.75	hutt3	combatAnimation	r2	fire_3_single_medium_face
40.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
40.75	chewie	posture		kneel
41.25	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
41.75	hutt2	combatAnimation	chewie	fire_3_single_medium_face
42.25	hutt3	combatAnimation	r2	fire_3_single_medium_face
42.75	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
43.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
43.75	hanSolo	posture		kneel
44.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
44.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
45.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face
45.75	hutt3	combatAnimation	r2	fire_3_single_medium_face
46.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
46.75	chewie	posture		kneel
47.25		goto		0
