bookName	pageName	collectionName	slotName	beginSlotId	endSlotId	maxSlotValue	category1	category2	category3	category4	category5	category6	category7	category8	category9	category10	category11	prereqSlotName1	prereqSlotName2	prereqSlotName3	prereqSlotName4	prereqSlotName5	icon	music	showIfNotYetEarned	hidden	title	alternateTitle1	alternateTitle2	alternateTitle3	alternateTitle4	alternateTitle5	noReward	trackServerFirst	Comments	string_name	string_detail
			count_350	6833																															a collection slot can be in as many categories as you want	Badge Collector: 350 Badges	You have acquired 350 badges.
		col_bdg_count_450																															1		there are interfaces to get the collection slots that belong in a category and what	Master Collector II	Collection of first 450 badges.
			count_375	6834																															categories a particular collection slot belongs to	Badge Collector: 375 Badges	You have acquired 375 badges.
			count_400	6835																															a collection slot can be in as many categories as you want	Badge Collector: 400 Badges	You have acquired 400 badges.
			count_425	6836																															a collection slot can be in as many categories as you want	Badge Collector: 425 Badges	You have acquired 425 badges.
			count_450	6837																															a collection slot can be in as many categories as you want	Badge Collector: 450 Badges	You have acquired 450 badges.
		col_bdg_count_550																															1		there are interfaces to get the collection slots that belong in a category and what	Master Collector III	Collection of first 550 badges.
			count_475	6838																															categories a particular collection slot belongs to	Badge Collector: 475 Badges	You have acquired 475 badges.
			count_500	6839																															a collection slot can be in as many categories as you want	Badge Collector: 500 Badges	You have acquired 500 badges.
		col_bdg_exp_count																															1			Exploration Collection	Collection of exploration badges.
			bdg_exp_10_badges	100																															you can add as many more category columns as you wish	Novice Explorer: 10 Exploration Badges	You have earned 10 Exploration Badges.
			bdg_exp_20_badges	101																															as long as the category columns are named category<number> and are contiguous	Journeyman Explorer: 20 Exploration Badges	You have earned 20 Exploration Badges.
			bdg_exp_30_badges	102																															for example you can add new category columns category6 category7 category8	Skilled Explorer: 30 Exploration Badges	You have earned 30 Exploration Badges.
			bdg_exp_40_badges	103																															category9 category10 category11 category12 category13 category14 and so on	Professional Explorer: 40 Exploration Badges	You have earned 40 Exploration Badges.
			bdg_exp_45_badges	104																																Master Explorer: 45 Exploration Badges	You have earned 45 Exploration Badges.
	bdg_explore																																		the prereqSlotName columns can be used to specify prerequisite collection	Exploration Badges	
		col_bdg_explore_jedi																															1		slots that must be completed before the specified collection slot can be set or	Jedi Exploration Badge Collection	Collection of exploration badges relating to Jedi.
			exp_tat_bens_hut	12																															incremented	Location: Ben Kenobi's Old Home	You have visited Ben Kenobi's old home.
			exp_yav_temple_exar_kun	23																																Location: Hidden Temple of Exar K'un	You have visited the Temple of Exar K'un.
			exp_dan_jedi_temple	30																															you can add as many more prereqSlotName columns as you wish	Location: Ruined Jedi Temple	You have uncovered the mysteries of the Ruined Jedi Temple on Dantooine.
		col_bdg_explore_dangerous																															1		as long as the prereqSlotName columns are named prereqSlotName<number> and are contiguous	Dangerous Exploration Badges	Collection of exploration badges in dangerous areas.
			exp_tat_tusken_pool	13																															for example you can add new prereqSlotName columns prereqSlotName6 prereqSlotName7	Location: Pool Beneath Fort Tusken	You have visited the pool underneath Fort Tusken.
			exp_tat_krayt_skeleton	14																															prereqSlotName8 prereqSlotName9 prereqSlotName10 prereqSlotName11 and so on	Location: Skeleton of the Famed Greater Krayt Dragon	You have visited the famed Krayt Dragon skeleton.
			exp_tat_sarlacc_pit	16																																Location: Pit of the Mighty Sarlacc	You have visited the home of the mighty Sarlacc.
			exp_tat_krayt_graveyard	18																															you can add as many more alternateTitle columns as you wish	Location: Krayt Dragon Graveyard	You have found the hidden Krayt Dragon Graveyard.
			exp_dat_sarlacc	26																															as long as the alternateTitle columns are named alternateTitle<number> and are contiguous	Location: Lesser Sarlacc of Dathomir	You have discovered the lesser Sarlacc on Dathomir.
		col_bdg_explore_tatooine																															1		for example you can add new alternateTitle columns alternateTitle6 alternateTitle7	General Exploration Badges: Tatooine	Collection of general exploration badges for Tatooine.
			exp_tat_escape_pod	15																															alternateTitle8 alternateTitle9 alternateTitle10 alternateTitle11 and so on	Location: Escape Pod Used by C-3P0 and R2-D2	You have visited the escape pod used by C-3P0 and R2-D2.
			exp_tat_lars_homestead	17																																Location: Lars Homestead	You have found the Lars Homestead on Tatooine.
		col_bdg_explore_naboo																															1		"If you wish to grant a reward at certain index of a counter collection, you use the catagory ""updateOnCount"" appended with a colon (:) and then the count number you wish to grant a reward at. For example. If you want to give a reward for slot ""test_col_01_01"" at count of 10, you would add the catagory ""updateOnCount:10"" to the collections table. Then in the rewards table you add a row for ""test_col_01_01:10"". That will grant the specified rewards at the count of 10. If you want to give more than one reward for a slot at different intvervals, you just keep adding catagories, and coresponding entries in the rewards table."	General Exploration Badges: Naboo	Collection of general exploration badges for Naboo.
			exp_nab_gungan_sacred_place	19																																Location: Hidden Gungan Sacred Place	You have discovered the hidden Gungan Sacred Place.
			bdg_exp_nab_theed_falls_bottom	75																																Location: The bottom of the Great Falls at Theed	You have visited the majestic falls of Theed.
			bdg_exp_nab_deeja_falls_top	76																																Location: The head of the falls at Dee'ja Peak	You have visited the stately falls of Dee'ja Peak.
			bdg_exp_nab_amidalas_sandy_beach	77																																Location: Amidala's private beach	You have visited Amidala's private beach.
		col_bdg_explore_corellia																															1			General Exploration Badges: Corellia	Collection of general exploration badges for Corellia.
			exp_cor_agrilat_swamp	20																																Location: Heart of the Agrilat Crystal Swamps	You have explored the depths of the Agrilat Crystal Swamp.
			bdg_exp_cor_rebel_hideout	78																																Location: Rebel Hideout on Corellia	You have seen the Rebel hideout on Corellia.
			bdg_exp_cor_rogue_corsec_base	79																																Location: Rogue Corsec Base on Corellia	You have seen the Rogue Corsec base on Corellia.
			bdg_exp_cor_tyrena_theater	80																																Location: Outdoor theater in Vreni Island	You have visited the famous outdoor theater of Vreni Island.
			bdg_exp_cor_bela_vistal_fountain	81																																Location: Crystal fountain in Bela Vistal	You have seen the magnificent crystal fountain at Bela Vistal.
		col_bdg_explore_yavin																															1			General Exploration Badges: Yavin IV	Collection of general exploration badges for Yavin IV.
			exp_yav_temple_woolamander	21																																Location: Ancient Palace of the Woolamander	You have encountered the mysterious Palace of the Woolamander on Yavin 4.
			exp_yav_temple_blueleaf	22																																Location: Mysterious Blue Leaf Temple	You have discovered the ancient Temple of the Blue Leaf cluster.
		col_bdg_explore_lok																															1			General Exploration Badges: Lok	Collection of general exploration badges for Lok.
			exp_lok_volcano	24																																"Location: Steaming Maw of ""Adi's Rest."""	"You have climbed to the top of ""Adi's Rest."""
			bdg_exp_lok_imp_outpost	98																																Location: An Imperial Outpost	You have found an Imperial base on Lok.
			bdg_exp_lok_kimogila_skeleton	99																																Location: A Kimogila Skeleton	You have found a Kimogila skeleton on Lok.
		col_bdg_explore_dat																															1			General Exploration Badges: Dathomir	Collection of general exploration badges for Dathomir.
			exp_dat_tarpit	25																																Location: Horrid Tar Pits of Dathomir	You have explored the horrid tar pits of Dathomir.
			exp_dat_escape_pod	27																																Location: Abandoned Escape Pod	You have found a mysterious escape pod crash-landed on Dathomir.
			exp_dat_misty_falls_1	28																																Location: Lesser Misty Falls	You have climbed to the peak of the Lesser Misty Falls region.
			exp_dat_misty_falls_2	29																																Location: Greater Misty Falls	You have reached the Greater Misty Falls peak.
			bdg_exp_dat_crashed_ship	82																																Location: Crash Site	You found a wrecked starship on Dathomir.
			bdg_exp_dat_imp_prison	83																																Location: Imperial Prison	You have seen the dreaded Imperial Prison on Dathomir.
		col_bdg_explore_dantooine																															1			General Exploration Badges: Dantooine	Collection of general exploration badges for Dantooine.
			exp_dan_rebel_base	31																																Location: Abandoned Rebel Base	You have visited the abandoned Rebel Base on Dantooine.
			bdg_exp_dan_dantari_village1	84																																Location: Dantari Village	You have walked among Dantari tribesmen.
			bdg_exp_dan_dantari_village2	85																																Location: Dantari Village	You have visited a Dantari Rock Village.
		col_bdg_explore_endor																															1			General Exploration Badges: Endor	Collection of general exploration badges for Endor.
			bdg_exp_end_ewok_tree_village	86																																Location: Ewok Tree Village	You have visited an Ewok Tree Village.
			bdg_exp_end_ewok_lake_village	87																																Location: Ewok Lake Village	You have visited an Ewok Lake Village.
			bdg_exp_end_dulok_village	88																																Location: Dulok Village	You have seen a Dulok Village.
			bdg_exp_end_imp_outpost	89																																Location: Marauder Base	You have found a Marauder base on Endor.
		col_bdg_explore_talus																															1			General Exploration Badges: Talus	Collection of general exploration badges for Talus.
			bdg_exp_tal_creature_village	90																																Location: Lost Village of Durbin	You have seen the lost village of Durbin on Talus.
			bdg_exp_tal_imp_base	91																																Location: Imperial Base	You have seen an Imperial base on Talus.
			bdg_exp_tal_imp_vs_reb_battle	92																																Location: The site of a battle between Rebel and Imperial forces	You have observed a battle between Rebel and Imperial Forces on Talus.
			bdg_exp_tal_aqualish_cave	93																																Location: A cave inhabited by Aqualish soldiers.	You have found a cave populated by Aqualish soldiers on Talus.
		col_bdg_explore_rori																															1			General Exploration Badges: Rori	Collection of general exploration badges for Rori.
			bdg_exp_ror_kobala_spice_mine	94																																Location: The Kobola Spice Mine	You have seen the fabled Kobola Spice Mines on Rori.
			bdg_exp_ror_rebel_outpost	95																																Location: A Rebel Outpost	You have seen a Rebel outpost on Rori.
			bdg_exp_ror_imp_camp	96																																Location: An Imperial Encampment	You have seen an Imperial encampment on Rori.
			bdg_exp_ror_imp_hyperdrive_fac	97																																Location: An Imperial Hyperdrive Facility	You have found the Imperial Hyperdrive Research Facility on Rori.
		col_bdg_explore_kashyyyk																															1			General Exploration Badges: Kashyyyk	Collection of general exploration badges for Kashyyyk.
			exp_kash_kachirho_found	140																				NONE												"Location: Kachirho, Kashyyyk - capital city of the Wookiee Homeworld"	You have discovered the natural beauty of the Wookiee homeworld - Kashyyyk.
		col_bdg_explore_mustafar																															1			General Exploration Badges: Mustafar	Collection of general exploration badges for Mustafar.
			exp_must_mustafar_found	171																																"Location: Mensix Mining Facility, Mustafar"	You have discovered the volcanic world of Mustafar.
		col_bdg_hoth_instance																															1			General Exploration Badges: Hoth	Collection of general exploration badges for Hoth.
			bdg_hoth_planet	6244																					none											Location: Planet Hoth	You have visited the planet Hoth.
			bdg_hoth_echo_base	6245																					none											Location: Echo Base	You have visited Echo Base on Hoth.
	bdg_content																																			Content Badges	
		col_badge_accolades																															1			Accolades	
			acc_good_samaritan	33																					none											Accolade: Good Samaritan	You have been recognized as an exceptional guide to those seeking knowledge.
			acc_fascinating_background	34																					none											Accolade: Fascinating Background	You have been recognized as having an exceptional biography.
			acc_brave_soldier	35																					none											Accolade: Brave Soldier	You have been recognized as an exceptional soldier in the war.
			acc_interesting_personage	36																					none											Accolade: Interesting Personage	You have been recognized as having a memorable personality.
			acc_professional_demeanor	37																					none											Accolade: Professional Demeanor	You have been recognized as being a tribute to their profession.
			bdg_accolade_live_event	124																					none											Accolade: Live Event Medal	You have participated in a Live Event
			bdg_accolade_home_show	139																					none											Accolade: Galactic Home Show Winner	You have won the Galactic Home Show and have been recognized as being an exceptional interior designer.
			bdg_accolade_ff_2008	5956																					none											Accolade: Live Quest Winner	You and your team were the winners of the Star Wars Galaxies Live Quest at Fan Faire 2008.
			bdg_community_live_event	6824																					none											Accolade: Community Event	You participated in a community event.
			bdg_six_year	6823																					none											Accolade: Attended Fan Faire 2009	You attended Fan Faire 2009.
		col_vacant_building_pack_up																															1			Demolished Buildings	Collection of badges for Galactic Vacant Building Demolishing Movement events.
			house_packup_badge	226																					none											Junior Wrecking Crew Worker	You have successfully demolished ten abandoned buildings.
			house_packup_badge_master	227																					none											Extraordinaire Wrecking Crew Manager	You have successfully demolished the extraordinary number of 50 abandoned buildings.
			house_packup_badge_mogul	6295																					none											Wrecking Crew Mogul	You have successfully demolished the extraordinary number of 100 abandoned buildings.
		col_misc_events																															1			Miscellaneous Events	Collection of badges for miscellaneous events.
			bdg_library_trivia	111																					none											Trivial Librarian	You have answered all the trivia questions posed by the Theed Palace Librarian.
			destroy_deathstar	128																				NONE	none											Event: A New Hope: Destroyed the Death Star	You have destroyed the Death Star.
			bdg_mos_eisley_newbie_all_quests	153																				NONE	none											Quest: The Mos Eisley Enigma	You have discovered the secret plan of Jabba the Hutt to have Tusken Zealots attack Mos Eisley by placing harvesters on locations the Tuskens consider holy.
			bdg_mos_eisley_newbie_most_quests	154																				NONE	none											Quest: Secrets of Mos Eisley	You have uncovered information about Jabba the Hutt and the Tusken Zealots involving Mos Eisley.
			bdg_mos_eisley_newbie_few_quests	155																				NONE	none											Quest: Mos Eisley Mystery	You have become aware of a mystery in Mos Eisley involving attacks by Tusken Zealots.
			bdg_mos_eisley_key_to_city	156																					none											Key to the City: Mos Eisley	You have been given the Key to the City of Mos Eisley by Mayor Mikdanyell Guh'rantt for helping solve the mystery of the Tusken Zealots and Jabba the Hutt.
			npe_finish_all_pilot	163																				NONE	none											Hero of Tansarii Point Station	You have saved Tansarii Point Station from the Black Sun.
			syren_series_done_imperial	207																					none											Quest: Secrets of the Syren: Imperial Hero	You have destroyed a traitorous double-agent for the glory of the Empire!
			syren_series_done_rebel	208																					none											Quest: Secrets of the Syren: Alliance Hero	You have destroyed a treacherous double-agent and slaver for the honor of the Rebel Alliance!
			content_corellia_39_corsec_hero	209																				NONE	none		1									Quest: Hero of the Corellian Security Force	You have defeated the Chirq Council and become a Hero of the Corellian Security Force.
			anniversary_30th_event_badge	228																					none											30th Anniversary Celebration	You have attended the 30th Anniversary Celebration at Nym's stronghold.
			champion_of_hoth	6019																					none		1									Champion of Echo Base	You performed flawlessly at the Battle of Echo Base.
			prolog_content_badge	6840																					none											Mysterious Science Datapad	You have discovered a mysterious science datapad while investigating a secret research facility on Lok.
		col_bdg_hero_tatooine																															1			Hero of Tatooine	Collection of Hero of Tatooine badges.
			poi_rabidbeast	7																																Quest: Mark of Courage	You bear the Mark of Courage.
			poi_prisonbreak	8																																Quest: Mark of Honor	You bear the Mark of Honor.
			poi_twoliars	9																																Quest: Mark of Intellect	You bear the Mark of Intellect.
			poi_factoryliberation	10																																Quest: Mark of Altruism	You bear the Mark of Altruism.
			poi_heromark	11																																Quest: Mark of the Hero	You bear the Mark of the Hero.
		col_bdg_warren																															1			Warren Badges	Collection of badges for the warren dungeon.
			warren_compassion	38																																Warren: Compassion	You have showed great compassion toward the widow of an Imperial worker.
			warren_hero	39																																Warren: Imperial Hero	You proved Colonel Teraud's perfidy and rendered great services to the Empire!
		col_bdg_coa																															1			Cries of Alderaan	Collection of badges for the cries of Alderaan.
			event_project_dead_eye_1	32																					none											Event: Project Dead Eye	You have investigated Project Dead Eye.
			event_coa2_rebel	40																					none											Event: Vacca's Allegiance	You have successfully contacted Dr. Vacca.
			event_coa2_imperial	41																					none											Event: Vacca's Allegiance	You have assisted in securing Dr. Vacca's cooperation.
			event_coa3_rebel	109																				NONE	none											Event: Cries of Alderaan: Final Chapter	You have successfully helped locate Dead Eye resources for the Rebellion.
			event_coa3_imperial	110																				NONE	none											Event: Cries of Alderaan: Final Chapter	You have successfully helped locate Dead Eye resources for the Empire.
		col_bdg_theme_park																															1			Theme Park	Collection of badges for completing theme parks.
			bdg_thm_park_jabba_badge	105																				NONE												Jabba's Badge of Trust	You have earned Jabba's Badge of Trust.
			bdg_thm_park_imperial_badge	106																				NONE												Imperial Badge of Merit	You have earned the Imperial Badge of Merit.
			bdg_thm_park_rebel_badge	107																				NONE												Rebel Badge of Courage	You have earned the Rebel Badge of Courage.
			bdg_thm_park_nym_badge	108																				NONE												Nym's Badge of Honor	You have earned Nym's Badge of Honor.
		col_bdg_corvette																															1			Corellian Corvette	Collection of badges for completing the Corellian corvette.
			bdg_corvette_imp_destroy	112																																Imperial Heroism Medal	"You have been recognized as an Elite Imperial Soldier, for bravery in the call of duty, eliminating a Rebel Blockade Runner."
			bdg_corvette_imp_rescue	113																																Imperial Valorous Services Medal	"You have been recognized for bravery in the face of danger, for rescuing Imperial Loyalists from the Rebel Menace, imprisoned on a Rebel Blockade Runner."
			bdg_corvette_imp_assassin	114																																Imperial Medal of Honor	You have been recognized as an elite Imperial soldier for work in eliminating key Rebel personnel aboard a fully functional Rebel Blockade Runner.
			bdg_corvette_neutral_destroy	115																																Jabba's Badge of Courage	You have been recognized by the Hutt clan for work in destroying Corellian Corvette.
			bdg_corvette_neutral_rescue	116																																Jabba's Badge of Valor	You have been recognized by the Hutt clan for work in freeing our imprisoned friends aboard a Corellian Corvette.
			bdg_corvette_neutral_assassin	117																																Jabba's Badge of Heroism	You have been recognized by the Hutt clan for work in eliminating key personnel at the Hutt's request.
			bdg_corvette_reb_destroy	118																																Alliance Heroism Medal	You have been recognized by the Alliance as an elite soldier for work in destroying a captured Rebel Blockade Runner.
			bdg_corvette_reb_rescue	119																																Alliance Valorous Services Medal	You have been recognized by the Alliance as an elite soldier for work in rescuing imprisoned comrades aboard a captured Rebel Blockade Runner.
			bdg_corvette_reb_assassin	120																																Alliance Medal of Honor	You have been recognized by the Alliance as an elite soldier for work in eliminating key Imperial personnel on a captured Rebel Blockade Runner.
		col_bdg_racing																															1			Racing Badges	Collection of badges for racing.
			bdg_racing_agrilat_swamp	121																																Racing: Agrilat Swamp Track Champion	You have held the daily record on the Agrilat Swamp race track.
			bdg_racing_keren_city	122																																Racing: Keren City Track Champion	You have held the daily record on the Keren City race track.
			bdg_racing_mos_espa	123																																Racing: Mos Espa Track Champion	You have held the daily record on the Mos Espa race track.
			bdg_racing_lok_marathon	125																																Racing: Lok Marathon Champion	You have held the daily record on the Lok Marathon race track.
			bdg_racing_narmle_memorial	126																																Racing: Narmle Memorial Rally Champion	You have held the daily record on the Narmle Memorial race track.
			bdg_racing_nashal_river	127																																Racing: Nashal River Race Track Champion	You have held the daily record on the Nashal River race track.
		col_bdg_kash_content																															1			Kashyyyk Content	Badges granted for completing Kashyyyk content.
			bdg_kash_outcast_story	141																				NONE												The Society: Exemplar	You have become Exemplar of the Society through sacrifice of self and shown great dedication of loyalty to the Outcasts of Kkowir Forest.
			bdg_kash_arena_champ	142																				NONE												Kerritamba: Arena Champion	You have become the Arena Champion of Kerritamba Village.
			bdg_kash_grievous	143																				NONE												"Myyydril Caverns: N-K ""Necrosis"""	"You have defeated the N-K ""Necrosis"" of the Myyydril Caverns."
			bdg_kash_kerritamba	144																				NONE												Kerritamba: Blood Hunter	You have become the Blood Hunter of the Kerritamba Village.
			bdg_kash_imperial_red_tie	145																				NONE												Quest: Imperial Guard TIE Interceptor	You have been awarded the Imperial Guard TIE Interceptor chassis.
			bdg_kash_rebel_heavy_xwing	146																				NONE												Quest: Rebel Heavy X-Wing Starfighter	You have been awarded the Rebel Heavy X-wing Starfighter
			bdg_kash_neutral_blacksun_heavy	147																				NONE												Quest: Blacksun Vaksai Starfighter	You have been awarded the Blacksun 'Vaksai' heavy starfighter.
			bdg_kash_wookiee_rage	148																				NONE												Rage of the Wookiees	"You have defeated Lord Cyssc Blackscale, enslaver of Kachirho."
			bdg_kash_avatar_zssik	149																				NONE												Avatars Bane	You have assisted the Zssik clan in the destruction of The Avatar Space Platform.
			bdg_kash_kkorrwrot	150																				NONE	unknown											Hracca Glade Kkorrwrot Hunt	You have hunted and killed a Kkorrwrot in the Hracca Glade of Kashyyyk.
			bdg_kash_katarn	151																				NONE	unknown											Rryatt Trail Katarn Master	You have delved into the deepest reaches of the Rryatt Trail and defeated the fearsome Katarn.
			bdg_kash_hunting_excellence	152																				NONE	unknown											Etyyy Hunting Badge	You have excelled at hunting in the Etyyy region of Kashyyyk.
		col_bdg_kill_01																															1			Slayer Badges	Badges granted for killing creatures.
			bdg_kill_ancient_krayt_dragon	157																				NONE	unknown											Ancient Krayt Dragon Hunter	You have defeated an Ancient Krayt Dragon.
			bdg_kill_gorax	158																				NONE	unknown											Foe of the Gorax	You have defeated the Gorax of Endor.
			bdg_kill_axkva_min	159																				NONE	none											Slayer of Axkva Min (Legacy Badge for Nightsister Stronghold)	You have defeated Axkva Min.
			bdg_kill_geonosian_acklay	160																				NONE	unknown											Acklay Hunter	You have defeated an acklay.
			bdg_kill_gaping_spider_kiin_dray	161																				NONE	unknown											Adversary of Kiin'Dray	You have defeated the gaping spider known as Kiin'Dray.
			bdg_kill_deathwatch_overlord	162																				NONE	unknown											Bane of the Overlord	You have defeated the Overlord of the Death Watch.
			bdg_col_kill_rodents	267			collections																													Rodent Eradicator	You have killed a variety of rodents.
			bdg_col_kill_insects	268			collections																													Insect Exterminator	You have killed a variety of insects.
			bdg_col_kill_flying	269			collections																													Bird Butcher	You have killed a variety of flying creatures.
			bdg_col_kill_cold_blooded	2802			collections																													Cold-Blooded Killer	You have completed the Cold-Blooded Killer Collection
			bdg_col_kill_primitive	2803			collections																													Primate Plunderer	You have completed the Primate Plunderer Collection
			bdg_col_kill_ferocious	2804			collections																													Ferocious Creature Slayer	You have completed the Ferocious Creature Slayer Collection
			bdg_col_jedi_npc_kill	5685			collections																													Order 66	You have completed the Order 66 Collection
		col_bdg_rsf_clearance																															1			Royal Security Force	Collection of badges for rank in the Royal Security Force.
			bdg_content_rsf_clearance_1	164																																RSF Private	You have achieved the lowest military rank in the RSF and are now a Private.
			bdg_content_rsf_clearance_2	165																																RSF Lance Corporal	You have improved your rank within the RSF and are now a Lance Corporal.
			bdg_content_rsf_clearance_3	166																																RSF Corporal	You have improved your rank within the RSF and are now a Corporal.
			bdg_content_rsf_clearance_4	167																																RSF Sergeant	You have improved your rank within the RSF and are now a Sergeant.
			bdg_content_rsf_clearance_5	168																																RSF Master Sergeant	You have improved your rank within the RSF and are now a Master Sergeant.
			bdg_content_rsf_clearance_6	169																																RSF Sergeant Major	You have improved your rank within the RSF and are now a Sergeant Major.
			bdg_content_rsf_clearance_7	170																																RSF Lieutenant	You have improved your rank within the RSF and are now a Lieutenant.
		col_bdg_must_content																															1			Mustafar Content	Collection of badge rewards for Mustafarian content.
			bdg_must_obiwan_story_good	172																																Trials of Obi-Wan Savior	You have helped Obi-Wan Kenobi destroy the mysterious crystal.
			bdg_must_obiwan_story_bad	173																																Trials of Obi-Wan Betrayer	You have betrayed Obi-Wan Kenobi and attempted to take the mysterious crystal for your own.
			bdg_must_victory_volcano	174																																Champion of Mustafar	You have defeated HK-47 and his army of droids.
			bdg_must_victory_army	175																																Hero of the Battle of Koseyet	You have defeated the droid army in the battle of Koseyet.
			bdg_must_kill_sher_kar	176																																Slayer of the Sher Kar	You have defeated the mighty Sher Kar.
			bdg_must_mustafar_exploration	177																																Master Mustafar Trailblazer	You have discovered the hidden locations of Mustafar.
			bdg_must_victory_kubaza	178																																Kubaza Bane	You have defeated the Kubaza beetle foreman.
			bdg_must_victory_orf	179																																Old Republic Seeker	You have activated the Old Republic Facility.
			bdg_must_victory_ddf	180																																Droid Factory Stalker	You have activated the Decrepit Droid Factory.
			bdg_must_victory_odf	181																																Destroyer of Doombringer	You have defeated the Doombringer and thwarted HK-47's attempt to destroy Mustafar.
		col_bdg_profession																															1			Profession Badges	Collection of badges for mastering professions.
			old_crafting_shipwright	129																				NONE	none		1									Elder Shipwright	You are an Elder Shipwright.
			pilot_rebel_navy_naboo	130																				NONE	none											Profession: Vortex Ace Pilot	You have become a Vortex Ace Pilot.
			pilot_rebel_navy_corellia	131																				NONE	none											Profession: Arkon's Havoc Squadron Ace Pilot	You have become an Arkon's Havoc Squadron Ace Pilot.
			pilot_rebel_navy_tatooine	132																				NONE	none											Profession: Crimson Phoenix Ace Pilot	You have become a Crimson Phoenix Ace Pilot.
			pilot_imperial_navy_naboo	133																				NONE	none											Profession: Imperial Inquisition Ace Pilot	You have become an Imperial Inquisition Ace Pilot.
			pilot_imperial_navy_corellia	134																				NONE	none											Profession: Black Epsilon Ace Pilot	You have become a Black Epsilon Ace Pilot.
			pilot_imperial_navy_tatooine	135																				NONE	none											Profession: Storm Squadron Ace Pilot	You have become a Storm Squadron Ace Pilot.
			pilot_neutral_naboo	136																				NONE	none											Profession: Royal Security Forces Ace Pilot	You have become a Royal Security Forces Ace Pilot.
			pilot_neutral_corellia	137																				NONE	none											Profession: Corellian Security Forces Ace Pilot	You have become a Corellian Security Forces Ace Pilot.
			pilot_neutral_tatooine	138																				NONE	none											Profession: Smugglers Alliance Ace Pilot	You have become a Smugglers Alliance Ace Pilot.
			combat_1hsword_master	42																				NONE	none		1									Profession: Master Fencer	You have mastered the Fencer Profession.
			combat_2hsword_master	43																				NONE	none		1									Profession: Master Swordsman	You have mastered the Swordsman Profession.
			combat_bountyhunter_master	44																				NONE	none		1									Profession: Master Bounty Hunter	You have mastered the Bounty Hunter Profession.
			combat_brawler_master	45																				NONE	none		1									Profession: Master Brawler	You have mastered the Brawler Profession.
			combat_carbine_master	46																				NONE	none		1									Profession: Master Carbineer	You have mastered the Carbineer Profession.
			combat_commando_master	47																				NONE	none		1									Profession: Master Commando	You have mastered the Commando Profession.
			combat_marksman_master	48																				NONE	none		1									Profession: Master Marksman	You have mastered the Marksman Profession.
			combat_pistol_master	49																				NONE	none		1									Profession: Master Pistoleer	You have mastered the Pistoleer Profession.
			combat_polearm_master	50																				NONE	none		1									Profession: Master Pikeman	You have mastered the Pikeman Profession.
