missile_type_id	name	max_time	min_time	server_speed	client_speed	countermeasure_time_factor	target_acquisition_seconds	target_acquisition_angle	appearance	trail_appearance	fire_effect	hit_effect	countermeasure_effect	countermeasure_difficulty
11	player_seismic_mk3	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_seismic.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	70
12	player_spacebomb_mk1	12	1	50	45	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_heatseeker.cef	clienteffect/cbt_msl_impact_spacebomb.cef	clienteffect/cbt_cntr_measures_explode.cef	20
13	player_spacebomb_mk2	12	1	50	45	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_heatseeker.cef	clienteffect/cbt_msl_impact_spacebomb.cef	clienteffect/cbt_cntr_measures_explode.cef	30
14	unused1	32	1	50	45	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_seismic.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	40
15	unused2	32	1	50	45	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_seismic.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	40
16	ai_proton_tier1	5	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_concussion_trail.prt	clienteffect/cbt_msl_fire_concussion.cef	clienteffect/cbt_msl_impact_concussion.cef	clienteffect/cbt_cntr_measures_explode.cef	50
17	ai_proton_tier2	6	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_image_recognition_trail.prt	clienteffect/cbt_msl_fire_imagerec.cef	clienteffect/cbt_msl_impact_imagerec.cef	clienteffect/cbt_cntr_measures_explode.cef	60
18	ai_proton_tier3	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_friendorfoe_trail.prt	clienteffect/cbt_msl_fire_proton.cef	clienteffect/cbt_msl_impact_proton.cef	clienteffect/cbt_cntr_measures_explode.cef	70
19	ai_proton_tier4	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_seismic.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	80
20	ai_proton_tier5	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_proton.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	90
