component	engine
eng_sds_imperial_1	tie_engine_s01:
eng_sds_imperial_2	tie_engine_s01:
eng_sds_limited_imperial_1	tie_engine_s01:
eng_seinar_ps56	tie_engine_s01:
eng_sfs_advanced	tie_engine_s01:
eng_sfs_elite	tie_engine_s01:
eng_sfs_imperial_1	tie_engine_s01:
eng_sfs_imperial_2	tie_engine_s01:
eng_sfs_imperial_3	tie_engine_s01:
eng_sfs_imperial_4	tie_engine_s01:
eng_sfs_imperial_5	tie_engine_s01:
eng_sfs_modified_imperial_3	tie_engine_s01:
eng_sfs_performance_imperial_1	tie_engine_s01:
eng_sfs_tuned_imperial_2	tie_engine_s01:
eng_sorosuub_l_337_ion_engine	tie_engine_s01:
eng_sorosuub_tuned_l_337_ion_engine	tie_engine_s01:
eng_sorosuub_u83r_ion_drive	tie_engine_s01:
eng_subpro_light_engines	tie_engine_s01:
eng_surronian_a2	tie_engine_s01:
eng_surronian_a25	tie_engine_s01:
eng_ubrikkian_n2	tie_engine_s01:
eng_reward_kuat_elite	tie_engine_s01:
eng_nova_01	tie_engine_s01:
eng_orion_01	tie_engine_s01:
collection_reward_engine_01_mk1	tie_engine_s01:
collection_reward_engine_01_mk2	tie_engine_s01:
collection_reward_engine_01_mk3	tie_engine_s01:
collection_reward_engine_01_mk4	tie_engine_s01:
collection_reward_engine_01_mk5	tie_engine_s01:
eng_t86_shooting_star	tie_engine_s01:
eng_kuat_m24	tie_engine_s01:
