name	object_template	shared_object_template	component_type	compatibility
arm_durasteel_plating	object/tangible/ship/crafted/armor/durasteel_plating.iff	object/tangible/ship/crafted/armor/shared_durasteel_plating.iff	armor	arm_0
arm_elite_armor	object/tangible/ship/crafted/armor/elite_armor.iff	object/tangible/ship/crafted/armor/shared_elite_armor.iff	armor	arm_0
arm_exp_durasteel_plating	object/tangible/ship/crafted/armor/experimental_armor.iff	object/tangible/ship/crafted/armor/shared_experimental_armor.iff	armor	arm_0
arm_fibertech_steel_plating	object/tangible/ship/components/armor/arm_fibertech_steel_plating.iff	object/tangible/ship/components/armor/shared_arm_fibertech_steel_plating.iff	armor	arm_0
arm_freitek_deluxe_light	object/tangible/ship/components/armor/arm_freitek_deluxe_light.iff	object/tangible/ship/components/armor/shared_arm_freitek_deluxe_light.iff	armor	arm_0
arm_freitek_standard	object/tangible/ship/components/armor/arm_freitek_standard.iff	object/tangible/ship/components/armor/shared_arm_freitek_standard.iff	armor	arm_0
arm_gallofree_mk1	object/tangible/ship/components/armor/arm_gallofree_mk1.iff	object/tangible/ship/components/armor/shared_arm_gallofree_mk1.iff	armor	arm_0
arm_gallofree_mk2	object/tangible/ship/components/armor/arm_gallofree_mk2.iff	object/tangible/ship/components/armor/shared_arm_gallofree_mk2.iff	armor	arm_0
arm_generic	object/tangible/ship/components/armor/arm_generic.iff	object/tangible/ship/components/armor/shared_arm_generic.iff	armor	arm_0
arm_gunship_mk1	object/tangible/ship/crafted/armor/gunship_armor_mk1.iff	object/tangible/ship/crafted/armor/shared_gunship_armor_mk1.iff	armor	arm_gunship
arm_gunship_mk2	object/tangible/ship/crafted/armor/gunship_armor_mk2.iff	object/tangible/ship/crafted/armor/shared_gunship_armor_mk2.iff	armor	arm_gunship
arm_gunship_mk3	object/tangible/ship/crafted/armor/gunship_armor_mk3.iff	object/tangible/ship/crafted/armor/shared_gunship_armor_mk3.iff	armor	arm_gunship
arm_incom_light_plate	object/tangible/ship/components/armor/arm_incom_light_plate.iff	object/tangible/ship/components/armor/shared_arm_incom_light_plate.iff	armor	arm_0
arm_incom_modified_standard_plate	object/tangible/ship/components/armor/arm_incom_modified_standard_plate.iff	object/tangible/ship/components/armor/shared_arm_incom_modified_standard_plate.iff	armor	arm_0
arm_incom_standard_plate	object/tangible/ship/components/armor/arm_incom_standard_plate.iff	object/tangible/ship/components/armor/shared_arm_incom_standard_plate.iff	armor	arm_0
arm_kessel_imperial_rendili_crystalline_durasteel	object/tangible/ship/components/armor/arm_kessel_imperial_rendili_crystalline_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kessel_imperial_rendili_crystalline_durasteel.iff	armor	arm_0
arm_kessel_imperial_sds_imperial_impervious	object/tangible/ship/components/armor/arm_kessel_imperial_sds_imperial_impervious.iff	object/tangible/ship/components/armor/shared_arm_kessel_imperial_sds_imperial_impervious.iff	armor	arm_0
arm_kessel_imperial_sfs_imperial_finest	object/tangible/ship/components/armor/arm_kessel_imperial_sfs_imperial_finest.iff	object/tangible/ship/components/armor/shared_arm_kessel_imperial_sfs_imperial_finest.iff	armor	arm_0
arm_kessel_rebel_mandal_corrugated_plastisteel	object/tangible/ship/components/armor/arm_kessel_rebel_mandal_corrugated_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_kessel_rebel_mandal_corrugated_plastisteel.iff	armor	arm_0
arm_kessel_rebel_slayn_flexsteel_multilayer	object/tangible/ship/components/armor/arm_kessel_rebel_slayn_flexsteel_multilayer.iff	object/tangible/ship/components/armor/shared_arm_kessel_rebel_slayn_flexsteel_multilayer.iff	armor	arm_0
arm_kessel_rebel_sorosuub_spidershell_plating	object/tangible/ship/components/armor/arm_kessel_rebel_sorosuub_spidershell_plating.iff	object/tangible/ship/components/armor/shared_arm_kessel_rebel_sorosuub_spidershell_plating.iff	armor	arm_0
arm_koensayr_advanced_durasteel	object/tangible/ship/components/armor/arm_koensayr_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_advanced_durasteel.iff	armor	arm_0
arm_koensayr_b5_durasteel	object/tangible/ship/components/armor/arm_koensayr_b5_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_b5_durasteel.iff	armor	arm_0
arm_koensayr_b9_durasteel	object/tangible/ship/components/armor/arm_koensayr_b9_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_b9_durasteel.iff	armor	arm_0
arm_koensayr_elite_plastisteel	object/tangible/ship/components/armor/arm_koensayr_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_elite_plastisteel.iff	armor	arm_0
arm_koensayr_enhanced_heavy_durasteel	object/tangible/ship/components/armor/arm_koensayr_enhanced_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_enhanced_heavy_durasteel.iff	armor	arm_0
arm_koensayr_enhanced_standard_durasteel	object/tangible/ship/components/armor/arm_koensayr_enhanced_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_enhanced_standard_durasteel.iff	armor	arm_0
arm_koensayr_heavy_durasteel	object/tangible/ship/components/armor/arm_koensayr_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_heavy_durasteel.iff	armor	arm_0
arm_koensayr_improved_elite_plastisteel	object/tangible/ship/components/armor/arm_koensayr_improved_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_improved_elite_plastisteel.iff	armor	arm_0
arm_koensayr_light_advanced_durasteel	object/tangible/ship/components/armor/arm_koensayr_light_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_light_advanced_durasteel.iff	armor	arm_0
arm_koensayr_limited_heavy_durasteel	object/tangible/ship/components/armor/arm_koensayr_limited_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_limited_heavy_durasteel.iff	armor	arm_0
arm_koensayr_limited_supreme_durasteel	object/tangible/ship/components/armor/arm_koensayr_limited_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_limited_supreme_durasteel.iff	armor	arm_0
arm_koensayr_promotional_b9_durasteel	object/tangible/ship/components/armor/arm_koensayr_promotional_b9_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_promotional_b9_durasteel.iff	armor	arm_0
arm_koensayr_reinforced_b5_durasteel	object/tangible/ship/components/armor/arm_koensayr_reinforced_b5_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_reinforced_b5_durasteel.iff	armor	arm_0
arm_koensayr_special_supreme_durasteel	object/tangible/ship/components/armor/arm_koensayr_special_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_special_supreme_durasteel.iff	armor	arm_0
arm_koensayr_standard_durasteel	object/tangible/ship/components/armor/arm_koensayr_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_standard_durasteel.iff	armor	arm_0
arm_koensayr_supreme_durasteel	object/tangible/ship/components/armor/arm_koensayr_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_supreme_durasteel.iff	armor	arm_0
arm_koensayr_thick_advanced_durasteel	object/tangible/ship/components/armor/arm_koensayr_thick_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_koensayr_thick_advanced_durasteel.iff	armor	arm_0
arm_kse_advanced_durasteel	object/tangible/ship/components/armor/arm_kse_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_advanced_durasteel.iff	armor	arm_0
arm_kse_customized_advanced_durasteel	object/tangible/ship/components/armor/arm_kse_customized_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_customized_advanced_durasteel.iff	armor	arm_0
arm_kse_elite_durasteel	object/tangible/ship/components/armor/arm_kse_elite_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_elite_durasteel.iff	armor	arm_0
arm_kse_heavy_durasteel	object/tangible/ship/components/armor/arm_kse_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_heavy_durasteel.iff	armor	arm_0
arm_kse_intermediate_durasteel	object/tangible/ship/components/armor/arm_kse_intermediate_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_intermediate_durasteel.iff	armor	arm_0
arm_kse_limited_heavy_durasteel	object/tangible/ship/components/armor/arm_kse_limited_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_limited_heavy_durasteel.iff	armor	arm_0
arm_kse_modified_heavy_durasteel	object/tangible/ship/components/armor/arm_kse_modified_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_modified_heavy_durasteel.iff	armor	arm_0
arm_kse_modified_light_durasteel	object/tangible/ship/components/armor/arm_kse_modified_light_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_modified_light_durasteel.iff	armor	arm_0
arm_kse_modified_supreme_durasteel	object/tangible/ship/components/armor/arm_kse_modified_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_modified_supreme_durasteel.iff	armor	arm_0
arm_kse_standard_durasteel	object/tangible/ship/components/armor/arm_kse_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_standard_durasteel.iff	armor	arm_0
arm_kse_supreme_durasteel	object/tangible/ship/components/armor/arm_kse_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_kse_supreme_durasteel.iff	armor	arm_0
arm_mandal_advanced_composite	object/tangible/ship/components/armor/arm_mandal_advanced_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_advanced_composite.iff	armor	arm_0
arm_mandal_composite_j5	object/tangible/ship/components/armor/arm_mandal_composite_j5.iff	object/tangible/ship/components/armor/shared_arm_mandal_composite_j5.iff	armor	arm_0
arm_mandal_composite_j7	object/tangible/ship/components/armor/arm_mandal_composite_j7.iff	object/tangible/ship/components/armor/shared_arm_mandal_composite_j7.iff	armor	arm_0
arm_mandal_custom_heavy_composite	object/tangible/ship/components/armor/arm_mandal_custom_heavy_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_custom_heavy_composite.iff	armor	arm_0
arm_mandal_double_insulated_i5	object/tangible/ship/components/armor/arm_mandal_double_insulated_i5.iff	object/tangible/ship/components/armor/shared_arm_mandal_double_insulated_i5.iff	armor	arm_0
arm_mandal_double_insulated_i7	object/tangible/ship/components/armor/arm_mandal_double_insulated_i7.iff	object/tangible/ship/components/armor/shared_arm_mandal_double_insulated_i7.iff	armor	arm_0
arm_mandal_double_plated_composite_j7	object/tangible/ship/components/armor/arm_mandal_double_plated_composite_j7.iff	object/tangible/ship/components/armor/shared_arm_mandal_double_plated_composite_j7.iff	armor	arm_0
arm_mandal_elite_composite	object/tangible/ship/components/armor/arm_mandal_elite_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_elite_composite.iff	armor	arm_0
arm_mandal_enhanced_elite_composite	object/tangible/ship/components/armor/arm_mandal_enhanced_elite_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_enhanced_elite_composite.iff	armor	arm_0
arm_mandal_enhanced_heavy_composite	object/tangible/ship/components/armor/arm_mandal_enhanced_heavy_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_enhanced_heavy_composite.iff	armor	arm_0
arm_mandal_heavy_composite	object/tangible/ship/components/armor/arm_mandal_heavy_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_heavy_composite.iff	armor	arm_0
arm_mandal_insulated_i7	object/tangible/ship/components/armor/arm_mandal_insulated_i7.iff	object/tangible/ship/components/armor/shared_arm_mandal_insulated_i7.iff	armor	arm_0
arm_mandal_modified_supreme_composite	object/tangible/ship/components/armor/arm_mandal_modified_supreme_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_modified_supreme_composite.iff	armor	arm_0
arm_mandal_modifier_composite_j5	object/tangible/ship/components/armor/arm_mandal_modifier_composite_j5.iff	object/tangible/ship/components/armor/shared_arm_mandal_modifier_composite_j5.iff	armor	arm_0
arm_mandal_reinforced_advanced_composite	object/tangible/ship/components/armor/arm_mandal_reinforced_advanced_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_reinforced_advanced_composite.iff	armor	arm_0
arm_mandal_supreme_composite	object/tangible/ship/components/armor/arm_mandal_supreme_composite.iff	object/tangible/ship/components/armor/shared_arm_mandal_supreme_composite.iff	armor	arm_0
arm_mission_reward_imperial_rss_special_durasteel	object/tangible/ship/components/armor/arm_mission_reward_imperial_rss_special_durasteel.iff	object/tangible/ship/components/armor/shared_arm_mission_reward_imperial_rss_special_durasteel.iff	armor	arm_0
arm_mission_reward_imperial_sfs_light_military	object/tangible/ship/components/armor/arm_mission_reward_imperial_sfs_light_military.iff	object/tangible/ship/components/armor/shared_arm_mission_reward_imperial_sfs_light_military.iff	armor	arm_0
arm_mission_reward_neutral_kse_handcrafted	object/tangible/ship/components/armor/arm_mission_reward_neutral_kse_handcrafted.iff	object/tangible/ship/components/armor/shared_arm_mission_reward_neutral_kse_handcrafted.iff	armor	arm_0
arm_mission_reward_rebel_corellian_triplate	object/tangible/ship/components/armor/arm_mission_reward_rebel_corellian_triplate.iff	object/tangible/ship/components/armor/shared_arm_mission_reward_rebel_corellian_triplate.iff	armor	arm_0
arm_mission_reward_rebel_incom_ultralight	object/tangible/ship/components/armor/arm_mission_reward_rebel_incom_ultralight.iff	object/tangible/ship/components/armor/shared_arm_mission_reward_rebel_incom_ultralight.iff	armor	arm_0
arm_moncal_advanced_weave	object/tangible/ship/components/armor/arm_moncal_advanced_weave.iff	object/tangible/ship/components/armor/shared_arm_moncal_advanced_weave.iff	armor	arm_0
arm_moncal_elite_weave	object/tangible/ship/components/armor/arm_moncal_elite_weave.iff	object/tangible/ship/components/armor/shared_arm_moncal_elite_weave.iff	armor	arm_0
arm_moncal_improved_light_weave	object/tangible/ship/components/armor/arm_moncal_improved_light_weave.iff	object/tangible/ship/components/armor/shared_arm_moncal_improved_light_weave.iff	armor	arm_0
arm_moncal_light_weave	object/tangible/ship/components/armor/arm_moncal_light_weave.iff	object/tangible/ship/components/armor/shared_arm_moncal_light_weave.iff	armor	arm_0
arm_moncal_supreme_weave	object/tangible/ship/components/armor/arm_moncal_supreme_weave.iff	object/tangible/ship/components/armor/shared_arm_moncal_supreme_weave.iff	armor	arm_0
arm_prototype	object/tangible/ship/components/armor/arm_prototype_armor.iff	object/tangible/ship/components/armor/shared_arm_prototype_armor.iff	armor	arm_0
arm_rendili_tough_plate	object/tangible/ship/components/armor/arm_rendili_tough_plate.iff	object/tangible/ship/components/armor/shared_arm_rendili_tough_plate.iff	armor	arm_0
arm_reward_alderaan_elite	object/tangible/ship/components/armor/arm_reward_alderaan_elite.iff	object/tangible/ship/components/armor/shared_arm_reward_alderaan_elite.iff	armor	arm_0
arm_reward_baktoid_elite	object/tangible/ship/components/armor/arm_reward_baktoid_elite.iff	object/tangible/ship/components/armor/shared_arm_reward_baktoid_elite.iff	armor	arm_0
arm_reward_freitek_elite	object/tangible/ship/components/armor/arm_reward_freitek_elite.iff	object/tangible/ship/components/armor/shared_arm_reward_freitek_elite.iff	armor	arm_0
arm_reward_mandal_elite	object/tangible/ship/components/armor/arm_reward_mandal_elite.iff	object/tangible/ship/components/armor/shared_arm_reward_mandal_elite.iff	armor	arm_0
arm_reward_subpro_elite	object/tangible/ship/components/armor/arm_reward_subpro_elite.iff	object/tangible/ship/components/armor/shared_arm_reward_subpro_elite.iff	armor	arm_0
arm_rss_light_plastisteel	object/tangible/ship/components/armor/arm_rss_light_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_rss_light_plastisteel.iff	armor	arm_0
arm_sds_triplate_system	object/tangible/ship/components/armor/arm_sds_triplate_system.iff	object/tangible/ship/components/armor/shared_arm_sds_triplate_system.iff	armor	arm_0
arm_sfs_enhanced_standard_durasteel	object/tangible/ship/components/armor/arm_sfs_enhanced_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_sfs_enhanced_standard_durasteel.iff	armor	arm_0
arm_sfs_light_durasteel	object/tangible/ship/components/armor/arm_sfs_light_durasteel.iff	object/tangible/ship/components/armor/shared_arm_sfs_light_durasteel.iff	armor	arm_0
arm_sfs_standard_durasteel	object/tangible/ship/components/armor/arm_sfs_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_sfs_standard_durasteel.iff	armor	arm_0
arm_slayn_tech_weave	object/tangible/ship/components/armor/arm_slayn_tech_weave.iff	object/tangible/ship/components/armor/shared_arm_slayn_tech_weave.iff	armor	arm_0
arm_sorosuub_advanced_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_advanced_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_advanced_plastisteel.iff	armor	arm_0
arm_sorosuub_elite_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_elite_plastisteel.iff	armor	arm_0
arm_sorosuub_enhanced_advanced_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_enhanced_advanced_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_enhanced_advanced_plastisteel.iff	armor	arm_0
arm_sorosuub_heavy_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_heavy_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_heavy_plastisteel.iff	armor	arm_0
arm_sorosuub_improved_light_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_improved_light_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_improved_light_plastisteel.iff	armor	arm_0
arm_sorosuub_intemediate_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_intemediate_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_intemediate_plastisteel.iff	armor	arm_0
arm_sorosuub_modified_elite_plastisteel	object/tangible/ship/components/armor/arm_sorosuub_modified_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_modified_elite_plastisteel.iff	armor	arm_0
arm_sorosuub_special_intermediate_durasteel	object/tangible/ship/components/armor/arm_sorosuub_special_intermediate_durasteel.iff	object/tangible/ship/components/armor/shared_arm_sorosuub_special_intermediate_durasteel.iff	armor	arm_0
arm_subpro_advanced_plasisteel	object/tangible/ship/components/armor/arm_subpro_advanced_plasisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_advanced_plasisteel.iff	armor	arm_0
arm_subpro_bargain_plastisteel	object/tangible/ship/components/armor/arm_subpro_bargain_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_bargain_plastisteel.iff	armor	arm_0
arm_subpro_elite_plastisteel	object/tangible/ship/components/armor/arm_subpro_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_elite_plastisteel.iff	armor	arm_0
arm_subpro_enhanced_supreme_plastisteel	object/tangible/ship/components/armor/arm_subpro_enhanced_supreme_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_enhanced_supreme_plastisteel.iff	armor	arm_0
arm_subpro_experimental_advanced_plastisteel	object/tangible/ship/components/armor/arm_subpro_experimental_advanced_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_experimental_advanced_plastisteel.iff	armor	arm_0
arm_subpro_heavy_plastisteel	object/tangible/ship/components/armor/arm_subpro_heavy_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_heavy_plastisteel.iff	armor	arm_0
arm_subpro_improved_light_plastisteel	object/tangible/ship/components/armor/arm_subpro_improved_light_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_improved_light_plastisteel.iff	armor	arm_0
arm_subpro_improved_standard_durasteel	object/tangible/ship/components/armor/arm_subpro_improved_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_improved_standard_durasteel.iff	armor	arm_0
arm_subpro_limited_heavy_plastisteel	object/tangible/ship/components/armor/arm_subpro_limited_heavy_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_limited_heavy_plastisteel.iff	armor	arm_0
arm_subpro_special_elite_plastisteel	object/tangible/ship/components/armor/arm_subpro_special_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_special_elite_plastisteel.iff	armor	arm_0
arm_subpro_standard_plastisteel	object/tangible/ship/components/armor/arm_subpro_standard_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_standard_plastisteel.iff	armor	arm_0
arm_subpro_supreme_plastisteel	object/tangible/ship/components/armor/arm_subpro_supreme_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_subpro_supreme_plastisteel.iff	armor	arm_0
arm_ur_0015_rancor	object/tangible/ship/components/armor/arm_ur_0015_rancor.iff	object/tangible/ship/components/armor/shared_arm_ur_0015_rancor.iff	armor	arm_0
armor_alderaan_royal_plate.iff	object/tangible/ship/components/armor/armor_alderaan_royal_plate.iff	object/tangible/ship/components/armor/shared_armor_alderaan_royal_plate.iff	armor	arm_0
armor_alderaan_royal_weave.iff	object/tangible/ship/components/armor/armor_alderaan_royal_weave.iff	object/tangible/ship/components/armor/shared_armor_alderaan_royal_weave.iff	armor	arm_0
armor_baktoid_mtt_prototype.iff	object/tangible/ship/components/armor/armor_baktoid_mtt_prototype.iff	object/tangible/ship/components/armor/shared_armor_baktoid_mtt_prototype.iff	armor	arm_0
armor_baktoid_shock_armor.iff	object/tangible/ship/components/armor/armor_baktoid_shock_armor.iff	object/tangible/ship/components/armor/shared_armor_baktoid_shock_armor.iff	armor	arm_0
armor_baktoid_spider_shell_g2.iff	object/tangible/ship/components/armor/armor_baktoid_spider_shell_g2.iff	object/tangible/ship/components/armor/shared_armor_baktoid_spider_shell_g2.iff	armor	arm_0
armor_freitek_es4_durasteel.iff	object/tangible/ship/components/armor/armor_freitek_es4_durasteel.iff	object/tangible/ship/components/armor/shared_armor_freitek_es4_durasteel.iff	armor	arm_0
armor_freitek_ew6_prototype.iff	object/tangible/ship/components/armor/armor_freitek_ew6_prototype.iff	object/tangible/ship/components/armor/shared_armor_freitek_ew6_prototype.iff	armor	arm_0
armor_mandal_composite_j14.iff	object/tangible/ship/components/armor/armor_mandal_composite_j14.iff	object/tangible/ship/components/armor/shared_armor_mandal_composite_j14.iff	armor	arm_0
armor_mandal_insulated_i5.iff	object/tangible/ship/components/armor/armor_mandal_insulated_i5.iff	object/tangible/ship/components/armor/shared_armor_mandal_insulated_i5.iff	armor	arm_0
armor_seinar_coated_plasteel.iff	object/tangible/ship/components/armor/armor_seinar_coated_plasteel.iff	object/tangible/ship/components/armor/shared_armor_seinar_coated_plasteel.iff	armor	arm_0
armor_seinar_enhanced_plasteel.iff	object/tangible/ship/components/armor/armor_seinar_enhanced_plasteel.iff	object/tangible/ship/components/armor/shared_armor_seinar_enhanced_plasteel.iff	armor	arm_0
armor_subpro_corrugated_durasteel.iff	object/tangible/ship/components/armor/armor_subpro_corrugated_durasteel.iff	object/tangible/ship/components/armor/shared_armor_subpro_corrugated_durasteel.iff	armor	arm_0
armor_subpro_light_plasteel.iff	object/tangible/ship/components/armor/armor_subpro_light_plasteel.iff	object/tangible/ship/components/armor/shared_armor_subpro_light_plasteel.iff	armor	arm_0
armor_subpro_reinforced_plasteel.iff	object/tangible/ship/components/armor/armor_subpro_reinforced_plasteel.iff	object/tangible/ship/components/armor/shared_armor_subpro_reinforced_plasteel.iff	armor	arm_0
armor_test.iff	object/tangible/ship/components/armor/armor_test.iff	object/tangible/ship/components/armor/shared_armor_test.iff	armor	arm_0
armor_tiefighter_basic	object/tangible/ship/components/armor/armor_tiefighter_basic.iff	object/tangible/ship/components/armor/shared_armor_tiefighter_basic.iff	armor	arm_basic
armor_trilon_custom.iff	object/tangible/ship/components/armor/armor_trilon_custom.iff	object/tangible/ship/components/armor/shared_armor_trilon_custom.iff	armor	arm_0
armor_trilon_unknown.iff	object/tangible/ship/components/armor/armor_trilon_unknown.iff	object/tangible/ship/components/armor/shared_armor_trilon_unknown.iff	armor	arm_0
armor_z95_basic	object/tangible/ship/components/armor/armor_z95_basic.iff	object/tangible/ship/components/armor/shared_armor_z95_basic.iff	armor	arm_basic
bdg_generic			bridge	bdg_0
bst_corellian_advanced_thrust_enhancer	object/tangible/ship/components/booster/bst_corellian_advanced_thrust_enhancer.iff	object/tangible/ship/components/booster/shared_bst_corellian_advanced_thrust_enhancer.iff	booster	bst_0
bst_corellian_elite_thrust_enhancer	object/tangible/ship/components/booster/bst_corellian_elite_thrust_enhancer.iff	object/tangible/ship/components/booster/shared_bst_corellian_elite_thrust_enhancer.iff	booster	bst_0
bst_corellian_experimental_tjh3	object/tangible/ship/components/booster/bst_corellian_experimental_tjh3.iff	object/tangible/ship/components/booster/shared_bst_corellian_experimental_tjh3.iff	booster	bst_0
