component	engine	weapon_0	weapon_1
wpn_incom_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_incom_disruptor		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_incom_proton_missile_s01		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_incom_quad_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_incom_seismic_missile_s01		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_incom_shredder		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_light_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_light_disruptor		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_light_ioncannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_medium_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_medium_disruptor		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_medium_ioncannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_seinar_concussion_missile_s01		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_seinar_disruptor		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_seinar_ion_cannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_seinar_linked_cannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_seinar_ls1		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_seinar_ls72		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_sienar_heatseeker_missile_s01		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_slayn_imagerec_missile_s01		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_slayn_ioncannon		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_subpro_tripleblaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_subpro_tripleblaster_mark2		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_taim_heavy_laser		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_taim_ix4		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_taim_kx5		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_taim_kx9		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1
wpn_z95_blaster		ykl37r_turret_base:turretyaw1	ykl37r_turret_base:turretyaw1

