creatureName	BaseLevel	Damagelevelmodifier	StatLevelModifier	ToHitLevelModifier	ArmorLevelModifier	difficultyClass	stealingFlags	notes	where	socialGroup	pvpFaction	isSpecialForces	template	minScale	maxScale	hue	minDrainModifier	maxDrainModifier	minFaucetModifier	maxFaucetModifier	armorKinetic	armorEnergy	armorBlast	armorHeat	armorCold	armorElectric	armorAcid	armorStun	attackSpeed	hasResources	milkType	meat	meatType	hide	hideType	bone	boneType	rare	rareType	geneProfile	minCash	maxCash	intLootRolls	intRollPercent	lootTable	lootList	collectionRoll	collectionLoot	col_faction	chronicleLootChance	chronicleLootCategory	canTame	wildAbilityList	niche	invulnerable	rootImmune	snareImmune	stunImmune	mezImmune	canNotPunish	tauntImmune	ignorePlayer	skillmods	objvars	scripts	clothesList	utterance	diction	canOfferMission	movement_speed	primary_weapon	primary_weapon_speed	secondary_weapon	secondary_weapon_speed	primary_weapon_specials	secondary_weapon_specials	aggressive	assist	stalker	herd	death_blow
adept_jinda_shaman	65	6	0	0	0	NORMAL			endor	jinda_tribe	jinda_tribe		species_choices_jinda			0					0	0	0	0	0	0	0	0	2												0	0			npc/npc_61_70	generic_npc_7		"col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_aurebesh_tiles,col_shattered_shard_03,col_glass_shelving_02"						npc																	general_unarmed		none		commoner_6	commoner_6	0	12			
adept_panshee_shaman	69	0	2	0	0	NORMAL			endor	panshee_tribe	panshee_tribe		species_choices_ewok			0					0	0	0	0	0	0	0	0	2												0	0			npc/npc_61_70	generic_npc_7		"col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_aurebesh_tiles,col_shattered_shard_03,col_glass_shelving_02"		18	panshee			npc																	ewok_ranged		ewok_melee		spy_6	melee_6	0	12			
afarathu_cult_bodyguard	30	0	0	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	1.2	1.4	0					0	10	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_carbine		pirate_carbine		smuggler_3	smuggler_3	6	6			yes
afarathu_cult_brute	29	0	0	0	-3	NORMAL			corellia	afarathu	afarathu		selonian_female	0.8	1.2	0					10	5	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_carbine		pirate_carbine		smuggler_2	smuggler_2	6	6			yes
afarathu_cult_follower	30	0	0	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	1	1.4	0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_polearm		pirate_polearm		smuggler_3	smuggler_3	0	2			
afarathu_cult_hellion	30	0	0	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	0.8	1.2	0					0	10	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_carbine		pirate_carbine		smuggler_3	smuggler_3	6	6			yes
afarathu_cult_leader	31	0	0	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	1.4	1.8	0					0	15	0	0	0	-1	0	-1	2																npc/npc_31_40	generic_npc_4		"housing_improvement_01,col_aurebesh_tiles,col_shattered_shard_01"		18	afarathu			npc											ai.thug				1		pirate_carbine		pirate_sword		smuggler_3	melee_3	6	6			yes
afarathu_cult_ruffian	30	0	0	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	0.8	1.2	0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_pistol		pirate_pistol		smuggler_3	smuggler_3	0	2			
afarathu_cult_savage	30	1	-1	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	0.8	1.2	0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_carbine		pirate_carbine		smuggler_3	smuggler_3	6	6			
afarathu_cult_zealot	30	0	0	0	0	NORMAL			corellia	afarathu	afarathu		selonian_female	1	1.4	0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3				18	afarathu			npc											ai.thug						pirate_carbine		pirate_carbine		smuggler_3	smuggler_3	6	6			yes
gcw_comm_link_reinforcement_rebel_9	61	0	0	0	0	NORMAL			endor	lantern			lantern_bird_hue.iff	1	1	4					0	55	-1	0	0	0	-1	0	2	1			meat_herbivore	41	hide_leathery	46	bone_avian			defaultProfile					creature/creature_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_glass_shelving_02"				0.1	medTankUtilityWeak	herbivore																					avian_4	avian_4	0	12		1	
agrilat_plumed_rasp	34	2	-2	0	0	NORMAL			corellia	rasp			plumed_rasp_hue.iff	3	3.2	3					0	0	0	0	0	10	0	-1	2	1		3	meat_avian			2	bone_avian			defaultProfile					creature/creature_31_40	generic_creature_4		housing_improvement_01				0.1	lowAttackUtilityWeak	herbivore																					avian_2	avian_2	0	2			
ajuva_vanasterin	100	0	0	0	0	NORMAL			rori	townsperson			dressed_ajuva_vanasterin.iff			0					0	0	0	0	0	0	0	0	2																npc/npc_81_90	generic_npc_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3,col_aurebesh_tiles"						npc													noble	fancy			rebel_carbine		rebel_sword		commoner_10	commoner_10	0	2			
alkhara_bandit	15	0	0	0	0	NORMAL			tatooine	alkhara	alkhara		criminal_thug			0					0	0	10	10	0	0	0	-1	2																npc/npc_11_20	generic_npc_2								npc													pirate	slang			general_rifle		pirate_polearm		smuggler_1	melee_1	0	2	1		yes
alkhara_bandit_king	17	0	0	0	0	NORMAL			tatooine	alkhara	alkhara		male_criminal_thug			0					0	0	35	35	-1	-1	0	-1	2																npc/npc_11_20	generic_npc_2								npc													pirate	slang			pirate_rifle_low_level		pirate_sword		smuggler_1	melee_1	0	2	1		yes
alkhara_champion	21	0	1	0	-4	NORMAL			tatooine	alkhara	alkhara		criminal_thug			0					20	0	25	25	-1	-1	-1	-1	2																npc/npc_21_30	generic_npc_3								npc													pirate	slang			pirate_carbine_low_level		pirate_polearm		smuggler_2	melee_2	0	2	1		yes
alkhara_lieutenant	20	0	0	0	0	NORMAL			tatooine	alkhara	alkhara		criminal_thug			0					0	0	25	25	-1	-1	-1	-1	2																npc/npc_11_20	generic_npc_2								npc													pirate	slang			pirate_rifle_low_level		pirate_sword		smuggler_2	melee_2	0	2	1		yes
alliance_intelligence_case_officer	22	0	0	0	0	NORMAL			global	rebel	Rebel		rebel_recruiter			0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3								npc													pirate	slang			rebel_rifle		rebel_pistol		commando_2	commando_2	0	2			yes
alpha_bolma	62	1	0	0	-1	NORMAL			dathomir	bolma			bolma_hue.iff	1.8	2.2	2					45	25	0	-1	0	-1	-1	-1	2	1		500	meat_wild	550	hide_leathery	500	bone_mammal			defaultProfile					creature/creature_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_glass_shelving_02"				0.015	medTankDefenseAvg	herbivore																					bull_4	bull_4	12	12		1	
alpha_veermok	19	0	0	0	-4	NORMAL			naboo	veermok			veermok_hue.iff	2	2.2	1					30	0	0	-1	0	0	-1	-1	2	1		150	meat_carnivore	150	hide_bristley	40	bone_mammal			defaultProfile					creature/creature_11_20	generic_creature_2						0.1	lowAttackSpeedWeak	carnivore																					gorilla_2	gorilla_2	0	24			
anchorjobs_ordo	100	0	0	0	0	NORMAL		quest NPC for Button Story Arc	tatooine	townsperson			dressed_anchorjobs_ordo.iff	1	1	0					0	0	0	0	0	0	0	-1	2																npc/npc_81_90	generic_npc_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3,col_aurebesh_tiles"						npc	1										conversation.tatooine_anchorjobs_ordo										commoner_10	commoner_10	0	2			
ancient_bull_rancor	90	0	0	0	0	ELITE			dathomir	rancor			rancor_hue.iff	1.5	1.8	3					50	65	0	100	100	100	0	0	2	1		1100	meat_carnivore	1000	hide_leathery	950	bone_mammal			defaultProfile			1	80	npc/elite_npc:elite_npc_81_90	boss_creature_9	6	"col_rancor_parts,housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_dejarik_holomonster,col_dejarik_table,col_dejarik_table,col_story_count_dooku_set_2,col_shattered_shard_02"		18	bull_rancor			carnivore									"snare_defense=200,root_defense=200"												gorilla_5	gorilla_5	9	9			instant
ancient_graul	83	0	0	0	0	NORMAL			dantooine	graul			graul_hue.iff	0.9	1.1	1					60	45	70	70	70	-1	0	0	2	1		950	meat_carnivore	875	hide_leathery	775	bone_mammal			defaultProfile					creature/creature_71_80	generic_creature_8		"housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_2"				0.009	highAttackAbilityAvg	carnivore																					gorilla_5	gorilla_5	12	12			
ancient_reptilian_flier	68	2	-2	0	0	NORMAL			dathomir	reptilian_flier			reptilian_flier_hue.iff	1.2	1.4	2					20	30	0	50	50	-1	50	-1	2	1		135	meat_avian	90	hide_leathery	85	bone_avian			defaultProfile					creature/creature_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_glass_shelving_02"				0.05	medTankUtilityStrong	carnivore																					avian_4	avian_4	12	12			
angler	81	0	0	0	0	NORMAL			yavin4	angler			angler_hue.iff	0.8	1.2	2					0	0	0	0	0	0	0	-1	2	1		4	meat_insect							defaultProfile					creature/insect_71_80	generic_creature_8		"housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_2"				0.1	highTankArmorAvg	carnivore																					spider_4	spider_4	12	12	1		
angler_bone	68	1	-1	1	-1	NORMAL			yavin4	angler			angler.iff	1.2	1.3	0					0	0	0	0	0	0	0	-1	2	1		4	meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.05	medTankUtilityStrong	carnivore																					spider_3	spider_3	12	12	1		
angler_hatchling	80	0	0	0	0	NORMAL			yavin4	angler			angler_hue.iff	0.4	0.6	2					0	0	0	0	0	0	0	-1	2	1		2	meat_insect							defaultProfile					creature/insect_71_80	generic_creature_8		"housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_2"				0.1	medTankArmorAvg	carnivore																					spider_4	spider_4	0	2	1		
angler_recluse	82	0	0	0	0	NORMAL			yavin4	angler			angler_hue.iff	1.2	1.4	4					25	20	-1	0	0	-1	0	-1	2	1		2	meat_insect							defaultProfile					creature/insect_71_80	generic_creature_8		"housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_2"				0.05	medTankDefenseStrong	carnivore																					spider_4	spider_4	12	12	1		
angry_baz_nitch_avenger	62	2	-2	0	0	NORMAL			dathomir	baz_nitch			baz_nitch_hue.iff	1	1.5	2					0	35	0	0	0	0	0	0	2	1		5	meat_wild	2	hide_leathery	2	bone_mammal			defaultProfile					creature/creature_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_glass_shelving_02"				0.0015	highAttackAbilityStrong	herbivore																	object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		turkey_4	turkey_4	12	12		1	yes
ankura_gungan	5	0	0	0	0	NORMAL			naboo	gungan	gungan		ankura_gungan			0					0	0	0	0	0	0	0	-1	2																npc/npc_1_10	generic_npc_1								npc													townsperson	townperson	1		rebel_carbine		rebel_sword				0	2			
ankura_gungan_devious	84	0	0	0	0	NORMAL		Gungan Power Grab mobs	naboo	gungan	gungan		ankura_gungan			0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_2		col_shattered_shard_02						npc																	rebel_carbine		rebel_sword				0	2			
arachne_drone	63	0	0	0	0	NORMAL			endor	arachne			angler_hue.iff	0.5	0.6	4					35	25	0	40	40	-1	40	-1	2	1			meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.1	medAttackSpeedAvg	carnivore																	object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		spider_3	spider_3	12	12			
arachne_fleshripper	64	0	0	0	0	NORMAL			endor	arachne			angler_hue.iff	1	1.4	3					10	40	-1	20	20	0	20	0	2	1			meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.05	medAttackSpeedStrong	carnivore																	object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		spider_3	spider_3	12	12			instant
arachne_hatchling	64	0	0	0	0	NORMAL			endor	arachne			angler_hue.iff	0.5	0.5	1					10	10	0	-1	-1	0	85	0	2	1		1	meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.1	lowAttackSpeedAvg	carnivore																					spider_3	spider_3	0	12		1	
arachne_pygmy	10	-1	0	-2	0	NORMAL		quest NPC for Opening Moves Arc	tatooine	krayt_cult_gnasher			angler_hue.iff	0.5	0.6	4					0	0	0	0	0	0	0	0	2	1			meat_insect							defaultProfile					creature/insect_1_10	generic_creature_1							medAttackSpeedAvg	carnivore																					spider_1	spider_1	4	1			
arachne_warrior	62	-2	4	-2	4	NORMAL			endor	arachne			angler_hue.iff	1	1	1					30	30	-1	60	60	-1	60	-1	2	1			meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.05	medTankDefenseStrong	carnivore																	object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff		spider_3	spider_3	12	12	1	1	instant
arachne_webmaster	62	0	0	0	0	NORMAL			endor	arachne			angler_hue.iff	1	1	1					35	35	-1	60	60	-1	60	-1	2	1		30	meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.01	medAttackUtilityStrong	carnivore																					spider_3	spider_3	12	12		1	yes
arachne_widow	63	0	0	0	0	NORMAL			endor	arachne			angler_hue.iff	1	1	1					40	40	0	70	80	0	80	-1	2	1		30	meat_insect							defaultProfile					creature/insect_61_70	generic_creature_7		"housing_improvement_04,col_story_count_dooku_set_1,col_glass_shelving_02"				0.01	medTankArmorStrong	carnivore																					spider_3	spider_3	12	12		1	instant
archaic_gondula_ritualist	80	0	0	0	3	NORMAL			endor	gondula_tribe	gondula_tribe		species_choices_ewok			0					0	0	0	50	50	-1	-1	-1	2												0	0			npc/npc_71_80	generic_npc_8		"housing_improvement_05,col_aurebesh_tiles,col_shattered_shard_03"		18	gondula			npc																	ewok_melee		ewok_ranged		melee_8	spy_8	0	12			
archaic_jinda_ritualist	65	0	0	0	0	NORMAL			endor	jinda_tribe	jinda_tribe		species_choices_jinda			0					0	50	-1	0	0	70	0	-1	2												0	0			npc/npc_61_70	generic_npc_7		"col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_aurebesh_tiles,col_shattered_shard_03,col_glass_shelving_02"						npc																	general_unarmed		none		commoner_6	commoner_6	0	12			
archaic_panshee_ritualist	70	0	0	0	0	NORMAL			endor	panshee_tribe	panshee_tribe		species_choices_ewok			0					25	25	0	0	0	0	0	0	2												0	0			npc/npc_61_70	generic_npc_7		"col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_aurebesh_tiles,col_shattered_shard_03,col_glass_shelving_02"		18	panshee			npc																	ewok_ranged		ewok_melee		spy_7	melee_6	0	12			
area_coordinator	13	0	0	0	0	NORMAL			global	rebel	Rebel		commoner			0					0	0	0	0	0	0	0	0	2																npc/npc_11_20	generic_npc_2								npc													imperial	military			rebel_carbine		rebel_polearm		officer_1	melee_1	0	2			
arrek_von_sarko	100	0	0	0	0	NORMAL			naboo	townsperson	townsperson		dressed_noble_human_male_01.iff	1	1	0					0	0	0	0	0	0	0	0	2																npc/npc_81_90	generic_npc_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3,col_aurebesh_tiles"						npc	1																				commoner_10	commoner_10	0	2			
artisan	1	0	0	0	0	NORMAL			global	townsperson	townsperson		artisan			0					0	0	0	0	0	0	0	-1	2																npc/npc_1_10	generic_npc_1								npc													townsperson	townperson	1		rebel_pistol		rebel_carbine				0	2			
arven_wendik	100	0	0	0	0	NORMAL			naboo	townsperson	townsperson		dressed_arven_wendik.iff	1	1	0					0	0	0	0	0	0	0	0	2																npc/npc_81_90	generic_npc_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3,col_aurebesh_tiles"						npc	1																				commoner_10	commoner_10	0	2			
asn_121_crafted	1	4	0	4	0	NORMAL			anywhere	assassindroid			asn_121.iff			0					0	0	0	0	0	0	0	-1	2																droid/droid_11_20	generic_droid_2								droid											creature.droid_setup						object/weapon/ranged/droid/droid_probot_ranged.iff				droid_1	droid_1	0	2	1		
assassin	22	4	-4	0	0	NORMAL			global	mercenary			criminal_thug			0					0	20	0	-1	-1	50	50	-1	2																npc/npc_21_30	generic_npc_3								npc													thug	slang			pirate_pistol_low_level		pirate_carbine_low_level		spy_2	spy_2	0	2			yes
assassin_mission_recruiter_imperial	16	1	0	0	0	NORMAL			global	imperial	Imperial		assassin_mission_giver_imperial			0					0	0	0	0	0	0	0	0	2																npc/npc_11_20	generic_npc_2								npc	1																imperial_carbine		imperial_sword		commando_1	melee_1	0	2			
assassin_mission_recruiter_neutral	16	1	0	0	0	NORMAL			global	hutt			assassin_mission_giver_neutral			0					0	0	0	0	0	0	0	0	2																npc/npc_11_20	generic_npc_2								npc	1																				spy_1	spy_1	0	2			
assassin_mission_recruiter_rebel	16	1	0	0	0	NORMAL			global	rebel	Rebel		assassin_mission_giver_rebel			0					0	0	0	0	0	0	0	0	2																npc/npc_11_20	generic_npc_2								npc	1																rebel_carbine		rebel_pistol		officer_1	officer_1	0	2			
assassin_twilek_male	18	0	0	0	0	NORMAL			global	thug	thug		male_twilek_thug			0					0	0	0	0	0	0	0	-1	2																npc/npc_11_20	generic_npc_2								npc											ai.thug		thug	slang			pirate_pistol_low_level		pirate_carbine_low_level		smuggler_1	smuggler_1	0	2			
assault_trooper	26	0	0	0	0	NORMAL			global	imperial	Imperial		dressed_stormtrooper_white_gold.iff			0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3								npc										int:ai.noChatMood=1	"ai.soldier,npc.stormtrooper_respect.stormtrooper_respect"		stormtrooper	stormtrooper			imperial_carbine		imperial_sword		commando_2	melee_2	0	2	1		yes
assault_trooper_squad_leader	27	0	0	0	3	NORMAL			global	imperial	Imperial		dressed_stormtrooper_white_gold.iff	1	1	0					0	0	0	0	0	0	0	-1	2																npc/npc_21_30	generic_npc_3								npc										int:ai.noChatMood=1	"ai.soldier,npc.stormtrooper_respect.stormtrooper_respect"		stormtrooper	stormtrooper			imperial_rifle		imperial_pistol		commando_2	commando_2	0	2	1		yes
astromech_waiter	4	0	0	0	0	NORMAL			anywhere	astromech			astromech_waiter.iff			0					0	0	0	0	0	0	0	-1	2																droid/droid_1_10	generic_droid_1								droid											creature.droid_setup												0	2			
at_at	200	0	0	0	0	BOSS			anywhere	imperial	Imperial		atat.iff			0					90	90	0	90	90	90	90	100	2																creature/creature_81_90	boss_droid_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3"						vehicle		100	100	100	100	1																	18	14			instant
at_st	65	0	0	0	0	NORMAL			anywhere	imperial	Imperial		atst.iff			0					35	35	-1	100	100	0	0	100	2																droid/droid_61_70	generic_droid_7		"col_glass_shelving_02,col_holo_emitter_01"						vehicle									"absorption_fire=80,dissipation_fire=50"														5	5			instant
