abilityName	abilityCrc	description	type	prereq	trainingCost	duration	actionName	statMod	statModVal	statModPct	scriptVar	scriptVarVal	selfBuffName	targetBuffName	masterBuffName	actionCost	mindCost	actionAddFlat	mindAddFlat
runSpeedBoost_1	runSpeedBoost_1	inc run speed	INNATE		5								petRunSpeed_1						
runSpeedBoost_2	runSpeedBoost_2	inc run speed	INNATE	runSpeedBoost_1	15								petRunSpeed_2						
runSpeedBoost_3	runSpeedBoost_3	inc run speed	INNATE	runSpeedBoost_2	45								petRunSpeed_3						
lowHealthFrenzy_1	lowHealthFrenzy_1	dmg boost low health	INNATE		5						ai.combat.lowHealthFrenzy	0.12							
lowHealthFrenzy_2	lowHealthFrenzy_2	dmg boost low health	INNATE	lowHealthFrenzy_1	15						ai.combat.lowHealthFrenzy	0.25							
lowHealthFrenzy_3	lowHealthFrenzy_3	dmg boost low health	INNATE	lowHealthFrenzy_2	45						ai.combat.lowHealthFrenzy	0.38							
lowHealthDefense_1	lowHealthDefense_1	def boost low health	INNATE		5						ai.combat.lowHealthDefense	100							
lowHealthDefense_2	lowHealthDefense_2	def boost low health	INNATE	lowHealthDefense_1	15						ai.combat.lowHealthDefense	250							
lowHealthDefense_3	lowHealthDefense_3	def boost low health	INNATE	lowHealthDefense_2	45						ai.combat.lowHealthDefense	500							
shieldMaster_1	shieldMaster_1	shield pct master dmg	TRIGGERED		8								petShield_1					16	2
shieldMaster_2	shieldMaster_2	shield pct master dmg	TRIGGERED	shieldMaster_1	24								petShield_2					16	2
shieldMaster_3	shieldMaster_3	shield pct master dmg	TRIGGERED	shieldMaster_2	56								petShield_3					16	2
frenzy_1	frenzy_1	"inc dmg, dec defense"	TRIGGERED		8								petFrenzy_1					12	4
frenzy_2	frenzy_2	"inc dmg, dec defense"	TRIGGERED	frenzy_1	24								petFrenzy_2					12	4
frenzy_3	frenzy_3	"inc dmg, dec defense"	TRIGGERED	frenzy_2	56								petFrenzy_3					12	4
defenseStance_1	defenseStance_1	"inc def, inc taunt, dec dmg"	TRIGGERED		8								petDefense_1					12	4
defenseStance_2	defenseStance_2	"inc def, inc taunt, dec dmg"	TRIGGERED	defenseStance_1	24								petDefense_2					12	4
defenseStance_3	defenseStance_3	"inc def, inc taunt, dec dmg"	TRIGGERED	defenseStance_2	56								petDefense_3					12	4
snareAttack_1	snareAttack_1	dec run speed target	ACTION		14		petSnareAttack												
snareAttack_2	snareAttack_2	dec run speed target	ACTION	snareAttack_1	32		petSnareAttack_1												
pinningAttack_1	pinningAttack_1	knockdown & pin target	ACTION		14		petPinAttack												
pinningAttack_2	pinningAttack_2	knockdown & pin target	ACTION	pinningAttack_1	32		petPinAttack_1												
bleedingAttack_1	bleedingAttack_1		ACTION		14		petBleedAttack												
bleedingAttack_2	bleedingAttack_2		ACTION	bleedingAttack_1	32		petBleedAttack_1												
intimidateAttack_1	intimidateAttack_1		ACTION		14		petIntimidateAttack												
intimidateAttack_2	intimidateAttack_2		ACTION	intimidateAttack_1	32		petIntimidateAttack_1												
stunAttack_1	stunAttack_1		ACTION		14		petStunAttack												
stunAttack_2	stunAttack_2		ACTION	stunAttack_1	32		petStunAttack_1												
blindAttack_1	blindAttack_1		ACTION		14		petBlindAttack												
blindAttack_2	blindAttack_2		ACTION	blindAttack_1	32		petBlindAttack_1
knockdownAttack_1	knockdownAttack_1		ACTION		14		petKnockdownAttack
knockdownAttack_2	knockdownAttack_2		ACTION	knockdownAttack_1	32		petKnockdownAttack_1
defenseBreakAttack_1	defenseBreakAttack_1		ACTION		14		petDefenseBreakAttack
defenseBreakAttack_2	defenseBreakAttack_2		ACTION	defenseBreakAttack_1	32		petDefenseBreakAttack_1
