intLevel	hum_lck	hum_pre	hum_str	hum_con	hum_sta	hum_agi	rod_lck	rod_pre	rod_str	rod_con	rod_sta	rod_agi	tran_lck	tran_pre	tran_str	tran_con	tran_sta	tran_agi	mon_lck	mon_pre	mon_str	mon_con	mon_sta	mon_agi	wok_lck	wok_pre	wok_str	wok_con	wok_sta	wok_agi	both_lck	both_pre	both_str	both_con	both_sta	both_agi	twi_lck	twi_pre	twi_str	twi_con	twi_sta	twi_agi	zab_lck	zab_pre	zab_str	zab_con	zab_sta	zab_agi	ith_lck	ith_pre	ith_str	ith_con	ith_sta	ith_agi	sul_lck	sul_pre	sul_str	sul_con	sul_sta	sul_agi
72		40	40		40	40	15	63			15	63			40	52	51	15	32	48		31	47			8	68	68	32		47	51		19		40	32	31			47	47		40	40	40		40	24	32	47		55		32		31	48		47
73		41	41		41	41	15	64			15	64			41	52	52	15	32	48		32	48			8	69	69	32		48	52		19		41	32	31			48	48		41	41	41		41	24	32	48		56		32		32	48		48
74		41	42		41	42	16	65			16	65			41	53	53	16	33	49		32	49			8	70	70	33		49	52		20		41	32	32			49	48		41	42	41		42	24	32	49		56		33		32	49		49
75		42	42		42	42	16	66			16	66			42	54	53	16	33	50		33	49			8	71	71	33		49	53		20		42	33	32			49	49		42	42	42		42	25	33	49		57		33		33	50		49
76		42	43		42	43	16	67			16	67			42	54	54	16	34	50		33	50			8	72	71	34		50	54		20		42	33	32			50	50		42	43	42		43	25	33	50		58		34		33	50		50
77		43	43		43	43	16	68			16	68			43	55	55	16	34	51		34	51			8	72	72	34		51	54		20		43	33	33			51	50		43	43	43		43	25	33	51		59		34		34	51		51
78		43	44		43	44	17	69			17	68			43	56	55	17	35	52		34	51			8	73	73	35		51	55		21		43	34	33			51	51		43	44	43		44	26	34	51		60		35		34	52		51
79		44	44		44	44	17	70			17	69			44	56	56	17	35	52		35	52			8	74	74	35		52	56		21		44	34	34			52	52		44	44	44		44	26	34	52		61		35		35	52		52
80		44	45		44	45	17	70			17	70			44	57	57	17	36	53		35	53			8	75	75	36		53	57		21		44	35	34			53	52		44	45	44		45	26	35	53		62		36		35	53		53
81		45	45		45	45	17	71			17	71			45	58	58	17	36	54		36	53			9	76	76	36		53	58		21		45	35	35			53	53		45	45	45		45	27	35	53		63		36		36	54		53
82		45	46		45	46	18	72			18	72			45	59	59	18	37	54		36	54			9	77	77	37		54	59		22		45	36	35			54	54		45	46	45		46	27	36	54		64		37		36	54		54
83		46	46		46	46	18	73			18	73			46	60	60	18	37	55		37	55			9	78	78	37		55	59		22		46	36	36			55	54		46	46	46		46	27	36	55		64		37		37	55		55
84		46	47		46	47	18	74			18	74			46	61	60	18	38	56		37	55			9	79	79	38		55	60		22		46	37	36			55	55		46	47	46		47	28	37	55		65		38		37	56		55
85		47	47		47	47	18	75			18	75			47	61	61	18	38	56		38	56			9	80	80	38		56	61		22		47	37	37			56	56		47	47	47		47	28	37	56		66		38		38	56		56
86		47	48		47	48	19	76			19	76			47	62	62	19	38	57		38	57			9	81	81	38		57	62		23		47	38	37			57	56		47	48	47		48	28	38	57		67		38		38	57		57
87		48	48		48	48	19	77			19	77			48	63	62	19	39	58		39	57			9	82	82	39		57	62		23		48	38	38			57	57		48	48	48		48	29	38	57		67		39		39	58		57
88		48	49		48	49	19	78			19	78			48	63	63	19	39	58		39	58			9	83	83	39		58	63		24		48	39	38			58	58		48	49	48		49	29	39	58		68		39		39	58		58
89		49	49		49	49	19	79			19	79			49	64	64	19	39	59		39	59			9	84	84	39		59	64		24		49	39	39			59	59		49	49	49		49	29	39	59		69		39		39	59		59
90		50	50		50	50	20	80			20	80			50	65	65	20	40	60		40	60			10	85	85	40		60	65		25		50	40	40			60	60		50	50	50		50	30	40	60		70		40		40	60		60
