key	level	minscale	maxscale	mindrainmodifier	maxdrainmodifier	minfaucetmodifier	maxfaucetmodifier	minhealth	maxhealth	minstrength	maxstrength	minconstitution	maxconstitution	minaction	maxaction	minquickness	maxquickness	minstamina	maxstamina	minmind	maxmind	minfocus	maxfocus	minwillpower	maxwillpower	defaultweapon	attackspeed	xp	scripts	objvars	faction	fleepercent	clothes	equipment	mindamage	maxdamage	tohitchance	species	utterance
Fringer	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Gambler	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Procurement Specialist	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Imperial noncom	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Slavemaster	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Comm operator	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Hunter	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Industrial spy	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Medic	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Rogue	4	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Bombardier	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Command security guard	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Detention security guard	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Gunner	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Lance Corporal	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Private	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Signalman	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Trooper	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Corporal	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Lance Corporal	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Pilot	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Scout	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Trooper	5	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Corporal	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Lance Bombardier	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Sergeant	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Special missions engineer	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Common thief	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Interrogator	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Sergeant	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Staff Corporal	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Staff Sergeant	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Warrant Officer II	6	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Sharpshooter	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Staff Corporal	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Staff Sergeant	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Master Sergeant	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Sergeant Major	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
SpecOps trooper	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Thief	7	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Master Sergeant	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Warrant Officer II	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Guerrilla	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Heavy Weapons Specialist	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Infiltrator	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Marine	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Mercenary	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Pathfinder	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Technician	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Warrant Officer I	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Wilderness	8	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Sergeant Major	9	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Warrant Officer I	9	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Master Thief	9	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Second Lieutenant	9	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Smuggler	9	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
First Lieutenant	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Second Lieutenant	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
First Lieutenant	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Senior Guerrilla	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Senior Heavy Weapons Specialist	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Senior Infiltrator	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Senior Marine	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Senior Pathfinder	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Senior Technician	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Senior Wilderness Trooper	10	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Captain	11	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
CompForce trooper	11	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Major	11	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Captain	11	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
