INDEX	ENUM	CLASS 1	CLASS 2	CLASS 3	CLASS 4	CLASS 5	CLASS 6	CLASS 7	CLASS 8	Maximum # types	Minimum # types	Minimum # Pools	Maximum # Pools	Recycled	Permanent	Attribute 1	Attribute 2	Attribute 3	Attribute 4	Attribute 5	Attribute 6	Attribute 7	Attribute 8	Attribute 9	Attribute 10	Attribute 11	Att 1 min	Att 1 max	Att 2 min	Att 2 max	Att 3 min	Att 3 max	Att 4 min	Att 4 max	Att 5 min	Att 5 max	Att 6 min	Att 6 max	Att 7 min	Att 7 max	Att 8 min	Att 8 max	Att 9 min	Att 9 max	Att 10 min	Att 10 max	Att 11 min	Att 11 max	Resource Container Type	Random Name Class
9	milk_domesticated_dathomir							Dathomirian  Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
10	milk_domesticated_endor							Endorian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
11	milk_domesticated_lok							Lokian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
12	milk_domesticated_naboo							Nabooian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
13	milk_domesticated_rori							Rori Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
14	milk_domesticated_talus							Talusian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
15	milk_domesticated_tatooine							Tatooinian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
16	milk_domesticated_yavin4							Yavinian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
1018	milk_domesticated_kashyyyk							Kashyyykian Domesticated Milk		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
1118	milk_domesticated_mustafar							Mustafarian Domesticated Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_bottle_milk.iff	plain_resource
17	milk_wild						Wild Milk			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
18	milk_wild_corellia							Corellian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
19	milk_wild_dantooine							Dantooine Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
20	milk_wild_dathomir							Dathomirian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
21	milk_wild_endor							Endorian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
22	milk_wild_lok							Lokian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
23	milk_wild_naboo							Nabooian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
24	milk_wild_rori							Rori Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
25	milk_wild_talus							Talusian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
26	milk_wild_tatooine							Tatooinian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
27	milk_wild_yavin4							Yavin IV Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
1019	milk_wild_kashyyyk							Kashyyykian Wild Milk		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
1063	milk_wild_mustafar							Mustafarian Wild Milk		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_bottle_milk.iff	plain_resource
28	meat					Meat				134	134					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
906	processed_meat						Processed Meat			1	1	1	1	1		res_decay_resist	res_quality	res_flavor	res_potential_energy								200	200	200	200	200	200	200	200															object/resource_container/organic_food.iff	plain_resource
29	meat_domesticated						Domesticated Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
30	meat_domesticated_corellia							Corellian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
31	meat_domesticated_dantooine							Dantooine Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
32	meat_domesticated_dathomir							Dathomirian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
33	meat_domesticated_endor							Endorian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
34	meat_domesticated_lok							Lokian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
35	meat_domesticated_naboo							Nabooian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
36	meat_domesticated_rori							Rori Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
37	meat_domesticated_talus							Talusian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
38	meat_domesticated_tatooine							Tatooinian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
39	meat_domesticated_yavin4							Yavinian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
1020	meat_domesticated_kashyyyk							Kashyyykian Domesticated Meat		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	plain_resource
1064	meat_domesticated_mustafar							Mustafarian Domesticated Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	1	700															object/resource_container/organic_food.iff	
40	meat_wild						Wild Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
41	meat_wild_corellia							Corellian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
42	meat_wild_dantooine							Dantooine Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
43	meat_wild_dathomir							Dathomirian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
44	meat_wild_endor							Endorian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
45	meat_wild_lok							Lokian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
46	meat_wild_naboo							Nabooian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
47	meat_wild_rori							Rori Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
48	meat_wild_talus							Talusian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
49	meat_wild_tatooine							Tatooinian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
50	meat_wild_yavin4							Yavinian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
1021	meat_wild_kashyyyk							Kashyyykian Wild Meat		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
1065	meat_wild_mustafar							Mustafarian Wild Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
51	meat_herbivore						Herbivore Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
52	meat_herbivore_corellia							Corellian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
53	meat_herbivore_dantooine							Dantooine Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
54	meat_herbivore_dathomir							Dathomirian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
55	meat_herbivore_endor							Endorian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
56	meat_herbivore_lok							Lokian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
57	meat_herbivore_naboo							Nabooian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
58	meat_herbivore_rori							Rori Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
59	meat_herbivore_talus							Talusian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
60	meat_herbivore_tatooine							Tatooinian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
61	meat_herbivore_yavin4							Yavinian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
1022	meat_herbivore_kashyyyk							Kashyyykian Herbivore Meat		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
1066	meat_herbivore_mustafar							Mustafarian Herbivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	1	700															object/resource_container/organic_food.iff	plain_resource
62	meat_carnivore						Carnivore Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
63	meat_carnivore_corellia							Corellian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
64	meat_carnivore_dantooine							Dantooine Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
65	meat_carnivore_dathomir							Dathomirian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
66	meat_carnivore_endor							Endorian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
67	meat_carnivore_lok							Lokian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
68	meat_carnivore_naboo							Nabooian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
69	meat_carnivore_rori							Rori Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
70	meat_carnivore_talus							Talusian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
71	meat_carnivore_tatooine							Tatooinian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
72	meat_carnivore_yavin4							Yavinian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
1023	meat_carnivore_kashyyyk							Kashyyykian Carnivore Meat		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
1067	meat_carnivore_mustafar							Mustafarian Carnivore Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	300	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
73	meat_reptillian						Reptillian Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
74	meat_reptilian_corellia							Corellian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
75	meat_reptilian_dantooine							Dantooine Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
76	meat_reptilian_dathomir							Dathomirian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
77	meat_reptilian_endor							Endorian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
78	meat_reptilian_lok							Lokian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
79	meat_reptilian_naboo							Nabooian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
80	meat_reptilian_rori							Rori Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
81	meat_reptilian_talus							Talusian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
82	meat_reptilian_tatooine							Tatooinian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
83	meat_reptilian_yavin4							Yavinian Reptillian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
1024	meat_reptilian_kashyyyk							Kashyyykian Reptilian Meat		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
1068	meat_reptilian_mustafar							Mustafarian Reptilian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
84	meat_avian						Avian Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
85	meat_avian_corellia							Corellian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
86	meat_avian_dantooine							Dantooine Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
87	meat_avian_dathomir							Dathomirian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
88	meat_avian_endor							Endorian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
89	meat_avian_lok							Lokian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
90	meat_avian_naboo							Nabooian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
91	meat_avian_rori							Rori Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
92	meat_avian_talus							Talusian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
93	meat_avian_tatooine							Tatooinian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
94	meat_avian_yavin4							Yavinian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
1025	meat_avian_kashyyyk							Kashyyykian Avian Meat		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
1069	meat_avian_mustafar							Mustafarian Avian Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	700	300	1000															object/resource_container/organic_food.iff	plain_resource
95	meat_egg						Egg			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
96	meat_egg_corellia							Corellian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
97	meat_egg_dantooine							Dantooine Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
98	meat_egg_dathomir							Dathomirian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
99	meat_egg_endor							Endorian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
100	meat_egg_lok							Lokian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
101	meat_egg_naboo							Nabooian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
102	meat_egg_rori							Rori Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
103	meat_egg_talus							Talusian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
104	meat_egg_tatooine							Tatooinian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
105	meat_egg_yavin4							Yavinian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
1026	meat_egg_kashyyyk							Kashyyykian Egg		1	1	7	7			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
1070	meat_egg_mustafar							Mustafarian Egg		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	1	1000															object/resource_container/organic_food.iff	plain_resource
106	meat_insect						Insect Meat			12	12					res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
107	meat_insect_corellia							Corellian Insect Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
108	meat_insect_dantooine							Dantooine Insect Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
109	meat_insect_dathomir							Dathomirian Insect Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
110	meat_insect_endor							Endorian Insect Meat		1	1	1	1			res_decay_resist	res_quality	res_flavor	res_potential_energy								1	1000	1	1000	1	1000	300	1000															object/resource_container/organic_food.iff	plain_resource
