reservedName	reason	matchWholeName
s	s	b
\*dev\*	name_declined_developer	
[^A-Za-z0-9 '-]	name_declined_syntax	1
.* .* .*	name_declined_syntax	1
"(f|ff|ph|pf)[uv]+[ck]{1,3}"	name_declined_profane	
"^a[sz]{1,3}"	name_declined_profane	
^[ck][uv]+nt	name_declined_profane	
"^[ck]o[ck]{1,3}"	name_declined_profane	
"(d|pr)[il]+[ck]{1,3}"	name_declined_profane	
b[il]+tch	name_declined_profane	
w?[hj]ore	name_declined_profane	
"[szc]{1,3}h[il]+t"	name_declined_profane	
^f.ck$	name_declined_profane	
^sh.t$	name_declined_profane	
^labia$	name_declined_profane	
senior	name_declined_reserved
cadet	name_declined_reserved
general	name_declined_reserved
major	name_declined_reserved
brigadier	name_declined_reserved
colonel	name_declined_reserved
sarge	name_declined_reserved
sergeant	name_declined_reserved
corporal	name_declined_reserved
private	name_declined_reserved
first	name_declined_reserved
second	name_declined_reserved
third	name_declined_reserved
fourth	name_declined_reserved
fifth	name_declined_reserved
sixth	name_declined_reserved
seventh	name_declined_reserved
eigth	name_declined_reserved
nineth	name_declined_reserved
tenth	name_declined_reserved
bothan	name_declined_reserved
human	name_declined_reserved
rodian	name_declined_reserved
calamari	name_declined_reserved
trandoshan	name_declined_reserved
twi.?lek	name_declined_reserved
wookiee	name_declined_reserved
zabrak	name_declined_reserved
gungan	name_declined_reserved
jawa	name_declined_reserved
tusken	name_declined_reserved
raider	name_declined_reserved
^pilot$	name_declined_reserved
^driver$	name_declined_reserved
^atat$	name_declined_reserved
^atst$	name_declined_reserved
^tie$	name_declined_reserved
^tiefighter$	name_declined_reserved
^tiepilot$	name_declined_reserved
^tiebomber$	name_declined_reserved
^tieinterceptor$	name_declined_reserved
^bomber$	name_declined_reserved
^interceptor$	name_declined_reserved
^fighter$	name_declined_reserved
^soldier$	name_declined_reserved
^x[-' ]wing	name_declined_reserved
skywalker$	name_declined_fictionally_reserved
organa$	name_declined_fictionally_reserved
darklighter$	name_declined_fictionally_reserved
^fett$	name_declined_fictionally_reserved
^obi[-' ]?wan	name_declined_fictionally_reserved
kenobi$	name_declined_fictionally_reserved
^j[ae]ng[ao]$	name_declined_fictionally_reserved
^boba$	name_declined_fictionally_reserved
^jabba$	name_declined_fictionally_reserved
desilijic$	name_declined_fictionally_reserved
^tiure$	name_declined_fictionally_reserved
hutt$	name_declined_fictionally_reserved
^palpatine$	name_declined_fictionally_reserved
vader	name_declined_fictionally_reserved
^maul$	name_declined_fictionally_reserved
^dooku$	name_declined_fictionally_reserved
^tyrannus$	name_declined_fictionally_reserved
^yoda$	name_declined_fictionally_reserved
^yaddle$	name_declined_fictionally_reserved
^mace$	name_declined_fictionally_reserved
windu$	name_declined_fictionally_reserved
^qui[-' ]?gon$	name_declined_fictionally_reserved
^jin$	name_declined_fictionally_reserved
^jinn$	name_declined_fictionally_reserved
^djinn$	name_declined_fictionally_reserved
^tiin$	name_declined_fictionally_reserved
^saesee ?tiin$	name_declined_fictionally_reserved
^fida$	name_declined_fictionally_reserved
^theenfida$	name_declined_fictionally_reserved
^koth$	name_declined_fictionally_reserved
^eeth ?koth$	name_declined_fictionally_reserved
^tsuichoi$	name_declined_fictionally_reserved
^gallia$	name_declined_fictionally_reserved
^adi.?gallia$	name_declined_fictionally_reserved
^kkhruk$	name_declined_fictionally_reserved
^koon$	name_declined_fictionally_reserved
^plo.?koon$	name_declined_fictionally_reserved
^stassallie$	name_declined_fictionally_reserved
billaba$	name_declined_fictionally_reserved
^brakiss$	name_declined_fictionally_reserved
^corran ?horn$	name_declined_fictionally_reserved
katarn$	name_declined_fictionally_reserved
$kia.?di.?mundi$	name_declined_fictionally_reserved
$pablo.?jill$	name_declined_fictionally_reserved
^poof$	name_declined_fictionally_reserved
^yarael ?poof$	name_declined_fictionally_reserved
^piell$	name_declined_fictionally_reserved
^even.?piell$	name_declined_fictionally_reserved
rancisis$	name_declined_fictionally_reserved
secura$	name_declined_fictionally_reserved
^sing$	name_declined_fictionally_reserved
^aurra.?sing$	name_declined_fictionally_reserved
^bultar.?swan$	name_declined_fictionally_reserved
^swan$	name_declined_fictionally_reserved
^krayn$	name_declined_fictionally_reserved
^tachi$	name_declined_fictionally_reserved
^siritachi$	name_declined_fictionally_reserved
^trebor$	name_declined_fictionally_reserved
^vos$	name_declined_fictionally_reserved
^ackbar$	name_declined_fictionally_reserved
antilles$	name_declined_fictionally_reserved
^baas$	name_declined_fictionally_reserved
^bodo.?baas$	name_declined_fictionally_reserved
^evanzan$	name_declined_fictionally_reserved
^dr.?evanzan$	name_declined_fictionally_reserved
^ponda ?baba$	name_declined_fictionally_reserved
^barada$	name_declined_fictionally_reserved
^bollux$	name_declined_fictionally_reserved
^blue ?max$	name_declined_fictionally_reserved
^callista$	name_declined_fictionally_reserved
captison$	name_declined_fictionally_reserved
baoth$	name_declined_fictionally_reserved
^chume$	name_declined_fictionally_reserved
^taa.?chume$	name_declined_fictionally_reserved
^salacious ?crumb$	name_declined_fictionally_reserved
^djo$	name_declined_fictionally_reserved
dodanna$	name_declined_fictionally_reserved
doole$	name_declined_fictionally_reserved
^dorsk$	name_declined_fictionally_reserved
durron$	name_declined_fictionally_reserved
felth$	name_declined_fictionally_reserved
^fey.?lya$	name_declined_fictionally_reserved
fortuna$	name_declined_fictionally_reserved
^lom$	name_declined_fictionally_reserved
^gallandro$	name_declined_fictionally_reserved
gargan$	name_declined_fictionally_reserved
^garindan$	name_declined_fictionally_reserved
^gartogg$	name_declined_fictionally_reserved
^gethzerion$	name_declined_fictionally_reserved
^hethrir$	name_declined_fictionally_reserved
beliblis$	name_declined_fictionally_reserved
ismaren$	name_declined_fictionally_reserved
isolder$	name_declined_fictionally_reserved
^mara.?jade$	name_declined_fictionally_reserved
jerriko$	name_declined_fictionally_reserved
^ka$	name_declined_fictionally_reserved
^kabe$	name_declined_fictionally_reserved
^muftak$	name_declined_fictionally_reserved
kaarde$	name_declined_fictionally_reserved
^khabarakh$	name_declined_fictionally_reserved
^kneesaa$	name_declined_fictionally_reserved
^exar.?kun$	name_declined_fictionally_reserved
^kun$	name_declined_fictionally_reserved
^labria$	name_declined_fictionally_reserved
^lobot$	name_declined_fictionally_reserved
^lowbacca$	name_declined_fictionally_reserved
madine$	name_declined_fictionally_reserved
^marr$	name_declined_fictionally_reserved
^mon$	name_declined_fictionally_reserved
^eph[oa]ntm[oa]n$	name_declined_fictionally_reserved
mothma$	name_declined_fictionally_reserved
^shug.?ninx$	name_declined_fictionally_reserved
^hetnkik$	name_declined_fictionally_reserved
^nink$	name_declined_fictionally_reserved
^nunb$	name_declined_fictionally_reserved
^nien.?nunb$	name_declined_fictionally_reserved
^oola$	name_declined_fictionally_reserved
pallaeon$	name_declined_fictionally_reserved
qeldroma$	name_declined_fictionally_reserved
^rebo$	name_declined_fictionally_reserved
^max.?rebo$	name_declined_fictionally_reserved
snootles$	name_declined_fictionally_reserved
mccool$	name_declined_fictionally_reserved
^ree.?yees$	name_declined_fictionally_reserved
^rillao$	name_declined_fictionally_reserved
sibwarra$	name_declined_fictionally_reserved
sivrak$	name_declined_fictionally_reserved
spince$	name_declined_fictionally_reserved
sunrider$	name_declined_fictionally_reserved
tarkin$	name_declined_fictionally_reserved
^tessek$	name_declined_fictionally_reserved
^thanas$	name_declined_fictionally_reserved
thrawn$	name_declined_fictionally_reserved
^tigris$	name_declined_fictionally_reserved
^tionne$	name_declined_fictionally_reserved
tonnika$	name_declined_fictionally_reserved
towani$	name_declined_fictionally_reserved
^triclops$	name_declined_fictionally_reserved
valarian$	name_declined_fictionally_reserved
^vima.?da.?boda$	name_declined_fictionally_reserved
^weequay$	name_declined_fictionally_reserved
warrick$	name_declined_fictionally_reserved
^qwixux$	name_declined_fictionally_reserved
^zend$	name_declined_fictionally_reserved
^salla.?zend$	name_declined_fictionally_reserved
^lars$	name_declined_fictionally_reserved
^beru.?lars$	name_declined_fictionally_reserved
^owen.?lars$	name_declined_fictionally_reserved
^clieggl.?lars$	name_declined_fictionally_reserved
calrissian$	name_declined_fictionally_reserved
calrisian$	name_declined_fictionally_reserved
solo$	name_declined_fictionally_reserved
^chewbacca+$	name_declined_fictionally_reserved
^greedo$	name_declined_fictionally_reserved
^bossk$	name_declined_fictionally_reserved
^dengar$	name_declined_fictionally_reserved
^zuckuss$	name_declined_fictionally_reserved
^padme$	name_declined_fictionally_reserved
naberrie$	name_declined_fictionally_reserved
^amidala$	name_declined_fictionally_reserved
^shmi$	name_declined_fictionally_reserved
^eisley$	name_declined_fictionally_reserved
^espa$	name_declined_fictionally_reserved
^teike$	name_declined_fictionally_reserved
^abregado.?rae$	name_declined_fictionally_reserved
^agamar$	name_declined_fictionally_reserved
^alderaan$	name_declined_fictionally_reserved
^almania$	name_declined_fictionally_reserved
^alzoc$	name_declined_fictionally_reserved
^ambria$	name_declined_fictionally_reserved
^ammuud$	name_declined_fictionally_reserved
^ando$	name_declined_fictionally_reserved
^anoth$	name_declined_fictionally_reserved
^antar$	name_declined_fictionally_reserved
^aquaris$	name_declined_fictionally_reserved
^aridus$	name_declined_fictionally_reserved
^arkania$	name_declined_fictionally_reserved
^atzerri$	name_declined_fictionally_reserved
^bakura$	name_declined_fictionally_reserved
^balmorra$	name_declined_fictionally_reserved
^barab$	name_declined_fictionally_reserved
^belsavis$	name_declined_fictionally_reserved
^bespin$	name_declined_fictionally_reserved
^bestine$	name_declined_fictionally_reserved
^bimmisaari$	name_declined_fictionally_reserved
^bonadan$	name_declined_fictionally_reserved
^borleais$	name_declined_fictionally_reserved
^blackmoon$	name_declined_fictionally_reserved
^bothawui$	name_declined_fictionally_reserved
^byss$	name_declined_fictionally_reserved
^carida$	name_declined_fictionally_reserved
^carratos$	name_declined_fictionally_reserved
^chandrila$	name_declined_fictionally_reserved
^circarpous$	name_declined_fictionally_reserved
^corellia$	name_declined_fictionally_reserved
^coruscant$	name_declined_fictionally_reserved
^dagobah$	name_declined_fictionally_reserved
^dantooine$	name_declined_fictionally_reserved
^da.?soocha$	name_declined_fictionally_reserved
^dathomir$	name_declined_fictionally_reserved
^dellalt$	name_declined_fictionally_reserved
^drall$	name_declined_fictionally_reserved
^duro$	name_declined_fictionally_reserved
^endor$	name_declined_fictionally_reserved
^eriadu$	name_declined_fictionally_reserved
^etti$	name_declined_fictionally_reserved
^firrerre$	name_declined_fictionally_reserved
^gondor$	name_declined_fictionally_reserved
^galantos$	name_declined_fictionally_reserved
^gall$	name_declined_fictionally_reserved
^gamorr$	name_declined_fictionally_reserved
^garois$	name_declined_fictionally_reserved
^geonosis$	name_declined_fictionally_reserved
^hapes$	name_declined_fictionally_reserved
^honoghr$	name_declined_fictionally_reserved
^hoth$	name_declined_fictionally_reserved
^ithor$	name_declined_fictionally_reserved
^j.?t.?p.?tan$	name_declined_fictionally_reserved
^kalarba$	name_declined_fictionally_reserved
^kamino$	name_declined_fictionally_reserved
^kashyyyk$	name_declined_fictionally_reserved
^kessel$	name_declined_fictionally_reserved
^khomm$	name_declined_fictionally_reserved
^kile$	name_declined_fictionally_reserved
^korriban$	name_declined_fictionally_reserved
^kothlis$	name_declined_fictionally_reserved
^kuat$	name_declined_fictionally_reserved
^lwhekk$	name_declined_fictionally_reserved
^m['-]?haeli$	name_declined_fictionally_reserved
^mimban$	name_declined_fictionally_reserved
^mrlsst$	name_declined_fictionally_reserved
^munto.?codru$	name_declined_fictionally_reserved
^myrkr$	name_declined_fictionally_reserved
^mytus$	name_declined_fictionally_reserved
^naboo$	name_declined_fictionally_reserved
hutta$	name_declined_fictionally_reserved
chorios$	name_declined_fictionally_reserved
shaddaa$	name_declined_fictionally_reserved
drovis$	name_declined_fictionally_reserved
^nkllon$	name_declined_fictionally_reserved
^n[-']?zoth$	name_declined_fictionally_reserved
^onderon$	name_declined_fictionally_reserved
^ord$	name_declined_fictionally_reserved
^ord.?mantell$	name_declined_fictionally_reserved
^ossus$	name_declined_fictionally_reserved
^pydyr$	name_declined_fictionally_reserved
^pzob$	name_declined_fictionally_reserved
^rafa$	name_declined_fictionally_reserved
^ralltiir$	name_declined_fictionally_reserved
^rodia$	name_declined_fictionally_reserved
^roon$	name_declined_fictionally_reserved
^rori$	name_declined_fictionally_reserved
^ryloth$	name_declined_fictionally_reserved
^sacorria$	name_declined_fictionally_reserved
^selonia$	name_declined_fictionally_reserved
^serenno$	name_declined_fictionally_reserved
^sullust$	name_declined_fictionally_reserved
^taanab$	name_declined_fictionally_reserved
^talasea$	name_declined_fictionally_reserved
^talus$	name_declined_fictionally_reserved
^tatooine$	name_declined_fictionally_reserved
^tralus$	name_declined_fictionally_reserved
^telti$	name_declined_fictionally_reserved
^teyr$	name_declined_fictionally_reserved
^thyferra$	name_declined_fictionally_reserved
^tynna$	name_declined_fictionally_reserved
^umgul$	name_declined_fictionally_reserved
^wayland$	name_declined_fictionally_reserved
^yavin$	name_declined_fictionally_reserved
^ylesia$	name_declined_fictionally_reserved
^zhar$	name_declined_fictionally_reserved
^centerpoint$	name_declined_fictionally_reserved
^station$	name_declined_fictionally_reserved
^bilbringi$	name_declined_fictionally_reserved
^vergesso$	name_declined_fictionally_reserved
^adega$	name_declined_fictionally_reserved
^almanian$	name_declined_fictionally_reserved
^athega$	name_declined_fictionally_reserved
^beshqek$	name_declined_fictionally_reserved
^both$	name_declined_fictionally_reserved
^bright.?jewel$	name_declined_fictionally_reserved
^caridan$	name_declined_fictionally_reserved
^cha.?raaba$	name_declined_fictionally_reserved
^codru$	name_declined_fictionally_reserved
^corellian$	name_declined_fictionally_reserved
^cvetaen$	name_declined_fictionally_reserved
^cyax$	name_declined_fictionally_reserved
^darglum$	name_declined_fictionally_reserved
^doornik$	name_declined_fictionally_reserved
^drovian$	name_declined_fictionally_reserved
^flarestar$	name_declined_fictionally_reserved
^fondor$	name_declined_fictionally_reserved
^garos$	name_declined_fictionally_reserved
^hapan$	name_declined_fictionally_reserved
^lybeya$	name_declined_fictionally_reserved
^japrael$	name_declined_fictionally_reserved
^horuset$	name_declined_fictionally_reserved
^kumasi$	name_declined_fictionally_reserved
^mennaalii$	name_declined_fictionally_reserved
^mirgoshir$	name_declined_fictionally_reserved
^morobe$	name_declined_fictionally_reserved
^nevoota$	name_declined_fictionally_reserved
^o[-']?pahz$	name_declined_fictionally_reserved
^opoku$	name_declined_fictionally_reserved
^ottega$	name_declined_fictionally_reserved
^perave$	name_declined_fictionally_reserved
^plynn$	name_declined_fictionally_reserved
^polith$	name_declined_fictionally_reserved
^prindaar$	name_declined_fictionally_reserved
^pyria$	name_declined_fictionally_reserved
^saari ha$	name_declined_fictionally_reserved
^saariha$	name_declined_fictionally_reserved
^sacorrian$	name_declined_fictionally_reserved
^sistooine$	name_declined_fictionally_reserved
^ssi[-' ]?kaat$	name_declined_fictionally_reserved
^surric$	name_declined_fictionally_reserved
^tatoo$	name_declined_fictionally_reserved
^tattoo$	name_declined_fictionally_reserved
^ten.?tempests$	name_declined_fictionally_reserved
^tynannni$	name_declined_fictionally_reserved
^tyrius$	name_declined_fictionally_reserved
^utos$	name_declined_fictionally_reserved
^y[-']?toub$	name_declined_fictionally_reserved
^taun ?we$	name_declined_fictionally_reserved
^taun$	name_declined_fictionally_reserved
wessell$	name_declined_fictionally_reserved
^typho$	name_declined_fictionally_reserved
^amedda$	name_declined_fictionally_reserved
^mas.?amedda$	name_declined_fictionally_reserved
^sly$	name_declined_fictionally_reserved
^slymoore$	name_declined_fictionally_reserved
^binks$	name_declined_fictionally_reserved
j+a+r+.?j+a+r+	name_declined_fictionally_reserved
^jar.?jar.?binks$	name_declined_fictionally_reserved
^paddie$	name_declined_fictionally_reserved
^ister.?paddie$	name_declined_fictionally_reserved
^dio$	name_declined_fictionally_reserved
^dios$	name_declined_fictionally_reserved
^lexidio^	name_declined_fictionally_reserved
^supi$	name_declined_fictionally_reserved
"""kouhuns$"	name_declined_fictionally_reserved
^bagwa$	name_declined_fictionally_reserved
jettster$	name_declined_fictionally_reserved
^ti$	name_declined_fictionally_reserved
^shaak.?ti$	name_declined_fictionally_reserved
^nu$	name_declined_fictionally_reserved
^jocasta.?nu$	name_declined_fictionally_reserved
^kosai$	name_declined_fictionally_reserved
^sai$	name_declined_fictionally_reserved
gunray$	name_declined_fictionally_reserved
libkath$	name_declined_fictionally_reserved
argente$	name_declined_fictionally_reserved
^kee$	name_declined_fictionally_reserved
^denaria.?kee$	name_declined_fictionally_reserved
^nudo$	name_declined_fictionally_reserved
^ponudo$	name_declined_fictionally_reserved
^tikkes$	name_declined_fictionally_reserved
^san.?hill$	name_declined_fictionally_reserved
^shu.?mai$	name_declined_fictionally_reserved
^poggle$	name_declined_fictionally_reserved
^sun.?fac$	name_declined_fictionally_reserved
^fac$	name_declined_fictionally_reserved
^fisto$	name_declined_fictionally_reserved
^kit.?fisto$	name_declined_fictionally_reserved
^offee$	name_declined_fictionally_reserved
^barriss.?offee$	name_declined_fictionally_reserved
^unduli$	name_declined_fictionally_reserved
^luminara.?unduli$	name_declined_fictionally_reserved
^watto$	name_declined_fictionally_reserved
^adolf.?hitler$	name_declined_reserved
^osama.?bin.?laden$	name_declined_reserved
^eric.?simpson$	name_declined_reserved
[jg][eo]+r+[ghj].*l+[eou]+[ck]+a+s	name_declined_reserved
^ric.*vogel$	name_declined_developer
^jon.?donham$	name_declined_developer
^j.?allen.?brack$	name_declined_developer
^kevin.?o.?hara$	name_declined_developer
^audrey.?franklin$	name_declined_developer
^jake.?rodgers$	name_declined_developer
^joe.?shoopack$	name_declined_developer
^joh?n.*roy$	name_declined_developer
^don.?alexander$	name_declined_developer
^dan.?borth$	name_declined_developer
^andrew.?collins$	name_declined_developer
^brad.?constantine$	name_declined_developer
^rob.?cuenca$	name_declined_developer
^bill.?daly$	name_declined_developer
^jeff.?dobson$	name_declined_developer
^chris.?douglas$	name_declined_developer
^jeff.?jonas$	name_declined_developer
^arnie.?jogensen$	name_declined_developer
^will.?kier$	name_declined_developer
^minoh.?kim$	name_declined_developer
^bernie.?la.?carte$	name_declined_developer
^devin.?lafontane$	name_declined_developer
^jason.?minor$	name_declined_developer
^alan.?pickett$	name_declined_developer
^kris.?taylor$	name_declined_developer
^damon.?waldrip$	name_declined_developer
^tim.?webb$	name_declined_developer
^nick.?zuccarello$	name_declined_developer
^jeremy.?jjiao$	name_declined_developer
^matt.?kwid$	name_declined_developer
^glenn.?snyder$	name_declined_developer
rh?a+l?[phf].*[ck]+o+[sz]+t+[aeiou]+r	name_declined_developer
^cinco.?barnes$	name_declined_developer
^anthony.?castoro$	name_declined_developer
^todd.?bailey$	name_declined_developer
^jeff.?freeman$	name_declined_developer
^john.?guentzel$	name_declined_developer
^ryan.?palacio$	name_declined_developer
^dan.?rubenfield$	name_declined_developer
^reece.?thornton$	name_declined_developer
^jeff.?grills$	name_declined_developer
^chris.?mayer$	name_declined_developer
^andy.?sommers$	name_declined_developer
^austin.?appleby$	name_declined_developer
^matt.?bogue$	name_declined_developer
^rick.?delashmit$	name_declined_developer
^todd.?$	name_declined_developer
^steve.?jakab$	name_declined_developer
^justin.?randall$	name_declined_developer
^eric.?sebesta$	name_declined_developer
^acy.?stapp$	name_declined_developer
^calan.?thurow$	name_declined_developer
^john.?watson$	name_declined_developer
^grant.?mc.?daniel$	name_declined_developer
^jeremy.?siprelle$	name_declined_developer
^william.?wallace$	name_declined_developer
^matt.?higby$	name_declined_developer
^salim.?grant$	name_declined_developer
^jason.?stone$	name_declined_developer
^john.?buzzolich$	name_declined_developer
"h[aiy]+d+[aei]{1,3}n+.*b+l+a+[ck]+m+[aeiou]+n"	name_declined_developer
^ryan.?bond$	name_declined_developer
^jeff.?sanders$	name_declined_developer
^daryl.?sanders$	name_declined_developer
^jose.?araiza$	name_declined_developer
^tony.?rado$	name_declined_developer
^smed$	name_declined_developer
^john.?smedley$	name_declined_developer
^james.?whisenant$	name_declined_developer
^santo.?kaishi$	name_declined_reserved
^nitto.?kaishi$	name_declined_reserved
^itto.?kaishi$	name_declined_reserved
^kaishicho$	name_declined_reserved
^santo.?kaiso$	name_declined_reserved
^nitto.?kaisho$	name_declined_reserved
^itto.?kaisho$	name_declined_reserved
^kaisocho$	name_declined_reserved
^jun.?kai$	name_declined_reserved
^santo.?kaii$	name_declined_reserved
^nitto.?kaii$	name_declined_reserved
^itto.?kaii$	name_declined_reserved
^santo.?kaisa$	name_declined_reserved
^nitto.?kaisa$	name_declined_reserved
^itto.?kaisa$	name_declined_reserved
^kalsohono$	name_declined_reserved
^kaisho$	name_declined_reserved
^kaijo.?bakuryocho$	name_declined_reserved
^santo.?rikushi$	name_declined_reserved
^nitto.?rikushi$	name_declined_reserved
^itto.?rikushi$	name_declined_reserved
^rikushicho$	name_declined_reserved
^santo.?rikuso$	name_declined_reserved
^nitto.?rikuso$	name_declined_reserved
^itto.?rikuso$	name_declined_reserved
^rikuocho$	name_declined_reserved
^jun.?rikui$	name_declined_reserved
^santo.?rikui$	name_declined_reserved
^nitto.?rikui$	name_declined_reserved
^itto.?rikui$	name_declined_reserved
^santo.?rikusa$	name_declined_reserved
^nitto.?rikusa$	name_declined_reserved
^itto.?rikusa$	name_declined_reserved
^rikushoho$	name_declined_reserved
^rikujo.?bakuryocho$	name_declined_reserved
^santo.?kushi$	name_declined_reserved
^nitto.?kushi$	name_declined_reserved
^itto.?kushi$	name_declined_reserved
^kushicho$	name_declined_reserved
^santo.?kuso$	name_declined_reserved
^nitto.?kuso$	name_declined_reserved
^itto.?kuso$	name_declined_reserved
^kusocho$	name_declined_reserved
^santo.?kui$	name_declined_reserved
^nitto.?kui$	name_declined_reserved
^itto.?kui$	name_declined_reserved
^santo.?kusa$	name_declined_reserved
^nitto.?kusa$	name_declined_reserved
^itto.?kusa$	name_declined_reserved
^kushoho$	name_declined_reserved
^kusho$	name_declined_reserved
^koku.?bakuryocho$	name_declined_reserved
