SPECIES_GENDER	CUSTOMIZATION_GROUP	TYPE	CUSTOMIZATION_NAME	VARIABLES	IS_SCALE	REVERSE	COLOR_LINKED	COLOR_LINKED_TO_SELF_0	COLOR_LINKED_TO_SELF_1	CAMERA_YAW	DISCRETE	RAMDOMIZABLE	RANDOMIZABLE_GROUP	IS_VAR_HAIR_COLOR	IMAGEDESIGN_SKILLMOD	SKILLMOD_VALUE	MODIFICATION_TYPE
zabrak_female	face	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
zabrak_female	tattoos	hslider	tattoo_style	index_style_tattoo							1				markings	7	cosmetic
zabrak_female	tattoos	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
zabrak_female	tattoos	color	color_tattoo	index_color_tattoo											markings	2	cosmetic
zabrak_female	cosmetic	hslider	freckles	index_style_freckles							1				face	3	physical
zabrak_female	cosmetic	hslider	eyeshadow	index_style_eyeshadow							1				face	1	cosmetic
zabrak_female	cosmetic	color	color_eye_shadow	index_color_eyeshadow				index_color_lips				0	1		face	1	cosmetic
zabrak_female	cosmetic	color	color_lip	index_color_lips								0			face	1	cosmetic
zabrak_female	horns_hair	color	color_horns	index_color_2										1	hair	3	cosmetic
zabrak_female	horns_hair	color	color_hair	index_color_1										1	hair	1	cosmetic
zabrak_male	body	hslider	muscle	blend_muscle											body	3	physical
zabrak_male	body	hslider	height		1										body	5	physical
zabrak_male	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
zabrak_male	body	hslider	chest	blend_muscle								0			body	9	physical
zabrak_male	body	color	color_skin	index_color_skin											body	9	physical
zabrak_male	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
zabrak_male	eyes_nose	hslider	eye_shape	"blend_eyeshape_0,blend_eyeshape_1"											face	8	physical
zabrak_male	eyes_nose	hslider	eye_direction	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
zabrak_male	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
zabrak_male	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
zabrak_male	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
zabrak_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
zabrak_male	face	hslider	age	index_age							1	0			face	12	physical
zabrak_male	face	hslider	lip_fullness	"blend_lipfullness_0,blend_lipfullness_1"											face	4	physical
zabrak_male	face	hslider	lip_width	"blend_lipwidth_0,blend_lipwidth_1"											face	5	physical
zabrak_male	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
zabrak_male	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
zabrak_male	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
zabrak_male	face	hslider	ears	"blend_ears_0,blend_ears_1"						180					face	10	physical
zabrak_male	face	color	color_skin	index_color_skin											body	9	physical
zabrak_male	tattoos	hslider	tattoo_style	index_style_tattoo							1				markings	7	cosmetic
zabrak_male	tattoos	color	color_skin	index_color_skin											body	9	physical
zabrak_male	tattoos	color	color_tattoo	index_color_tattoo											markings	2	cosmetic
zabrak_male	freckles	hslider	freckles	index_style_freckles							1				face	3	physical
zabrak_male	horns_hair	color	color_horns	index_color_2										1	hair	3	cosmetic
zabrak_male	horns_hair	color	color_hair	index_color_1										1	hair	1	cosmetic
twilek_female	body	hslider	muscle	blend_muscle											body	3	physical
twilek_female	body	hslider	height		1										body	5	physical
twilek_female	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
twilek_female	body	hslider	chest	blend_flat_chest		1									body	9	physical
twilek_female	body	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
twilek_female	body	color	color_markings	index_color_pattern											markings	5	cosmetic
twilek_female	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
twilek_female	eyes_nose	hslider	eye_shape	"blend_eyeshape_0,blend_eyeshape_1"											face	8	physical
twilek_female	eyes_nose	hslider	eye_direction	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
twilek_female	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
twilek_female	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
twilek_female	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
twilek_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
twilek_female	face	hslider	age	index_age							1	0			face	12	physical
twilek_female	face	hslider	lip_fullness	"blend_lipfullness_0,blend_lipfullness_1"											face	4	physical
twilek_female	face	hslider	lip_width	"blend_lipwidth_0,blend_lipwidth_1"											face	5	physical
twilek_female	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
twilek_female	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
twilek_female	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
twilek_female	face	hslider	ears	"blend_ears_0,blend_ears_1"						180					face	10	physical
twilek_female	face	color	color_skin	index_color_skin				index_color_eyeshadow	index_color_lips						body	9	physical
twilek_female	face	color	color_markings	index_color_pattern											markings	5	cosmetic
twilek_female	cosmetic	hslider	freckles	index_style_freckles							1				face	3	physical
twilek_female	cosmetic	hslider	eyeshadow	index_style_eyeshadow							1				face	1	cosmetic
twilek_female	cosmetic	color	color_eye_shadow	index_color_eyeshadow				index_color_lips				0	1		face	1	cosmetic
twilek_female	cosmetic	color	color_lip	index_color_lips								0			face	1	cosmetic
twilek_female	eyebrows	hslider	eyebrows	index_style_eyebrow							1				hair	4	cosmetic
twilek_female	eyebrows	color	color_eyebrows	index_color_eyebrow			index_color_1								hair	1	cosmetic
twilek_female	lekku	hslider	pattern	index_texture_1							1				hair	12	cosmetic
twilek_female	lekku	color	color_skin	index_color_skin										1	body	9	physical
twilek_female	lekku	color	color_markings	index_color_pattern										1	markings	5	cosmetic
twilek_male	body	hslider	muscle	blend_muscle											body	3	physical
twilek_male	body	hslider	height		1										body	5	physical
twilek_male	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
twilek_male	body	hslider	chest	blend_muscle								0			body	9	physical
twilek_male	body	color	color_skin	index_color_skin											body	9	physical
twilek_male	body	color	color_markings	index_color_pattern											markings	5	cosmetic
twilek_male	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
twilek_male	eyes_nose	hslider	eye_shape	"blend_eyeshape_0,blend_eyeshape_1"											face	8	physical
twilek_male	eyes_nose	hslider	eye_direction	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
twilek_male	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
twilek_male	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
twilek_male	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
twilek_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
twilek_male	face	hslider	age	index_age							1	0			face	12	physical
twilek_male	face	hslider	lip_fullness	"blend_lipfullness_0,blend_lipfullness_1"											face	4	physical
twilek_male	face	hslider	lip_width	"blend_lipwidth_0,blend_lipwidth_1"											face	5	physical
twilek_male	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
twilek_male	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
twilek_male	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
twilek_male	face	hslider	ears	"blend_ears_0,blend_ears_1"						180					face	10	physical
twilek_male	face	color	color_skin	index_color_skin											body	9	physical
twilek_male	face	color	color_markings	index_color_pattern											markings	5	cosmetic
twilek_male	freckles	hslider	freckles	index_style_freckles							1				face	3	physical
twilek_male	lekku	hslider	pattern	index_texture_1							1				hair	12	cosmetic
twilek_male	lekku	color	color_skin	index_color_skin										1	body	9	physical
twilek_male	lekku	color	color_markings	index_color_pattern										1	markings	5	cosmetic
trandoshan_female	body	hslider	muscle	blend_muscle											body	3	physical
trandoshan_female	body	hslider	height		1										body	5	physical
trandoshan_female	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
trandoshan_female	body	color	color_skin	index_color_skin											body	9	physical
trandoshan_female	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
trandoshan_female	eyes_nose	hslider	eye_shape	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
trandoshan_female	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
trandoshan_female	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
trandoshan_female	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
trandoshan_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
trandoshan_female	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
trandoshan_female	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
trandoshan_female	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
trandoshan_female	face	color	color_skin	index_color_skin											body	9	physical
trandoshan_female	ridges	color	color_skin	index_color_skin										1	body	9	physical
trandoshan_male	body	hslider	muscle	blend_muscle											body	3	physical
trandoshan_male	body	hslider	height		1										body	5	physical
trandoshan_male	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
trandoshan_male	body	color	color_skin	index_color_skin											body	9	physical
trandoshan_male	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
trandoshan_male	eyes_nose	hslider	eye_shape	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
trandoshan_male	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
trandoshan_male	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
trandoshan_male	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
trandoshan_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
trandoshan_male	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
trandoshan_male	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
trandoshan_male	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
trandoshan_male	face	color	color_skin	index_color_skin											body	9	physical
trandoshan_male	ridges	color	color_skin	index_color_skin										1	body	9	physical
wookiee_female	body	hslider	muscle	blend_muscle											body	3	physical
wookiee_female	body	hslider	height		1										body	5	physical
wookiee_female	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
wookiee_female	body	hslider	head_size	"blend_headsize_0,blend_headsize_1"											face	12	physical
wookiee_female	body	color	color_fur	index_color_1											body	1	cosmetic
wookiee_female	body	color	color_markings	index_color_3											markings	7	cosmetic
wookiee_female	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
wookiee_female	eyes_nose	hslider	eye_shape	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
wookiee_female	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
wookiee_female	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
wookiee_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
wookiee_female	face	hslider	lip_width	"blend_lipwidth_0,blend_lipwidth_1"											face	5	physical
wookiee_female	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
wookiee_female	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
wookiee_female	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
wookiee_female	face	hslider	brow	"blend_brow_0,blend_brow_1"											face	8	physical
wookiee_female	face	color	color_fur	index_color_1											body	1	cosmetic
wookiee_female	face	color	color_markings	index_color_3											markings	7	cosmetic
wookiee_female	fur	hslider	pattern	index_texture_1							1				body	2	cosmetic
wookiee_female	fur	color	color_fur	index_color_1											body	1	cosmetic
wookiee_female	fur	color	color_markings	index_color_3											markings	7	cosmetic
wookiee_male	body	hslider	muscle	blend_muscle											body	3	physical
wookiee_male	body	hslider	height		1										body	5	physical
wookiee_male	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
wookiee_male	body	hslider	head_size	"blend_headsize_0,blend_headsize_1"											face	12	physical
wookiee_male	body	color	color_fur	index_color_1											body	1	cosmetic
wookiee_male	body	color	color_markings	index_color_3											markings	7	cosmetic
wookiee_male	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
wookiee_male	eyes_nose	hslider	eye_shape	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
wookiee_male	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
wookiee_male	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
wookiee_male	eyes_nose	color	color_eyes	index_color_2											face	2	physical
wookiee_male	face	hslider	lip_width	"blend_lipwidth_0,blend_lipwidth_1"											face	5	physical
wookiee_male	face	hslider	chin	"blend_chinsize_0,blend_chinsize_1"											face	5	physical
wookiee_male	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"											face	10	physical
wookiee_male	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
wookiee_male	face	hslider	brow	"blend_brow_0,blend_brow_1"											face	8	physical
wookiee_male	face	color	color_fur	index_color_1											body	1	cosmetic
wookiee_male	face	color	color_markings	index_color_3											markings	7	cosmetic
wookiee_male	fur	hslider	pattern	index_texture_1							1				body	2	cosmetic
wookiee_male	fur	color	color_fur	index_color_1											body	1	cosmetic
wookiee_male	fur	color	color_markings	index_color_3											markings	7	cosmetic
rodian_female	body	hslider	muscle	blend_muscle											body	3	physical
rodian_female	body	hslider	height		1										body	5	physical
rodian_female	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
rodian_female	body	hslider	chest	blend_flat_chest		1									body	9	physical
rodian_female	body	color	color_skin	index_color_skin											body	9	physical
rodian_female	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
rodian_female	eyes_nose	hslider	eye_shape	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
rodian_female	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
rodian_female	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
rodian_female	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
rodian_female	eyes_nose	color	color_eyes	index_color_2											face	2	physical
rodian_female	eyes_nose	color	color_nose	index_color_3											face	3	physical
rodian_female	face	hslider	lip_fullness	"blend_lipfullness_0,blend_lipfullness_1"											face	4	physical
rodian_female	face	hslider	lip_width	"blend_lipwidth_0,blend_lipwidth_1"											face	5	physical
rodian_female	face	hslider	jaw	"blend_jaw_0,blend_jaw_1"						195					face	10	physical
rodian_female	face	hslider	cheeks	"blend_cheeks_0,blend_cheeks_1"											face	4	physical
rodian_female	face	hslider	ears	"blend_ears_0,blend_ears_1"						180					face	10	physical
rodian_female	face	hslider	sensors	"blend_sensor_0,blend_sensor_1"											face	8	physical
rodian_female	face	color	color_skin	index_color_skin											body	9	physical
rodian_female	hair	color	color_hair	index_color_1										1	hair	1	cosmetic
rodian_female	hair	color	color_hair_trim	index_color_2										1	hair	2	cosmetic
rodian_male	body	hslider	muscle	blend_muscle											body	3	physical
rodian_male	body	hslider	height		1										body	5	physical
rodian_male	body	hslider	weight	"blend_skinny,blend_fat"											body	7	physical
rodian_male	body	hslider	chest	blend_muscle								0			body	9	physical
rodian_male	body	color	color_skin	index_color_skin											body	9	physical
rodian_male	eyes_nose	hslider	eye_size	"blend_eyesize_0,blend_eyesize_1"											face	8	physical
rodian_male	eyes_nose	hslider	eye_shape	"blend_eyedirection_0,blend_eyedirection_1"											face	8	physical
rodian_male	eyes_nose	hslider	nose_length	"blend_noselength_0,blend_noselength_1"						225					face	6	physical
rodian_male	eyes_nose	hslider	nose_width	"blend_nosewidth_0,blend_nosewidth_1"						180					face	6	physical
rodian_male	eyes_nose	hslider	nose_protrusion	"blend_nosedepth_0,blend_nosedepth_1"						270					face	6	physical
