Resource Index#	Planet	Pool Size Min	Pool Size Max	Fractal Type	Fractal X Scale	Fractal Y Scale	Fractal Bias	Fractal Gain	Fractal Combo Rule	Fractal Frequency	Fractal Amplitude	Fractal Octaves
60	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
61	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
63	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
64	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
65	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
66	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
67	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
68	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
69	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
70	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
71	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
72	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
74	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
75	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
76	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
77	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
78	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
79	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
80	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
81	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
82	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
83	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
85	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
86	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
87	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
88	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
89	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
90	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
91	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
92	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
93	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
94	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
96	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
97	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
98	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
99	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
100	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
101	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
102	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
103	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
104	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
105	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
107	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
108	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
109	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
110	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
111	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
112	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
113	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
114	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
115	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
116	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
118	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
119	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
120	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
121	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
122	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
123	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
124	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
125	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
126	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
127	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
129	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
130	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
131	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
132	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
133	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
134	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
135	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
136	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
137	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
138	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
139	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
140	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
141	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
142	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
143	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
144	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
145	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
146	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
147	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
148	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
151	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
152	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
153	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
154	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
155	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
156	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
157	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
158	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
159	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
160	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
162	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
163	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
164	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
165	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
166	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
167	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
168	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
169	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
170	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
171	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
173	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
174	dantooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
175	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
176	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
177	lok	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
178	naboo	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
179	rori	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
180	talus	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
181	tatooine	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
182	yavin4	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
185	corellia	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
186	dantooine	7	21	C	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
187	dathomir	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
188	endor	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
189	lok	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
190	naboo	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
191	rori	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
192	talus	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
193	tatooine	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
194	yavin4	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
196	corellia	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
197	dantooine	7	21	C	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
198	dathomir	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
199	endor	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
200	lok	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
201	naboo	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
202	rori	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
203	talus	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
204	tatooine	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
205	yavin4	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
207	corellia	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
208	dantooine	7	21	C	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
209	dathomir	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
210	endor	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
211	lok	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
212	naboo	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
213	rori	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
214	talus	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
215	tatooine	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
216	yavin4	7	21	C	0.0005	0.0005	0.65	0.9	0	0.2	0.5	2
218	corellia	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
219	dantooine	7	21	C	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
220	dathomir	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
221	endor	7	21	A	0.0005	0.0005	0.65	0.7	0	0.2	0.5	2
222	lok	7	21	B	0.0005	0.0005	0.65	0.979	0	2.468	1	2
223	naboo	7	21	B	0.0005	0.0005	0.65	0.979	0	2.468	1	2
224	rori	7	21	B	0.0005	0.0005	0.65	0.979	0	2.468	1	2
225	talus	7	21	B	0.0005	0.0005	0.65	0.979	0	2.468	1	2
226	tatooine	7	21	B	0.0005	0.0005	0.65	0.979	0	2.468	1	2
227	yavin4	7	21	B	0.0005	0.0005	0.65	0.979	0	2.468	1	2
233	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
234	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
235	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
236	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
237	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
238	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
239	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
240	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
241	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
242	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
244	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
245	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
246	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
247	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
248	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
249	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
250	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
251	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
252	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
253	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
256	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
257	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
258	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
259	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
260	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
261	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
262	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
263	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
264	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
265	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
267	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
268	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
269	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
270	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
271	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
272	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
273	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
274	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
275	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
276	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
279	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
280	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
281	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
282	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
283	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
284	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
285	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
286	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
287	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
288	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
290	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
291	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
292	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
293	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
294	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
295	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
296	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
297	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
298	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
299	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
302	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
303	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
304	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
305	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
306	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
307	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
308	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
309	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
310	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
311	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
313	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
314	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
315	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
316	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
317	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
318	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
319	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
320	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
321	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
322	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
326	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
327	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
328	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
329	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
330	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
331	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
332	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
333	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
334	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
335	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
337	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
338	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
339	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
340	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
341	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
342	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
343	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
344	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
345	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
346	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
348	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
349	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
350	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
351	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
352	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
353	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
354	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
355	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
356	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
357	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
359	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
360	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
361	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
362	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
363	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
364	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
365	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
366	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
367	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
368	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
371	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
372	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
373	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
374	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
375	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
376	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
377	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
378	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
379	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
380	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
382	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
383	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
384	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
385	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
386	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
387	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
388	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
389	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
390	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
391	yavin4	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
393	corellia	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
394	dantooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
395	dathomir	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
396	endor	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
397	lok	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
398	naboo	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
399	rori	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
400	talus	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
401	tatooine	7	21	C	0.001	0.001	0.319	0.9	0	0	0	1
