STRUCTURE	ARRIVAL_X	ARRIVAL_Y	ARRIVAL_Z	ARRIVAL_CELL	GROUND_TIME	AIR_TIME	IS_SHUTTLEPORT	VERSION	OBJECT	X	Y	Z	CELL	HEADING	IS_TERMINAL	IS_TRANSPORT	IS_PILOT
									object/tangible/travel/ticket_collector/ticket_collector.iff	6	-1	-14	WORLD_DELTA	0	0	0	1
object/building/player/city/shuttleport_naboo.iff	0	0	-10.5	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	-6	-1	-14	WORLD_DELTA	0	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-0.6	-5	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	6	-1	-14	WORLD_DELTA	0	0	0	1
object/building/player/city/shuttleport_corellia.iff	0	0	-10.5	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	-6	-1	-14	WORLD_DELTA	0	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-0.6	-5	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	6	-1	-14	WORLD_DELTA	0	0	0	1
object/building/kashyyyk/mun_kachirho_starport.iff	20.34	0	17.76	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	-3.12	0	-17.57	r1	-90	1	0	0
									object/creature/npc/theme_park/player_transport.iff	0	-9	0	WORLD_DELTA	-90	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	1	0	10	WORLD_DELTA	315	0	0	1
object/building/mustafar/structures/must_new_mining_facility.iff	50	-31	145	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	60	-30.7	130	WORLD_DELTA	180	1	0	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	45	-30.7	152	WORLD_DELTA	-90	0	0	1
									object/creature/npc/theme_park/player_transport.iff	55	-32	160	WORLD_DELTA	90	0	1	0
object/building/naboo/rori_restuss_starport.iff	20.34	0	17.76	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	-3.12	0	-17.57	r1	-90	1	0	0
									object/creature/npc/theme_park/player_transport.iff	0	-9	0	WORLD_DELTA	-90	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	1	0	10	WORLD_DELTA	315	0	0	1
									object/tangible/terminal/terminal_space.iff	-7.6	0	-19.5	r1	0	1	0	0
object/building/naboo/rori_restuss_shuttleport.iff	20	0	0	WORLD_DELTA	300	60	1	1									
									object/tangible/terminal/terminal_travel.iff	13.3	-0.6	9.4	WORLD_DELTA	270	1	0	0
									object/creature/npc/theme_park/player_shuttle.iff	0	-0.6	-5	WORLD_DELTA	180	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	13.3	-0.6	-9.4	WORLD_DELTA	270	0	0	1
object/tangible/gcw/static_base/invisible_beacon.iff	0	0	0	WORLD_DELTA	300	60	1	1									
object/tangible/camp/camp_shuttle_beacon.iff	0	0	0	WORLD_DELTA	300	60	1	1									
object/building/dathomir/dathomir_quarantine_zone_starport.iff	20.34	0	17.76	WORLD_DELTA	300	60	0	1									
									object/tangible/terminal/terminal_travel.iff	-3.12	0	-17.57	r1	-90	1	0	0
									object/creature/npc/theme_park/player_transport.iff	0	-9	0	WORLD_DELTA	-90	0	1	0
									object/tangible/travel/ticket_collector/ticket_collector.iff	1	0.2	10	WORLD_DELTA	315	0	0	1
									object/tangible/terminal/terminal_space.iff	-7.6	0	-19.5	r1	0	1	0	0
