battlefield	template	construction_template	name	cost	construction_time	faction
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
dune_sea						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	ALL
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	ALL
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	ALL
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
junland_mesa						
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	Rebel
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	Rebel
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
naboo_pvp_01						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
naboo_gungan_ruins						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	Imperial
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	Imperial
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
imperial_beach_fortress						
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	Rebel
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	Rebel
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
rori_pvp_01						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
talus_pvp_01						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
yavin4_mountain_pvp						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
yavin4_forest_pvp						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
dathomir_canyon_pvp						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
endor_salma_desert						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
endor_forest						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
corellia_pvp						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	ALL
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	ALL
	object/installation/battlefield/destructible/turret_dish_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Dish Turret	200	180	ALL
	object/installation/battlefield/destructible/turret_tower_small.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Tower Turret	200	180	ALL
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
corellia_rebel_riverside_fort						
	object/installation/battlefield/destructible/bfield_wall_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Imperial
	object/installation/battlefield/destructible/bfield_wall_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Imperial
	object/installation/battlefield/destructible/bfield_column_imperial.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Imperial
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	Imperial
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	Imperial
	object/installation/battlefield/destructible/barracks/storm_trooper_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Stormtrooper Barracks	150	240	Imperial
corellia_mountain_fortress						
	object/installation/battlefield/destructible/bfield_wall_rebl_med.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Medium Wall	10	10	Rebel
	object/installation/battlefield/destructible/bfield_wall_rebl_strong.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Reinforced Wall	25	30	Rebel
	object/installation/battlefield/destructible/bfield_column_rebel.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Column	50	60	Rebel
	object/installation/battlefield/destructible/battlefield_constructor.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Battlefield Constructor	100	120	Rebel
	object/installation/battlefield/destructible/small_turret.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Small Turret	125	120	Rebel
	object/installation/battlefield/destructible/barracks/rebel_infantry_barracks.iff	object/installation/battlefield/destructible/base/construction_base_destructible_building.iff	Rebel Infantry Barracks	150	240	Rebel
