npc_type	table	chance
	datatables/loot/npc/krayt.iff:trophy_b	2
	datatables/loot/npc/krayt.iff:trophy_a	20
imperial_retreat_guard	datatables/loot/npc/imperial.iff:soldier4	4000
	datatables/loot/trophy/trophy_a.iff:general	6
imperial_soldier	datatables/loot/npc/imperial.iff:soldier1	1000
imperial_soldier2	datatables/loot/npc/imperial.iff:soldier2	1200
imperial_soldier3	datatables/loot/npc/imperial.iff:soldier3	2000
imperial_soldier4	datatables/loot/npc/imperial.iff:soldier4	2000
imperial_soldier5	datatables/loot/npc/imperial.iff:soldier5	3000
imperial_soldier6	datatables/loot/npc/imperial.iff:soldier	2000
jabba1	datatables/loot/npc/jabba.iff:jabba1	1000
jabba2	datatables/loot/npc/jabba.iff:jabba2	2000
jabba3	datatables/loot/npc/jabba.iff:jabba3	1000
janta	datatables/loot/npc/janta.iff:janta1	1200
janta_primalist	datatables/loot/npc/janta.iff:janta2	2000
	datatables/loot/npc/force_crystal.iff:generic	200
janta2	datatables/loot/npc/janta.iff:janta2	1800
janta3	datatables/loot/npc/janta.iff:janta3	2200
	datatables/loot/npc/janta.iff:trophy_a	4
janta4	datatables/loot/npc/janta.iff:janta4	2400
	datatables/loot/npc/force_crystal.iff:generic	200
	datatables/loot/npc/janta.iff:trophy_a	6
janta5	datatables/loot/npc/janta.iff:janta5	2600
	datatables/loot/npc/janta.iff:trophy_a	8
jawa	datatables/loot/npc/jawa.iff:jawa1	2000
jawa2	datatables/loot/npc/jawa.iff:jawa2	3000
jedi	datatables/loot/npc/jedi.iff:jedi1	1000
jedi3	datatables/loot/npc/jedi.iff:jedi3	3000
	datatables/loot/trophy/trophy_a.iff:general	6
jedi4	datatables/loot/npc/jedi.iff:jedi4	1000
jedi5	datatables/loot/npc/jedi.iff:jedi5	1000
jedi6	datatables/loot/npc/jedi.iff:jedi4	4000
	datatables/loot/trophy/trophy_a.iff:general	10
jedi7	datatables/loot/npc/jedi.iff:jedi5	6000
	datatables/loot/trophy/trophy_a.iff:general	20
jinda1	datatables/loot/npc/jinda.iff:jinda1	1000
jinda2	datatables/loot/npc/jinda.iff:jinda2	1600
jinda3	datatables/loot/npc/jinda.iff:jinda3	2000
jinda4	datatables/loot/npc/jinda.iff:jinda4	2400
jinda5	datatables/loot/npc/jinda.iff:jinda5	3000
kimogila	datatables/loot/npc/kimogila.iff:generic	2400
	datatables/loot/npc/kimogila.iff:trophy_a	16
	datatables/loot/npc/kimogila.iff:trophy_b	2
kliknik	datatables/loot/npc/kliknick.iff:generic	600
kliknik_force_strong	datatables/loot/dungeon/geonosian_bio_bunker.iff:kliknik_force_strong	2400
kliknik_force_weak	datatables/loot/dungeon/geonosian_bio_bunker.iff:kliknik_force_weak	2400
kliknik_special	datatables/loot/npc/kliknick.iff:generic	2000
	datatables/loot/npc/kliknick.iff:trophy_a	8
kobola1	datatables/loot/npc/kobola.iff:kobola1	1000
kobola2	datatables/loot/npc/kobola.iff:kobola2	1000
kobola3	datatables/loot/npc/kobola.iff:kobola3	1800
korga1	datatables/loot/npc/korga.iff:korga1	1000
korga2	datatables/loot/npc/korga.iff:korga2	1400
korga3	datatables/loot/npc/korga.iff:korga3	1800
korga4	datatables/loot/npc/korga.iff:korga4	2400
korga5	datatables/loot/npc/korga.iff:korga5	3000
krayt	datatables/loot/npc/krayt.iff:generic	5500
	datatables/loot/npc/krayt.iff:pearl_low	8500
	datatables/loot/trophy/trophy_b.iff:general	2
	datatables/loot/trophy/trophy_a.iff:general	20
krayt2	datatables/loot/npc/krayt.iff:generic	5500
	datatables/loot/npc/krayt.iff:pearl_standard	10000
	datatables/loot/trophy/trophy_b.iff:general	4
	datatables/loot/trophy/trophy_a.iff:general	100
krayt3	datatables/loot/npc/krayt.iff:generic	5500
	datatables/loot/npc/krayt.iff:pearl_high	10000
	datatables/loot/trophy/trophy_b.iff:general	4
	datatables/loot/trophy/trophy_a.iff:general	200
kunga1	datatables/loot/npc/kunga.iff:kunga1	1000
kunga2	datatables/loot/npc/kunga.iff:kunga2	1400
kunga3	datatables/loot/npc/kunga.iff:kunga3	2000
kunga4	datatables/loot/npc/kunga.iff:kunga4	2400
kunga5	datatables/loot/npc/kunga.iff:kunga5	3000
kunga6	datatables/loot/npc/kunga.iff:kunga6	3000
lost_aqualish1	datatables/loot/npc/lost_aqualish.iff:lost_aqualish1	1000
lost_aqualish2	datatables/loot/npc/lost_aqualish.iff:lost_aqualish2	1000
lost_aqualish3	datatables/loot/npc/lost_aqualish.iff:lost_aqualish3	1500
lost_aqualish4	datatables/loot/npc/lost_aqualish.iff:lost_aqualish4	2000
marauder	datatables/loot/npc/marauder.iff:marauder1	1400
marauder2	datatables/loot/npc/marauder.iff:marauder2	5000
marauder3	datatables/loot/npc/marauder.iff:marauder3	5000
marauder4	datatables/loot/npc/marauder.iff:marauder1	2000
	datatables/loot/npc/force_crystal.iff:generic	200
marauder5	datatables/loot/npc/marauder.iff:marauder2	2000
	datatables/loot/trophy/trophy_a.iff:general	4
marauder6	datatables/loot/npc/marauder.iff:marauder3	2400
	datatables/loot/trophy/trophy_a.iff:general	4
	datatables/loot/npc/force_crystal.iff:generic	200
marauder7	datatables/loot/npc/marauder.iff:marauder3	2400
	datatables/loot/trophy/trophy_a.iff:general	4
mauler1	datatables/loot/npc/mauler.iff:mauler1	1500
mauler2	datatables/loot/npc/mauler.iff:mauler2	2400
mauler3	datatables/loot/npc/mauler.iff:mauler3	4000
meatlump1	datatables/loot/npc/meatlump.iff:meatlump1	2000
meatlump2	datatables/loot/npc/meatlump.iff:meatlump2	5000
meatlump_merkie_howzat	datatables/loot/npc/meatlump.iff:meatlump_merkie_howzat	10000
	datatables/loot/npc/meatlump.iff:meatlump2	2500
mellichae	datatables/loot/npc/sith_shadow.iff:mellichae	10000
	datatables/loot/npc/mellichae.iff:generic	10000
mercenary	datatables/loot/npc/mercenary.iff:mercenary1	1000
mercenary2	datatables/loot/npc/mercenary.iff:mercenary2	1400
mercenary3	datatables/loot/npc/mercenary.iff:mercenary3	1600
mercenary4	datatables/loot/npc/mercenary.iff:mercenary4	2000
mercenary5	datatables/loot/npc/mercenary.iff:mercenary5	2000
mercenary6	datatables/loot/npc/mercenary.iff:mercenary3	1000
	datatables/loot/npc/force_crystal.iff:generic	600
mercenary7	datatables/loot/npc/mercenary.iff:mercenary4	1000
	datatables/loot/npc/force_crystal.iff:generic	600
mercenary8	datatables/loot/npc/mercenary.iff:mercenary5	2000
	datatables/loot/npc/force_crystal.iff:generic	600
mokk1	datatables/loot/npc/mokk.iff:mokk1	1600
mokk2	datatables/loot/npc/mokk.iff:mokk2	2000
mokk3	datatables/loot/npc/mokk.iff:mokk3	3000
mokk4	datatables/loot/npc/mokk.iff:mokk4	3600
monumenter1	datatables/loot/npc/monumenter.iff:monumenter1	2000
mordran1	datatables/loot/npc/mordran.iff:mordran1	8500
	datatables/loot/trophy/trophy_a.iff:general	6
mordran2	datatables/loot/npc/mordran.iff:mordran2	3000
mummer1	datatables/loot/npc/mummer.iff:mummer1	1000
murra_blanca	datatables/loot/creature_loot/elite_creature.iff:murra_blanca	10000
narmle1	datatables/loot/npc/narmle.iff:narmle1	1000
narmle2	datatables/loot/npc/narmle.iff:narmle2	2000
narmle3	datatables/loot/npc/narmle.iff:narmle3	2000
nightsister	datatables/loot/npc/nightsister.iff:nightsister1	1000
nightsister_boss	datatables/loot/npc/nightsister.iff:nightsister_boss	7500
	datatables/loot/npc/nightsister.iff:trophy_b	2
	datatables/loot/npc/nightsister.iff:trophy_a	20
nightsister2	datatables/loot/npc/nightsister.iff:nightsister3	1000
	datatables/loot/npc/nightsister.iff:trophy_a	2
nightsister3	datatables/loot/npc/nightsister.iff:nightsister3	2000
nightsister4	datatables/loot/npc/nightsister.iff:nightsister4	2500
	datatables/loot/npc/nightsister.iff:trophy_a	6
nightsister5	datatables/loot/npc/nightsister.iff:nightsister5	3400
nightsister6	datatables/loot/npc/nightsister.iff:nightsister5	4000
	datatables/loot/npc/nightsister.iff:trophy_a	20
	datatables/loot/npc/nightsister.iff:trophy_a	2
nightsister7	datatables/loot/npc/nightsister.iff:nightsister5	8000
	datatables/loot/npc/nightsister.iff:trophy_a	20
	datatables/loot/npc/nightsister.iff:trophy_a	2
noble1	datatables/loot/npc/noble.iff:noble	1000
noble2	datatables/loot/npc/noble.iff:noble	1000
noble3	datatables/loot/npc/noble.iff:noble2	1400
noble4	datatables/loot/npc/noble.iff:noble3	5000
noble5	datatables/loot/npc/noble.iff:noble4	2000
novatrooper	datatables/loot/npc/imperial.iff:officer4	2000
	datatables/loot/npc/force_crystal.iff:generic	200
novice_jedi	datatables/loot/npc/jedi.iff:jedi1	2000
	datatables/loot/trophy/trophy_a.iff:general	2
nyax1	datatables/loot/npc/nyax.iff:nyax1	1200
nyax_clothing	datatables/loot/npc/nyax.iff:clothing	1000
nyax2	datatables/loot/npc/nyax.iff:nyax2	1700
nyax3	datatables/loot/npc/nyax.iff:nyax3	2000
nyax4	datatables/loot/npc/nyax.iff:nyax1	1400
	datatables/loot/npc/force_crystal.iff:generic	600
nyax5	datatables/loot/npc/nyax.iff:lord_nyax	9500
	datatables/loot/npc/nyax.iff:lord_nyax_rare	14
nym1	datatables/loot/npc/nym.iff:nym1	2000
nym2	datatables/loot/npc/nym.iff:nym2	1800
nym3	datatables/loot/npc/nym.iff:nym3	2000
nym4	datatables/loot/npc/nym.iff:nym4	2400
nym5	datatables/loot/npc/nym.iff:nym5	3000
nym6	datatables/loot/npc/nym.iff:nym1	2000
	datatables/loot/npc/force_crystal.iff:generic	600
nym7	datatables/loot/npc/nym.iff:nym3	2000
	datatables/loot/npc/force_crystal.iff:generic	200
painted_spat	datatables/loot/creature_loot/elite_creature.iff:painted_spat	10000
panshee1	datatables/loot/npc/panshee.iff:panshee1	1000
panshee2	datatables/loot/npc/panshee.iff:panshee2	1400
panshee3	datatables/loot/npc/panshee.iff:panshee3	2000
panshee4	datatables/loot/npc/panshee.iff:panshee4	2000
panshee5	datatables/loot/npc/panshee.iff:panshee5	3000
panshee6	datatables/loot/npc/panshee.iff:panshee6	3000
peko_albatross	datatables/loot/npc/peko_albatross.iff:generic	8000
pirate1	datatables/loot/npc/criminal.iff:pirate1	1000
pirate2	datatables/loot/npc/criminal.iff:pirate2	1200
pirate3	datatables/loot/npc/criminal.iff:pirate3	1400
pirate4	datatables/loot/npc/criminal.iff:pirate4	1500
pirate5	datatables/loot/npc/criminal.iff:pirate5	2000
pirate6	datatables/loot/npc/criminal.iff:pirate4	2000
	datatables/loot/npc/force_crystal.iff:generic	600
pubam1	datatables/loot/npc/pubam.iff:pubam1	1000
pubam2	datatables/loot/npc/pubam.iff:pubam2	1400
pubam3	datatables/loot/npc/pubam.iff:pubam3	2000
pubam4	datatables/loot/npc/pubam.iff:pubam4	2000
pubam5	datatables/loot/npc/pubam.iff:pubam5	3000
rancor	datatables/loot/npc/rancor.iff:generic	1000
rancor2	datatables/loot/npc/rancor.iff:generic	1200
	datatables/loot/npc/rancor.iff:trophy_a	6
ragtag1	datatables/loot/npc/ragtag.iff:ragtag1	1000
blood_razor1	datatables/loot/npc/blood_razor.iff:razor1	2000
blood_razor2	datatables/loot/npc/blood_razor.iff:razor2	2000
blood_razor3	datatables/loot/npc/blood_razor.iff:razor3	2400
rebel_medic	datatables/loot/npc/rebel.iff:medic1	1000
rebel_medic2	datatables/loot/npc/rebel.iff:medic3	2000
rebel_officer	datatables/loot/npc/rebel.iff:officer1	1000
rebel_officer2	datatables/loot/npc/rebel.iff:officer2	1500
rebel_officer3	datatables/loot/npc/rebel.iff:officer3	2000
rebel_officer4	datatables/loot/npc/rebel.iff:officer4	2000
rebel_officer5	datatables/loot/npc/rebel.iff:officer5	2000
rebel_officer6	datatables/loot/npc/rebel.iff:officer3	2000
	datatables/loot/npc/force_crystal.iff:generic	200
rebel_officer7	datatables/loot/npc/rebel.iff:officer4	2000
	datatables/loot/npc/force_crystal.iff:generic	200
rebel_officer_fb	datatables/loot/npc/rebel.iff:officer5	2000
	datatables/loot/npc/krayt.iff:generic	500
	datatables/loot/npc/krayt.iff:trophy_b	2
	datatables/loot/npc/krayt.iff:trophy_a	20
rebel_soldier	datatables/loot/npc/rebel.iff:soldier1	1000
rebel_soldier2	datatables/loot/npc/rebel.iff:soldier2	2000
rebel_soldier3	datatables/loot/npc/rebel.iff:soldier3	2000
rebel_soldier4	datatables/loot/npc/rebel.iff:soldier4	2000
rebel_soldier5	datatables/loot/npc/rebel.iff:soldier5	3000
rebel_soldier6	datatables/loot/npc/rebel.iff:soldier2	2000
	datatables/loot/npc/force_crystal.iff:generic	200
royal_security_force1	datatables/loot/npc/rsf.iff:rsf1	1000
royal_security_force2	datatables/loot/npc/rsf.iff:rsf2	2000
royal_security_force3	datatables/loot/npc/rsf.iff:rsf3	2000
scientific1	datatables/loot/npc/scientific.iff:scientific1	1400
scorpion_kliknik	datatables/loot/creature_loot/elite_creature.iff:scorpion_kliknik	10000
selonian2	datatables/loot/npc/selonian.iff:selonian2	1000
selonian3	datatables/loot/npc/selonian.iff:selonian3	1300
selonian4	datatables/loot/npc/selonian.iff:selonian4	1800
sennex1	datatables/loot/npc/sennex.iff:sennex1	0
sennex2	datatables/loot/npc/sennex.iff:sennex2	0
sennex3	datatables/loot/npc/sennex.iff:sennex3	0
sharnaff	datatables/loot/npc/sharnaff.iff:generic	1266
sif	datatables/loot/npc/sif.iff:sif1	5000
sif2	datatables/loot/npc/sif.iff:sif2	6000
sif3	datatables/loot/npc/sif.iff:sif3	8550
sith	datatables/loot/npc/noble.iff:noble2	5000
sith_shadow_merc	datatables/loot/npc/sith_shadow.iff:mercenary	2000
sith_shadow_pirate	datatables/loot/npc/sith_shadow.iff:pirate	2000
sith_shadow_outlaw	datatables/loot/npc/sith_shadow.iff:outlaw	2000
sith_shadow_leader	datatables/loot/npc/sith_shadow.iff:sith_shadow_leader	10000
sith_shadow_taskmaster	datatables/loot/npc/sith_shadow.iff:taskmaster	3000
	datatables/loot/trophy/trophy_a.iff:general	20
sith_shadow_thug	datatables/loot/npc/sith_shadow.iff:thug	2000
skaak1	datatables/loot/npc/skaak.iff:skaak1	1000
skaak2	datatables/loot/npc/skaak.iff:skaak2	1000
skaak_jonni_skaak	datatables/loot/npc/skaak.iff:skaak2	2000
	datatables/loot/npc/skaak.iff:jonni_skaak	10000
slaver1	datatables/loot/npc/slaver.iff:slaver1	1000
slaver2	datatables/loot/npc/slaver.iff:slaver2	1000
sleemo1	datatables/loot/npc/sleemo.iff:sleemo1	1000
slicer	datatables/loot/npc/criminal.iff:slicer1	1000
slicer2	datatables/loot/npc/criminal.iff:slicer2	1000
slicer4	datatables/loot/npc/criminal.iff:slicer4	1400
smashball1	datatables/loot/npc/smashball.iff:smashball1	1000
smc1	datatables/loot/npc/singing.iff:singing1	1200
smc3	datatables/loot/npc/singing.iff:singing3	2000
	datatables/loot/trophy/trophy_a.iff:general	2
smc4	datatables/loot/npc/singing.iff:singing4	3000
	datatables/loot/trophy/trophy_a.iff:general	8
smc5	datatables/loot/npc/singing.iff:singing5	5000
	datatables/loot/trophy/trophy_a.iff:general	40
	datatables/loot/trophy/trophy_a.iff:general	2
smc6	datatables/loot/npc/singing.iff:singing5	7000
	datatables/loot/trophy/trophy_a.iff:general	140
	datatables/loot/trophy/trophy_a.iff:general	4
smuggler1	datatables/loot/npc/criminal.iff:smuggler1	1000
smuggler2	datatables/loot/npc/criminal.iff:smuggler2	1000
smuggler3	datatables/loot/npc/criminal.iff:smuggler3	2400
soldier5	datatables/loot/npc/criminal.iff:soldier5	3000
sulfer_lake_pirate1	datatables/loot/npc/slp.iff:slp1	1000
sulfer_lake_pirate2	datatables/loot/npc/slp.iff:slp2	1000
swamp_town3	datatables/loot/dungeon/rorgungan_swamp_town.iff:level3	6500
swamp_town4	datatables/loot/dungeon/rorgungan_swamp_town.iff:level4	8500
swamp_town5	datatables/loot/dungeon/rorgungan_swamp_town.iff:level5	10000
swooper1	datatables/loot/npc/swooper.iff:swooper1	1000
swooper2	datatables/loot/npc/swooper.iff:swooper2	1600
teraskasi1	datatables/loot/npc/teraskasi.iff:teraskasi1	1000
thief1	datatables/loot/npc/thief.iff:thief1	1000
thief2	datatables/loot/npc/thief.iff:thief2	2000
thug1	datatables/loot/npc/criminal.iff:thug1	1000
thug2	datatables/loot/npc/criminal.iff:thug2	1000
thug3	datatables/loot/npc/criminal.iff:thug3	2000
thug4	datatables/loot/npc/criminal.iff:thug4	2000
thug5	datatables/loot/npc/criminal.iff:thug5	2400
	datatables/loot/trophy/trophy_a.iff:general	4
thug6	datatables/loot/npc/criminal.iff:thug1	1600
thug7	datatables/loot/npc/criminal.iff:thug1	2000
thug8	datatables/loot/npc/criminal.iff:thug2	1400
thug9	datatables/loot/npc/criminal.iff:thug2	2000
thug10	datatables/loot/npc/criminal.iff:thug3	1600
thug11	datatables/loot/npc/criminal.iff:thug4	1000
thug12	datatables/loot/npc/criminal.iff:thug4	1600
thug13	datatables/loot/npc/criminal.iff:thug4	4000
thug14	datatables/loot/npc/criminal.iff:thug5	2000
thug15	datatables/loot/npc/criminal.iff:thug5	4000
tusken	datatables/loot/npc/tusken.iff:bestine	3400
	datatables/loot/trophy/trophy_a.iff:general	2
tusken2	datatables/loot/npc/tusken.iff:tusken2	1100
tusken3	datatables/loot/npc/tusken.iff:tusken3	2000
tusken4	datatables/loot/npc/tusken.iff:tusken4	2400
tusken5	datatables/loot/npc/tusken.iff:tusken5	3000
tusken6	datatables/loot/npc/tusken.iff:tusken5	3400
	datatables/loot/trophy/trophy_a.iff:general	2
tusken7	datatables/loot/npc/tusken.iff:tusken5	3300
	datatables/loot/trophy/trophy_a.iff:general	20
	datatables/loot/trophy/trophy_b.iff:general	2
tusken_executioner	datatables/loot/npc/tusken.iff:tusken5	3300
	datatables/loot/trophy/trophy_a.iff:general	20
	datatables/loot/npc/tusken.iff:trophy_rare	20
valarian1	datatables/loot/npc/valarian.iff:valarian1	1800
voritor	datatables/loot/npc/voritor_lizard.iff:generic	2000
warren1	datatables/loot/dungeon/warren.iff:warren1	4000
warren2	datatables/loot/dungeon/warren.iff:warren2	1000
warren3	datatables/loot/dungeon/warren.iff:warren3	4000
warren4	datatables/loot/dungeon/warren.iff:warren4	4000
warren_bors_teraud	datatables/loot/npc/imperial.iff:soldier4	9500
woolamander	datatables/loot/npc/woolamander.iff:generic	5000
urnsoris	datatables/loot/dungeon/ep3_myyydril_caverns_loot.iff:urnsoris	10000
kashyyyk_varactyl	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:varactyl	10000
